,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Berri-UQAM,ChdDSUhNMG9nS0VJQ0FnSURLZ3E2ZXhnRRAB,Monika Valentine,https://www.google.com/maps/contrib/107344414804798291864/reviews?hl=en-US,a month ago,2021-06-30 11:57:00.260841,1.0,4,"Has been under construction for at least 6 years to my knowledge. Always dirty, working crews around, unfinished concrete floors and walls, people being rude to the homeless... It serves the function it wants to, by being a central connector for three lines, but so would literally any other metro station if it were built to do so. Good location I guess."
1,Berri-UQAM,ChZDSUhNMG9nS0VJQ0FnSUNDb2JYbFNBEAE,Boian Kolev,https://www.google.com/maps/contrib/105511356100388221918/reviews?hl=en-US,10 months ago,2021-06-30 11:57:00.261646,5.0,117,One of the best stations in the metro lines. Connects all downtown and very nice places to visit.
2,Berri-UQAM,ChZDSUhNMG9nS0VJQ0FnSURDaWMyaFF3EAE,G T,https://www.google.com/maps/contrib/118197338064822325460/reviews?hl=en-US,8 months ago,2021-06-30 11:57:00.262437,3.0,89,"Bright, newly renovated, less puzzling metro station."
3,Berri-UQAM,ChdDSUhNMG9nS0VJQ0FnSUNxNl9iR3BRRRAB,Queen-Uzoma O,https://www.google.com/maps/contrib/112183472496978036957/reviews?hl=en-US,a week ago,2021-06-30 11:57:00.263232,5.0,234,Center of Montreal Meeting place
4,Berri-UQAM,ChdDSUhNMG9nS0VJQ0FnSURpMmQyVW9RRRAB,Dilberjit Singh,https://www.google.com/maps/contrib/114557700019823476996/reviews?hl=en-US,6 months ago,2021-06-30 11:57:00.264282,4.0,2,Nice place for public transport
5,Berri-UQAM,ChdDSUhNMG9nS0VJQ0FnSUNJbnMtanp3RRAB,Chetan Vaholiya,https://www.google.com/maps/contrib/114890326250188996648/reviews?hl=en-US,2 years ago,2021-06-30 11:57:00.265631,5.0,23,"If I talking about the inside metro of berri then it is too rushed because this metro is a junction of most off metro station.
If you are punctual and prefer always to be on time then make sure distribute some minute for this place. Reason is too much public.
Also there is Security presents so they guide and help you if you need. Other benefit is that there is also police security available some time for public safety so you are safe over metro station.
If i talking about outside of metro then it is a place and also there is one biggest public library available in that we can use upto two hours computer and also we can borrow books for our reading hobbies. This place is very peaceful and clam for those who are looking for this type of atmosphere and as per my thunking once you have to visit Berri Uqam inside and outside so you will get good experience."
6,Berri-UQAM,ChdDSUhNMG9nS0VJQ0FnSUNDdTlxS3dRRRAB,Kelly Ingabire,https://www.google.com/maps/contrib/109630604688642632381/reviews?hl=en-US,9 months ago,2021-06-30 11:57:00.267393,2.0,2,"I was coming from work  around 10 p.m, and I met a guy who was drunk and smell drugs. He started following me....I changed almost 3 times my place in the subway cause He was keeping coming seating next me...I was afraid and hoping  I was going to find a security agent when I will get out of the subway. But I found nobody, luckily for me I met one of my friend , I told her about the guy and she faked accompanying me. It s was awful....think that we should have available security agent in subways especially late evening."
7,Berri-UQAM,ChdDSUhNMG9nS0VJQ0FnSURNdGZHWTZnRRAB,Juliana Amauchi,https://www.google.com/maps/contrib/109356499202833090200/reviews?hl=en-US,a year ago,2021-06-30 11:57:00.268195,5.0,56,"This station is especial because of the library!! So beautiful, silent and clean! BAnQ was my favorite place to study when I lived in Montreal 🤓"
8,Berri-UQAM,ChZDSUhNMG9nS0VJQ0FnSURVaG91X01REAE,AVIE SPA,https://www.google.com/maps/contrib/112344732470315249144/reviews?hl=en-US,a year ago,2021-06-30 11:57:00.268985,4.0,81,"the most important metro station. It connects all of downtown together. If your here, your not lost. It can be a bit grimy down there. protect your wallets."
9,Berri-UQAM,ChdDSUhNMG9nS0VJQ0FnSUNpMWF6SThnRRAB,MOHAMMADREZA ELAHIKIA,https://www.google.com/maps/contrib/110175296546641017559/reviews?hl=en-US,7 months ago,2021-06-30 11:57:00.269772,3.0,16,I give 3 stars because I was looking for ' lost items service' but no sign was neither information or front desk.
10,Berri-UQAM,ChdDSUhNMG9nS0VJQ0FnSUNxaU02VzdnRRAB,Kongne Jennifer,https://www.google.com/maps/contrib/109671482904642535476/reviews?hl=en-US,a month ago,2021-06-30 11:57:00.270558,4.0,47,Good
11,Berri-UQAM,ChdDSUhNMG9nS0VJQ0FnSUMwdi1DdnBnRRAB,Kay Jay,https://www.google.com/maps/contrib/104413275662758900737/reviews?hl=en-US,a year ago,2021-06-30 11:57:00.271346,5.0,28,The one thing I must say is that subway system in Montreal is amazingly clean! And it smelled great!
12,Berri-UQAM,ChZDSUhNMG9nS0VJQ0FnSUQwcGF6NEtBEAE,steve Galipeau-Hervieux,https://www.google.com/maps/contrib/102061848280741995644/reviews?hl=en-US,a year ago,2021-06-30 11:57:00.272521,4.0,77,Well designed and easy to navigate but not very handicap friendly
13,Berri-UQAM,ChdDSUhNMG9nS0VJQ0FnSUQwaG83aHBRRRAB,Maxime Paquet,https://www.google.com/maps/contrib/111421299537703191237/reviews?hl=en-US,a year ago,2021-06-30 11:57:00.273322,3.0,677,Regular subway station. Close from many great places though.
