,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSUNLMmNxdzVnRRAB,Princess Mamlakati,https://www.google.com/maps/contrib/105620333696968700582/reviews?hl=en-US,2 months ago,2021-06-30 11:44:17.132314,5.0,199,It reminds me of Europe. I love it cz it feels like a maze hahaha.
1,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSUNLM2NxMnNBRRAB,Ting-Ming Chen,https://www.google.com/maps/contrib/110475411443777312041/reviews?hl=en-US,2 months ago,2021-06-30 11:44:17.133722,5.0,259,Great memories from my childhood's skating rink.
2,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSUM4M0tHSzVRRRAB,Lucis Yang,https://www.google.com/maps/contrib/108154926359780266770/reviews?hl=en-US,a year ago,2021-06-30 11:44:17.135631,3.0,18,Still everything is closed with a few restaurants open
3,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSUM4MU15SDNBRRAB,Elysee Arty,https://www.google.com/maps/contrib/103303194959635519644/reviews?hl=en-US,a year ago,2021-06-30 11:44:17.137362,5.0,37,Very cool and clean
4,Bonaventure,ChZDSUhNMG9nS0VJQ0FnSURzMHVPRUNBEAE,Brad Pearson,https://www.google.com/maps/contrib/115583206717950307633/reviews?hl=en-US,a year ago,2021-06-30 11:44:17.139173,5.0,144,Very nice station. But very centred so it's hard to board in rush hour.
5,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSURNcHI2QzJnRRAB,Nathan Price,https://www.google.com/maps/contrib/116773780443343463109/reviews?hl=en-US,a year ago,2021-06-30 11:44:17.141080,2.0,1,"It's the one of the main station to taking shuttles, but i not liked my experience here because one of the people seen here is rude with me and i getting lost in this station. But i considered this place enough modern and clean. Due to my experience, avoid this station mostly of your time."
6,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSUNzczVPSXRRRRAB,Nic Henwood,https://www.google.com/maps/contrib/118424362337049311910/reviews?hl=en-US,a year ago,2021-06-30 11:44:17.143118,5.0,3,Good train station. A variety of activities. You can speak English or French here
7,Bonaventure,ChZDSUhNMG9nS0VJQ0FnSURFeG82b1l3EAE,Lauren Hudson,https://www.google.com/maps/contrib/100790205231856626423/reviews?hl=en-US,2 years ago,2021-06-30 11:44:17.145745,4.0,2,Very busy during rush hour but manageable.
8,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSUNnN3MzYmtBRRAB,Lou Donkle,https://www.google.com/maps/contrib/114997769596621232072/reviews?hl=en-US,2 years ago,2021-06-30 11:44:17.147849,1.0,239,"NOT handicapped accessible!!!  No elevator.  You put your life in your helper's hands going up the two separate escalators to ground level.  A TERRIBLE experience.  What was even worse, the security people could not even tell us which stops WERE accessible."
9,Bonaventure,ChZDSUhNMG9nS0VJQ0FnSURRLVkzOVRnEAE,Michael Kang,https://www.google.com/maps/contrib/109455980177195472021/reviews?hl=en-US,5 years ago,2021-06-30 11:44:17.150337,4.0,10,"The place is massive, easy to get lost.
But the staff were nice, even if I couldn't speak French."
10,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSUNBeGREMzFBRRAB,Andrei Bursuc,https://www.google.com/maps/contrib/105872259815557410599/reviews?hl=en-US,5 years ago,2021-06-30 11:44:17.153504,5.0,168,"This is a very central station, very downtown, it looks very great and there are often a lot of people. If you want to buy tickets there are machines and sellers."
11,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSUN3MHJtVHJnRRAB,S.E. McKenzie,https://www.google.com/maps/contrib/109537359070841600424/reviews?hl=en-US,3 years ago,2021-06-30 11:44:17.154838,4.0,166,The metro station is on the orange line and connects to the Place de Bonaventure which is a huge meeting  place and easy place to get lost in. Bathrooms are upstairs on the same level as the indoor ice rink and food court.
12,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSURBZ2FfWXZRRRAB,Kareem Minhas,https://www.google.com/maps/contrib/115531523498792802336/reviews?hl=en-US,3 years ago,2021-06-30 11:44:17.156836,3.0,234,Very busy during rush hour but manageable. I think it would be nice for the signs to be bilingual especially for the millions of tourists. Also the metro is french only while leaves the rest of canada and america clueless.
13,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSUNZekw3UXJBRRAB,zinat arastoo,https://www.google.com/maps/contrib/116232557568381467520/reviews?hl=en-US,2 years ago,2021-06-30 11:44:17.159317,4.0,32,A beautiful building with access to peel and bonaventure station.
14,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSUN3MWFLTHVBRRAB,Yu Meng Chao,https://www.google.com/maps/contrib/103809159461050760632/reviews?hl=en-US,2 years ago,2021-06-30 11:44:17.162448,5.0,589,The place is clean and signs aren’t confusing.
15,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSURBcXZMV21nRRAB,Thomas Herring,https://www.google.com/maps/contrib/106038818249975929258/reviews?hl=en-US,5 years ago,2021-06-30 11:44:17.165591,3.0,60,"Lots of clothes stores, not too many places to eat."
16,Bonaventure,ChZDSUhNMG9nS0VJQ0FnSUNnNF9YaE93EAE,Peter Grumich,https://www.google.com/maps/contrib/109656524256072995660/reviews?hl=en-US,4 years ago,2021-06-30 11:44:17.167502,3.0,271,Nice place easy to find your way
17,Bonaventure,ChZDSUhNMG9nS0VJQ0FnSURBcVlHREpnEAE,Louis G,https://www.google.com/maps/contrib/111425586701558934631/reviews?hl=en-US,3 years ago,2021-06-30 11:44:17.170193,5.0,127,"A Montreal landmark that now serves as a mix of business related events and parties, and a corridor between the train station and downtown offices. Aside from offices in the periphery, has a cafe and barber shop. Nestled between the Bell Centre and Place du Canada."
18,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSUNrMHJlaDFBRRAB,Sheila Ferrando,https://www.google.com/maps/contrib/109638159456800849006/reviews?hl=en-US,2 years ago,2021-06-30 11:44:17.172474,5.0,82,We were on our way to Megabus.
19,Bonaventure,ChZDSUhNMG9nS0VJQ0FnSUM0bVptZUxBEAE,Colin McKenna,https://www.google.com/maps/contrib/100808394913943275483/reviews?hl=en-US,4 years ago,2021-06-30 11:44:17.174603,4.0,250,Beautiful old building.  No doubt a controversy to name it after the Queen.
20,Bonaventure,ChZDSUhNMG9nS0VJQ0FnSUNBaDdEclBnEAE,Jason Patrick Olynyk,https://www.google.com/maps/contrib/104288090942602193496/reviews?hl=en-US,4 years ago,2021-06-30 11:44:17.176635,4.0,35,Clean safe place to wait for a bus
21,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSURBLUtiYXZRRRAB,Petre Ene,https://www.google.com/maps/contrib/104256407771930872120/reviews?hl=en-US,3 years ago,2021-06-30 11:44:17.177995,5.0,1,orange line
22,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSURRaGRiT3RRRRAB,Vg G,https://www.google.com/maps/contrib/114092399265107358982/reviews?hl=en-US,3 years ago,2021-06-30 11:44:17.179203,4.0,755,Heritage building.
23,Bonaventure,ChZDSUhNMG9nS0VJQ0FnSURnMjd2ZFpREAE,romel v. rosal,https://www.google.com/maps/contrib/117649842686693102350/reviews?hl=en-US,2 years ago,2021-06-30 11:44:17.180231,1.0,12,ROMEL V. ROSAL WEBSITES
24,Bonaventure,ChZDSUhNMG9nS0VJQ0FnSUN3NmNiQ0hBEAE,Aurelie Sanhaji,https://www.google.com/maps/contrib/116420730107242873764/reviews?hl=en-US,3 years ago,2021-06-30 11:44:17.181240,4.0,321,"Not the best station early in the morning. Crowded, dirty, but it is what it is."
25,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSUNJa3B5QXlRRRAB,Claudia C,https://www.google.com/maps/contrib/113001421995401463113/reviews?hl=en-US,2 years ago,2021-06-30 11:44:17.182308,1.0,14,Smells like urine in the station
26,Bonaventure,ChZDSUhNMG9nS0VJQ0FnSURRdHZYTVBBEAE,Roberto Anania,https://www.google.com/maps/contrib/105650607199502317333/reviews?hl=en-US,3 years ago,2021-06-30 11:44:17.184046,4.0,235,"Trains, metro, restos and stores"
27,Bonaventure,ChZDSUhNMG9nS0VJQ0FnSUNRdllTbmV3EAE,Dongjoon Lim,https://www.google.com/maps/contrib/102686825294251694988/reviews?hl=en-US,4 years ago,2021-06-30 11:44:17.185655,5.0,327,Clean metro station. Brand new trains.
28,Bonaventure,ChZDSUhNMG9nS0VJQ0FnSURBXzhQU0xBEAE,LE CHI Hiep,https://www.google.com/maps/contrib/113281691023002651298/reviews?hl=en-US,3 years ago,2021-06-30 11:44:17.187793,5.0,78,Low price and very clean space.
29,Bonaventure,ChZDSUhNMG9nS0VJQ0FnSUNZeDVxQWNBEAE,Yechiel Ohana,https://www.google.com/maps/contrib/101164409308809317538/reviews?hl=en-US,2 years ago,2021-06-30 11:44:17.190396,5.0,3,Best
30,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSUNRNm9lUW93RRAB,Román Alemán,https://www.google.com/maps/contrib/107051165405681091460/reviews?hl=en-US,4 years ago,2021-06-30 11:44:17.192887,5.0,3,Safe and clean.
31,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSUNRektLbHdRRRAB,hanady Eng,https://www.google.com/maps/contrib/112352638649131604825/reviews?hl=en-US,3 years ago,2021-06-30 11:44:17.194713,1.0,7,Such a hard time for baby stroller or wheelchair
32,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSURnOTlIVHl3RRAB,Nicolas Dupuis,https://www.google.com/maps/contrib/110030531693518553925/reviews?hl=en-US,3 years ago,2021-06-30 11:44:17.195896,5.0,4,Cool
33,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSUNZdE4zRDdBRRAB,J D,https://www.google.com/maps/contrib/118273276333389943486/reviews?hl=en-US,2 years ago,2021-06-30 11:44:17.197081,5.0,46,Passage in time!
34,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSUNnOXVYNXNBRRAB,Nicolas Dupuis,https://www.google.com/maps/contrib/115651422470346066678/reviews?hl=en-US,3 years ago,2021-06-30 11:44:17.199024,5.0,41,Ben correct
35,Bonaventure,ChZDSUhNMG9nS0VJQ0FnSURBZ0lEeE9BEAE,Ann Sh,https://www.google.com/maps/contrib/105450022982906508221/reviews?hl=en-US,3 years ago,2021-06-30 11:44:17.200985,5.0,352,Nice and easy
36,Bonaventure,ChZDSUhNMG9nS0VJQ0FnSUNBc09QUmZnEAE,Dave Lachapelle,https://www.google.com/maps/contrib/111743516159999416962/reviews?hl=en-US,3 years ago,2021-06-30 11:44:17.202660,4.0,227,Great
37,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSURneEt5N2tnRRAB,Ahron,https://www.google.com/maps/contrib/104884487941121541190/reviews?hl=en-US,4 years ago,2021-06-30 11:44:17.203980,4.0,6,The monk was very friendly...
38,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSUNnNVkzZF9nRRAB,Hicham Alaoui,https://www.google.com/maps/contrib/111314929670351996974/reviews?hl=en-US,4 years ago,2021-06-30 11:44:17.205816,4.0,139,Nice old place!
39,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSURRamZDOTVBRRAB,Antoine Barrault,https://www.google.com/maps/contrib/113479795283127992363/reviews?hl=en-US,4 years ago,2021-06-30 11:44:17.207609,4.0,122,Nice place
40,Bonaventure,ChdDSUhNMG9nS0VJQ0FnSURRN2F2RmlBRRAB,Matt Davis,https://www.google.com/maps/contrib/114238999057158422045/reviews?hl=en-US,5 years ago,2021-06-30 11:44:17.209571,5.0,218,it's a big metro station
41,Bonaventure,ChZDSUhNMG9nS0VJQ0FnSUR5dThtMFVnEAE,Fleur Noire,https://www.google.com/maps/contrib/110653002416313832891/reviews?hl=en-US,3 months ago,2021-06-30 11:44:17.211204,5.0,102,"(Translated by Google) this is where I took the train to go to Toronto :)

(Original)
c'est ici que je prenais le train pour aller à Toronto :)"
