,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Cadillac,ChZDSUhNMG9nS0VJQ0FnSUNpLVBEY2VBEAE,Aubry (Byby509),https://www.google.com/maps/contrib/107206916608804524545/reviews?hl=en-US,8 months ago,2021-06-30 10:17:40.579417,5.0,2,Cool
1,Cadillac,ChZDSUhNMG9nS0VJQ0FnSUQ4X2ZULU9nEAE,Louie L,https://www.google.com/maps/contrib/112832895686937838716/reviews?hl=en-US,11 months ago,2021-06-30 10:17:40.582892,1.0,630,Not wheelchair friendly. All metros should have this. Very shameful
2,Cadillac,ChdDSUhNMG9nS0VJQ0FnSURBOTRUYjRnRRAB,Thomas Bernier,https://www.google.com/maps/contrib/106170547044002124650/reviews?hl=en-US,3 years ago,2021-06-30 10:17:40.584545,5.0,41,"This station is built according to a symmetrical, functional, modernist plan. Two identical square entrance pavilions, kitty-cornered across an intersection, lead symmetrically into the rectangular ticket hall. The walls at platform and mezzanine level are covered with attractive dark grey rough concrete and trimmed in stainless steel. The walls over the platform vaults are decorated with triangular shapes. Two further accents at platform level are the monolithic forms of the feet of the staircase, and the looming presence of air vents above the Angrignon platform."
3,Cadillac,ChZDSUhNMG9nS0VJQ0FnSUNBaGQtY0dBEAE,Andrei Bursuc,https://www.google.com/maps/contrib/105872259815557410599/reviews?hl=en-US,5 years ago,2021-06-30 10:17:40.585693,3.0,168,"À very typical metro station, but there are many places to eat nearby."
4,Cadillac,ChdDSUhNMG9nS0VJQ0FnSURvaS1xLXN3RRAB,albert lopez,https://www.google.com/maps/contrib/108005568890921565764/reviews?hl=en-US,2 years ago,2021-06-30 10:17:40.587040,5.0,130,Car brand
5,Cadillac,ChZDSUhNMG9nS0VJQ0FnSUNnNTYtYVFBEAE,TRAINS4EVER,https://www.google.com/maps/contrib/109078602743866009815/reviews?hl=en-US,4 years ago,2021-06-30 10:17:40.589094,3.0,42,"This station is built according to a symmetrical, functional, modernist plan. Two identical square entrance pavilions, kitty-cornered across an intersection, lead symmetrically into the rectangular ticket hall. The walls at platform and mezzanine level are covered with attractive dark grey rough concrete and trimmed in stainless steel. The walls over the platform vaults are decorated with triangular shapes. Two further accents at platform level are the monolithic forms of the feet of the staircase, and the looming presence of air vents above the Angrignon platform. On either side of the mezzanine in the tunnels leading to the kiosks are two abstract murals in bright colours, the one to the south predominantly yellow-orange, and the one to the north predominantly blue-green. The pieces are designed to be removed and shuffled around; originally, this was done every season, and miniature versions were made to assist in this. The murals are signed Jean Cartier."
6,Cadillac,ChdDSUhNMG9nS0VJQ0FnSUNnbmJfRWpBRRAB,Luna Mai,https://www.google.com/maps/contrib/102402556965618206063/reviews?hl=en-US,4 years ago,2021-06-30 10:17:40.591508,5.0,3,i like it
7,Cadillac,ChdDSUhNMG9nS0VJQ0FnSURLdU5fM3dnRRAB,Patrick Farese,https://www.google.com/maps/contrib/112739119605631417489/reviews?hl=en-US,2 months ago,2021-06-30 10:17:40.594577,5.0,76,"(Translated by Google) Great!

(Original)
Super!"
8,Cadillac,ChdDSUhNMG9nS0VJQ0FnSUNBdnBQenVBRRAB,Paul Thibeault,https://www.google.com/maps/contrib/110468393427391993158/reviews?hl=en-US,2 years ago,2021-06-30 10:17:40.597710,5.0,125,"(Translated by Google) Good metro near a lot of places. Connect to all other subway lines like all other subways. We can therefore have access to the whole city. And get from my place to your house. They say bicycles are allowed but every time I take my bike it's a special no-bike day. Uncool.

(Original)
Bon metro près de beaucoup de places. Connect a tout les autres lignes de métros comme tout les autres metros. On peux donc avoir acces a tout la ville. Et se rendre de chez moi jusqua chez toi. On dit que lea velo sont permis mais a chaque fois que j’enmene mon velo cest une journée special pas de velo. Pas cool."
9,Cadillac,ChZDSUhNMG9nS0VJQ0FnSUNxOVBhNUlBEAE,Abel Victor,https://www.google.com/maps/contrib/108566581635144349402/reviews?hl=en-US,a month ago,2021-06-30 10:17:40.600509,3.0,34,"(Translated by Google) Quiet and good

(Original)
Tranquille et bien"
10,Cadillac,ChZDSUhNMG9nS0VJQ0FnSURVNjZtMkd3EAE,Yoann Lussier,https://www.google.com/maps/contrib/108366424979984064344/reviews?hl=en-US,a year ago,2021-06-30 10:17:40.607636,3.0,3,"(Translated by Google) The interior of the subway is not that remarkable and the art hiding there is only aesthetic. Two kiosks provide access to Sherbrooke Street. To the north, you will meet a vast park and the surroundings are populated by local restaurants and some hotels.

(Original)
L'intérieur du métro n'est pas si remarquable que ça et l'art s'y cachant n'est qu'esthétique. Deux édicules permettent d'accéder à la rue Sherbrooke. Vers le nord, vous rencontrerez un vaste parc et les environs sont populés par de restaurants locaux et quelqies hotels."
11,Cadillac,ChdDSUhNMG9nS0VJQ0FnSUNBX0xyQ2dBRRAB,Loune Joseph,https://www.google.com/maps/contrib/110523445118917163442/reviews?hl=en-US,2 years ago,2021-06-30 10:17:40.612427,5.0,9,"(Translated by Google) Good little resort

(Original)
Bonne petite station"
12,Cadillac,ChdDSUhNMG9nS0VJQ0FnSUNRXzd5NnRnRRAB,Ju Pro,https://www.google.com/maps/contrib/107576584817179619053/reviews?hl=en-US,4 years ago,2021-06-30 10:17:40.617319,5.0,130,"(Translated by Google) With the new indication signs for buses, it's a plus: D

(Original)
Avec les nouveaux panneaux d'indication pour les bus, c'est un plus :D"
13,Cadillac,ChdDSUhNMG9nS0VJQ0FnSUNRdkxMMzZBRRAB,Nicolas Hervieux,https://www.google.com/maps/contrib/117204421471863614634/reviews?hl=en-US,3 years ago,2021-06-30 10:17:40.619158,3.0,100,"(Translated by Google) Nice little station watch out for two

(Original)
Belle petite station attention au deux sortis"
14,Cadillac,ChdDSUhNMG9nS0VJQ0FnSUNBalB2SGx3RRAB,Louis-Philippe Gagnon,https://www.google.com/maps/contrib/106364047217003187765/reviews?hl=en-US,3 years ago,2021-06-30 10:17:40.621020,4.0,2,"(Translated by Google) Wow

(Original)
Waw"
15,Cadillac,ChZDSUhNMG9nS0VJQ0FnSUN3aXNLN1d3EAE,Marc,https://www.google.com/maps/contrib/109334299083119080572/reviews?hl=en-US,4 years ago,2021-06-30 10:17:40.624693,3.0,28,"(Translated by Google) spacious

(Original)
spacieux"
16,Cadillac,ChdDSUhNMG9nS0VJQ0FnSUNndkpQRF9RRRAB,Cardi No,https://www.google.com/maps/contrib/117333388724574716353/reviews?hl=en-US,4 years ago,2021-06-30 10:17:40.627295,4.0,205,
17,Cadillac,ChdDSUhNMG9nS0VJQ0FnSUR3OXBXUjdBRRAB,Stefan Dee,https://www.google.com/maps/contrib/112039912312748517555/reviews?hl=en-US,2 years ago,2021-06-30 10:17:40.629847,3.0,1,
18,Cadillac,ChdDSUhNMG9nS0VJQ0FnSUNVeDh1eTZnRRAB,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-US,4 years ago,2021-06-30 10:17:40.635716,5.0,140,
19,Cadillac,ChdDSUhNMG9nS0VJQ0FnSURZMDVyYjR3RRAB,Myriam Clark,https://www.google.com/maps/contrib/118366398244584431701/reviews?hl=en-US,2 years ago,2021-06-30 10:17:40.638227,5.0,59,
20,Cadillac,ChdDSUhNMG9nS0VJQ0FnSURnOVlPMjBRRRAB,Sadok Ketari,https://www.google.com/maps/contrib/104552840557026140329/reviews?hl=en-US,2 years ago,2021-06-30 10:17:40.640038,4.0,1,
21,Cadillac,ChdDSUhNMG9nS0VJQ0FnSUNzX09yOXh3RRAB,Angela Mojica,https://www.google.com/maps/contrib/101615019327082926010/reviews?hl=en-US,a year ago,2021-06-30 10:17:40.642316,3.0,43,
22,Cadillac,ChdDSUhNMG9nS0VJQ0FnSUN3cE5iNHR3RRAB,Joey Good,https://www.google.com/maps/contrib/108101262279499954807/reviews?hl=en-US,3 years ago,2021-06-30 10:17:40.644123,5.0,16,
23,Cadillac,ChdDSUhNMG9nS0VJQ0FnSURRek9Da3NnRRAB,c8455,https://www.google.com/maps/contrib/110965147744267508527/reviews?hl=en-US,5 years ago,2021-06-30 10:17:40.650340,4.0,31,
24,Cadillac,ChdDSUhNMG9nS0VJQ0FnSURRek1LRXBRRRAB,A Rodríguez,https://www.google.com/maps/contrib/108373539039373437405/reviews?hl=en-US,2 years ago,2021-06-30 10:17:40.654925,4.0,266,
25,Cadillac,ChdDSUhNMG9nS0VJQ0FnSUQ0MUpqLW1BRRAB,fabio ayala,https://www.google.com/maps/contrib/115577055465667520400/reviews?hl=en-US,2 years ago,2021-06-30 10:17:40.657994,4.0,0,
26,Cadillac,ChZDSUhNMG9nS0VJQ0FnSUNneUtYaWZREAE,Darius Folea,https://www.google.com/maps/contrib/101230509186208096735/reviews?hl=en-US,4 years ago,2021-06-30 10:17:40.660315,3.0,22,
27,Cadillac,ChZDSUhNMG9nS0VJQ0FnSURRbjhYTmN3EAE,Nicaisse Jeremie,https://www.google.com/maps/contrib/117971134033378195559/reviews?hl=en-US,4 years ago,2021-06-30 10:17:40.668553,4.0,0,
28,Cadillac,ChZDSUhNMG9nS0VJQ0FnSUN3Nlkzb1lBEAE,Aurelie Sanhaji,https://www.google.com/maps/contrib/116420730107242873764/reviews?hl=en-US,2 years ago,2021-06-30 10:17:40.684022,4.0,321,
29,Cadillac,ChZDSUhNMG9nS0VJQ0FnSURnMGRidVR3EAE,Alexandre Rodier,https://www.google.com/maps/contrib/102135948527863743944/reviews?hl=en-US,a year ago,2021-06-30 10:17:40.698536,1.0,117,
30,Cadillac,ChZDSUhNMG9nS0VJQ0FnSUNDeDV2N1N3EAE,Duc C. Nguyên,https://www.google.com/maps/contrib/105132606869252480414/reviews?hl=en-US,9 months ago,2021-06-30 10:17:40.721493,4.0,9,
31,Cadillac,ChZDSUhNMG9nS0VJQ0FnSUNRcWZIOVBBEAE,Nathalie Glaude,https://www.google.com/maps/contrib/113686644823652817400/reviews?hl=en-US,4 years ago,2021-06-30 10:17:40.735463,3.0,990,
32,Cadillac,ChZDSUhNMG9nS0VJQ0FnSURZOHZyV0hBEAE,V. V. (Z),https://www.google.com/maps/contrib/102306612269991604734/reviews?hl=en-US,2 years ago,2021-06-30 10:17:40.738535,4.0,28,
33,Cadillac,ChZDSUhNMG9nS0VJQ0FnSUNBMGJDckZ3EAE,Maurice Boyer,https://www.google.com/maps/contrib/105659607358986517618/reviews?hl=en-US,3 years ago,2021-06-30 10:17:40.741038,3.0,2,
