,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Côte-Sainte-Catherine,ChZDSUhNMG9nS0VJQ0FnSURndEpIYkNREAE,Patrick M,https://www.google.com/maps/contrib/100042773734697142109/reviews?hl=en-US,a year ago,2021-06-30 10:33:21.707789,4.0,227,A nice metro station with a high escalator
1,Côte-Sainte-Catherine,ChdDSUhNMG9nS0VJQ0FnSUNNNTgtd3BRRRAB,Minal C.,https://www.google.com/maps/contrib/106628233963972526582/reviews?hl=en-US,a year ago,2021-06-30 10:33:21.708741,4.0,863,they have indoor benches to sit inside the station.
2,Côte-Sainte-Catherine,ChZDSUhNMG9nS0VJQ0FnSURndm9EOVNnEAE,Alexandre Debargis,https://www.google.com/maps/contrib/105029660857276952774/reviews?hl=en-US,4 years ago,2021-06-30 10:33:21.709675,3.0,370,Close walk to Jewish hospital
3,Côte-Sainte-Catherine,ChdDSUhNMG9nS0VJQ0FnSUNnbWNpWmdRRRAB,WinRar Benoit,https://www.google.com/maps/contrib/112040911149717870737/reviews?hl=en-US,3 years ago,2021-06-30 10:33:21.710605,2.0,8,Invariably smells like farts.
4,Côte-Sainte-Catherine,ChdDSUhNMG9nS0VJQ0FnSUQ4LTltbHBnRRAB,Yoann Lussier,https://www.google.com/maps/contrib/108366424979984064344/reviews?hl=en-US,10 months ago,2021-06-30 10:33:21.711536,2.0,3,"(Translated by Google) According to my last observations, in times of confinement and where the bosses do not observe, it would now be acceptable to vape in the ticket offices. I don't know if this employee understands the consequences of his actions and if the STM should reiterate the rules.

(Original)
Selon mes dernières observations, en temps de confinement et où les patrons n'observent pas, il serait maintenant acceptable de vapoter dans les billeteries. Je ne sais si cet employé comprend les conséquence de son geste et si la STM devrait réitérer les règles."
5,Côte-Sainte-Catherine,ChZDSUhNMG9nS0VJQ0FnSUNjNDRhS0tREAE,Les entreprises Lamontagnes,https://www.google.com/maps/contrib/104931565424763064143/reviews?hl=en-US,a year ago,2021-06-30 10:33:21.712469,5.0,16,"(Translated by Google) They have a very detailed and professional website. They are very patient and give you all the info for the services they have. I recommend them to everyone.

(Original)
Ils ont un site web beaucoup  détaillé et professionnelle. Ils sont très patients et vous donne toutes l’info pour les services qu’ils ont. Je leur recommande a tout le monde."
6,Côte-Sainte-Catherine,ChdDSUhNMG9nS0VJQ0FnSUNjaC16RXVRRRAB,Jisan Samrat,https://www.google.com/maps/contrib/118292662600885622988/reviews?hl=en-US,11 months ago,2021-06-30 10:33:21.713699,5.0,109,"(Translated by Google) Côte Ste-Catherine Metro. Orange line.

(Original)
Côte Ste-Catherine Metro. Orange line."
7,Côte-Sainte-Catherine,ChdDSUhNMG9nS0VJQ0FnSUNvMF9EYXZnRRAB,Marlys Grace T.,https://www.google.com/maps/contrib/106683077704195879410/reviews?hl=en-US,2 years ago,2021-06-30 10:33:21.714644,4.0,125,"(Translated by Google) Orange line metro station of Montreal, it is located between the stations ""Plamondon"" and ""Snowdon"" (correspondences between the lines orange and blue).

(Original)
Station de métro de ligne orange de Montréal, elle est située entre les stations ""Plamondon"" et ""Snowdon"" (correspondances entre les lignes orange et bleue)."
8,Côte-Sainte-Catherine,ChZDSUhNMG9nS0VJQ0FnSUNJeXFTb0V3EAE,Marie-Élaine Barbeau,https://www.google.com/maps/contrib/110788426882189578659/reviews?hl=en-US,2 years ago,2021-06-30 10:33:21.715582,5.0,120,"(Translated by Google) I love my metro station!

(Original)
J'adore ma station de métro !"
9,Côte-Sainte-Catherine,ChZDSUhNMG9nS0VJQ0FnSUNnbnRLZ0pnEAE,alexis cahuzac,https://www.google.com/maps/contrib/111521357954121563009/reviews?hl=en-US,4 years ago,2021-06-30 10:33:21.716516,5.0,201,"(Translated by Google) Always good, a depot inside, however not wheelchair accessible.

(Original)
Toujours bien, un dép à l'intérieur, par contre pas accessible en fauteuil roulant."
