,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Côte-Vertu,ChZDSUhNMG9nS0VJQ0FnSUNxeHEtUFV3EAE,conley toby,https://www.google.com/maps/contrib/112581698045516001605/reviews?hl=en-US,3 weeks ago,2021-06-30 10:26:46.146312,1.0,3,"This is a review of the STM in general: Worst service ever, worst customer service ever, bus drivers feel all entitled with a lot of attitude problems. I hope the STM goes under or gets hit financially but I know it will never happen because the government will always bail them out. The amount of bad drivers is frightening and some of them don't even abide by the basic rules of public driving. It's a shame of a company. STM GFYG"
1,Côte-Vertu,ChdDSUhNMG9nS0VJQ0FnSURLaDZ5OXh3RRAB,Gabey Baby,https://www.google.com/maps/contrib/104530059814812824842/reviews?hl=en-US,a month ago,2021-06-30 10:26:46.147390,1.0,109,Riddled with crime from kids who go to Lauren Hill
2,Côte-Vertu,ChZDSUhNMG9nS0VJQ0FnSURDa1BYeVNnEAE,Raiden Yvelina,https://www.google.com/maps/contrib/104126143901932139190/reviews?hl=en-US,9 months ago,2021-06-30 10:26:46.148348,1.0,67,Serious problem with hornets/wasps! Every time I come here they’re all over me!
3,Côte-Vertu,ChZDSUhNMG9nS0VJQ0FnSURjLUtXM0x3EAE,Arun Kr,https://www.google.com/maps/contrib/117968000833115543618/reviews?hl=en-US,a year ago,2021-06-30 10:26:46.154880,5.0,2,"Good place for  chilling with friends in McDonald's, Tim, boustan, subway, PFK. Everything is near."
4,Côte-Vertu,ChZDSUhNMG9nS0VJQ0FnSURVdmEtYUhnEAE,D B,https://www.google.com/maps/contrib/100589833129562958504/reviews?hl=en-US,a year ago,2021-06-30 10:26:46.156076,2.0,60,This station is really dirty and most of the escalators are shut down. There is allot of construction around the station right now. It is not practical. The bus drivers over there are always in a hurry. I miss the bus alot of the time. I do not recommend to get off at this station. ☹️
5,Côte-Vertu,ChZDSUhNMG9nS0VJQ0FnSUNzMloyYUtREAE,Chester Sellier,https://www.google.com/maps/contrib/106605128177844224343/reviews?hl=en-US,a year ago,2021-06-30 10:26:46.157693,1.0,9,"Miserable lady in front desk from 9hPM shift in the week. Very short hair with glasses, she always rude, negative and she look like she doesn't want to be there .. So unprofessional"
6,Côte-Vertu,ChdDSUhNMG9nS0VJQ0FnSURZNnRTcnB3RRAB,nbond100,https://www.google.com/maps/contrib/113524341226177003888/reviews?hl=en-US,2 years ago,2021-06-30 10:26:46.161172,4.0,93,"A center station for West Islanders for many years, and have been using this station for a while. the staff is very helpful calm and professional. There are numerous buses, but, the 470 takes you all the way to the West Island at Fairview shopping Center and towards Pierrefonds. A north Hub for the island of Montreal one can say."
7,Côte-Vertu,ChZDSUhNMG9nS0VJQ0FnSUNZMEpEZFJnEAE,Ica Roos,https://www.google.com/maps/contrib/118063824918164058430/reviews?hl=en-US,2 years ago,2021-06-30 10:26:46.163010,4.0,21,"In the last 25+ years that I've been using this station regularly, I've never had any major issues. Easy to get around, signs are clear and employees are helpful and kind. However, there have been quite a few changes in the past 10 years that changed the metro station for the worst. Most garbage cans have been removed (only 4 left, all of which are near the turnstiles, instead of being spread around. Past the turnstiles, you have to hold on to your trash I guess) and the buses arrive late way too often. Once, a bus arrived 45 min late (at rush hour, no less). By then, there were so many people that it filled up way too fast, so I didn't even bother getting on because I hate tight spaces."
8,Côte-Vertu,ChZDSUhNMG9nS0VJQ0FnSUNzNF9mM2FnEAE,Gairik Datta,https://www.google.com/maps/contrib/103586048828666650752/reviews?hl=en-US,a year ago,2021-06-30 10:26:46.164864,3.0,17,"At least one of the escalators is always broken for some reason. Not the cleanest. 4 entrances, loads of bus stops around. There is a depanneur inside."
9,Côte-Vertu,ChdDSUhNMG9nS0VJQ0FnSURvbDVySWd3RRAB,aa aa,https://www.google.com/maps/contrib/114592053122992289605/reviews?hl=en-US,2 years ago,2021-06-30 10:26:46.167384,4.0,39,"Safer than it was 10 years ago, but still 4 stars because I was robbed there once at 13.( No one bugs me anymore at 6’3“ and an adult."
