,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,De La Concorde,ChdDSUhNMG9nS0VJQ0FnSUNLNjRXZDFnRRAB,Dwain Richardson,https://www.google.com/maps/contrib/109877144882575936658/reviews?hl=en-US,2 months ago,2021-06-30 11:05:06.937590,4.0,111,"Clean, inviting station. Not as busy as it usually is, but that’s fine."
1,De La Concorde,ChZDSUhNMG9nS0VJQ0FnSUNRXy1iY1BBEAE,Mario Belli,https://www.google.com/maps/contrib/118241920756947738828/reviews?hl=en-US,3 years ago,2021-06-30 11:05:06.938392,3.0,124,We need more space for parking spot.
2,De La Concorde,ChZDSUhNMG9nS0VJQ0FnSUNRbjZyM1ZBEAE,Georges Giroux,https://www.google.com/maps/contrib/106848675640464363176/reviews?hl=en-US,5 years ago,2021-06-30 11:05:06.939183,3.0,249,Doesn't stink
3,De La Concorde,ChdDSUhNMG9nS0VJQ0FnSURncllTSV93RRAB,Giulio Navarroli,https://www.google.com/maps/contrib/111689575707833430095/reviews?hl=en-US,3 years ago,2021-06-30 11:05:06.939971,4.0,26,Solid metro stop.
4,De La Concorde,ChdDSUhNMG9nS0VJQ0FnSUNBeWFTRjZBRRAB,AUBEY LAUFER,https://www.google.com/maps/contrib/113200966819425447752/reviews?hl=en-US,3 years ago,2021-06-30 11:05:06.940756,5.0,43,We luke the Garden
5,De La Concorde,ChZDSUhNMG9nS0VJQ0FnSURRbTl6ZEV3EAE,Félix Hurteau,https://www.google.com/maps/contrib/110321321371865428109/reviews?hl=en-US,4 years ago,2021-06-30 11:05:06.941709,5.0,43,Best metro station
6,De La Concorde,ChdDSUhNMG9nS0VJQ0FnSUNndnN6VjhRRRAB,Alex Volkov,https://www.google.com/maps/contrib/108482144227585313310/reviews?hl=en-US,4 years ago,2021-06-30 11:05:06.942502,5.0,77,Clean place. Train is usually on time.
7,De La Concorde,ChZDSUhNMG9nS0VJQ0FnSUNRdHF1eU1nEAE,Rami Kuret,https://www.google.com/maps/contrib/106371336722280770315/reviews?hl=en-US,5 years ago,2021-06-30 11:05:06.943672,4.0,21,Good
8,De La Concorde,ChZDSUhNMG9nS0VJQ0FnSURVc2FfU0dnEAE,Yoann Lussier,https://www.google.com/maps/contrib/108366424979984064344/reviews?hl=en-US,a year ago,2021-06-30 11:05:06.944470,3.0,3,"(Translated by Google) Getting to Laval is now easier thanks to this station. De La Concorde has several nagasins in its surroundings but to go further on the northern crown, it is better to stop at Montmorency.

(Original)
Se rendre à Laval est maintenant plus simple entre autre grâce à cette station. De La Concorde a plusieurs nagasins dans ses alentours mais pour se rendre plus loin sur la couronne nord, il vaut mieux arrêter à Montmorency."
9,De La Concorde,ChZDSUhNMG9nS0VJQ0FnSURneTRIUFFnEAE,manius1956,https://www.google.com/maps/contrib/103860009417160170806/reviews?hl=en-US,3 years ago,2021-06-30 11:05:06.945264,4.0,219,"(Translated by Google) Nice well decorated metro station. However, there is no convenience store here, only a few machines. I sincerely believe that if there was one, it would work very well because there is the train station, the metro and several buses that arrive here. It's my opinion !

(Original)
Belle station de métro bien décorée  . Par contre il n'y a pas de dépanneur ici, seulement quelque machine. Je crois sincèrement que si il y en avait un , il fonctionnerait très bien car il y a la gare de train , le métro et plusieurs autobus qui arrive ici. C'est mon opinion !"
