,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Du Collège,ChZDSUhNMG9nS0VJQ0FnSUNxMTVQNmZREAE,Nikhil,https://www.google.com/maps/contrib/113124039009399973611/reviews?hl=en-US,a week ago,2021-06-30 10:27:48.628923,4.0,716,Good metro station. Eating places around it.
1,Du Collège,ChZDSUhNMG9nS0VJQ0FnSUR5Xzl1TUFREAE,nadim ahmed,https://www.google.com/maps/contrib/103004303549380133833/reviews?hl=en-US,3 months ago,2021-06-30 10:27:48.629982,5.0,4,There is good in said a shop i can buy anything i like when bus let i can sit there chears good people love that place
2,Du Collège,ChdDSUhNMG9nS0VJQ0FnSUQ4azQ3TTFnRRAB,Rodney Rothman,https://www.google.com/maps/contrib/106815566733771376698/reviews?hl=en-US,11 months ago,2021-06-30 10:27:48.630916,5.0,26,Just had the best club sandwich of my life. These guys know what there doing.
3,Du Collège,ChdDSUhNMG9nS0VJQ0FnSUNzc3ZIWnh3RRAB,Pukar Khand (Puku),https://www.google.com/maps/contrib/115826242909433485213/reviews?hl=en-US,a year ago,2021-06-30 10:27:48.631847,5.0,51,My to and fro from clg.
4,Du Collège,ChZDSUhNMG9nS0VJQ0FnSUN3NExHc0p3EAE,Mouris Khouri,https://www.google.com/maps/contrib/108204121120887903600/reviews?hl=en-US,3 years ago,2021-06-30 10:27:48.632830,1.0,1,"Very small metro station and not safe. They just finished construction and for now it's back to order. Neighbour hood is a bit dangerous around. You better choose to use Metro Cote Vertu station instead, and then to walk for 3 to 4 minutes to where you are going as destination."
5,Du Collège,ChdDSUhNMG9nS0VJQ0FnSUN3NEw3VW9nRRAB,Andrew Laramee,https://www.google.com/maps/contrib/115664713202649926445/reviews?hl=en-US,4 years ago,2021-06-30 10:27:48.634084,4.0,408,"Long, neatly kept metro station that has two exits. Make sure you know which way your headed to save yourself 10-20 minutes of extra walking."
6,Du Collège,ChZDSUhNMG9nS0VJQ0FnSUNJaW9YVVpnEAE,Bhavesh Patil,https://www.google.com/maps/contrib/102279325328025096460/reviews?hl=en-US,2 years ago,2021-06-30 10:27:48.635024,4.0,10,Good for public transport for point claire
7,Du Collège,ChZDSUhNMG9nS0VJQ0FnSUN3MmZ1RVBREAE,Louis Jezsik,https://www.google.com/maps/contrib/105936703814111260715/reviews?hl=en-US,4 years ago,2021-06-30 10:27:48.635961,4.0,365,"Note that there are TWO entrances/exits! The other entrance has no staff, so if you show up there,  you'll have to use the machine to buy a ticket."
8,Du Collège,ChdDSUhNMG9nS0VJQ0FnSUNBcHUzRF9nRRAB,Kenny Plays,https://www.google.com/maps/contrib/108013759332160203542/reviews?hl=en-US,4 years ago,2021-06-30 10:27:48.637004,4.0,34,"Buses usually on time, quite crowded with students leaving from 4-6 PM."
9,Du Collège,ChdDSUhNMG9nS0VJQ0FnSUNnMjRUUjB3RRAB,Brian Ve,https://www.google.com/maps/contrib/108503921794441631045/reviews?hl=en-US,5 years ago,2021-06-30 10:27:48.638650,3.0,11,that escalator eventually needs to get fixed.
10,Du Collège,ChdDSUhNMG9nS0VJQ0FnSUNpOElyWWp3RRAB,刘欢亭,https://www.google.com/maps/contrib/108571982774809694000/reviews?hl=en-US,8 months ago,2021-06-30 10:27:48.639624,5.0,71,"(Translated by Google) When you are in a bad mood, it is very suitable for a person to walk here, quietly, and then suddenly become clear.

(Original)
心情不好的时候，很适合一个人到这边走走，静静，然后豁然开朗。"
11,Du Collège,ChZDSUhNMG9nS0VJQ0FnSUNvMDVEY2FBEAE,Marlys Grace T.,https://www.google.com/maps/contrib/106683077704195879410/reviews?hl=en-US,2 years ago,2021-06-30 10:27:48.640570,4.0,125,"(Translated by Google) Second metro of the orange line. It is located between the stations ""Côte-vertu"" (terminus of the orange line) and ""de la Savane"". It is served by several buses including the 409 which serves the west of the island.

(Original)
Deuxième métro de la ligne orange. Il se trouve entre les stations ""Côte-vertu"" (terminus de la ligne orange ) et ""de la Savane"". Il est desservi par plusieurs bus dont la 409 qui dessert l'ouest de l'île."
12,Du Collège,ChdDSUhNMG9nS0VJQ0FnSURZLVlXOTlBRRAB,Marion,https://www.google.com/maps/contrib/101551034566379353055/reviews?hl=en-US,2 years ago,2021-06-30 10:27:48.641623,3.0,248,"(Translated by Google) Escalators walk 1 day out of 2. When you are young no worries but there is still a lot of walking up / down ...

(Original)
Les escalators marchent 1 jour sur 2. Quand on est jeune pas de soucis mais il y a quand même énormément de marche à monter/descendre..."
13,Du Collège,ChdDSUhNMG9nS0VJQ0FnSUNNbTc3NHV3RRAB,Roberto Pessôa,https://www.google.com/maps/contrib/113393093612608489013/reviews?hl=en-US,a year ago,2021-06-30 10:27:48.642570,4.0,51,"(Translated by Google) Wonderful place!!!
#robertoartperson

(Original)
Lugar maravilhoso!!!
#robertoartpessoa"
14,Du Collège,ChZDSUhNMG9nS0VJQ0FnSUNBcm9XQkR3EAE,xiaojian ma,https://www.google.com/maps/contrib/110942443102455285339/reviews?hl=en-US,3 years ago,2021-06-30 10:27:48.643629,4.0,613,"(Translated by Google) Humble, but still convenient

(Original)
简陋，但还是很方便"
15,Du Collège,ChdDSUhNMG9nS0VJQ0FnSURVNThLUHdnRRAB,Yoann Lussier,https://www.google.com/maps/contrib/108366424979984064344/reviews?hl=en-US,a year ago,2021-06-30 10:27:48.645093,3.0,3,"(Translated by Google) Like its neighbors, this station is directly on Décarie. The resort is clean and the art there is unique. From this station you can access a small quiet green area to rest.

(Original)
Comme ses voisines, cette station se trouve directement sur Décarie. La station est propre et l'art qu'on y retrouve eat unique en son genre. De cette station vous pouvez accéder un peit espace vert bien tranquille pour vous reposer."
16,Du Collège,ChdDSUhNMG9nS0VJQ0FnSURBcWJfR2hnRRAB,Cedric Deukam,https://www.google.com/maps/contrib/108746241444237934303/reviews?hl=en-US,3 years ago,2021-06-30 10:27:48.646070,4.0,100,"(Translated by Google) Metro station located just before the coast terminus under the orange line. Staff are on site, the Internet network is functional. There are signs of arrivals and departures. It is usually crowded during rush hour.

(Original)
Station de métro situé juste avant le terminus côte vertu de la ligne orange. Un personnel est en service sur place, le réseau Internet y fonctionnel. On retrouve des panneaux des arrivées et des départs. Elle est généralement bondée aux heures de pointes."
17,Du Collège,ChZDSUhNMG9nS0VJQ0FnSUNBOThlMVVBEAE,David Lavoie,https://www.google.com/maps/contrib/109641088940220547791/reviews?hl=en-US,4 years ago,2021-06-30 10:27:48.647326,3.0,44,"(Translated by Google) Note that until the summer of 2018 there is only the south entrance (corner Cartier and Ouimet) which remains open. The main entrance at the corner of Décarie and the College being repaired. It will be expanded and an elevator installed. The street corner he occupies is barred to traffic.

(Original)
À noter que jusqu'à l'été 2018 il n'y a que l'entrée sud (coin Cartier et Ouimet) qui reste ouvert. L'édicule principal au coin de Décarie et du Collège étant en réfection. Il sera agrandi et on y installe un ascenseur. Le coin de rue qu'il occupe est barré à la circulation."
18,Du Collège,ChZDSUhNMG9nS0VJQ0FnSUNRbTVDTlVnEAE,Joseph Andre,https://www.google.com/maps/contrib/115290682821841167412/reviews?hl=en-US,4 years ago,2021-06-30 10:27:48.648327,1.0,52,"(Translated by Google) Closed for another 2 months afterwards

(Original)
Fermé pour encore 2moispoumouvelleassencuesseur"
19,Du Collège,ChdDSUhNMG9nS0VJQ0FnSUNBc09fbDR3RRAB,Caroline St-Pierre,https://www.google.com/maps/contrib/115472576809835680264/reviews?hl=en-US,4 years ago,2021-06-30 10:27:48.649589,4.0,32,
