,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Guy–Concordia,ChZDSUhNMG9nS0VJQ0FnSURNbHRfZ1hBEAE,lili jiang,https://www.google.com/maps/contrib/106498335734794246444/reviews?hl=en-CA,a year ago,2021-06-30 00:41:10.199220,1.0,54,"I pushed the stroller and left the station.  The station staff was gone and no one helped me open the door.  passenger by tried to help me out of my dilemma, but still couldn't get out of it.  It is inconvenient to have no elevator at the metro station, adding more inconvenience to parents with children"
1,Guy–Concordia,ChdDSUhNMG9nS0VJQ0FnSUNLd2JlenFnRRAB,Philomena Rice,https://www.google.com/maps/contrib/108827454055197711933/reviews?hl=en-CA,2 months ago,2021-06-30 00:41:10.200395,3.0,24,Neat and clean platform but somewhere is dirty also .
2,Guy–Concordia,ChdDSUhNMG9nS0VJQ0FnSURDNEpxbnpnRRAB,Amit Kumar,https://www.google.com/maps/contrib/105165197106788777690/reviews?hl=en-CA,9 months ago,2021-06-30 00:41:10.201359,3.0,16,"Platform is clean and shiny, but when you go upstairs near the ticket counter place is sometime dirty. One morning, I saw food was dumped near the walls and were smelling bad. Same day when I returned in the evening rotten food was there. Didn't see any changes. Definitely this was because of employmee carelessness !!"
3,Guy–Concordia,ChdDSUhNMG9nS0VJQ0FnSUQ4NVluMHlRRRAB,Daniel,https://www.google.com/maps/contrib/112012156309516580411/reviews?hl=en-CA,11 months ago,2021-06-30 00:41:10.202345,3.0,12,I use this road all the time but a lot of Drug and dealer. So not the safest or the cleanest
4,Guy–Concordia,ChZDSUhNMG9nS0VJQ0FnSUQwd2VDR0RREAE,G Aquino,https://www.google.com/maps/contrib/113815392849087130851/reviews?hl=en-CA,a year ago,2021-06-30 00:41:10.203291,4.0,2,"Typical metro station. Reliable service, nice design and art, and conveniently serves the Concordia campus. The exits are a bit confusing."
5,Guy–Concordia,ChdDSUhNMG9nS0VJQ0FnSURBek1hVGlBRRAB,Giniro Kitsune,https://www.google.com/maps/contrib/105895992247904158264/reviews?hl=en-CA,3 years ago,2021-06-30 00:41:10.204640,5.0,154,So far the metro has been great! It's been clean and pretty easy to understand.  The shops inside had some fun Asian bread to try.
6,Guy–Concordia,ChdDSUhNMG9nS0VJQ0FnSUN3bGItVXRnRRAB,Yu Meng Chao,https://www.google.com/maps/contrib/103809159461050760632/reviews?hl=en-CA,3 years ago,2021-06-30 00:41:10.205598,3.0,589,"This station is simply confusing as hell. There are two entrances to the metro that are further apart than the train’s length. On top of that, there is simply no accurate signage. Lastly, for some reason unknown to me, that station is way warmer than other during the spring and fall period. The good thing is the fact that there is always someone playing an instrument there with decent music."
7,Guy–Concordia,ChdDSUhNMG9nS0VJQ0FnSUNnNTYtYTBBRRAB,TRAINS4EVER,https://www.google.com/maps/contrib/109078602743866009815/reviews?hl=en-CA,4 years ago,2021-06-30 00:41:10.206545,1.0,42,"This is a very lackluster station. Formerly, it was done in the ugly orange-brown glazed tile pattern (supplemented by other tertiary colours) that still covers most of the walls in the access areas. The majority of the platform walls have been done over in a more modern style, with multicoloured glazed tile mosaics over the seats, and white stone floors and walls. Although one cannot deny that the look has been much improved, white walls and floor are about as practical in a metro station as carpet in a hospital, and they have quickly become filthy."
8,Guy–Concordia,ChZDSUhNMG9nS0VJQ0FnSUR5NVBLa1V3EAE,Ali,https://www.google.com/maps/contrib/101981687135233629993/reviews?hl=en-CA,4 months ago,2021-06-30 00:41:10.207481,4.0,61,Nice
9,Guy–Concordia,ChdDSUhNMG9nS0VJQ0FnSURBNHFYZzNBRRAB,Simon Potvin,https://www.google.com/maps/contrib/112921555425890649533/reviews?hl=en-CA,5 years ago,2021-06-30 00:41:10.208586,2.0,167,"It's got to be one of the worst metro stations in all of Montreal. Even though it was just recently renovated, it always looks like it's falling apart and there are a lot of unsavory folk hanging about. It's also always stuffy and hot too.

There's a Tim Horton's and a pizza place which are pretty good and the fact that there's underground access to Concordia is very convenient for students. Wish it was a nicer station though."
