,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Henri-Bourassa,ChdDSUhNMG9nS0VJQ0FnSUR5cXFhVTNnRRAB,Matthew Fred,https://www.google.com/maps/contrib/100875045060363170793/reviews?hl=en-US,3 months ago,2021-06-30 11:02:37.315316,5.0,3,"Like most of STM Metro Station, Henri Bourrassa stands out!"
1,Henri-Bourassa,ChdDSUhNMG9nS0VJQ0FnSURpaGYyN2xBRRAB,Tom K,https://www.google.com/maps/contrib/100896544958498820289/reviews?hl=en-US,6 months ago,2021-06-30 11:02:37.316116,2.0,2,Always under ongoing construction. Access is terrible
2,Henri-Bourassa,ChZDSUhNMG9nS0VJQ0FnSUNvcmVUZ0ZnEAE,Mmo Wiko,https://www.google.com/maps/contrib/105751284415625556970/reviews?hl=en-US,2 years ago,2021-06-30 11:02:37.316908,1.0,20,"2h28 am, a bus #380 announced but never shows up. Every friday night its the same. OK Google, please cancel this bus info and nobody should trust Montreal public bus system!"
3,Henri-Bourassa,ChdDSUhNMG9nS0VJQ0FnSUNzOE9fd3JBRRAB,PERSIAN PERSIAN,https://www.google.com/maps/contrib/116835031997581083378/reviews?hl=en-US,a year ago,2021-06-30 11:02:37.317698,1.0,270,"it's a montreal metro station , what do you expect !!!!!!!!!!!!!!! 1 star is more then they deserve !"
4,Henri-Bourassa,ChdDSUhNMG9nS0VJQ0FnSURBelluYnNnRRAB,Jamie B,https://www.google.com/maps/contrib/109282252750863534298/reviews?hl=en-US,8 years ago,2021-06-30 11:02:37.318484,4.0,7,This is a nice big station that has been recently renovated.
5,Henri-Bourassa,ChdDSUhNMG9nS0VJQ0FnSUMwa3FycHZBRRAB,Horia Vlad Guzu,https://www.google.com/maps/contrib/115645536111616822100/reviews?hl=en-US,a year ago,2021-06-30 11:02:37.319267,1.0,292,False directions.
6,Henri-Bourassa,ChZDSUhNMG9nS0VJQ0FnSURBNkltSFNnEAE,Francis-Olivier Gravel,https://www.google.com/maps/contrib/101613464664748863223/reviews?hl=en-US,4 years ago,2021-06-30 11:02:37.320053,3.0,334,Not what it used to be after the opening of the stations in Laval but well deserved by various buses.
7,Henri-Bourassa,ChdDSUhNMG9nS0VJQ0FnSURneFp1anRBRRAB,Eli Pascual,https://www.google.com/maps/contrib/102884643855207263053/reviews?hl=en-US,4 years ago,2021-06-30 11:02:37.321240,5.0,6,Easy access
8,Henri-Bourassa,ChZDSUhNMG9nS0VJQ0FnSURRc00taWNnEAE,Jean-Martin Casseus,https://www.google.com/maps/contrib/104653856111216846512/reviews?hl=en-US,4 years ago,2021-06-30 11:02:37.322054,1.0,14,"The whole mtl transit system is crumbling, one of the worst i ever had to deal with!"
9,Henri-Bourassa,ChZDSUhNMG9nS0VJQ0FnSURna1pLdmNBEAE,Albert Bourassa,https://www.google.com/maps/contrib/115244317922263244861/reviews?hl=en-US,5 years ago,2021-06-30 11:02:37.322844,3.0,158,Not the cleanest station
10,Henri-Bourassa,ChdDSUhNMG9nS0VJQ0FnSUNLcE9xUjZnRRAB,Sylvie travesti's,https://www.google.com/maps/contrib/104689466231941019681/reviews?hl=en-US,3 months ago,2021-06-30 11:02:37.323637,5.0,6,"(Translated by Google) Its fast

(Original)
Ses rapide"
11,Henri-Bourassa,ChZDSUhNMG9nS0VJQ0FnSUNLaV9ySFFnEAE,Steve Baillargeon,https://www.google.com/maps/contrib/118387448161583513310/reviews?hl=en-US,2 months ago,2021-06-30 11:02:37.324433,5.0,191,"(Translated by Google) With Langelier, it is the second closest station to my home and there are several bus options.

(Original)
Avec Langelier, c'est la 2e station la plus proche de chez moi et il y a plusieurs options de bus."
12,Henri-Bourassa,ChdDSUhNMG9nS0VJQ0FnSUR5N29XRHdnRRAB,paul-antoine beauchamp,https://www.google.com/maps/contrib/116293194078806087452/reviews?hl=en-US,3 months ago,2021-06-30 11:02:37.325225,1.0,4,"(Translated by Google) They are not at the scheduled time early in the morning I waited 40 minutes when again he said to be scheduled at a certain time and postponed and postponed and postponed

(Original)
Il ne sont pas à l'heure prévue tôt le matin j'ai attendu 40 minutes quand a plus reprise il disait être prévu à une certaine heure et reportait et reportait et reportait"
13,Henri-Bourassa,ChdDSUhNMG9nS0VJQ0FnSUR5MFlLeXpBRRAB,friky snoze,https://www.google.com/maps/contrib/112265113669991167863/reviews?hl=en-US,3 months ago,2021-06-30 11:02:37.326123,1.0,15,"(Translated by Google) Always out of service. I always miss my appointments when there is no time

(Original)
Toujours en arret de service. Je rate toujours mes rendez vous quand cets pas le temps"
14,Henri-Bourassa,ChZDSUhNMG9nS0VJQ0FnSUNRMGZyZlp3EAE,farid khaled,https://www.google.com/maps/contrib/105418917140191715798/reviews?hl=en-US,3 years ago,2021-06-30 11:02:37.326927,5.0,125,"(Translated by Google) Main station ... you can take all directions ... information on site. Good service.

(Original)
Station principale ... vous pouvez prendre toutes les directions... informations sur place. Bon service."
15,Henri-Bourassa,ChdDSUhNMG9nS0VJQ0FnSUN5ODZTZXBBRRAB,MOULAY HICHAM Tedghi,https://www.google.com/maps/contrib/103130010943521360104/reviews?hl=en-US,4 months ago,2021-06-30 11:02:37.328009,4.0,85,"(Translated by Google) Good

(Original)
Bien"
16,Henri-Bourassa,ChZDSUhNMG9nS0VJQ0FnSURDbDRtc0RBEAE,Jeffrey QC,https://www.google.com/maps/contrib/113908703715088562247/reviews?hl=en-US,8 months ago,2021-06-30 11:02:37.328807,1.0,107,"(Translated by Google) Still under repair and permanent traffic jam .... 🤮

(Original)
Toujours en réparation et embouteillage permanent.... 🤮"
17,Henri-Bourassa,ChdDSUhNMG9nS0VJQ0FnSUNNbmZlUXFnRRAB,carolina bonilla,https://www.google.com/maps/contrib/114791187236899907000/reviews?hl=en-US,a year ago,2021-06-30 11:02:37.329595,5.0,123,"(Translated by Google) Workday

(Original)
Día de trabajo"
18,Henri-Bourassa,ChdDSUhNMG9nS0VJQ0FnSURJME1YTjRnRRAB,Guy Constantineau,https://www.google.com/maps/contrib/107574681582006214838/reviews?hl=en-US,2 years ago,2021-06-30 11:02:37.330386,3.0,624,"(Translated by Google) Metro station in the north of the city of Montreal.

Before the line was extended to CEGEP Montmorency, this station was the last and was very busy. Travelers from Laval had to go to the bus terminus on the other side of Boulevard Henri-Bourassa.

Now, it is only the residents of Montreal who disembark and the STM buses are at the exit. So less busy than before.

(Original)
Station de métro du nord de la ville de Montréal.

Avant l'extension de la ligne jusqu'au CEGEP Montmorency, cette station était la dernière et était très occupée.  Les voyageurs de Laval devaient se rendre au terminus d'autobus de l'autre côté du boulevard Henri-Bourassa.

Maintenant, ce n'est que les résidents de Montréal qui débarquent et les autobus de la STM sont à la sortie.  Donc moins occupée qu'avant."
19,Henri-Bourassa,ChZDSUhNMG9nS0VJQ0FnSUNVbnJXZ1NnEAE,Samuel Charron,https://www.google.com/maps/contrib/102019765206492184869/reviews?hl=en-US,a year ago,2021-06-30 11:02:37.331172,1.0,118,"(Translated by Google) the smell of the pee, the beggars who always have the precise places all the day and the badly organized outings ...

(Original)
l'odeur du pipi, les mendiants qui ont toujours la a des endroits bien precis toute la journee et les sorties mal organise ..."
