,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Honoré-Beaugrand,ChZDSUhNMG9nS0VJQ0FnSUNRcmF5dFRBEAE,Tracey Lafontaine,https://www.google.com/maps/contrib/102107328231832531789/reviews?hl=en-US,2 years ago,2021-06-30 10:25:09.222812,4.0,202,"Underground coffee shops, convenience store. Customers service stand, north and south bus terminals with digital updates of the bus arrivals & departures. Coming soon wheelchair accessible with elevators from street level down to the trains. Best cinnamon buns, made fresh every day. Also many other tasty take away menu items. Agga coffee served here."
1,Honoré-Beaugrand,ChZDSUhNMG9nS0VJQ0FnSUN5a3NPSGN3EAE,Eric ABBADIE,https://www.google.com/maps/contrib/118217868742588376051/reviews?hl=en-US,5 months ago,2021-06-30 10:25:09.223983,5.0,114,Clear map of where to get buses as there are a couple of them
2,Honoré-Beaugrand,ChdDSUhNMG9nS0VJQ0FnSURrLU1EUHRnRRAB,Peyman Sayyadi,https://www.google.com/maps/contrib/115140082468028385819/reviews?hl=en-US,2 years ago,2021-06-30 10:25:09.225671,1.0,71,They rejected to allow my bike with flat tires in Sunday afternoon. I had to lock the bike outside and come back to pick it up the next day. They could be a little bit understanding and flexible to encourage using public transport for the citizens.
3,Honoré-Beaugrand,ChdDSUhNMG9nS0VJQ0FnSURncDlhRXhRRRAB,Willy Dee,https://www.google.com/maps/contrib/107126858658524837966/reviews?hl=en-US,2 years ago,2021-06-30 10:25:09.228219,2.0,123,Still under construction for the past 10 years lol waiting on renovation to see if it gets better. Got pushed by a homeless man. Almost started a random fight
4,Honoré-Beaugrand,ChZDSUhNMG9nS0VJQ0FnSURnN2ZEN0RnEAE,Smartest Temmie,https://www.google.com/maps/contrib/111568119749300793765/reviews?hl=en-US,3 years ago,2021-06-30 10:25:09.229225,1.0,41,"Reaching the 18 bus right as it leaves, at midnight, it's REAL fun to have it completely refuse to wait even one more second."
5,Honoré-Beaugrand,ChZDSUhNMG9nS0VJQ0FnSUN3dnFETUZnEAE,Joey St-Pierre,https://www.google.com/maps/contrib/112610858293277273247/reviews?hl=en-US,4 years ago,2021-06-30 10:25:09.230179,4.0,12,"Standard metro station, dollar store nearby so when you missed your bus in the summer you can go get water and stuff. Construction can be a bit annoying as it changes the layout and bus drop off, 141 is the bus to go to gallery d'Anjou. Shows up most often"
6,Honoré-Beaugrand,ChdDSUhNMG9nS0VJQ0FnSUNnNTZfcXZ3RRAB,TRAINS4EVER,https://www.google.com/maps/contrib/109078602743866009815/reviews?hl=en-US,4 years ago,2021-06-30 10:25:09.231155,3.0,42,"As this station serves as the green line's eastern terminus and an important bus depot, it combines elegant modern design with efficiency. A row of entrances along rue Honoré-Beaugrand converge into a large concourse. From there, huge monumental staircases backed with murals by Jean-Paul Mousseau lead to the platforms just beneath the mezzanine level. The platforms themselves expand outwards towards the staircases, as the ceilings rise and fall to break the monotony of the long floors. The platform walls are covered in a frieze of cement, whose slashlike forms express the dynamism of the transit system. Lights hidden behind the nameplates throw dramatic shadows onto the walls."
7,Honoré-Beaugrand,ChdDSUhNMG9nS0VJQ0FnSUNBdDgySnp3RRAB,Dara - Roblox & More,https://www.google.com/maps/contrib/103755378910575171756/reviews?hl=en-US,4 years ago,2021-06-30 10:25:09.232360,5.0,3,best metro station in lasalle
8,Honoré-Beaugrand,ChdDSUhNMG9nS0VJQ0FnSUNRdjlmUTh3RRAB,Yung Thach,https://www.google.com/maps/contrib/103280919852108915193/reviews?hl=en-US,3 years ago,2021-06-30 10:25:09.233647,4.0,116,Coffee tastes bland
9,Honoré-Beaugrand,ChdDSUhNMG9nS0VJQ0FnSUNRb3ZpcXFRRRAB,Geta Hailu (ጌታ),https://www.google.com/maps/contrib/116279259881037006543/reviews?hl=en-US,3 years ago,2021-06-30 10:25:09.240284,5.0,167,Metro green line Honoré-Beaugrand
