,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Joliette,ChZDSUhNMG9nS0VJQ0FnSUN3d3R2WE9BEAE,Québec,https://www.google.com/maps/contrib/111262690830907974195/reviews?hl=en-CA,4 years ago,2021-06-30 00:53:26.492382,5.0,35,"I mean, it's a metro station but if you go down the back south side, tons of cool graffitis and it's literally twenty second from a park.

Some people need to know this for easy access to greenery."
1,Joliette,ChZDSUhNMG9nS0VJQ0FnSURZcm96dVdREAE,Graham Short,https://www.google.com/maps/contrib/107083037723450767082/reviews?hl=en-CA,2 years ago,2021-06-30 00:53:26.494317,4.0,531,We did the full tour good walks around the river
2,Joliette,ChZDSUhNMG9nS0VJQ0FnSUNnNTRfdmR3EAE,TRAINS4EVER,https://www.google.com/maps/contrib/109078602743866009815/reviews?hl=en-CA,4 years ago,2021-06-30 00:53:26.495301,1.0,42,"This is easily one of the metro network's worst-looking stations.
From the unbearably boring expanses of flat yellow bricks, through the strange brown dots and orange tiles in the stairwells and the dumpy twin entrance buildings, to the monumentally tacky stainless-steel-and-coloured-glass-blob mural in the mezzanine (Thème des mouvements du soleil, by the architect), one has to wonder how this station got off the drawing board."
3,Joliette,ChZDSUhNMG9nS0VJQ0FnSUN3a1p6U2RREAE,Chloe Takei,https://www.google.com/maps/contrib/111172237114222643168/reviews?hl=en-CA,3 years ago,2021-06-30 00:53:26.501203,4.0,13,"One time I woke up from a hard drunk in this metro station. I was having trouble walking and my pants were missing. The kind man working in the little booth told me he was just opening and he was surprised to see me there. He was also surprised that I had no pants. He was very helpful. He gave me a plastic bag to wear like a skirt and let me ride the metro home. Of course, my keys were in my pants' pocket so I had to break into my house through the screen. That was okay though because the screen was already full of holes because I used it as a filter in my hash pipe. Good times."
4,Joliette,ChZDSUhNMG9nS0VJQ0FnSUNnbGRpR1FBEAE,Patrick Wu (Wunderful),https://www.google.com/maps/contrib/112794414588315527195/reviews?hl=en-CA,4 years ago,2021-06-30 00:53:26.503009,3.0,458,A lot of homeless people outside this station for some reason and this station is not very nice in appearance
5,Joliette,ChZDSUhNMG9nS0VJQ0FnSURRN2NPWUdnEAE,Matt Davis,https://www.google.com/maps/contrib/114238999057158422045/reviews?hl=en-CA,5 years ago,2021-06-30 00:53:26.504397,5.0,218,It's a metro station
6,Joliette,ChdDSUhNMG9nS0VJQ0FnSUNpelpTWmlnRRAB,Evla,https://www.google.com/maps/contrib/114377511213229833453/reviews?hl=en-CA,7 months ago,2021-06-30 00:53:26.505582,4.0,52,"(Translated by Google) This station located in the heart of the Hochelaga-Maisonneuve district gives quite easily on foot to the most commercial street called Ontario East and all its services. A beautiful corner that has changed a lot to rediscover.

(Original)
Cette station située au cœur du quartier Hochelaga-Maisonneuve donne assez facilement à pied à la rue la plus commerciale appelé Ontario Est et tous ses services. Un beau coin qui a beaucoup changé à redécouvrir."
7,Joliette,ChdDSUhNMG9nS0VJQ0FnSUNBdnF1NmdBRRAB,Paul Thibeault,https://www.google.com/maps/contrib/110468393427391993158/reviews?hl=en-CA,2 years ago,2021-06-30 00:53:26.508945,5.0,125,"(Translated by Google) Good metro near a lot of places. Connect to all other subway lines like all other subways. We can therefore have access to the whole city. And get from my place to your house. They say bicycles are allowed but every time I take my bike it's a special no-bike day. Uncool.

(Original)
Bon metro près de beaucoup de places. Connect a tout les autres lignes de métros comme tout les autres metros. On peux donc avoir acces a tout la ville. Et se rendre de chez moi jusqua chez toi. On dit que lea velo sont permis mais a chaque fois que j’enmene mon velo cest une journée special pas de velo. Pas cool."
8,Joliette,ChdDSUhNMG9nS0VJQ0FnSURVeDducjNBRRAB,Oussama Brik,https://www.google.com/maps/contrib/107291832853711179003/reviews?hl=en-CA,a year ago,2021-06-30 00:53:26.510656,3.0,125,"(Translated by Google) No accessibility lifts, escalator only at the entrance of the station not to access the platforms. Otherwise beautiful mural sculpture.

(Original)
Pas d'accessibilité ascenseurs,  escalier mécanique uniquement à l'entrée de la station  pas  pour accéder aux quais. Sinon belle sculpture murale."
9,Joliette,ChZDSUhNMG9nS0VJQ0FnSUNnczRiMVhREAE,Vanessa Harnois Savage,https://www.google.com/maps/contrib/117399286468480089444/reviews?hl=en-CA,4 years ago,2021-06-30 00:53:26.511830,2.0,22,"(Translated by Google) Probably the worst station design in the whole network. There is nothing catchy and says ""This is my city"". Newspaper boxes and trash cans (there is only one recycling bin ??) are badly placed for those who enter through the side door (North entrance). There are no accommodations for disabled people.
At least it is clean inside but around the entrance there is often waste and it could urine. The exit from behind (South entrance) is however very useful for heading towards Promenades Ontario.

(Original)
Probablement le moins bon design de station dans tout le réseau. Il n'y a rien qui accroche et qui dit ""Ça, c'est ma ville"". Les boîtes à journaux et poubelles (il n'y a qu'un bac à recyclage??) sont mal placées pour ceux qui entrent par la porte de côté (entrée Nord). Il n'y a pas d'accommodements pour personnes handicapées.
Au moins c'est propre à l'intérieur mais autour de l'entrée il y a souvent des déchets et ça pu l'urine. La sortie de derrière  (entrée Sud) est par contre très utile pour se diriger vers les Promenades Ontario."
10,Joliette,ChZDSUhNMG9nS0VJQ0FnSURRbTl6ZEJ3EAE,Félix Hurteau,https://www.google.com/maps/contrib/110321321371865428109/reviews?hl=en-CA,2 years ago,2021-06-30 00:53:26.513159,5.0,43,"(Translated by Google) I love the retro look of yellow bricks, especially in winter. Undervalued station.

(Original)
J'aime le look rétro des briques jaunes, surtout en hiver. Station sous-évalué."
11,Joliette,ChZDSUhNMG9nS0VJQ0FnSUNRdkpLVEZREAE,Nicolas Hervieux,https://www.google.com/maps/contrib/117204421471863614634/reviews?hl=en-CA,3 years ago,2021-06-30 00:53:26.514495,2.0,100,"(Translated by Google) Nice little station but compare to the other of the system it is less pretty

(Original)
Belle petite station mais comparer au autre du système elle est moin jolie"
12,Joliette,ChZDSUhNMG9nS0VJQ0FnSURRcTV5d2V3EAE,Julien Leroux,https://www.google.com/maps/contrib/100135625499501017538/reviews?hl=en-CA,2 years ago,2021-06-30 00:53:26.518516,5.0,115,"(Translated by Google) The station in my neighborhood. Always good service :)

(Original)
La station de mon quartier. Toujours  un bon service :)"
13,Joliette,ChdDSUhNMG9nS0VJQ0FnSURRaWJTRF93RRAB,Thomas Drouin,https://www.google.com/maps/contrib/109730324382142597159/reviews?hl=en-CA,3 years ago,2021-06-30 00:53:26.519825,1.0,4,"(Translated by Google) Very filthy

(Original)
Très crasseux"
14,Joliette,ChdDSUhNMG9nS0VJQ0FnSUN3bU96WWxBRRAB,Thierry Ferguson,https://www.google.com/maps/contrib/100189502554350242051/reviews?hl=en-CA,3 years ago,2021-06-30 00:53:26.521059,5.0,10,"(Translated by Google) thank you life

(Original)
merci la vie"
15,Joliette,ChdDSUhNMG9nS0VJQ0FnSURBNXVxSnJ3RRAB,Simon Moreau,https://www.google.com/maps/contrib/106856569508895476447/reviews?hl=en-CA,4 years ago,2021-06-30 00:53:26.522219,5.0,276,"(Translated by Google) Station of my childhood

(Original)
Station de mon enfance"
16,Joliette,ChZDSUhNMG9nS0VJQ0FnSUNBd0wyVE1BEAE,Mathieu Simard,https://www.google.com/maps/contrib/102100539304097203864/reviews?hl=en-CA,4 years ago,2021-06-30 00:53:26.526966,3.0,8,"(Translated by Google) The turnstiles are inappropriate, the color me stress, it stinks on Sunday.

(Original)
Les tourniquets sont inappropriés, la couleur me stress, ca pue le dimanche."
17,Joliette,ChdDSUhNMG9nS0VJQ0FnSURBeXFYdjlBRRAB,Benoit Schepperd,https://www.google.com/maps/contrib/109842731732088638940/reviews?hl=en-CA,3 years ago,2021-06-30 00:53:26.528262,3.0,30,
18,Joliette,ChdDSUhNMG9nS0VJQ0FnSUR3el9HMzZ3RRAB,Frédéric Desroches,https://www.google.com/maps/contrib/104530530006461703503/reviews?hl=en-CA,2 years ago,2021-06-30 00:53:26.529270,3.0,124,
19,Joliette,ChdDSUhNMG9nS0VJQ0FnSUMwbmYzeDZBRRAB,Mario Hains,https://www.google.com/maps/contrib/114523284288403261844/reviews?hl=en-CA,a year ago,2021-06-30 00:53:26.530454,5.0,75,
