,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,LaSalle,ChdDSUhNMG9nS0VJQ0FnSURLanFHZDhnRRAB,girish kumar,https://www.google.com/maps/contrib/106801227974371169874/reviews?hl=en-CA,a month ago,2021-06-30 00:33:27.301138,5.0,20,Beautiful area and decent number of parks...
1,LaSalle,ChZDSUhNMG9nS0VJQ0FnSUNVMjV6Sk9nEAE,Simon Drury,https://www.google.com/maps/contrib/104643714618100599673/reviews?hl=en-CA,a year ago,2021-06-30 00:33:27.302291,4.0,2,"Clean and connects with many buses. In fact it is
the terminus for various bus routes."
2,LaSalle,ChZDSUhNMG9nS0VJQ0FnSURpZ3RUb0x3EAE,Cisco Network Designer/Engineer,https://www.google.com/maps/contrib/115524603591334151330/reviews?hl=en-CA,7 months ago,2021-06-30 00:33:27.303364,1.0,18,No person in charge to buy a ticket at 8:30 in the morning
3,LaSalle,ChZDSUhNMG9nS0VJQ0FnSUNndTliMU9REAE,Barbara Latour,https://www.google.com/maps/contrib/103847263801118317619/reviews?hl=en-CA,2 years ago,2021-06-30 00:33:27.306303,1.0,93,What's awesome about this subway station is that you can experience being outside and inside simultaneously. Meaning that an umbrella is HIGHLY recommended if you you're planning going there while it's raining!
4,LaSalle,ChZDSUhNMG9nS0VJQ0FnSUNnNTQtX01nEAE,TRAINS4EVER,https://www.google.com/maps/contrib/109078602743866009815/reviews?hl=en-CA,4 years ago,2021-06-30 00:33:27.307241,5.0,42,THIS STATION IS ONE OF THE NICEST STATION ADD ITS BEAUTIFUL REFLECTION OF SUNLIGHT BOUNCING OFF THE METAL REFLECTION AND ITS BEAUTIFUL CHOICE OF COLOURS SURROUNDING THE STATION.
5,LaSalle,ChdDSUhNMG9nS0VJQ0FnSUN3dDdMVHFRRRAB,Alpha Star67,https://www.google.com/maps/contrib/117091734967153412090/reviews?hl=en-CA,3 years ago,2021-06-30 00:33:27.308336,4.0,218,"An out of the way metro station in Verdun, you have to really look for it as it is set back from the street in a residential area. Also, blocked with quite a few trees. Keep hunting, you will find it eventually!"
6,LaSalle,ChZDSUhNMG9nS0VJQ0FnSUNRemI2RVR3EAE,ComradeMark,https://www.google.com/maps/contrib/109614627219003878275/reviews?hl=en-CA,3 years ago,2021-06-30 00:33:27.310425,5.0,8,"Lovely station. Quiet, relaxing"
7,LaSalle,ChZDSUhNMG9nS0VJQ0FnSURncHBXNFpBEAE,Vincent Bérubé,https://www.google.com/maps/contrib/110383191389277569263/reviews?hl=en-CA,3 years ago,2021-06-30 00:33:27.313900,5.0,176,Always clean and quiet !
8,LaSalle,ChZDSUhNMG9nS0VJQ0FnSUN3eDZtQUZBEAE,Mohamed ElKhouly,https://www.google.com/maps/contrib/109065914757941440712/reviews?hl=en-CA,4 years ago,2021-06-30 00:33:27.319087,3.0,229,Clean
9,LaSalle,ChdDSUhNMG9nS0VJQ0FnSURRZ1pYTTlnRRAB,Louis Cloutier,https://www.google.com/maps/contrib/105278526292047593380/reviews?hl=en-CA,4 years ago,2021-06-30 00:33:27.320789,5.0,43,True
10,LaSalle,ChdDSUhNMG9nS0VJQ0FnSURNMlBtdmlRRRAB,Aanuj S.,https://www.google.com/maps/contrib/102910590596373338384/reviews?hl=en-CA,a year ago,2021-06-30 00:33:27.321735,1.0,58,"(Translated by Google) Sorry for disturbing the lady in the ""Information"" desk reading her book. I should not have asked him how to get to the airport

(Original)
Désolé d'avoir dérangé la dame dans le bureau ""Information"" qui lisait son livre. Je n'aurais pas du lui demander comment aller à l'aéroport"
11,LaSalle,ChdDSUhNMG9nS0VJQ0FnSURVc2UtaHdBRRAB,Yoann Lussier,https://www.google.com/maps/contrib/108366424979984064344/reviews?hl=en-CA,a year ago,2021-06-30 00:33:27.322647,4.0,3,"(Translated by Google) What marks when you step inside is the sunlight that filters through the large windows. Given its location, it is quiet and little achalendé. The outdoor attractions are the proximity of a beautiful park and the short walk to Canadian Tire.

(Original)
Ce qui marque lorsqu'on met le pied à l'intérieur est la lumière du soleil qui filtre par les grandes baies vitrées. Vu son emplacement, elle est tranquille et peu achalendé. Les attraits extérieurssont la proximité d'un beau parc et la courte marche à faire pour se rendre au Canadian Tire."
12,LaSalle,ChdDSUhNMG9nS0VJQ0FnSUNjMFl6YXFBRRAB,Alexandre Joubert,https://www.google.com/maps/contrib/101315646472999117465/reviews?hl=en-CA,a year ago,2021-06-30 00:33:27.323740,5.0,58,"(Translated by Google) Most beautiful station on the network

(Original)
Plus belle station du réseau"
13,LaSalle,ChZDSUhNMG9nS0VJQ0FnSURZaEplWEpBEAE,Fouad Hajal,https://www.google.com/maps/contrib/101635078924718627073/reviews?hl=en-CA,2 years ago,2021-06-30 00:33:27.324775,4.0,33,"(Translated by Google) I was there several times to take the metro from my friends, lots of places to park around but not too clean as a resort

(Original)
J'y était à plusieurs reprises pour prendre le metro de chez mes amis, plein de places pour stationner autour mais pas trop propre comme station"
