,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Lucien-L'Allier,ChZDSUhNMG9nS0VJQ0FnSURLNTREaFFBEAE,Ricardo Seales,https://www.google.com/maps/contrib/114221052313869058449/reviews?hl=en-US,a month ago,2021-06-30 10:43:03.819490,5.0,22,Yes lots of homeless people in this area .We need to find them homes.
1,Lucien-L'Allier,ChZDSUhNMG9nS0VJQ0FnSURNcG9PeldREAE,Nathan Price,https://www.google.com/maps/contrib/116773780443343463109/reviews?hl=en-US,a year ago,2021-06-30 10:43:03.823031,3.0,1,"I liked a little my great experience here because this subway station connects to downtown area and the Bell Centre via long stairs, this subway station has also connections to the train station and my dislikes, this subway station is difficult to find in evenings because the doors are locked."
2,Lucien-L'Allier,ChdDSUhNMG9nS0VJQ0FnSUNxaU5PZHR3RRAB,s elza,https://www.google.com/maps/contrib/111277270769608919347/reviews?hl=en-US,a month ago,2021-06-30 10:43:03.824035,4.0,458,Not very walking worthy but close to city centre
3,Lucien-L'Allier,ChZDSUhNMG9nS0VJQ0FnSURNeDlIYmZREAE,Slyvia Novac,https://www.google.com/maps/contrib/115993648861489583153/reviews?hl=en-US,a year ago,2021-06-30 10:43:03.825000,5.0,221,"This station is a multi modal platform where the METRO,  ALL LONG DISTANCE TRAINS, REGIONAL RAILWAY PASSENGER WAGONS and the BUSES network too are interlinked. All those transportation lines are intersecting in this large station of LUCIEN L'ALLIER.
Montrealers are so lucky to have this HUB allowing them to be able to travel and explore Canada from coast to coast. Also, it is possible to travel to USA and much further south.
Thinking of that, it is an opportunity for tourists to be able to come visit our charming city of Montréal too. With so many places to see and discover do not hesitate to come over. Montreal is a very vivid city in north America and the first major destination for couples and lovers who want to enjoy life Tranquilo."
4,Lucien-L'Allier,ChdDSUhNMG9nS0VJQ0FnSUN5NE9TT3lBRRAB,TOMASZ WIELINSKI,https://www.google.com/maps/contrib/104264658837618384468/reviews?hl=en-US,5 months ago,2021-06-30 10:43:03.826044,5.0,9,Ok.
5,Lucien-L'Allier,ChZDSUhNMG9nS0VJQ0FnSURBal9IVFRREAE,Daniel Proulx,https://www.google.com/maps/contrib/104146549286709173875/reviews?hl=en-US,3 years ago,2021-06-30 10:43:03.827063,5.0,29,One of the deepest metro stations in Montreal with three long escalators to get to the top or bottom. One of the two metro stops you can use to get to the Bell Center for any events there. There are multiple street level entrances to the station.
6,Lucien-L'Allier,ChZDSUhNMG9nS0VJQ0FnSURBb08zaWNBEAE,Octo Owen,https://www.google.com/maps/contrib/108052005237964235327/reviews?hl=en-US,2 years ago,2021-06-30 10:43:03.828086,3.0,18,"Working downtown station.

Connected to train terminal as well as the Bell Center.

However the passage way always has a pee smell.
Homeless people reside nearby.

Not handicap friendly, no elevators.

Long distance from entrance to metro line.

Escalators and stairs.

On a slight hill downward the downtown centres.

It's counterpart is Bonaventure station, both used to access the Bell Center on events."
7,Lucien-L'Allier,ChZDSUhNMG9nS0VJQ0FnSURJbC1PR093EAE,Doug Campbell,https://www.google.com/maps/contrib/118373366872064888003/reviews?hl=en-US,2 years ago,2021-06-30 10:43:03.830081,5.0,130,Very nice train station. It is spacious and has good food options.
8,Lucien-L'Allier,ChZDSUhNMG9nS0VJQ0FnSURNdUpULUx3EAE,Justin Harris,https://www.google.com/maps/contrib/107234378222758835830/reviews?hl=en-US,a year ago,2021-06-30 10:43:03.831318,2.0,267,"People smoking indoors.
Smells bad. Escalators often broken."
9,Lucien-L'Allier,ChdDSUhNMG9nS0VJQ0FnSUN3MG9XT29RRRAB,S.E. McKenzie,https://www.google.com/maps/contrib/109537359070841600424/reviews?hl=en-US,3 years ago,2021-06-30 10:43:03.832382,3.0,166,Not always clean but the architecture is very nice. Lots of covered walkways and many exits. Connects to Bell Centre.
