,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,McGill,ChdDSUhNMG9nS0VJQ0FnSUNxcUkzdS1BRRAB,Alex,https://www.google.com/maps/contrib/113536489761041544611/reviews?hl=en-CA,a month ago,2021-06-30 00:43:43.052837,4.0,1,"This metro station (green line) brings you straight to the heart of Montréal. McGill metro offers numerous exits, three of which bring you to major shopping centres. If you are a McGill student, you are also not too far from the Arts Building (a 2-3 minute walk). My only warning would be that if you have classes in the Education or Stewart Biology buildings, it would be easier to get off at the Peel metro station."
1,McGill,ChdDSUhNMG9nS0VJQ0FnSUNpMFBEc3JRRRAB,Nicolas,https://www.google.com/maps/contrib/101345451157814274362/reviews?hl=en-CA,8 months ago,2021-06-30 00:43:43.057446,3.0,25,Cool !!!
2,McGill,ChdDSUhNMG9nS0VJQ0FnSUQwbnRURXFRRRAB,G Aquino,https://www.google.com/maps/contrib/113815392849087130851/reviews?hl=en-CA,a year ago,2021-06-30 00:43:43.058968,4.0,2,"Conveniently serves McGill and the surrounding college neighborhood. And like other metro stations, you can't help but notice the fantastic station design and art. But why or why are there no restrooms here? Sure, you can go to a restaurant nearby, but restrooms are ubiquitous in many modern metro systems around the world, and not having them anywhere in the Montreal metro is a real shame."
3,McGill,ChZDSUhNMG9nS0VJQ0FnSUM0dFk3VFRBEAE,Steve P. Mackin,https://www.google.com/maps/contrib/105107291375858026166/reviews?hl=en-CA,2 years ago,2021-06-30 00:43:43.060042,4.0,492,Solid location in downtown Montreal. Not sure why so many reviews suggest it's confusing to get around. There are plenty of easy signs with directions. Connected to the Bay store on St Catherine Street and you can access pretty much every place you need to go.
4,McGill,ChdDSUhNMG9nS0VJQ0FnSURNNEt6QzRBRRAB,Ramses Premier,https://www.google.com/maps/contrib/115120214006643606210/reviews?hl=en-CA,a year ago,2021-06-30 00:43:43.061118,5.0,86,Metro station witg lots or pokestops and gyms around it. Easy to find a raid group.
5,McGill,ChZDSUhNMG9nS0VJQ0FnSUMwMHZINEl3EAE,Sam Totah (montrealsam),https://www.google.com/maps/contrib/106907973676461781259/reviews?hl=en-CA,a year ago,2021-06-30 00:43:43.062269,4.0,362,"Mcgill is considered one of the top universities in canada! Great studies for international students. Great variety of departments. If i like to be student for life time i will choose mcgill. Great institution. Love the free public lectures. Great campus life specially in summer. Lovely spot heart of downtown montreal! Bilingual to some extent yet english speaking university. The university should initiate more public action on climate change, eliminate homeless, support decent residences for students, be pro-active to eliminate government bureaucracy, project plans for  better utilisation of natural resources! Unknown to many the quebec province holds 8 million people and its geography is larger than france! If the university does not educate its own population who will take the lead! Over all every year new initiatives are expected to solution our social issues! I rest my case but great educational institution!"
6,McGill,ChZDSUhNMG9nS0VJQ0FnSUNnNHFUZE53EAE,Bryan Worker,https://www.google.com/maps/contrib/114879819537070392959/reviews?hl=en-CA,4 years ago,2021-06-30 00:43:43.063861,5.0,1,"Very nice metro station leading to several important venues in Montreal. It is also linked to a vast network of underground stores that caters to plenty of interests.

Just a warning however. There is currently a trend of people asking for a paper 5$ or more in exchange for their 2$ and 1$ coin. They won't let you look closely at the coins because they are actually 1 Pesos coins which are worthless."
7,McGill,ChdDSUhNMG9nS0VJQ0FnSUNBM19DbG5RRRAB,Andrew Kan,https://www.google.com/maps/contrib/104672665945966545399/reviews?hl=en-CA,2 years ago,2021-06-30 00:43:43.064850,4.0,860,Normal metro station inside. It is convenient if you want to go into the Eaton Centre. It was clean.
8,McGill,ChZDSUhNMG9nS0VJQ0FnSUMwcVo2d0xREAE,GA Buildings,https://www.google.com/maps/contrib/112434731589701789970/reviews?hl=en-CA,a year ago,2021-06-30 00:43:43.065886,3.0,52,🤔 I just learned you can use emojis in reviews 💯💯💯💯🙃
9,McGill,ChZDSUhNMG9nS0VJQ0FnSUN3MWZqaUpREAE,Yu Meng Chao,https://www.google.com/maps/contrib/103809159461050760632/reviews?hl=en-CA,3 years ago,2021-06-30 00:43:43.066837,3.0,589,Nice metro station but way too many homeless people sleeping around giving an awful smell of  awful alcohol in winter nights. No clue how to solve the problem but just letting you know. Also there is a scammer around there pretending to be new and lost asking for bus money.
