,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Papineau,ChZDSUhNMG9nS0VJQ0FnSURvc04zNld3EAE,S.E. McKenzie,https://www.google.com/maps/contrib/109537359070841600424/reviews?hl=en-CA,2 years ago,2021-06-30 00:49:24.394354,2.0,166,"The Beaudry Station was closed for renovations and though this station was clean enough there was a man lying on a bench and looked like he had just wet himself. There was a shuttle bus available but the whole area seemed dirty, smelly and derilect especially the Macdonalds. The Old Port and Old Montreal districts are a lot more fun for sightseeing etc and much cleaner. Leaving this area you felt dirty."
1,Papineau,ChZDSUhNMG9nS0VJQ0FnSURJeDhqUUt3EAE,Coco Frechette,https://www.google.com/maps/contrib/107439948542560575128/reviews?hl=en-CA,2 years ago,2021-06-30 00:49:24.401528,1.0,72,"34 bus going east is never on time. Waited 40 minutes when it was minus 20 outside.
They dont care about their customers that live east. Bus is every 30 minutes at rush hour. Then they raise our passes every year. Pathetic. Bunch of capitalists"
2,Papineau,ChdDSUhNMG9nS0VJQ0FnSUNnNE5fSDFnRRAB,Jim Dymond,https://www.google.com/maps/contrib/113522761669161878442/reviews?hl=en-CA,4 years ago,2021-06-30 00:49:24.402806,4.0,708,One of the deeper located Metro stations if the escalator is out bit of a trek otherwise pretty clean and centrally located to East End Of The Village when you come out there's a taxi stand and bus interchange as well as a Metro Food Store and small mom top stores surrounding
3,Papineau,ChZDSUhNMG9nS0VJQ0FnSUR3cktUSk13EAE,Dee Tread,https://www.google.com/maps/contrib/105361511281588183395/reviews?hl=en-CA,2 years ago,2021-06-30 00:49:24.404047,2.0,304,Basic stop. Area is in Ok not the safest area but not the worst area
4,Papineau,ChZDSUhNMG9nS0VJQ0FnSURRaFo2WUtnEAE,Vg G,https://www.google.com/maps/contrib/114092399265107358982/reviews?hl=en-CA,3 years ago,2021-06-30 00:49:24.406191,4.0,755,The metro has a park just outside with benches.
5,Papineau,ChZDSUhNMG9nS0VJQ0FnSUNnNTQtX2JBEAE,TRAINS4EVER,https://www.google.com/maps/contrib/109078602743866009815/reviews?hl=en-CA,4 years ago,2021-06-30 00:49:24.407405,2.0,42,"At platform level, one's first impression of this station is another initial-system station with mediocre styling and decoration. This strangely-coloured, 1960s-vintage tile pattern, mostly split-pea tan mixed with a variety of tertiary colours, continues all the way along the platforms in the mined trainroom and up the considerable length of the escalator to the street-level ticket hall. The station is saved from being boring by two things. The first is the wonderful and symbolic mural commemorating the great uprising of 1837. The central panel of the mural commemorates Louis-Joseph Papineau, leader of the uprising in Lower Canada (now Quebec), and occupies the wall at the end of the bridge leading to the Angrignon platform. The other two murals, on the walls between the tunnel vault and the ceiling on either side of the bridge, make up a timeline of the rebellion's events."
6,Papineau,ChZDSUhNMG9nS0VJQ0FnSUN3elpMeE13EAE,Loim Hen,https://www.google.com/maps/contrib/113061417836683268885/reviews?hl=en-CA,3 years ago,2021-06-30 00:49:24.408740,3.0,1,Correct.
7,Papineau,ChZDSUhNMG9nS0VJQ0FnSUNVckthY2F3EAE,kevin dong,https://www.google.com/maps/contrib/100241863931020057515/reviews?hl=en-CA,a year ago,2021-06-30 00:49:24.410106,3.0,230,Unclean.
8,Papineau,ChdDSUhNMG9nS0VJQ0FnSUNnLVBLRjZRRRAB,Gabriel,https://www.google.com/maps/contrib/113780788396860666307/reviews?hl=en-CA,4 years ago,2021-06-30 00:49:24.418583,3.0,201,No mobile network at this station yet :( Also not the prettiest
9,Papineau,ChdDSUhNMG9nS0VJQ0FnSUN3anR6NnRRRRAB,Alexander Abruzzese-Goyette,https://www.google.com/maps/contrib/116534434654576987576/reviews?hl=en-CA,4 years ago,2021-06-30 00:49:24.420758,5.0,374,Clean station for an otherwise questionable neighborhood.
10,Papineau,ChdDSUhNMG9nS0VJQ0FnSUNnM0tIODB3RRAB,David Samson (Zexxia),https://www.google.com/maps/contrib/108584913221758596594/reviews?hl=en-CA,5 years ago,2021-06-30 00:49:24.421888,3.0,199,Ugly station
11,Papineau,ChZDSUhNMG9nS0VJQ0FnSUQwc0pUYVZREAE,Creiton Magalhães,https://www.google.com/maps/contrib/103275532199402980762/reviews?hl=en-CA,a year ago,2021-06-30 00:49:24.422985,3.0,68,"(Translated by Google) The station needs structure repairs such as leaks and an escalator that has been broken for some time.

(Original)
A estação precisa de reparos na estrutura, tais como, infiltrações e escada rolante que está quebrada a algum tempo."
12,Papineau,ChZDSUhNMG9nS0VJQ0FnSURVc2VfOFRBEAE,Yoann Lussier,https://www.google.com/maps/contrib/108366424979984064344/reviews?hl=en-CA,a year ago,2021-06-30 00:49:24.424079,4.0,3,"(Translated by Google) One of the two stations serving the gay district. The surroundings have not great attractions, except the park with an infinite staircase hanging high. The real advantage of this station is the possibility to access the night bus route on Papineau Street.

(Original)
Une des deux stations desservant le quartier gai. Les abords n'ont pas grands attraits, si ce n'est le parc avec un escalier infini suspendu bien haut. Le réel avantage de cette station est la possibilité d'accéder au circuit autobus de nuit sur la rue Papineau."
13,Papineau,ChZDSUhNMG9nS0VJQ0FnSUNjMGN5R2FnEAE,Alexandre Joubert,https://www.google.com/maps/contrib/101315646472999117465/reviews?hl=en-CA,a year ago,2021-06-30 00:49:24.425788,4.0,58,"(Translated by Google) Practical and beautiful work of art
-1 star: flat district

(Original)
Pratique et belle œuvre d’art
-1 étoile:quartier plate"
14,Papineau,ChZDSUhNMG9nS0VJQ0FnSUNBdnJQdEt3EAE,Paul Thibeault,https://www.google.com/maps/contrib/110468393427391993158/reviews?hl=en-CA,2 years ago,2021-06-30 00:49:24.438560,5.0,125,"(Translated by Google) Good metro near a lot of places. Connect to all other subway lines like all other subways. We can therefore have access to the whole city. And get from my place to your house. They say bicycles are allowed but every time I take my bike it's a special no-bike day. Uncool.

(Original)
Bon metro près de beaucoup de places. Connect a tout les autres lignes de métros comme tout les autres metros. On peux donc avoir acces a tout la ville. Et se rendre de chez moi jusqua chez toi. On dit que lea velo sont permis mais a chaque fois que j’enmene mon velo cest une journée special pas de velo. Pas cool."
15,Papineau,ChdDSUhNMG9nS0VJQ0FnSUNnM3FQZGdRRRAB,Globule Agrumes,https://www.google.com/maps/contrib/108391267602700261080/reviews?hl=en-CA,4 months ago,2021-06-30 00:49:24.440039,2.0,461,"(Translated by Google) It would be one of the most beautiful metro stations in Montreal but it's very dirty and often there is equipment that is broken, escalators for example ... On the other hand, the park outside is more beautiful than before.

(Original)
Ça serait une des plus belles stations de métro à Montréal mais c'est très sale et souvent il y a de l'équipement qui est en panne, les escaliers roulants par exemple... Par contre le parc à l'extérieur est rendu plus beau qu'avant."
16,Papineau,ChdDSUhNMG9nS0VJQ0FnSUN3cU1TcW5RRRAB,Charlotte Jetté Lemay,https://www.google.com/maps/contrib/105704789767716602892/reviews?hl=en-CA,4 years ago,2021-06-30 00:49:24.441411,3.0,398,"(Translated by Google) Subway station ok, a bit run down. Some options for buses including La Ronde!

(Original)
Station de métro correct, un peu délabrée. Quelques options pour les autobus dont celle de La Ronde!"
17,Papineau,ChdDSUhNMG9nS0VJQ0FnSURnaDZlNDhBRRAB,Bernard Proulx,https://www.google.com/maps/contrib/104028219695688563026/reviews?hl=en-CA,3 years ago,2021-06-30 00:49:24.442622,4.0,599,"(Translated by Google) Very practical station. Lots of bus lines. There is also a toilet.

(Original)
Station fort pratique. Beaucoup de lignes de bus. Il y a aussi des toilettes."
18,Papineau,ChdDSUhNMG9nS0VJQ0FnSURRbUlIczNRRRAB,Marc-André Gagnon,https://www.google.com/maps/contrib/101291740584250379546/reviews?hl=en-CA,4 years ago,2021-06-30 00:49:24.443941,3.0,140,"(Translated by Google) Not very beautiful but the staircase structure outside is very pretty and the mural of Louis Joseph Papineau is very pretty

(Original)
Pas très beau mais la structure d'escalier à l'extérieur es très jolie puis la murale de Louis Joseph Papineau est bien jolie"
19,Papineau,ChdDSUhNMG9nS0VJQ0FnSURRbS16Z2lnRRAB,Félix Hurteau,https://www.google.com/maps/contrib/110321321371865428109/reviews?hl=en-CA,2 years ago,2021-06-30 00:49:24.452599,4.0,43,"(Translated by Google) Ugly but practical

(Original)
Laide mais pratique"
20,Papineau,ChdDSUhNMG9nS0VJQ0FnSUNneXJXdnd3RRAB,Guy Boyer,https://www.google.com/maps/contrib/114818101120336827903/reviews?hl=en-CA,3 years ago,2021-06-30 00:49:24.453994,4.0,58,"(Translated by Google) New fully automatic public toilet.

(Original)
Nouvelle toilette publique entièrement automatique."
