,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc,ChZDSUhNMG9nS0VJQ0FnSURTb2M2UVpnEAE,Adetoyese Oyedun,https://www.google.com/maps/contrib/114916051846231954151/reviews?hl=en-US,6 months ago,2021-06-30 11:15:33.017990,4.0,773,A normal metro station on the blue line. Next to the bus stops and on busy street.....
1,Parc,ChZDSUhNMG9nS0VJQ0FnSUNLNFlXYUJREAE,Arunvir Singh,https://www.google.com/maps/contrib/103094962600563682000/reviews?hl=en-US,2 months ago,2021-06-30 11:15:33.018789,3.0,18,Not too clean but ok
2,Parc,ChdDSUhNMG9nS0VJQ0FnSURTczRhV3VBRRAB,Sagar Khanna,https://www.google.com/maps/contrib/108833077527829398897/reviews?hl=en-US,5 months ago,2021-06-30 11:15:33.019575,4.0,53,"Everything is nearby this metro station like McDonald's, Tim hortons, grocery stores and so on."
3,Parc,ChZDSUhNMG9nS0VJQ0FnSUQweHNUQkNnEAE,D B,https://www.google.com/maps/contrib/100589833129562958504/reviews?hl=en-US,a year ago,2021-06-30 11:15:33.020360,5.0,60,I really like this metro station. It is right next to the train and the bus stops. Many exits. On busy streets like Jean Talon or Ave du Parc. Very practical.
4,Parc,ChZDSUhNMG9nS0VJQ0FnSUNTLWNEcEtnEAE,roberto defreitas,https://www.google.com/maps/contrib/114040674880739862100/reviews?hl=en-US,6 months ago,2021-06-30 11:15:33.021146,1.0,123,Sale degeulasse
5,Parc,ChZDSUhNMG9nS0VJQ0FnSUN5aVBPUktnEAE,Puneet Bhakar,https://www.google.com/maps/contrib/101402240812570311672/reviews?hl=en-US,5 months ago,2021-06-30 11:15:33.021930,5.0,16,Nice
6,Parc,ChdDSUhNMG9nS0VJQ0FnSUNZcE5mZnB3RRAB,Simon Pechulano,https://www.google.com/maps/contrib/106875376843681401920/reviews?hl=en-US,2 years ago,2021-06-30 11:15:33.022714,5.0,3,Great
7,Parc,ChZDSUhNMG9nS0VJQ0FnSUNBeGREM1lBEAE,Andrei Bursuc,https://www.google.com/maps/contrib/105872259815557410599/reviews?hl=en-US,5 years ago,2021-06-30 11:15:33.023870,3.0,168,This is a very normal metro station.
8,Parc,ChZDSUhNMG9nS0VJQ0FnSURTdlp5aFZ3EAE,Mark podgaichenko,https://www.google.com/maps/contrib/117687235862920871708/reviews?hl=en-US,5 months ago,2021-06-30 11:15:33.024672,4.0,293,"(Translated by Google) Nice station because the station is built really well but Ilya defeat poor people so it is a bit dirty.

(Original)
Belle station parce que la station est construite vraiment bien mais défois Ilya des personnes pauvres alors c’est un peut sale."
9,Parc,ChZDSUhNMG9nS0VJQ0FnSURRcjZqN1RnEAE,Rahim Kandjy,https://www.google.com/maps/contrib/115046458028212857870/reviews?hl=en-US,3 years ago,2021-06-30 11:15:33.025514,4.0,54,"(Translated by Google) Beautiful station, beautiful construction and geometry

(Original)
Belle station, belle construction et géométrie"
10,Parc,ChdDSUhNMG9nS0VJQ0FnSUNDbnJXZ3V3RRAB,Mélanie Leduc,https://www.google.com/maps/contrib/116494745029347131786/reviews?hl=en-US,10 months ago,2021-06-30 11:15:33.026299,1.0,16,"(Translated by Google) Don't wander around here when you are a lonely woman

(Original)
Ne vous balader pas ici quand vous êtes une femme seule"
11,Parc,ChdDSUhNMG9nS0VJQ0FnSUNVdUtLNXB3RRAB,Yoann Lussier,https://www.google.com/maps/contrib/108366424979984064344/reviews?hl=en-US,5 months ago,2021-06-30 11:15:33.027086,3.0,3,"(Translated by Google) Despite a shabby appearance, this station is quite useful for the city. Traveling north-south is much faster from this station than any other and as a bonus you end up downtown near McGill. The Indian-style district is to be discovered and the Gare Parc is nearby.

(Original)
Malgré un aspect miteux, cette station est bien utile pour la ville. Effectuer un trajet Nord-Sud est bien plus rapide de cette station que n'importe quelle autre et en boni vous vous retrouvez au centre-ville près de McGill. Le quartier de style indien est à découvrir et la Gare Parc est tout près."
12,Parc,ChdDSUhNMG9nS0VJQ0FnSURja29YSXRRRRAB,delphine de candido,https://www.google.com/maps/contrib/115981636660445441720/reviews?hl=en-US,a year ago,2021-06-30 11:15:33.027870,3.0,17,"(Translated by Google) Station undergoing maintenance at the escalators.

(Original)
Station en travaux de maintenance au niveau des escalators."
13,Parc,ChZDSUhNMG9nS0VJQ0FnSUNncXVXaEZBEAE,Marc Letourneau,https://www.google.com/maps/contrib/109207443955233202136/reviews?hl=en-US,3 years ago,2021-06-30 11:15:33.028654,2.0,312,"(Translated by Google) Station not very clean at street level. Several beggars on site. Too bad for this station with the beautiful architecture of the old Jean-Talon station.

(Original)
Station pas très propre au niveau de la rue. Plusieurs quêteux sur place. Dommage pour cette station à la belle architecture de l'ancienne gare Jean-Talon."
14,Parc,ChdDSUhNMG9nS0VJQ0FnSUN3M1lDRmh3RRAB,Zos,https://www.google.com/maps/contrib/105176715379864015202/reviews?hl=en-US,2 years ago,2021-06-30 11:15:33.029438,5.0,18,"(Translated by Google) Beautiful metro with a history ... Pay attention to the works of art in the architecture and the rays of sun reflected on the polished ground please.
There is a fruit shop open until 4am in front of the metro! A hidden gem of the metropolis ...

Zos and Renaud

Montreal, August 24, 2016

(Original)
Beau metro avec une histoire...Faites attention aux oeuvres d'art dans l'architecture et les rayons de soleil réfléchis sur le sol poli svp.
Il y a une fruiterie ouverte jusqu'à 4h am en face du métro ! Un joyau caché de la métropole...

Zos et Renaud

Montréal, 24 août 2016"
15,Parc,ChZDSUhNMG9nS0VJQ0FnSURBeXU3ZFlBEAE,Franky Jones,https://www.google.com/maps/contrib/114461612031488443896/reviews?hl=en-US,4 years ago,2021-06-30 11:15:33.030488,4.0,204,"(Translated by Google) Parc is the resort for all expectations! Easily in my top 14 of the best stations in Montreal!

(Original)
Parc c'est la station de toutes les attentes! Facilement dans mon top 14 des meilleures stations de Montréal!"
16,Parc,ChdDSUhNMG9nS0VJQ0FnSUQwdFliUy1RRRAB,micheline Roy,https://www.google.com/maps/contrib/112199070385615715445/reviews?hl=en-US,a year ago,2021-06-30 11:15:33.031277,4.0,69,"(Translated by Google) Good

(Original)
Bien"
17,Parc,ChdDSUhNMG9nS0VJQ0FnSUN3cTQzYm9BRRAB,Valérie Poisson,https://www.google.com/maps/contrib/105786365351412218690/reviews?hl=en-US,4 years ago,2021-06-30 11:15:33.032062,5.0,217,"(Translated by Google) Well put

(Original)
Bien placé"
18,Parc,ChZDSUhNMG9nS0VJQ0FnSUNBM0o2ZUxREAE,Matte Dominic,https://www.google.com/maps/contrib/111098961209455274716/reviews?hl=en-US,5 years ago,2021-06-30 11:15:33.032848,5.0,480,"(Translated by Google) Station to eat in the Indian restaurant of Jean-Talon

(Original)
Station pour aller manger dans les resto indien de Jean-Talon"
19,Parc,ChdDSUhNMG9nS0VJQ0FnSUNnaklXOXBRRRAB,Adam Rida,https://www.google.com/maps/contrib/103691352371517000151/reviews?hl=en-US,4 years ago,2021-06-30 11:15:33.033633,2.0,2,"(Translated by Google) Staircase stopped for one year vagabonds permanently here asking for people's money

(Original)
Escalier a l'arrêt depui un ans des vagabonds en permanence ici qui demande l'argents des gens"
20,Parc,ChdDSUhNMG9nS0VJQ0FnSURNMFBUa3NnRRAB,Jonathan Paquette,https://www.google.com/maps/contrib/102964264087427933745/reviews?hl=en-US,a year ago,2021-06-30 11:15:33.034419,5.0,252,"(Translated by Google) Beautiful architecture

(Original)
Belle architecture"
21,Parc,ChdDSUhNMG9nS0VJQ0FnSURnbUlqczd3RRAB,Daphnis fowler,https://www.google.com/maps/contrib/100152217446470565579/reviews?hl=en-US,6 years ago,2021-06-30 11:15:33.035300,3.0,0,
22,Parc,ChdDSUhNMG9nS0VJQ0FnSURveWEtXzRBRRAB,Alexandre Rodier,https://www.google.com/maps/contrib/102135948527863743944/reviews?hl=en-US,a year ago,2021-06-30 11:15:33.036329,1.0,117,
23,Parc,ChdDSUhNMG9nS0VJQ0FnSUR5bjdLSjJBRRAB,Ronaldine Cadet,https://www.google.com/maps/contrib/102721553354235953398/reviews?hl=en-US,3 months ago,2021-06-30 11:15:33.037237,4.0,92,
24,Parc,ChdDSUhNMG9nS0VJQ0FnSUNVeDd1ejFRRRAB,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-US,4 years ago,2021-06-30 11:15:33.038028,5.0,140,
25,Parc,ChdDSUhNMG9nS0VJQ0FnSUN3NmEzNHpBRRAB,Aurelie Sanhaji,https://www.google.com/maps/contrib/116420730107242873764/reviews?hl=en-US,2 years ago,2021-06-30 11:15:33.038814,4.0,321,
26,Parc,ChdDSUhNMG9nS0VJQ0FnSUNBLThyc3pBRRAB,Milton Quatro,https://www.google.com/maps/contrib/116162287836790171804/reviews?hl=en-US,4 years ago,2021-06-30 11:15:33.039598,5.0,5,
27,Parc,ChdDSUhNMG9nS0VJQ0FnSUNnb1BfZnhBRRAB,Jacques Auger,https://www.google.com/maps/contrib/101944314283352903679/reviews?hl=en-US,3 years ago,2021-06-30 11:15:33.040381,5.0,4,
28,Parc,ChdDSUhNMG9nS0VJQ0FnSURReHRxVHdRRRAB,Anna Lazaris,https://www.google.com/maps/contrib/114668191123292457975/reviews?hl=en-US,3 years ago,2021-06-30 11:15:33.041161,3.0,28,
29,Parc,ChdDSUhNMG9nS0VJQ0FnSURTcWF1M3RBRRAB,Erika S.,https://www.google.com/maps/contrib/102973073033178335475/reviews?hl=en-US,5 months ago,2021-06-30 11:15:33.041946,4.0,6,
30,Parc,ChdDSUhNMG9nS0VJQ0FnSURBeFpfT3BBRRAB,Frédéric Desroches,https://www.google.com/maps/contrib/104530530006461703503/reviews?hl=en-US,3 years ago,2021-06-30 11:15:33.042732,3.0,124,
31,Parc,ChdDSUhNMG9nS0VJQ0FnSUNvb3JPQW93RRAB,Zahidul Bhuiyan,https://www.google.com/maps/contrib/107568643639670305903/reviews?hl=en-US,2 years ago,2021-06-30 11:15:33.043609,5.0,0,
32,Parc,ChdDSUhNMG9nS0VJQ0FnSUNDNktuLWdnRRAB,Duc C. Nguyên,https://www.google.com/maps/contrib/105132606869252480414/reviews?hl=en-US,10 months ago,2021-06-30 11:15:33.044392,4.0,9,
33,Parc,ChZDSUhNMG9nS0VJQ0FnSURZamRYQ2R3EAE,Danielle Stewart,https://www.google.com/maps/contrib/109547521097791498778/reviews?hl=en-US,2 years ago,2021-06-30 11:15:33.045267,4.0,0,
34,Parc,ChZDSUhNMG9nS0VJQ0FnSUNnNV9famJREAE,Elie Abdelnour,https://www.google.com/maps/contrib/112680076561647355158/reviews?hl=en-US,3 years ago,2021-06-30 11:15:33.046056,4.0,2,
35,Parc,ChZDSUhNMG9nS0VJQ0FnSURRajRxNVZ3EAE,Francely Rocher,https://www.google.com/maps/contrib/115077238339009942655/reviews?hl=en-US,4 years ago,2021-06-30 11:15:33.046843,4.0,20,
36,Parc,ChZDSUhNMG9nS0VJQ0FnSURRem9XaklnEAE,oFinTek corp,https://www.google.com/maps/contrib/110887989131888657808/reviews?hl=en-US,4 years ago,2021-06-30 11:15:33.047626,3.0,236,
37,Parc,ChZDSUhNMG9nS0VJQ0FnSUNRNzZIMUd3EAE,Honest Review,https://www.google.com/maps/contrib/118180529484993110280/reviews?hl=en-US,3 years ago,2021-06-30 11:15:33.048409,1.0,36,
38,Parc,ChZDSUhNMG9nS0VJQ0FnSUNjaDZ1bEZ3EAE,Shifa Ejaz,https://www.google.com/maps/contrib/109434817579253728804/reviews?hl=en-US,a year ago,2021-06-30 11:15:33.049192,5.0,7,
39,Parc,ChZDSUhNMG9nS0VJQ0FnSUNjbTlPSUJ3EAE,Jisan Samrat,https://www.google.com/maps/contrib/118292662600885622988/reviews?hl=en-US,a year ago,2021-06-30 11:15:33.049976,5.0,109,
40,Parc,ChZDSUhNMG9nS0VJQ0FnSURnNi1XNUJnEAE,Raj Choudhary,https://www.google.com/maps/contrib/115536020390784862031/reviews?hl=en-US,4 years ago,2021-06-30 11:15:33.050849,5.0,0,
