,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Peel,ChdDSUhNMG9nS0VJQ0FnSUNjbmV6YzVRRRAB,Gopinath Gopalan,https://www.google.com/maps/contrib/104919911184726391021/reviews?hl=en-US,a year ago,2021-06-30 12:00:10.216036,5.0,807,"VIA  rue saint Catharine street car expo every year in downtown Montreal. Its very good metro station directly you can connect to inside mall itself. adjacent road every year conducting car exhibition on road all branded Porsche Buick, Mercedes Benz Audi Bugatti etc. Always best Canada Metro STM transit Bus and Metro. I recommended it"
1,Peel,ChZDSUhNMG9nS0VJQ0FnSUN5bVBUU0pREAE,Rituraj NLN,https://www.google.com/maps/contrib/105562235893703321988/reviews?hl=en-US,5 months ago,2021-06-30 12:00:10.217182,5.0,3,Amazing station. Best subway station I used frequently.
2,Peel,ChdDSUhNMG9nS0VJQ0FnSURRaFlHanhBRRAB,Vg G,https://www.google.com/maps/contrib/114092399265107358982/reviews?hl=en-US,3 years ago,2021-06-30 12:00:10.218941,4.0,755,Connected to the underground city.
3,Peel,ChZDSUhNMG9nS0VJQ0FnSUQwd1lqRUNBEAE,G Aquino,https://www.google.com/maps/contrib/113815392849087130851/reviews?hl=en-US,a year ago,2021-06-30 12:00:10.221504,4.0,2,"This is the closest metro station to Mont Royal (the hill that overlooks the city's downtown core) and is situated close to many city attractions. It's nicely designed and modern, just like other metro stations but I can't give it 5 stars because of the lack of restrooms."
4,Peel,ChZDSUhNMG9nS0VJQ0FnSURTN3NQMkpREAE,Puneet Bhakar,https://www.google.com/maps/contrib/101402240812570311672/reviews?hl=en-US,6 months ago,2021-06-30 12:00:10.223987,5.0,16,Great place .
5,Peel,ChdDSUhNMG9nS0VJQ0FnSUNJcHZQZDlnRRAB,Zhe Li,https://www.google.com/maps/contrib/107521640225129919882/reviews?hl=en-US,2 years ago,2021-06-30 12:00:10.225509,5.0,322,"A pretty busy metro station in downtown. There are quite a few shops in the hallway leading to Stanley street exit, including a customized t-shirt printing store, a dollar store, a sushi stall and a Indian traditional clothing store. It’s connected to a shopping mall and to the underground city as well. One thing that I don’t like about metro stations in general is that in the winter the doors are super difficult to push and once they are open you get  basically blown into the station by the cold wind."
6,Peel,ChdDSUhNMG9nS0VJQ0FnSUN3bGNfX3lRRRAB,Yu Meng Chao,https://www.google.com/maps/contrib/103809159461050760632/reviews?hl=en-US,3 years ago,2021-06-30 12:00:10.227707,4.0,589,"Spacious and easy to orient metro station. There are many doors connecting Peel station and the signs are generally easy to interpret if you understand French. However, on it he exit towards Stanley street, there are many small ghetto shops around making it a bit uncomfortable for me."
7,Peel,ChdDSUhNMG9nS0VJQ0FnSURJdDVHdDNBRRAB,Christopher Nicholas,https://www.google.com/maps/contrib/108392027508139178347/reviews?hl=en-US,2 years ago,2021-06-30 12:00:10.230228,5.0,7,"People are friendly, understanding and fast. If you're a frequent visitor, they will even remember your name and order - making it that much more personal!"
8,Peel,ChdDSUhNMG9nS0VJQ0FnSUNJemRXTy1BRRAB,Ashley Stearns,https://www.google.com/maps/contrib/117688402320024749080/reviews?hl=en-US,2 years ago,2021-06-30 12:00:10.232288,4.0,2,Pretty clean and easy to navigate. They had signed for the fine art museum making it easy to find
9,Peel,ChdDSUhNMG9nS0VJQ0FnSURnNjdLUDN3RRAB,Shirley Lam,https://www.google.com/maps/contrib/105633961486842073980/reviews?hl=en-US,4 years ago,2021-06-30 12:00:10.234251,4.0,80,Peel metro great place to meet but be careful which exit you are getting out. Easiest way out to go on Ste Catherine is Stanley exit.
10,Peel,ChZDSUhNMG9nS0VJQ0FnSUNnNTRfdkZ3EAE,TRAINS4EVER,https://www.google.com/maps/contrib/109078602743866009815/reviews?hl=en-US,4 years ago,2021-06-30 12:00:10.236992,4.0,42,"There are circles everywhere in this station: illuminated circles in bright single colours on the advertising panels at either end, circles in the marble of one entrance, circular tiles on the floor. Even the vents at either bulkhead are circular!"
11,Peel,ChdDSUhNMG9nS0VJQ0FnSURBX0xfU3FBRRAB,Daniel Goldwater,https://www.google.com/maps/contrib/109277051181313059558/reviews?hl=en-US,4 years ago,2021-06-30 12:00:10.239151,4.0,158,🚈 Connects to Cours Mont-Royal and near Golden Mile district. Fun 70s style mosaics
12,Peel,ChdDSUhNMG9nS0VJQ0FnSURRMHN5XzdnRRAB,Ralph Cristofer,https://www.google.com/maps/contrib/107483579221483966914/reviews?hl=en-US,3 years ago,2021-06-30 12:00:10.241076,5.0,43,Clean and it's very convenient place since it is in Downtown.
13,Peel,ChdDSUhNMG9nS0VJQ0FnSUNRMnFDSW53RRAB,D W Angioletti,https://www.google.com/maps/contrib/117576405753550587077/reviews?hl=en-US,3 years ago,2021-06-30 12:00:10.243423,5.0,40,"Spacious, clean and has direct access to the underground city."
