,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Pie-IX,ChdDSUhNMG9nS0VJQ0FnSUNpaWNfX25BRRAB,Globule Agrumes,https://www.google.com/maps/contrib/108391267602700261080/reviews?hl=en-US,7 months ago,2021-06-30 11:58:08.852805,3.0,461,"Sadly there is less and less stuff happening there as the baseball team is gone for good, the Biodôme has been closed since a while now and then the covid pandemic make it a deserted, very large ordinary subway station."
1,Pie-IX,ChZDSUhNMG9nS0VJQ0FnSURTbnFqMU93EAE,Puneet Bhakar,https://www.google.com/maps/contrib/101402240812570311672/reviews?hl=en-US,6 months ago,2021-06-30 11:58:08.853702,5.0,16,Great place .
2,Pie-IX,ChdDSUhNMG9nS0VJQ0FnSURzdHFDSV9RRRAB,Pedro Padron,https://www.google.com/maps/contrib/106278170693979566005/reviews?hl=en-US,a year ago,2021-06-30 11:58:08.854496,5.0,89,"Great place to visit the Olympic stadium and the jardin botanique, specially for the kids"
3,Pie-IX,ChdDSUhNMG9nS0VJQ0FnSUQwbnBpMDZBRRAB,G Aquino,https://www.google.com/maps/contrib/113815392849087130851/reviews?hl=en-US,a year ago,2021-06-30 11:58:08.855287,4.0,2,"This is the main station for the Olympic Park, although I thought the next station (Viau) is actually situated closer to the main attractions of the park, such as the Observation Deck, Planetarium, and Biodome Science Museum. The sculpture of the Olympic rings on the station wall was really neat, as are the station's design and public art. Unfortunately, no restrooms."
4,Pie-IX,ChZDSUhNMG9nS0VJQ0FnSUMwbmFxcUdBEAE,Julia Riber Pitt,https://www.google.com/maps/contrib/115485317140323260741/reviews?hl=en-US,a year ago,2021-06-30 11:58:08.856077,5.0,10,"Very clean, easy access to Hochelaga and Vieux-Rosemont."
5,Pie-IX,ChZDSUhNMG9nS0VJQ0FnSURDN01lbUt3EAE,Diallo Mariam,https://www.google.com/maps/contrib/110291556826751217962/reviews?hl=en-US,9 months ago,2021-06-30 11:58:08.856862,5.0,4,There are a lot of things to see
6,Pie-IX,ChdDSUhNMG9nS0VJQ0FnSUNnNTRfdm5RRRAB,TRAINS4EVER,https://www.google.com/maps/contrib/109078602743866009815/reviews?hl=en-US,4 years ago,2021-06-30 11:58:08.857659,3.0,42,"his station, which is the main access point to the Olympic Stadium and other Olympic installations, emphasizes subtlety. The looming walls in earth tones and roughened, ridged concrete - a characteristic of the period - give an air of calm power that sets in relief the excitement that a spectator passing through the station will feel or has felt."
7,Pie-IX,ChdDSUhNMG9nS0VJQ0FnSUNDME5tYWpBRRAB,Jyoti Singh,https://www.google.com/maps/contrib/100490814812576179463/reviews?hl=en-US,10 months ago,2021-06-30 11:58:08.858833,5.0,46,Beautiful scene
8,Pie-IX,ChdDSUhNMG9nS0VJQ0FnSURndFpTY3lRRRAB,Simon Veilleux,https://www.google.com/maps/contrib/108466205496174443057/reviews?hl=en-US,4 years ago,2021-06-30 11:58:08.859631,4.0,220,"Next to the olympic stadium, this place also has winter activities as well. Nice to get a little away from downtown and visit this eastern neighborhood"
9,Pie-IX,ChZDSUhNMG9nS0VJQ0FnSURnNTZ5SGFREAE,Carol Carriere,https://www.google.com/maps/contrib/115721056953285113795/reviews?hl=en-US,3 years ago,2021-06-30 11:58:08.860427,4.0,805,This is so fast and yes very clean. People are greeting and so nice
