,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Place-des-Arts,ChZDSUhNMG9nS0VJQ0FnSUR5dnBLMVVBEAE,Vigneswar M (vicky),https://www.google.com/maps/contrib/105909541345081385512/reviews?hl=en-CA,3 months ago,2021-06-30 00:45:14.024337,5.0,14,Perfect place for festivals in Montreal! Best place during summer.
1,Place-des-Arts,ChZDSUhNMG9nS0VJQ0FnSUR5NjlEVGFREAE,M. M,https://www.google.com/maps/contrib/108020911520644717434/reviews?hl=en-CA,3 months ago,2021-06-30 00:45:14.025492,2.0,73,"The smell of urine in the station motivates me to work harder, so I can buy a car and don't have to take the metro."
2,Place-des-Arts,ChZDSUhNMG9nS0VJQ0FnSURTczVuT1B3EAE,Sagar Khanna,https://www.google.com/maps/contrib/108833077527829398897/reviews?hl=en-CA,5 months ago,2021-06-30 00:45:14.026513,4.0,53,"Place for the arts, festivals, enjoyment and fun activities to do."
3,Place-des-Arts,ChdDSUhNMG9nS0VJQ0FnSURLNTVIUmpnRRAB,Mike Long,https://www.google.com/maps/contrib/114147039877406529779/reviews?hl=en-CA,a month ago,2021-06-30 00:45:14.027473,3.0,284,🎉
4,Place-des-Arts,ChdDSUhNMG9nS0VJQ0FnSUNnaEtqaWx3RRAB,唐天祐,https://www.google.com/maps/contrib/108967983459312083444/reviews?hl=en-CA,3 years ago,2021-06-30 00:45:14.029066,4.0,39,Nice station to walk around with a lot of art place to go.
5,Place-des-Arts,ChdDSUhNMG9nS0VJQ0FnSUNzNlk3SXpRRRAB,Sebastien A,https://www.google.com/maps/contrib/116330243254129027489/reviews?hl=en-CA,a year ago,2021-06-30 00:45:14.033041,4.0,102,"It's a metro station, very safe but might be super packed during festivals and events in the summer."
6,Place-des-Arts,ChZDSUhNMG9nS0VJQ0FnSUNRcXVLZ1FREAE,Kevin Buehler,https://www.google.com/maps/contrib/100758582114205085976/reviews?hl=en-CA,3 years ago,2021-06-30 00:45:14.034084,4.0,1,Nice station with some art and fun shops around.
7,Place-des-Arts,ChZDSUhNMG9nS0VJQ0FnSURzcXZEYU9nEAE,Renata,https://www.google.com/maps/contrib/100742241454136640787/reviews?hl=en-CA,a year ago,2021-06-30 00:45:14.035358,1.0,5,"The entrance from Rue de Bleury is always dirty, smelling like urine, and has pickpockets, I've got my phone stolen there. Keep your eyes opened."
8,Place-des-Arts,ChdDSUhNMG9nS0VJQ0FnSUQwN3FMNDZRRRAB,G Aquino,https://www.google.com/maps/contrib/113815392849087130851/reviews?hl=en-CA,a year ago,2021-06-30 00:45:14.036370,4.0,2,"Clean and artful, just like many metro stations downtown, but no restrooms."
9,Place-des-Arts,ChdDSUhNMG9nS0VJQ0FnSURNcmViMTRnRRAB,Juliana Amauchi,https://www.google.com/maps/contrib/109356499202833090200/reviews?hl=en-CA,a year ago,2021-06-30 00:45:14.037479,5.0,56,The most beautiful metro station in Montreal
10,Place-des-Arts,ChZDSUhNMG9nS0VJQ0FnSUNLeE8ySmZ3EAE,Jonathan Neilson,https://www.google.com/maps/contrib/109988427161948626615/reviews?hl=en-CA,3 months ago,2021-06-30 00:45:14.038471,4.0,117,Great
11,Place-des-Arts,ChdDSUhNMG9nS0VJQ0FnSURRaGRibTVRRRAB,Vg G,https://www.google.com/maps/contrib/114092399265107358982/reviews?hl=en-CA,3 years ago,2021-06-30 00:45:14.039439,4.0,755,"Downtown Montreal, this subway is connected to UQAM University, and Montreal underground city, and you can get to Complex Desjardins by an underground corridor."
12,Place-des-Arts,ChZDSUhNMG9nS0VJQ0FnSUNROTh1ZlZnEAE,Hector C,https://www.google.com/maps/contrib/106257263588726415075/reviews?hl=en-CA,3 years ago,2021-06-30 00:45:14.040412,5.0,97,"Had a great time here, all part of my journey of the  Underground. This is one of a complex that you can visit when you are navigating the maze hahahaha. First time and it is definitely a little daunting. But had a great experience and would recommend for others to do the same and get lost a little."
