,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Plamondon,ChdDSUhNMG9nS0VJQ0FnSUN5aWJqUHZ3RRAB,Can Ucar,https://www.google.com/maps/contrib/108227298876779129312/reviews?hl=en-US,4 months ago,2021-06-30 10:32:25.234050,1.0,3,We waited 50 min to open subway agaşn she didnt wait us just 1 sec!!!!!
1,Plamondon,ChZDSUhNMG9nS0VJQ0FnSUNBc3VlRlBnEAE,Ahlad Kumar,https://www.google.com/maps/contrib/116725661379539209649/reviews?hl=en-US,4 years ago,2021-06-30 10:32:25.235920,4.0,127,Nice subway. Good connectivity with the city
2,Plamondon,ChZDSUhNMG9nS0VJQ0FnSUNDcWZxaFJnEAE,Lupa Duende,https://www.google.com/maps/contrib/114521513662502003983/reviews?hl=en-US,10 months ago,2021-06-30 10:32:25.237011,5.0,258,An awesome place to park and protest in support of immigrants!
3,Plamondon,ChZDSUhNMG9nS0VJQ0FnSURLaC1LeU13EAE,M.H. Rahman,https://www.google.com/maps/contrib/112743351674468706672/reviews?hl=en-US,a month ago,2021-06-30 10:32:25.238101,5.0,99,Good
4,Plamondon,ChZDSUhNMG9nS0VJQ0FnSUNLby1ubld3EAE,Sheena Elizabeth Mathew,https://www.google.com/maps/contrib/112717352642329889152/reviews?hl=en-US,2 months ago,2021-06-30 10:32:25.239051,5.0,15,Fine
5,Plamondon,ChZDSUhNMG9nS0VJQ0FnSURnMjd1amFBEAE,romel v. rosal,https://www.google.com/maps/contrib/117649842686693102350/reviews?hl=en-US,7 months ago,2021-06-30 10:32:25.240477,3.0,12,WATERGATE. SQUARED DATA
6,Plamondon,ChdDSUhNMG9nS0VJQ0FnSURVaTd5djdRRRAB,Graeme Salmon,https://www.google.com/maps/contrib/102762400452425541919/reviews?hl=en-US,a year ago,2021-06-30 10:32:25.241422,2.0,249,"I used to use this station everyday to go to work.  The station is often slow to get cleaned - there was once an empty box of Tim Horton's muffins on the seat I'd usually wait on that didn't get cleaned up for three days.  The two déps at either end are very messy and expensive.  Every once in a while, treat yourself and wait for the train at Côte Sainte-Catherine - that's a nice clean station.  It's a shame that the train in such a poor neighborhood is as neglected as this one."
7,Plamondon,ChZDSUhNMG9nS0VJQ0FnSUNvcjQzTk5nEAE,Julia Riber Pitt,https://www.google.com/maps/contrib/115485317140323260741/reviews?hl=en-US,2 years ago,2021-06-30 10:32:25.242354,2.0,10,This metro station feels hastily made/designed. There's no elevator and the escalators are frequently broken. Needs renovation.
8,Plamondon,ChZDSUhNMG9nS0VJQ0FnSUN5ci1qZGJ3EAE,Ahsan U,https://www.google.com/maps/contrib/117345576100341256371/reviews?hl=en-US,4 months ago,2021-06-30 10:32:25.243375,5.0,131,The hood!
9,Plamondon,ChdDSUhNMG9nS0VJQ0FnSUNRbVBQXzdnRRAB,Stirling Westrup,https://www.google.com/maps/contrib/101096857614789913208/reviews?hl=en-US,3 years ago,2021-06-30 10:32:25.244312,3.0,61,"Block long Metro station with entrances at both ends (Google only shows the main entrance). The main entrance is at strip mall in an area with a high Filipino population, so don't be surprised at hearing Tagalog spoken or finding some great Filipino restaurants in the area. This is NOT one of the few stations with disabled access and I find the many stairs to be murder on my arthritic knees."
