,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Préfontaine,ChdDSUhNMG9nS0VJQ0FnSUNLcDRUbjhBRRAB,Photo Tasticbloom,https://www.google.com/maps/contrib/103262062824123479017/reviews?hl=en-CA,2 months ago,2021-06-30 00:52:18.034256,5.0,11,"Very well light, interesting fun architecture and easy access with no twisting staircases and tunnels. It makes taking the metro a better experience."
1,Préfontaine,ChZDSUhNMG9nS0VJQ0FnSURDeUxLNU5BEAE,G T,https://www.google.com/maps/contrib/118197338064822325460/reviews?hl=en-CA,9 months ago,2021-06-30 00:52:18.038397,3.0,89,Well enlightened with day light
2,Préfontaine,ChdDSUhNMG9nS0VJQ0FnSUN5Nm91UHZnRRAB,Daniel Lagace,https://www.google.com/maps/contrib/100603620458325114055/reviews?hl=en-CA,5 months ago,2021-06-30 00:52:18.040995,5.0,127,Nice eady acces secure
3,Préfontaine,ChZDSUhNMG9nS0VJQ0FnSUNjMGY3ZmNREAE,David Vadoud Naderi,https://www.google.com/maps/contrib/114647071628635090677/reviews?hl=en-CA,a year ago,2021-06-30 00:52:18.042983,4.0,188,Simple
4,Préfontaine,ChdDSUhNMG9nS0VJQ0FnSURVaXUtNHVBRRAB,Mario Michaud,https://www.google.com/maps/contrib/110030213589374396526/reviews?hl=en-CA,a year ago,2021-06-30 00:52:18.044016,1.0,1,"The place is low with 2 persons and no smile and thanks see you later and have a good day, they always forget the napkin and the sauce and give me the wrong sandwich and never have what you need. I don't know why they exist because l love the foods, thank you."
5,Préfontaine,ChdDSUhNMG9nS0VJQ0FnSUNRaWVLQXlBRRAB,mathieuVR,https://www.google.com/maps/contrib/103428398348268707909/reviews?hl=en-CA,4 years ago,2021-06-30 00:52:18.046406,5.0,1,Very useful because it has a train to take you places. Much recommended!
6,Préfontaine,ChZDSUhNMG9nS0VJQ0FnSURNOUtLcmN3EAE,Paul Boudreau,https://www.google.com/maps/contrib/116356561675532400185/reviews?hl=en-CA,a year ago,2021-06-30 00:52:18.047762,4.0,240,Very nice!
7,Préfontaine,ChZDSUhNMG9nS0VJQ0FnSUNnNTZfcWV3EAE,TRAINS4EVER,https://www.google.com/maps/contrib/109078602743866009815/reviews?hl=en-CA,4 years ago,2021-06-30 00:52:18.049346,4.0,42,"This is a really good-looking station in between two complete turkeys. For one thing, it includes one guaranteed winner - sunlight. A large kiosk, entirely windowed, lets sunlight flood through the great volume down to platform level. The station is no less attractive on the platform level, even under the shadowed areas in tunnel and under the mezzanine level. In the latter, wall panels in vivid rainbow colours liven up the darker area. Resolutely modern light fixtures, whose bright red-orange metal shades repeat the similar materials on the skylights up above, provide a more practical form of illumination. The only real problem is the awful styling of the entrance pavilions, especially the main one on the south side of rue Hochelaga, which sprawls out in Raymond-Préfontaine Park looking for all the world like a giant yellow tractor tread or caterpillar or something of that sort. The glazed roofs also have a tendency to leak. But even there, the attractive concrete decor inside the entrances partially makes up for them. The entrances aside, this station is a modern and exciting space through which to travel."
8,Préfontaine,ChdDSUhNMG9nS0VJQ0FnSUNReXZXbTd3RRAB,CG,https://www.google.com/maps/contrib/104817899818818295184/reviews?hl=en-CA,3 years ago,2021-06-30 00:52:18.051375,5.0,68,The place to be if you need to go somewhere
9,Préfontaine,ChdDSUhNMG9nS0VJQ0FnSURRbGV5YmxnRRAB,ben makileni,https://www.google.com/maps/contrib/105530517553552331737/reviews?hl=en-CA,3 years ago,2021-06-30 00:52:18.052805,5.0,36,Close to home.
