,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Radisson,ChdDSUhNMG9nS0VJQ0FnSURTdnQyZTBRRRAB,Cherrie Chin,https://www.google.com/maps/contrib/110433471332950511813/reviews?hl=en-US,6 months ago,2021-06-30 10:24:01.307584,4.0,5,When I went to the station there were no buses
1,Radisson,ChdDSUhNMG9nS0VJQ0FnSUNnNTRfdi13RRAB,TRAINS4EVER,https://www.google.com/maps/contrib/109078602743866009815/reviews?hl=en-US,4 years ago,2021-06-30 10:24:01.308917,5.0,42,"This very exciting station is characterized by dramatic rounded shapes in pale concrete and stainless steel, giving an impression somewhere between ""metro train"" and ""starship.""The central volume, built cut-and-cover, is one unified space including the escalators between the mezzanine and the bridge. The lighting, hidden in the concrete, casts shadows onto the high ceilings, adding to the effect.
The space looks down onto the platforms from the bridge and the escalators; the rounded shapes of the barrier and ceiling join to create a rounded window onto the platforms. The corridors to the entrances are built along similar lines."
2,Radisson,ChZDSUhNMG9nS0VJQ0FnSUNnenZfNFRBEAE,Vanessa,https://www.google.com/maps/contrib/102494224995729060573/reviews?hl=en-US,4 years ago,2021-06-30 10:24:01.309888,4.0,110,Cool place a little isolated from the city. But great area for people who enjoy the suburbs.
3,Radisson,ChdDSUhNMG9nS0VJQ0FnSUNBbnIyUTNnRRAB,C. R. Yuen,https://www.google.com/maps/contrib/100381639807531734914/reviews?hl=en-US,3 years ago,2021-06-30 10:24:01.310878,1.0,426,"One of their staff member was quite rude with me in the presence of my daughter in the bus and insisted on arguing about the Opus card being obligatory for children of 11 yrs old. He even followed me to the back of the bus, making a scene infront of passengers, to tell me I was wrong about the info I read on their price list. This is after i pointed out they must change the details on that sheet in regards to what he had told me.
Quite unprofessional and very harrassing of him.
Stm staff are getting worse by the day and this one was the worst I've encountered.
They need to learn some PR skills along with customer service and courtesy. They also need to learn their own rules and regulations before they start giving off misinformation."
4,Radisson,ChdDSUhNMG9nS0VJQ0FnSURnNHNleDZBRRAB,Jérémi Lemay,https://www.google.com/maps/contrib/100491181614301852362/reviews?hl=en-US,3 years ago,2021-06-30 10:24:01.311850,5.0,107,Good place for people that lives out of Montreal. A huge parking where you can park ans take the metro.
5,Radisson,ChZDSUhNMG9nS0VJQ0FnSUNpZ3N5VVFREAE,Sweet Lou,https://www.google.com/maps/contrib/104298658723162126566/reviews?hl=en-US,8 months ago,2021-06-30 10:24:01.313142,5.0,170,Metro
6,Radisson,ChZDSUhNMG9nS0VJQ0FnSUN3cTRqb2J3EAE,John Pao,https://www.google.com/maps/contrib/103925621724209138345/reviews?hl=en-US,3 years ago,2021-06-30 10:24:01.314185,5.0,2,Good staff
7,Radisson,ChdDSUhNMG9nS0VJQ0FnSURLXzhXajlBRRAB,Célia G,https://www.google.com/maps/contrib/108974827408862413679/reviews?hl=en-US,a month ago,2021-06-30 10:24:01.315175,3.0,5,"(Translated by Google) Nice resort from the inside but I don't really like the location ...

(Original)
Belle station de l'intérieur mais je n'aime pas trop l'emplacement..."
8,Radisson,ChZDSUhNMG9nS0VJQ0FnSURRbTl6ZEtREAE,Félix Hurteau,https://www.google.com/maps/contrib/110321321371865428109/reviews?hl=en-US,2 years ago,2021-06-30 10:24:01.316248,5.0,43,"(Translated by Google) More beautiful resort in terms of architecture and forms. The immense volume of the central staircase surprises me every time. The pretty curves everywhere make us forget the omnipresence of concrete.

(Original)
Plus belle station au niveau de l'architecture et des formes. L'immense volume de l'escalier central me surprend à chaque fois. Les jolies courbes un peu partout nous font oublier l'omniprésence du béton."
9,Radisson,ChZDSUhNMG9nS0VJQ0FnSUNDODR1RERnEAE,KONGO KANADIANMAN,https://www.google.com/maps/contrib/117885304072663314088/reviews?hl=en-US,9 months ago,2021-06-30 10:24:01.317195,5.0,84,"(Translated by Google) A good place

(Original)
Une bonne place"
10,Radisson,ChdDSUhNMG9nS0VJQ0FnSUNRNDVmV3NRRRAB,Geneviève Bellerive,https://www.google.com/maps/contrib/113864665572994437059/reviews?hl=en-US,3 years ago,2021-06-30 10:24:01.318306,5.0,60,"(Translated by Google) I love this station because it is super convenient for parking my car when I take the metro. The parking lot is full very early in the morning but during the day it empties and there is always space to park.

(Original)
J'adore cette station car elle est super pratique pour stationner ma voiture lorsque je prends le métro. Le stationnement est plein très tôt le matin mais au courant de la journée il se vide et il y a toujours des espaces pour se stationner."
11,Radisson,ChdDSUhNMG9nS0VJQ0FnSUNncW9XUnBBRRAB,Marc Letourneau,https://www.google.com/maps/contrib/109207443955233202136/reviews?hl=en-US,3 years ago,2021-06-30 10:24:01.319442,4.0,312,"(Translated by Google) A station with impressive architecture, especially when you go down the escalators. The station is clean.

The only downside is the absence of an underground passage to go directly to Place Versailles.

(Original)
Une station à l'architecture impressionnante surtout quand on descend les escaliers mécanique. La station est propre.

Le seul bémol est l'absence d'un passage sous-terrain pour se rendre directement à la Place Versailles."
12,Radisson,ChZDSUhNMG9nS0VJQ0FnSUNBNTdtVEFREAE,Yvandré Chagot,https://www.google.com/maps/contrib/100222516073505176267/reviews?hl=en-US,3 years ago,2021-06-30 10:24:01.320462,2.0,165,"(Translated by Google) Very clean station except for the absence of garbage cans on the boarding platform and the excessive tolerance towards people who quet.
Impossible to do 10 meters without being asked for money. I live in the Center Sud district and I am less begging by my house ..... And Jehovah and Costco ....

(Original)
Station très propre exception faite de l'absence de poubelles sur le quai d'embarquement et de la trop grande tolérance envers les gens qui quettent.
Impossible de faire 10 mètres sans se faire demander de l'argent. J'habite le quartier Centre Sud et je me fait moins quêter par chez moi.....Et les Jéhovah pis les Costco...."
13,Radisson,ChZDSUhNMG9nS0VJQ0FnSUN3OUlEWUZ3EAE,Jonathan Paquette,https://www.google.com/maps/contrib/102964264087427933745/reviews?hl=en-US,3 years ago,2021-06-30 10:24:01.321487,5.0,252,"(Translated by Google) Very convenient. Incentive parking, bus terminus and shopping center nearby.

(Original)
Très pratique. Stationnement incitatif, terminus d'autobus et centre commercial à proximité."
14,Radisson,ChZDSUhNMG9nS0VJQ0FnSUNBeWJ6S2NnEAE,LAMB DIASPORA,https://www.google.com/maps/contrib/106285933753792572574/reviews?hl=en-US,5 years ago,2021-06-30 10:24:01.322427,4.0,176,"(Translated by Google) One of the cleanest stations of the network otherwise the cleanest. Only flat no elevator

(Original)
Une des stations les plus propres du réseau sinon la plus propre. Seul bémol pas d'ascenseur"
15,Radisson,ChdDSUhNMG9nS0VJQ0FnSUNRdktxRTZ3RRAB,Nicolas Hervieux,https://www.google.com/maps/contrib/117204421471863614634/reviews?hl=en-US,3 years ago,2021-06-30 10:24:01.323361,3.0,100,"(Translated by Google) Nice little resort pay attention to the two exits

(Original)
Belle petite station faire attention au deux sortis"
16,Radisson,ChdDSUhNMG9nS0VJQ0FnSUNnd05UVGdnRRAB,yuhan r-t,https://www.google.com/maps/contrib/102961862669420131377/reviews?hl=en-US,4 years ago,2021-06-30 10:24:01.324579,1.0,2,"(Translated by Google) seat not comfortable enough

(Original)
siege pas assez comfortable"
17,Radisson,ChdDSUhNMG9nS0VJQ0FnSURnOUthcl9RRRAB,Natalia Savinova,https://www.google.com/maps/contrib/113519493955630004249/reviews?hl=en-US,3 years ago,2021-06-30 10:24:01.325517,5.0,4,
18,Radisson,ChdDSUhNMG9nS0VJQ0FnSUN3bXJ6Yi1RRRAB,Alessio Pellegrino,https://www.google.com/maps/contrib/110922416574904379865/reviews?hl=en-US,4 years ago,2021-06-30 10:24:01.326493,4.0,17,
19,Radisson,ChdDSUhNMG9nS0VJQ0FnSUNBNUxQNzlRRRAB,Siset Mark,https://www.google.com/maps/contrib/115535179104682450282/reviews?hl=en-US,4 years ago,2021-06-30 10:24:01.327429,5.0,1,
20,Radisson,ChdDSUhNMG9nS0VJQ0FnSURRdmZtRTR3RRAB,Helene Levesque,https://www.google.com/maps/contrib/104625185260341584431/reviews?hl=en-US,4 years ago,2021-06-30 10:24:01.328354,4.0,5,
21,Radisson,ChdDSUhNMG9nS0VJQ0FnSUQwb3Z2bjN3RRAB,Gabriel Lajoie,https://www.google.com/maps/contrib/117351957366419944010/reviews?hl=en-US,a year ago,2021-06-30 10:24:01.329277,3.0,3,
22,Radisson,ChdDSUhNMG9nS0VJQ0FnSURnMGFITDNRRRAB,Alexandre Rodier,https://www.google.com/maps/contrib/102135948527863743944/reviews?hl=en-US,2 years ago,2021-06-30 10:24:01.330201,1.0,117,
23,Radisson,ChdDSUhNMG9nS0VJQ0FnSUN3MnNQZDNBRRAB,Lucian-Mihai Purici,https://www.google.com/maps/contrib/113945041411228109207/reviews?hl=en-US,5 years ago,2021-06-30 10:24:01.331220,5.0,39,
24,Radisson,ChdDSUhNMG9nS0VJQ0FnSUNzZ01ibTF3RRAB,Sara Boughrara,https://www.google.com/maps/contrib/116187087181419054157/reviews?hl=en-US,a year ago,2021-06-30 10:24:01.334606,5.0,0,
25,Radisson,ChdDSUhNMG9nS0VJQ0FnSUN3LTRxNHp3RRAB,Gregory Guillaumat,https://www.google.com/maps/contrib/101528443006702398673/reviews?hl=en-US,4 years ago,2021-06-30 10:24:01.336005,3.0,2,
26,Radisson,ChdDSUhNMG9nS0VJQ0FnSURnbDgyNHl3RRAB,pascal jette longpre,https://www.google.com/maps/contrib/115485961604068750892/reviews?hl=en-US,4 years ago,2021-06-30 10:24:01.337106,4.0,20,
27,Radisson,ChdDSUhNMG9nS0VJQ0FnSURnaVB2WXlRRRAB,Francis Giraldeau,https://www.google.com/maps/contrib/117004618080509729929/reviews?hl=en-US,3 years ago,2021-06-30 10:24:01.338194,2.0,10,
28,Radisson,ChdDSUhNMG9nS0VJQ0FnSURTc3Q2NnV3RRAB,DirectedbySerge,https://www.google.com/maps/contrib/105068190143198159904/reviews?hl=en-US,6 months ago,2021-06-30 10:24:01.339440,5.0,0,
29,Radisson,ChdDSUhNMG9nS0VJQ0FnSURnOXVqLXFBRRAB,Guillaume Bourdages,https://www.google.com/maps/contrib/117955694997367878790/reviews?hl=en-US,4 years ago,2021-06-30 10:24:01.340615,5.0,0,
