,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Saint-Laurent,ChdDSUhNMG9nS0VJQ0FnSUQ4bmJqTjBRRRAB,Dai Davies,https://www.google.com/maps/contrib/114955065200084863619/reviews?hl=en-CA,11 months ago,2021-06-30 00:46:31.359053,1.0,19,There are still people travelling on the metro line without wearing their masks.
1,Saint-Laurent,ChZDSUhNMG9nS0VJQ0FnSUN3MGVIbVRnEAE,Sam Totah (montrealsam),https://www.google.com/maps/contrib/106907973676461781259/reviews?hl=en-CA,2 years ago,2021-06-30 00:46:31.365022,3.0,362,"Blvd. Saint Laurent vs. Near metro saint Laurent!  The area is unrecognizable every 3 months! Major construction developments!
The metro saint Laurent is at the heart of jazz Montreal & other festivities! However the Blvd.  Is a Mish mash of ethnic stores some going back almost 100 yrs.  Including Schwartz of smoke meat fame! Strolling is the right way to see new and old stores. Enjoy the unique experience!"
2,Saint-Laurent,ChZDSUhNMG9nS0VJQ0FnSUQ4X1l6b2JBEAE,Mmo Wiko,https://www.google.com/maps/contrib/105751284415625556970/reviews?hl=en-CA,11 months ago,2021-06-30 00:46:31.366040,1.0,20,The 21h07 bus #55N did not pass.
3,Saint-Laurent,ChZDSUhNMG9nS0VJQ0FnSURDdXJIWVZREAE,Tuan Tran,https://www.google.com/maps/contrib/109652455980454931361/reviews?hl=en-CA,9 months ago,2021-06-30 00:46:31.367048,3.0,34,Only 1 exit here
4,Saint-Laurent,ChZDSUhNMG9nS0VJQ0FnSUNnNTRfdlF3EAE,TRAINS4EVER,https://www.google.com/maps/contrib/109078602743866009815/reviews?hl=en-CA,4 years ago,2021-06-30 00:46:31.368054,2.0,42,"This is a very plain station. Its large volume, built cut-and-cover, is walled with eggshell-coloured ceramic. The floors are done in brown tile and black granite.

The pale expanses of the walls are punctuated by panels of coloured tiles rising to the ceiling, each panel with a different colour and pattern. Although they are the work of the noted ceramist Claude Vermette, these panels, installed during the station's construction, were originally not construed as an artwork, so that it would be easier for the transit company to remove them if it had decided to do so."
5,Saint-Laurent,ChdDSUhNMG9nS0VJQ0FnSURRNzZEa3lBRRAB,Rachel Woods,https://www.google.com/maps/contrib/112670721446248970136/reviews?hl=en-CA,3 years ago,2021-06-30 00:46:31.369057,2.0,41,"Ever since that young guy in his 20s was beaten to death in front of this station, I avoid it like the plague. It used to be a pretty hopping red-light district. Now gentrification has pushed all the fun eastward."
6,Saint-Laurent,ChdDSUhNMG9nS0VJQ0FnSURRMzdxcXZBRRAB,Master iOqY,https://www.google.com/maps/contrib/110002481849560539563/reviews?hl=en-CA,4 years ago,2021-06-30 00:46:31.370472,3.0,1,Artsy area but it doesn't flow into this staid station. Need more ticket machines in there too!
7,Saint-Laurent,ChRDSUhNMG9nS0VJQ0FnSUN3c3R0ORAB,Frances Zsurka,https://www.google.com/maps/contrib/106126779654532078154/reviews?hl=en-CA,4 years ago,2021-06-30 00:46:31.371498,5.0,35,The outside usually has some insane audiovisual art installations going on
8,Saint-Laurent,ChZDSUhNMG9nS0VJQ0FnSUNZaTlIbVZ3EAE,Valtued Funkos,https://www.google.com/maps/contrib/107809281992219130905/reviews?hl=en-CA,2 years ago,2021-06-30 00:46:31.372539,5.0,603,"Clean station, friendly staff!!"
9,Saint-Laurent,ChZDSUhNMG9nS0VJQ0FnSUMwX3NuTFJnEAE,Ivan Maksimov,https://www.google.com/maps/contrib/110284613982902025326/reviews?hl=en-CA,a year ago,2021-06-30 00:46:31.373550,5.0,146,Good
10,Saint-Laurent,ChdDSUhNMG9nS0VJQ0FnSUNRcXBURHBnRRAB,Kevin Buehler,https://www.google.com/maps/contrib/100758582114205085976/reviews?hl=en-CA,3 years ago,2021-06-30 00:46:31.374593,4.0,1,"Ok station, gets you going."
11,Saint-Laurent,ChZDSUhNMG9nS0VJQ0FnSUNJMlpXSWFBEAE,davId girard,https://www.google.com/maps/contrib/116724481539427184832/reviews?hl=en-CA,2 years ago,2021-06-30 00:46:31.375997,1.0,9,"Over 25 minute wait for the last train, just to miss the last yellow line train to south shore.  Horrible service STM!"
12,Saint-Laurent,ChdDSUhNMG9nS0VJQ0FnSUNNc19ET2tnRRAB,AVIE SPA,https://www.google.com/maps/contrib/112344732470315249144/reviews?hl=en-CA,a year ago,2021-06-30 00:46:31.380219,4.0,81,ok metro station
13,Saint-Laurent,ChZDSUhNMG9nS0VJQ0FnSUNzaDZub2R3EAE,Daniel Lemire,https://www.google.com/maps/contrib/108603365215182600416/reviews?hl=en-CA,a year ago,2021-06-30 00:46:31.381568,5.0,178,Cool ....
14,Saint-Laurent,ChdDSUhNMG9nS0VJQ0FnSUNJelkzUnp3RRAB,Ashley Stearns,https://www.google.com/maps/contrib/117688402320024749080/reviews?hl=en-CA,2 years ago,2021-06-30 00:46:31.382591,4.0,2,Good size station
15,Saint-Laurent,ChdDSUhNMG9nS0VJQ0FnSUNBeHNibnlnRRAB,Issac Woods-Hudson,https://www.google.com/maps/contrib/108746817592993685029/reviews?hl=en-CA,3 years ago,2021-06-30 00:46:31.383600,5.0,5,"Got drunk and passed out here the other night, 10/10 would vomit there again."
16,Saint-Laurent,ChZDSUhNMG9nS0VJQ0FnSUN3cDVYVWRREAE,cain Kuri,https://www.google.com/maps/contrib/110380556470752948732/reviews?hl=en-CA,4 years ago,2021-06-30 00:46:31.384721,3.0,246,"This station looks old and not represents where the Metro Station is, once you go out of it. Doesn't feel like you are in Montreal."
