,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Snowdon,ChZDSUhNMG9nS0VJQ0FnSURLM3JiYUF3EAE,Kashaf Fatima,https://www.google.com/maps/contrib/111511356802944320020/reviews?hl=en-US,a month ago,2021-06-30 10:34:35.645763,5.0,21,The lights are interesting.
1,Snowdon,ChZDSUhNMG9nS0VJQ0FnSUN5NE9ibmZ3EAE,Red Leaf,https://www.google.com/maps/contrib/110329357027544520494/reviews?hl=en-US,5 months ago,2021-06-30 10:34:35.653592,4.0,22,Nice location
2,Snowdon,ChZDSUhNMG9nS0VJQ0FnSURTdzctQ2F3EAE,Lily,https://www.google.com/maps/contrib/111583242759771794324/reviews?hl=en-US,5 months ago,2021-06-30 10:34:35.657059,4.0,15,If you looking for some actions here is the place to come. Sometimes random crackheads will come out of nowhere and starts going nuts. Other than that there’s a lot of food places around where you can grab something to eat before going to work.
3,Snowdon,ChZDSUhNMG9nS0VJQ0FnSUNTZ0xhV1BnEAE,El Sto,https://www.google.com/maps/contrib/109666534451819020601/reviews?hl=en-US,6 months ago,2021-06-30 10:34:35.661257,5.0,14,"Lots of cafe, fast food, banks, grocery stores. You can make a key 🔑,  print or copy, send money overseas, cash cheques, make manicure/pedicure. And even more..."
4,Snowdon,ChZDSUhNMG9nS0VJQ0FnSURzaUxHMEpREAE,RAJ SEKHAR VANGALA,https://www.google.com/maps/contrib/110122052469079807533/reviews?hl=en-US,a year ago,2021-06-30 10:34:35.668195,5.0,6,"I use this metro almost everyday.
This is one of the major transfer point after berry uqam.
Orange lines and blue line is accessible from here
Although there are not much shopping centers or famous grocery stores, this place is best for people who wants to pay less living in montreal

Happy journey"
5,Snowdon,ChZDSUhNMG9nS0VJQ0FnSUQwaUtEVmZREAE,D B,https://www.google.com/maps/contrib/100589833129562958504/reviews?hl=en-US,a year ago,2021-06-30 10:34:35.669665,3.0,60,Very confusing metro station. There are many stairs. At least there is an elevator and some escalators. Bus drivers in this area aren't very friendly. Once I was walking out of the station. The bus was waiting there and the driver didn't open the door to let me in. There are only a couple buses that stop at this station. It is not a very practical station. The street always floods when it is raining and the puddles are more than an inch tall. I don't really like this station.
6,Snowdon,ChZDSUhNMG9nS0VJQ0FnSURrbnVXWEh3EAE,Sharn Bains,https://www.google.com/maps/contrib/113906768800428177136/reviews?hl=en-US,2 years ago,2021-06-30 10:34:35.679939,4.0,194,Great in terms of service but not the cleanest one.
7,Snowdon,ChdDSUhNMG9nS0VJQ0FnSUM0cWFhNmpBRRAB,kevin dong,https://www.google.com/maps/contrib/100241863931020057515/reviews?hl=en-US,2 years ago,2021-06-30 10:34:35.682215,4.0,230,"Not the greatest Montreal Metro station, but it does the job quite nicely. Entrance is a little dirty though"
8,Snowdon,ChZDSUhNMG9nS0VJQ0FnSUNnLU9fZEZBEAE,Rommel Fernando,https://www.google.com/maps/contrib/118413081094947237304/reviews?hl=en-US,3 years ago,2021-06-30 10:34:35.694851,4.0,25,Just installed elevators allow accessible everywhere.. Two lines intersect here.. St Joseph oratory nearby
9,Snowdon,ChZDSUhNMG9nS0VJQ0FnSURBN2ZXcWF3EAE,David G.,https://www.google.com/maps/contrib/108148522850688162238/reviews?hl=en-US,3 years ago,2021-06-30 10:34:35.706661,5.0,50,Clean and well located  always safe especially before dark.
10,Snowdon,ChZDSUhNMG9nS0VJQ0FnSURRN2JPaVlREAE,Matt Davis,https://www.google.com/maps/contrib/114238999057158422045/reviews?hl=en-US,5 years ago,2021-06-30 10:34:35.712018,5.0,218,A metro station. Good to catch the metro at.
