,Comment,Rating,Rating Date,Profile Name,Profile Link,Profile Location,Place
0,"Belle découverte pour les petits de 0 à 5 ans vraiment de l'espace pour courir, joué au ballon ou pétanque, espace pour les plus grand et petit. Le parc est propre et bien divisé avec une fontaine d'eau l'été pour les journées plus chaude.",4,10/9/2019,Emilie I.,https://fr.yelp.ca/user_details?userid=4Tn7FjgPgCt-uPluEw1ynA,"Montréal, QC",Parc Alphonse Télesphore Lépine
1,"Le centre de la Nature est un endroit génial aussi bien pour les familles en recherche de verdure que pour tout ceux qui souhaitent faire du sport. De nombreuses activités sont proposées toute l'année. En hiver j'adore la patinoire sur le lac, grand espace tellement joli pour patiner. J'adore aussi les pistes de ski de fond. Bien entretenues, elles permettent une belle séance d'exercice pas trop loin de la maison. Il y a aussi le marché de Noel chaque année début décembre, un des plus jolis avec ses cabanes à thème et ses activités pour les enfants. Moins business que certains autres marchés mais avec la possibilité de trouver des bons cadeaux artisanaux tout de même.L'été il y a pleins d'événements organisés par la ville, ainsi sue la possibilité de louer des bateaux ou de profiter des nombreuses aires de jeux pour enfants.Facile a se garer, sauf lors des gros événements comme la fête Nationale.Il y a aussi une aire de restauration qui propose divers plats ou boissons chaudes, ce sui est très appréciable surtout en hiver après une bonne séance de patinage.",5,8/12/2018,Valerie R.,https://fr.yelp.ca/user_details?userid=bBzOlCXZKcwhmdITySeAhw,"Laval, QC",Centre de la Nature
2,"Je me suis rendue au Centre de la nature à la mi-février pour une sortie de classe d'enfants de la maternelle pour une journée de glissade sur tube et d'initiation au ski. L'avant-midi était réservé pour la glissade situé près d'un petit chalet. Nous avons laissé les sac à lunch dans le chalet dans un bac identifié au nom de l'école. Chaque groupe/école présent avait leur heure allouée pour l'heure du midi. Nous nous sommes ensuite dirigés vers les pentes de glissades à quelques pas. il n'y a pas de remonte-pente pour les tubes. Les quelques parents présents ont donc fait une chaîne pour remonter les tubes, ce qui se fait très bien. Il y a plusieurs tubes et quand ont prend le rythme tout ce passe bien et il n'y a pas beaucoup d'attente pour les enfants. Les pistes de glissades sont très belles.  Nous avons été ensuite été dînés dans le chalet où il y a plusieurs tables, des toilettes et des machines distributrices pour dépanner, donc chips, liqueurs, boissons et quelques grignotines. Je dirais qu'il y a de la places pour une soixantaine de personnes. Nous avons ensuite été joué dans les modules de jeux extérieur en attendant notre heure d'initiations au ski. Le tout est organisé par Experience ma neige de l'Association des stations de ski du Québec. Une expérience gratuite idéale et organisé d'une façon impeccable par l'association. Ils avaient une liste des enfants et de leur pointure de pieds déjà préparée par l'école au préalable. Ils ont séparés le groupe en sous groupe pour faciliter l'installation des bottes aux enfants car le tout est fait dans une petite tente-roulotte. Ils fournissent TOUT même les casques. Puis les instructeurs donnent les règle de base aux enfants puis nous nous dirigeons vers les deux petites pentes équipés d'un tapis remonte-pente. L'attente pour les descentes est un peu plus longue qu'à la glissade mais ceci reste une très belle expérience. En somme, j'ai ADORÉ ma journée et ma fille qui n'aime pas trop les jeux extérieur a également adoré. Profitez de ce service offert gratuitement dans notre ville, il est vraiment hors pair.",5,2/3/2018,Judith C.,https://fr.yelp.ca/user_details?userid=4ONcRRisDZkbV1cviA7nFw,"Laval, QC",Centre de la Nature
3,"J'adore cette endroit, surtout pour les enfants. Il y a piscine, grand terrain pour courir, une fermette, des tours de trains qui sont payant, deux terrain de jeux pour enfants où ils peuvent glisser, grimper et courir. Endroit où faire du canot. L'hiver tu peux y glisser, faire du patin. Pourrais avoir plus de stationnement à mon avis, mais sinon je recommande pour la famille et les couples.",4,16/12/2019,Lisa-Marie P.,https://fr.yelp.ca/user_details?userid=9n8cuO0YqJGu2JSvRa3J7w,"Le Sud-Ouest, Montréal, QC",Centre de la Nature
4,"J'adore ! Espace vert, sentiers, jeux d'eau, piscine, animaux, attractions ..bref, tout pour une belle journée en famille. L'entrée est gratuite, le stationnement 7$ et certaines activités sont payantes (trains, poneys, kayak etc) plusieurs endroits pour s'asseoir et manger, les enfants peuvent profiter de l'espace et des activités, ma fille a particulièrement aimé le petit train hehe.Un endroit que j'adore à quelques minutes de Montréal",5,28/7/2018,Cat R.,https://fr.yelp.ca/user_details?userid=lNDdOlmN8lu-YJdB-cwfZQ,"Montréal, QC",Centre de la Nature
5,"Jolie parc avec aire de jeux pour enfants clôturé. Les jeux sont pour âges variés, donc il y en avait pour nos enfants de 2 et 6 ans. Beaucoup d'ombre grâce aux nombreux arbres. Plusieurs tables à pique-nique disponibles à l'extérieur de la clôture. Terrain de soccer, de pétanque, 3 paniers de basketball, rack pour vélo et bancs de parc. Bien fait!",5,22/7/2019,Gabriel M.,https://fr.yelp.ca/user_details?userid=yShmB3hugR8RtXDeyL7ZYA,"Montréal, QC",Parc des Carrières
6,"Vraiment mignon comme parc. À proximité du Parc Laurier et du Parc, il serait facile de ne jamais se rendre compte que ce petit parc existe. Quand je suis allée, il y avait deux petits groupes qui profitaient des tables de picnic pour y passer l'heure du lunch, un autre qui jouait au basketball (il y a trois paniers au centre), et une dizaine de monsieur qui jouaient à la pétanque. Il y a aussi un très joli parc pour enfant avec des structures à deux niveaux 0 une pour les plus petits et une pour les grands. Le parc comme tel est bien entretenu et propre, donc c'est un petit oasis un peu caché dans Rosemont-Petite-Patrie qui vaut la peine de découvrir.",3,22/5/2013,Marie-Pier R.,https://fr.yelp.ca/user_details?userid=6MM9Yqn7UBM8tmpSHQHAAg,"Sydney, Australie",Parc des Carrières
7,"Lorsqu'il s'agit de prendre l'air, en toute saison, c'est l'endroit où il faut se retrouver, bien sûr. Habitué des lieux, je fouine aux alentours et vous recommande fortement de vous y rendre. En métro, station Mont-Royal, on prend la 11 pour la montagne, on grimpe, et on finit par trouver l'endroit... Demandez au chauffeur, ne vous gênez pas!L'été, c'est la saison des pique-niques, bien sûr, mais l'hiver, c'est la saison du patin. Alors, emmitouflez-vous et rendez-vous.Un aperçu, pour votre plaisir, sur YouTube:youtu.be/jIbu35HGuDQ",5,16/2/2013,Claude L.,https://fr.yelp.ca/user_details?userid=G6QtqwWjtIG6oJtAB49swg,"Ville de Québec, QC",Lac aux Castors
8,C'est un super environnement  où  nous sommes entouré par la nature et nous pouvons  faire des randonnées  pédestres assez intéressante .,4,13/1/2018,Christel G.,https://fr.yelp.ca/user_details?userid=COSQAYt7Si3734b_LWQjvw,"Montréal, QC",Lac aux Castors
9,"Le lac au castor n'est pas seulement une patinoire. C'est aussi un lac sur les pentes duquel on fait de la luge l'hiver.  On peut aussi louer des skis ou des raquettes pour aller se balader sur le Mont-Royal et quand il fait trop froid on peut aller se réchauffer et boire un chocolat dans le pavillon à côté. L'été, le lac se transforme en aire de pédalo et ses bords en aires de pique-niques et barbecue. Malgré tout ça, ce n'est pas l'endroit que je préfère. La patinoire est ridiculement petite, on a l'impression d'y tourner en rond comme un poisson dans son bocal, elle est payante et en plus comme elle n'est pas du tout abritée du vent, on se les gèle très rapidement! Quand aux pédalos  l'été on en revient toujours à une question d'espace confiné et de prix ridiculement élevé. Reste plus que la luge quoi, mais ça vaut le coup!",3,6/1/2011,Virginie B.,https://fr.yelp.ca/user_details?userid=VYXa-WYWq8FaIUk_z1yj4A,"Laparade, France",Lac aux Castors
