,Name,Link,Rating,Num_Reviews
0,Parc du Mont-Royal,https://www.yelp.com/biz/parc-du-mont-royal-montr%C3%A9al-3?osq=park,4.5,352
1,Parc la Fontaine,https://www.yelp.com/biz/parc-la-fontaine-montr%C3%A9al-2?osq=park,4.5,48
2,Parc de La Cite,https://www.yelp.com/biz/parc-de-la-cite-saint-hubert?osq=park,4.5,4
3,Square Saint-Louis,https://www.yelp.com/biz/square-saint-louis-montr%C3%A9al-2?osq=park,5.0,23
4,Parc-nature de l’Île-de-la-Visitation,https://www.yelp.com/biz/parc-nature-de-l-%C3%AEle-de-la-visitation-montr%C3%A9al?osq=park,4.5,10
5,Parc Jeanne-Mance,https://www.yelp.com/biz/parc-jeanne-mance-montr%C3%A9al-2?osq=park,4.0,13
6,Parc Sir-Wilfrid-Laurier,https://www.yelp.com/biz/parc-sir-wilfrid-laurier-montr%C3%A9al?osq=park,4.5,18
7,Parc René-Lévesque,https://www.yelp.com/biz/parc-ren%C3%A9-l%C3%A9vesque-lachine-2?osq=park,4.5,12
8,Canal Lachine,https://www.yelp.com/biz/canal-lachine-montr%C3%A9al?osq=park,4.5,24
9,Parc Jean-Drapeau,https://www.yelp.com/biz/parc-jean-drapeau-montr%C3%A9al-2?osq=park,4.0,43
10,Notre Dame de Grâce Park,https://www.yelp.com/biz/parc-notre-dame-de-gr%C3%A2ce-montr%C3%A9al-2?osq=park,5.0,2
11,Parc Westmount,https://www.yelp.com/biz/parc-westmount-westmount?osq=park,4.5,9
12,Parc Jarry,https://www.yelp.com/biz/parc-jarry-montr%C3%A9al?osq=park,4.5,19
13,Parc Beaubien,https://www.yelp.com/biz/parc-beaubien-montr%C3%A9al?osq=park,4.0,1
14,Parc Desmarchais,https://www.yelp.com/biz/parc-desmarchais-montr%C3%A9al?osq=park,4.5,3
15,Parc Outremont,https://www.yelp.com/biz/parc-outremont-montr%C3%A9al?osq=park,4.0,4
16,Jardin Botanique de Montréal,https://www.yelp.com/biz/jardin-botanique-de-montr%C3%A9al-montr%C3%A9al-2?osq=park,4.5,229
17,Le Vieux-Port de Montréal,https://www.yelp.com/biz/le-vieux-port-de-montr%C3%A9al-montr%C3%A9al?osq=park,4.5,105
18,Place Émilie-Gamelin,https://www.yelp.com/biz/place-%C3%A9milie-gamelin-montr%C3%A9al?osq=park,4.0,17
19,Parc du Quai-de-la Tortue,https://www.yelp.com/biz/parc-du-quai-de-la-tortue-montr%C3%A9al?osq=park,4.0,2
20,Murray Hill Park,https://www.yelp.com/biz/murray-hill-park-westmount?osq=park,5.0,2
21,Lac aux Castors,https://www.yelp.com/biz/lac-aux-castors-montr%C3%A9al-2?osq=park,3.5,5
