review_text,label
Very good for the family !! 😍,1
Very well thought out congratulations for the children.,1
Nice place,1
Good,1
Beautiful park in the vicinity of Anjou to relax and exercise. There is an open gym as well. People come with their kids and pets,1
"This is a very pretty park with lots of seating. Stopped at night with a beverage and just sat for a bit after a long day of being a tourist. It's quiet, even when full of people and no one bothers anyone.",1
"Great place for a walk , jog or bike ride.",1
💘 this place. Kids play in a safe area watched by parents. Lots to do. Lots of activities.,1
Park,0
Super good very good idea 💡 to visit se park,1
Just Wow !!! Beautiful large park well organized. Superb design!,1
Close for some numbers,0
Nice place for a walk by water,1
"Park with green space, benches, play and fitness structures, supervised paddling pool in summer",1
Awesome big park!!!,1
Wonderful place♥️,1
Super cool for a piknik and party under the trees! BUT THE TOILETS OF THE CENTRAL CHALET COME ALL RIGHT OF THE 70'S !!!,1
osheaga yas queen,1
Very dirty the damaged bench full unpleasant people,0
All in all pretty boring park if you have kids they should add perhaps playground,0
nice place to visit with family,1
Great place to relax on a sunny day,1
Nice place to relax,1
I like bcp,1
Makes me feel Montreal so beautiful,1
"Super petit park but considering it is in the middle of residential buildings, businesses, it certainly fill a nice void that is quite popular.",1
"Great for picnics and to have a good time with family, friends or just by yourself",1
Skatepark needs a serious makeover!,0
"Beautiful parc, well maintained. Excellent for a BBQ or a walk",1
"This park should accommodate a new community gardens. Baseball field, Clément-Jetté arena, Annie Pelletier pool. Small park for children.",1
A beautiful botanical garden that is divided and adapted to individual cultures and continents.,1
"Beautiful park, went for Ilsoniq music festival, would go back on a normal day for the sights",1
"Eat drink enjoy music  you can add salad from the garden he for me it""s the best",1
"One of the best parc in the hood. Always busy on sunny days, especially the bball court.",1
Very busy sliding hill ...,1
Cool,1
Fantastic pool. Very clean,1
It's small but everyone likes it,1
A hilly park with lots of trees and trails. I prefer leaving the paved path and making my way through the forest paths.,1
"It is a beautiful park with patogeoire and jets of water ... two modules of games, one for 1 to 5 years and one for the oldest. By cons it lacks basketball basket ... there is none.",1
Nice spot to think about life purpose!,1
Ok,1
It's nice to walk through it on the way home.,1
Very cool for winter sliding,1
Ok,0
"Very very nice, big, clean park. Everything there looks brand new. Water games are available for children (not your dogs) and there are easily accessible bathrooms.",1
"Nice park,got a friend's wedding there.",0
Very nice,1
"Large park
Many outdoor lights for night
New skateboard area",1
Beautiful park I practice sport laba.,1
peaceful place! keep it like this!,1
Take a peek 🤓,1
"Nice, quiet family orientéd park in a densely populated borough",1
Beautiful spacious park,1
There are many green spaces But the only things it will be necessary to change to put light on the ground of BASKET BALL,1
Beautiful public park... lots of squirrels!,1
Many birds to photograph,1
Magic and historic place!,1
Small clean park with the minimum,0
Beautiful space. Well moved. Just a little defect on the maintenance ... The street lights are nests with spiders I have the impression that they have not been washed for a long time,1
"nice and dog friendly, just keep them on leash unless in the right time and zones",1
