,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Domaine Saint-Paul,ChZDSUhNMG9nS0VJQ0FnSUR5ejg3Y2R3EAE,Kevin Yo,https://www.google.com/maps/contrib/100867508312398937476/reviews?hl=en-CA,2 months ago,2021-06-20 21:47:24.520438,5.0,39,"I went while snow was starting to melt. Some paths were super muddy but once you get to the wooden path, everything was good. Enjoyable small hike."
1,Domaine Saint-Paul,ChdDSUhNMG9nS0VJQ0FnSUNLa1ByYnJnRRAB,Claire Lu,https://www.google.com/maps/contrib/110571762000886569741/reviews?hl=en-CA,2 months ago,2021-06-20 21:47:24.521387,5.0,26,"A lovely uncrowded park with many wooden paths to hike on! The lake is beautiful in the winter, but some paths were slushy so make sure to wear adequate shoes"
2,Domaine Saint-Paul,ChZDSUhNMG9nS0VJQ0FnSUNpZ2FuUU93EAE,Dmytro Kuznetsov,https://www.google.com/maps/contrib/105617325170770994112/reviews?hl=en-CA,7 months ago,2021-06-20 21:47:24.522648,5.0,24,"It's beautiful. Very nice area, that doesn't feel like a city park. Oasis of nature on Nuns Island."
3,Domaine Saint-Paul,ChdDSUhNMG9nS0VJQ0FnSUNxa1AzMnNBRRAB,Hossein Farahmand,https://www.google.com/maps/contrib/117340673648067696360/reviews?hl=en-CA,3 weeks ago,2021-06-20 21:47:24.523598,5.0,24,"Very beautiful nature,  you feel harmonized with the forest if you walk here."
4,Domaine Saint-Paul,ChdDSUhNMG9nS0VJQ0FnSURTLWRQbzdRRRAB,César Olivera Susaníbar,https://www.google.com/maps/contrib/100229566370592171783/reviews?hl=en-CA,5 months ago,2021-06-20 21:47:24.524633,5.0,58,"Beautiful little park, nice river views :)"
5,Domaine Saint-Paul,ChdDSUhNMG9nS0VJQ0FnSUNxNE9HRzJRRRAB,Neha Kumari,https://www.google.com/maps/contrib/103212914122110969912/reviews?hl=en-CA,4 weeks ago,2021-06-20 21:47:24.525872,4.0,63,Good trail at nuns island .
6,Domaine Saint-Paul,ChdDSUhNMG9nS0VJQ0FnSUN3N2FEZHJnRRAB,Eco Eco,https://www.google.com/maps/contrib/100285642219119680900/reviews?hl=en-CA,3 years ago,2021-06-20 21:47:24.526848,5.0,330,A taste of forest in the city. Calm and relaxing place where you can enjoy beautiful vegetation and hear the birds enjoy
7,Domaine Saint-Paul,ChZDSUhNMG9nS0VJQ0FnSUNLcTVtVE5REAE,Benn Dover,https://www.google.com/maps/contrib/113418620278459992922/reviews?hl=en-CA,2 months ago,2021-06-20 21:47:24.527798,4.0,37,Still a bit muddy...not many song birds yet
8,Domaine Saint-Paul,ChZDSUhNMG9nS0VJQ0FnSURLbXJQU1BBEAE,Genrih Kavriga,https://www.google.com/maps/contrib/109859743177243220559/reviews?hl=en-CA,a month ago,2021-06-20 21:47:24.528724,2.0,49,dense cluttered and unkempt forest.
9,Domaine Saint-Paul,ChdDSUhNMG9nS0VJQ0FnSUQ4OFl5NTF3RRAB,Louie L,https://www.google.com/maps/contrib/112832895686937838716/reviews?hl=en-CA,10 months ago,2021-06-20 21:47:24.529811,5.0,624,Nice little trail on the island
