,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Espace Pierre-Bourgault,ChdDSUhNMG9nS0VJQ0FnSUNRODVyZTh3RRAB,Jason Behrmann,https://www.google.com/maps/contrib/115425130470965248421/reviews?hl=en-CA,5 years ago,2021-06-20 21:48:19.068354,4.0,272,"Newly renovated park with table tennis, grass area and central place to sit. Great for a private pinic."
1,Espace Pierre-Bourgault,ChdDSUhNMG9nS0VJQ0FnSURpX3VpcDJnRRAB,Mario Bérubé,https://www.google.com/maps/contrib/100525911463391749441/reviews?hl=en-CA,6 months ago,2021-06-20 21:48:19.069304,5.0,57,"(Translated by Google) Very nice organic zig zag space. For children and adults alike. Stone ping-pong table (terrazzo). Small wooden stage suitable for an improvised show.

(Original)
Très joli espace organique en zig zag. Pour les enfants comme pour les grands. Table de ping-pong en pierre (terrazzo). Petite scène en bois propice au spectacle improvisé."
2,Espace Pierre-Bourgault,ChdDSUhNMG9nS0VJQ0FnSURDMGFPSjVRRRAB,Globule Agrumes,https://www.google.com/maps/contrib/108391267602700261080/reviews?hl=en-CA,8 months ago,2021-06-20 21:48:19.070231,3.0,455,"(Translated by Google) Another quiet place in the area.

(Original)
Un autre endroit calme dans le secteur."
3,Espace Pierre-Bourgault,ChZDSUhNMG9nS0VJQ0FnSUNvN3MtQWZ3EAE,Francois Bruno,https://www.google.com/maps/contrib/111236278505290335889/reviews?hl=en-CA,2 years ago,2021-06-20 21:48:19.071152,4.0,79,"(Translated by Google) I find this place good. Small. Nice people.

(Original)
Je trouve cette endroit bien. Petit. Des gens agréable."
4,Espace Pierre-Bourgault,ChdDSUhNMG9nS0VJQ0FnSUNBLTUzZzlBRRAB,Antonin Thompson,https://www.google.com/maps/contrib/117186689814864982049/reviews?hl=en-CA,3 years ago,2021-06-20 21:48:19.072121,1.0,4,
5,Espace Pierre-Bourgault,ChdDSUhNMG9nS0VJQ0FnSUM4NHRxaTlBRRAB,Isis Gomes,https://www.google.com/maps/contrib/107495756141095290079/reviews?hl=en-CA,11 months ago,2021-06-20 21:48:19.073202,5.0,21,
6,Espace Pierre-Bourgault,ChdDSUhNMG9nS0VJQ0FnSURRbXM2dzh3RRAB,PCK Inc.,https://www.google.com/maps/contrib/103779994638502407678/reviews?hl=en-CA,4 years ago,2021-06-20 21:48:19.074121,4.0,37,
7,Espace Pierre-Bourgault,ChdDSUhNMG9nS0VJQ0FnSUNBNElfMTVnRRAB,Eric Giroux,https://www.google.com/maps/contrib/114751929309079910022/reviews?hl=en-CA,3 years ago,2021-06-20 21:48:19.075039,4.0,21,
8,Espace Pierre-Bourgault,ChdDSUhNMG9nS0VJQ0FnSURZd1k3SzBRRRAB,Alexandre Joubert,https://www.google.com/maps/contrib/101315646472999117465/reviews?hl=en-CA,2 years ago,2021-06-20 21:48:19.075955,2.0,58,
9,Espace Pierre-Bourgault,ChdDSUhNMG9nS0VJQ0FnSUN3aUlHMXhnRRAB,Alexandre Beaudry,https://www.google.com/maps/contrib/110826242968394169314/reviews?hl=en-CA,a year ago,2021-06-20 21:48:19.076872,5.0,77,
10,Espace Pierre-Bourgault,ChdDSUhNMG9nS0VJQ0FnSURnNDZPWGpRRRAB,Daniel Marino,https://www.google.com/maps/contrib/100004849086248747336/reviews?hl=en-CA,3 years ago,2021-06-20 21:48:19.077788,4.0,11,
11,Espace Pierre-Bourgault,ChdDSUhNMG9nS0VJQ0FnSURDeHJDTGhnRRAB,The Unknown,https://www.google.com/maps/contrib/100992047701658558207/reviews?hl=en-CA,8 months ago,2021-06-20 21:48:19.078974,5.0,24,
12,Espace Pierre-Bourgault,ChZDSUhNMG9nS0VJQ0FnSURTay1Qc1RREAE,Raymond Beauregard-Casavant,https://www.google.com/maps/contrib/113337678916965545635/reviews?hl=en-CA,5 months ago,2021-06-20 21:48:19.079987,4.0,52,
13,Espace Pierre-Bourgault,ChZDSUhNMG9nS0VJQ0FnSURnMmFmbEhnEAE,Michael Schäffer,https://www.google.com/maps/contrib/105779807895694489672/reviews?hl=en-CA,4 years ago,2021-06-20 21:48:19.080984,3.0,140,
