,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Miniparc Grandbois,ChZDSUhNMG9nS0VJQ0FnSUN3bHRUMUFnEAE,Jonathan Venditti,https://www.google.com/maps/contrib/105330424522011624080/reviews?hl=en-CA,3 years ago,2021-06-20 21:54:41.818670,3.0,151,Its a park..
1,Miniparc Grandbois,ChZDSUhNMG9nS0VJQ0FnSUNRb05XVUl3EAE,Matt Mbarga,https://www.google.com/maps/contrib/102146027559816926600/reviews?hl=en-CA,6 years ago,2021-06-20 21:54:41.819598,5.0,1,cool
2,Miniparc Grandbois,ChZDSUhNMG9nS0VJQ0FnSUNLMFo2Z2FREAE,Abdessalam Hasni (Abdel),https://www.google.com/maps/contrib/106857111437709452802/reviews?hl=en-CA,2 months ago,2021-06-20 21:54:41.820707,3.0,37,"(Translated by Google) Small nice park, we eat Dairy Queen ice cream with our children, but sometimes it is very dirty, some people who go there throw their papers and their Goblets everywhere while several bins are available, it's sad to see that .

(Original)
Petit parc sympatique, on y mange des glaces du Dairy Queen avec nos enfants, mais des fois il est très sale, certaines personnes qui y vont jettent partout leurs papiers et leurs Goblets alors que plusieurs poubelles sont disponibles, c'est triste de voir ça."
3,Miniparc Grandbois,ChdDSUhNMG9nS0VJQ0FnSURDd3ZuRS1RRRAB,Giulio Iaconi,https://www.google.com/maps/contrib/113581517301142701475/reviews?hl=en-CA,9 months ago,2021-06-20 21:54:41.822357,5.0,81,
4,Miniparc Grandbois,ChdDSUhNMG9nS0VJQ0FnSUQ4dmQyUndBRRAB,P. Faust,https://www.google.com/maps/contrib/100054783963095019503/reviews?hl=en-CA,10 months ago,2021-06-20 21:54:41.823437,5.0,19,
5,Miniparc Grandbois,ChdDSUhNMG9nS0VJQ0FnSUNVeVA2c2h3RRAB,Alexandre Joubert,https://www.google.com/maps/contrib/101315646472999117465/reviews?hl=en-CA,a year ago,2021-06-20 21:54:41.824361,2.0,58,
6,Miniparc Grandbois,ChZDSUhNMG9nS0VJQ0FnSUNBekt5YmR3EAE,Vincent Di Re (VinnieDR),https://www.google.com/maps/contrib/104882678480290116831/reviews?hl=en-CA,3 years ago,2021-06-20 21:54:41.825277,4.0,7,
7,Miniparc Grandbois,ChZDSUhNMG9nS0VJQ0FnSUNDb0xuRlhREAE,Ahmed Tahiri,https://www.google.com/maps/contrib/103527320733413100042/reviews?hl=en-CA,10 months ago,2021-06-20 21:54:41.826189,5.0,9,
8,Miniparc Grandbois,ChZDSUhNMG9nS0VJQ0FnSUN5bWJEVE9REAE,رياض بلكر,https://www.google.com/maps/contrib/117877571458432538213/reviews?hl=en-CA,4 months ago,2021-06-20 21:54:41.827102,5.0,9,
9,Miniparc Grandbois,ChZDSUhNMG9nS0VJQ0FnSUMwLUl6dUtBEAE,Michel Labrecque,https://www.google.com/maps/contrib/102834080071855480305/reviews?hl=en-CA,a year ago,2021-06-20 21:54:41.828013,4.0,28,
10,Miniparc Grandbois,ChZDSUhNMG9nS0VJQ0FnSUNRLVl6OEd3EAE,Renee Lanteigne,https://www.google.com/maps/contrib/115031522032062903658/reviews?hl=en-CA,2 years ago,2021-06-20 21:54:41.829053,3.0,10,
