,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Miniparc Robert,ChdDSUhNMG9nS0VJQ0FnSUNVdk1LbDlBRRAB,ishak kokoc,https://www.google.com/maps/contrib/107682963204960781128/reviews?hl=en-CA,a year ago,2021-06-20 21:55:11.079461,5.0,42,Super like it very much
1,Miniparc Robert,ChdDSUhNMG9nS0VJQ0FnSURjMU4zNTBnRRAB,Naji Bb,https://www.google.com/maps/contrib/114013368281560233209/reviews?hl=en-CA,a year ago,2021-06-20 21:55:11.081824,4.0,8,Quiet park
2,Miniparc Robert,ChZDSUhNMG9nS0VJQ0FnSUNxN003ZFhBEAE,Laporte Elwilne,https://www.google.com/maps/contrib/110388181602998487554/reviews?hl=en-CA,3 weeks ago,2021-06-20 21:55:11.087981,5.0,52,"(Translated by Google) Very calm and entertaining

(Original)
Très  calme et divertissant"
3,Miniparc Robert,ChdDSUhNMG9nS0VJQ0FnSUMweXB5R3pnRRAB,Yakoub Damous,https://www.google.com/maps/contrib/105705360306067875745/reviews?hl=en-CA,a year ago,2021-06-20 21:55:11.091467,5.0,1,"(Translated by Google) Just wonderful

(Original)
Juste magnifique"
4,Miniparc Robert,ChdDSUhNMG9nS0VJQ0FnSUM0eE1pNnV3RRAB,laurent laplante,https://www.google.com/maps/contrib/113938047251073495836/reviews?hl=en-CA,2 years ago,2021-06-20 21:55:11.094669,5.0,66,"(Translated by Google) Too cute ... With duck and white geese all year!

(Original)
Trop mignon... Avec canard et oies blanches à l'année!"
5,Miniparc Robert,ChZDSUhNMG9nS0VJQ0FnSUNVb3NDVUxREAE,Miguel Angel Linares Ramirez,https://www.google.com/maps/contrib/115989466785134641263/reviews?hl=en-CA,a year ago,2021-06-20 21:55:11.096810,2.0,1,"(Translated by Google) It is a good place to enjoy with the family. In addition this place is very close to me.

(Original)
C'est un bon endroit pour profiter avec la famille. En plus ce place est très proche chez moi.👍"
6,Miniparc Robert,ChdDSUhNMG9nS0VJQ0FnSUN3eE0zd3B3RRAB,Michel Christin,https://www.google.com/maps/contrib/103394083204739714143/reviews?hl=en-CA,2 years ago,2021-06-20 21:55:11.098642,4.0,36,"(Translated by Google) What is most pleasant is the shade cast by the trees ..... so not too hot

(Original)
Ce qui est le plus agréable est l'ombre projeté par les arbres..... donc pas trop chaud"
7,Miniparc Robert,ChdDSUhNMG9nS0VJQ0FnSUNVa2RtcjJnRRAB,mika jean,https://www.google.com/maps/contrib/116039183869422967958/reviews?hl=en-CA,a year ago,2021-06-20 21:55:11.100288,5.0,2,
8,Miniparc Robert,ChdDSUhNMG9nS0VJQ0FnSUMwaXVXbXN3RRAB,Cristina Martello,https://www.google.com/maps/contrib/116070954524343269944/reviews?hl=en-CA,a year ago,2021-06-20 21:55:11.102233,5.0,3,
9,Miniparc Robert,ChdDSUhNMG9nS0VJQ0FnSUNDX1lqMW53RRAB,Alissia josef,https://www.google.com/maps/contrib/108070586295642060322/reviews?hl=en-CA,9 months ago,2021-06-20 21:55:11.103941,4.0,23,
10,Miniparc Robert,ChZDSUhNMG9nS0VJQ0FnSUNVeV9PQldnEAE,Alexandre Dufresne-B.,https://www.google.com/maps/contrib/103279846650288902058/reviews?hl=en-CA,a year ago,2021-06-20 21:55:11.105677,5.0,21,
11,Miniparc Robert,ChZDSUhNMG9nS0VJQ0FnSURreWRlRVBBEAE,Minh Tuan Ha,https://www.google.com/maps/contrib/107401067351713315834/reviews?hl=en-CA,a year ago,2021-06-20 21:55:11.107731,4.0,0,
12,Miniparc Robert,ChZDSUhNMG9nS0VJQ0FnSUMweU5pQUtREAE,Nancy St-Pierre,https://www.google.com/maps/contrib/108953315048031726435/reviews?hl=en-CA,a year ago,2021-06-20 21:55:11.109472,5.0,0,
13,Miniparc Robert,ChZDSUhNMG9nS0VJQ0FnSURrNVpIZ0p3EAE,fatima zahra,https://www.google.com/maps/contrib/116491763415867041943/reviews?hl=en-CA,a year ago,2021-06-20 21:55:11.111746,5.0,0,
14,Miniparc Robert,ChZDSUhNMG9nS0VJQ0FnSURZMF9ENkJBEAE,Massimo Di Tullio,https://www.google.com/maps/contrib/117100068024892316288/reviews?hl=en-CA,2 years ago,2021-06-20 21:55:11.113494,4.0,73,
15,Miniparc Robert,ChZDSUhNMG9nS0VJQ0FnSUNzX18takFREAE,Karla Cuevas,https://www.google.com/maps/contrib/116074904780677947905/reviews?hl=en-CA,a year ago,2021-06-20 21:55:11.115251,5.0,0,
