,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Ahuntsic,ChZDSUhNMG9nS0VJQ0FnSUR5aVBHeFFnEAE,Amir M. Yadghar,https://www.google.com/maps/contrib/115901155341377569307/reviews?hl=en-US,4 months ago,2021-06-23 13:37:03.237587,5.0,191,"Very nice park, even in winter. There is a sliding hill, which has a good-enough height.
The good thing is the McDonald's exactly in front of the park on the other side of the street whoch make your visit to the park delicious :)"
1,Parc Ahuntsic,ChdDSUhNMG9nS0VJQ0FnSUNxOWYydDZBRRAB,Gina Lariccia,https://www.google.com/maps/contrib/117076723265405055261/reviews?hl=en-US,a week ago,2021-06-23 13:37:03.238772,5.0,108,Beautiful park!! Lot's of swings and hamacs for all ages. I recommend it for picnics or just hanging out.
2,Parc Ahuntsic,ChdDSUhNMG9nS0VJQ0FnSUNxa2ViQmxBRRAB,Wellington Leite,https://www.google.com/maps/contrib/115820781367403667117/reviews?hl=en-US,a week ago,2021-06-23 13:37:03.239771,5.0,156,Nice place to enjoy the nature without having to leave the island.
3,Parc Ahuntsic,ChdDSUhNMG9nS0VJQ0FnSUNxbWVMUnNRRRAB,M S,https://www.google.com/maps/contrib/106747629417626661039/reviews?hl=en-US,a week ago,2021-06-23 13:37:03.241152,5.0,87,Great park for kids of al ages!
4,Parc Ahuntsic,ChZDSUhNMG9nS0VJQ0FnSUNLaGNqT01REAE,SaMy,https://www.google.com/maps/contrib/107130311656636340418/reviews?hl=en-US,2 months ago,2021-06-23 13:37:03.242521,4.0,125,Great park with a huge children's play area. There are plenty of seats around the play area for parents to relax. Especially loved the sturdy hammocks. There's also a decent skating area. Good place to spend a day. There's also a mc donald's branch right opposite to the park entrance.
5,Parc Ahuntsic,ChZDSUhNMG9nS0VJQ0FnSURLdXFmN0NnEAE,Rochelle gillespie,https://www.google.com/maps/contrib/110528657744897626696/reviews?hl=en-US,a month ago,2021-06-23 13:37:03.243829,5.0,21,Great park! They have a variety of things for the kids to play on. My kids loved it there!
6,Parc Ahuntsic,ChdDSUhNMG9nS0VJQ0FnSUNxdFlmR3ZRRRAB,Oluwaseyi Malachi,https://www.google.com/maps/contrib/111512820926226753243/reviews?hl=en-US,a week ago,2021-06-23 13:37:03.245249,5.0,48,"I go here to chill.
Nice place for an evening walk."
7,Parc Ahuntsic,ChdDSUhNMG9nS0VJQ0FnSUNxZzdDRW93RRAB,Chad B,https://www.google.com/maps/contrib/103332586824134586160/reviews?hl=en-US,6 days ago,2021-06-23 13:37:03.246466,5.0,118,Really nice park. Great for kids.
8,Parc Ahuntsic,ChdDSUhNMG9nS0VJQ0FnSUNxaVlpSzFnRRAB,Michael Kiorpelidis,https://www.google.com/maps/contrib/109869714346381387430/reviews?hl=en-US,a week ago,2021-06-23 13:37:03.247754,5.0,27,"Awesome park, tons of space and a really cool playground!"
9,Parc Ahuntsic,ChdDSUhNMG9nS0VJQ0FnSUNDZ3EyUTdnRRAB,Andrew K,https://www.google.com/maps/contrib/116658151308794579808/reviews?hl=en-US,10 months ago,2021-06-23 13:37:03.249110,5.0,9,"I was almost attacked by some ducks. So much poop. Landmines everywhere. A cute little squirrel came up to me seeking some nuts, I told him I had none so he left. Very lovely place other wise. The girlfriend appreciated the scenery. :) Would visit again."
10,Parc Ahuntsic,ChdDSUhNMG9nS0VJQ0FnSUNLcUpQWm9nRRAB,Buster Peterson,https://www.google.com/maps/contrib/108799686446675994341/reviews?hl=en-US,2 months ago,2021-06-23 13:37:03.250393,4.0,7,"Buster Peterson is a time traveller from StarShip 55(99)that occupies the current shapeMullen, Colm. Follow BUSTER PETERSON or SSBULLHORN via Twitter visits as he spends his days DRIFTING through SPACE. or COLMMULLEN IG. okay so here’s the content.. days of SPRING Visit March 2921:
+ & %2021.y*.
Walking. Arrived from McDonalds across the street.’ Lajeunesse, on the back of a private scooter. we ordered two coffee s XZtra Large, mine with 4 sugars 3 cream. Popped off the scoot and there I was..
These people have built a brand new park inside of the old one. The ild skatepark (old*) was still there but clearly back shadowed by this new Adult Themed Park.
Like, are we all supposed-to quit our day jobs and start having fun in the blimmin park?
It seams like that’s what they’ve decided to build for humane sakes. Theyre not bad people, they invested 49 million dollars in the 15 to 30 age group."
11,Parc Ahuntsic,ChZDSUhNMG9nS0VJQ0FnSURLbHRDaGV3EAE,David Santana,https://www.google.com/maps/contrib/100754662544915409832/reviews?hl=en-US,a month ago,2021-06-23 13:37:03.251841,4.0,39,Beautiful park with playground for kids and green areas.
12,Parc Ahuntsic,ChZDSUhNMG9nS0VJQ0FnSURDczZTVUx3EAE,Robert Mendelson,https://www.google.com/maps/contrib/112056197038135914952/reviews?hl=en-US,8 months ago,2021-06-23 13:37:03.253135,5.0,31,"Well thought out park with all kinds of facilities and landscaping, something for everyone. A beautiful urban park!"
