,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Aimé-Léonard,ChZDSUhNMG9nS0VJQ0FnSURLemViUExnEAE,liliana rota,https://www.google.com/maps/contrib/111595273785008337351/reviews?hl=en-US,a month ago,2021-06-20 19:21:00.496213,5.0,3,Amazing. We were 8 people with a quide  for 2and a half  hours.and I learned  the history  of Montreal nord. It was beautiful. I live in montreal nord  since  1981.the park was clean with many families  and children and Birthday parties. Thank you  montreal nord. Liliana Rota and family  🌞🌞🌞
1,Parc Aimé-Léonard,ChZDSUhNMG9nS0VJQ0FnSUNnc09tc0R3EAE,Nick Delnero,https://www.google.com/maps/contrib/113064549027847741111/reviews?hl=en-US,2 years ago,2021-06-20 19:21:00.498156,3.0,153,"Nice walk in the park. Has tables for chess and playground for kids. Plenty of parking and a nice place for a picnick.

Nice walkways and next to quite a few resturants and a church if thats your thing."
2,Parc Aimé-Léonard,ChZDSUhNMG9nS0VJQ0FnSUNLMzgzTElREAE,Amanda Regimbald (RedstrikerLP),https://www.google.com/maps/contrib/103610568676690244683/reviews?hl=en-US,a month ago,2021-06-20 19:21:00.499913,4.0,7,"it was nice. some water access, places to sit. quiet."
3,Parc Aimé-Léonard,ChdDSUhNMG9nS0VJQ0FnSUM4Mk56bzdBRRAB,Dims,https://www.google.com/maps/contrib/109011032930428057285/reviews?hl=en-US,11 months ago,2021-06-20 19:21:00.500886,4.0,85,Nice open space for kids with waterpark.  Grass is yellow but the slides make up for it.
4,Parc Aimé-Léonard,ChZDSUhNMG9nS0VJQ0FnSUQ4b1A3SERREAE,Sam,https://www.google.com/maps/contrib/100238717055025448449/reviews?hl=en-US,11 months ago,2021-06-20 19:21:00.502019,5.0,22,Very nice view for a walk or cycling.
5,Parc Aimé-Léonard,ChdDSUhNMG9nS0VJQ0FnSUNNbjVTZ3hRRRAB,Slyvia Novac,https://www.google.com/maps/contrib/115993648861489583153/reviews?hl=en-US,a year ago,2021-06-20 19:21:00.503028,5.0,221,"in 1608, Samuel de Champlain continued to explore the continent with the objective of establishing a settlement - a New France - in North America. It is what they call the Route of Champlain (i.e. following the trail of Champlain)

In 1615, he climbed the Ottawa River, the Mattawa River and the French River until he reached Georgian Bay on Lake Huron on August 1, 1615. After a stay in Huron land, a military mission the conduit to the south. He leaves Huronia and descends the Trent River to the United States today. An injury forced him to spend the winter of 1615-16 in the Wendat between Georgian Bay and Lake Simcoe, a very populous area, which remains equally magnificent."
6,Parc Aimé-Léonard,ChZDSUhNMG9nS0VJQ0FnSUQ4bmFha1BnEAE,Ali Musawi,https://www.google.com/maps/contrib/113268139477031179791/reviews?hl=en-US,10 months ago,2021-06-20 19:21:00.504061,4.0,7,Very family friendly park. Lots of space and activities to do for the kids.
7,Parc Aimé-Léonard,ChdDSUhNMG9nS0VJQ0FnSURDbExmdGlRRRAB,prissy pereira,https://www.google.com/maps/contrib/110750437910620397655/reviews?hl=en-US,9 months ago,2021-06-20 19:21:00.505732,5.0,5,"Beautiful, Peaceful.
Great place to go and just think"
8,Parc Aimé-Léonard,ChdDSUhNMG9nS0VJQ0FnSUNLcmI2ci1nRRAB,Carole Caron,https://www.google.com/maps/contrib/107633244440473868844/reviews?hl=en-US,2 months ago,2021-06-20 19:21:00.507000,4.0,84,Tresbeau
9,Parc Aimé-Léonard,ChZDSUhNMG9nS0VJQ0FnSUR5Z3FlVENREAE,ngô quyền,https://www.google.com/maps/contrib/101223927018901618578/reviews?hl=en-US,3 months ago,2021-06-20 19:21:00.508149,5.0,10,Nice park!
10,Parc Aimé-Léonard,ChdDSUhNMG9nS0VJQ0FnSURrMkpuanBBRRAB,Leo Kupperman,https://www.google.com/maps/contrib/115067794597729437387/reviews?hl=en-US,a year ago,2021-06-20 19:21:00.509377,5.0,54,"A very nice park which was a great location for celebrating john Baptiste day with La Bottine Souriante. There was a nice little stage with a tight knit atmosphere. There was also a playground, plenty of green space, and a nice view of the water. I would definitely come back here if I get the chance."
11,Parc Aimé-Léonard,ChZDSUhNMG9nS0VJQ0FnSUNLLXRPSmVBEAE,Addoul abdoulence Boisrond,https://www.google.com/maps/contrib/109636801626998330940/reviews?hl=en-US,2 months ago,2021-06-20 19:21:00.511180,5.0,3,Nice
12,Parc Aimé-Léonard,ChdDSUhNMG9nS0VJQ0FnSUQ0eGFHZHlRRRAB,Ikhlas Abou monzer,https://www.google.com/maps/contrib/106613256018098489904/reviews?hl=en-US,2 years ago,2021-06-20 19:21:00.512245,5.0,6,"Very nice park where you can make a walk along the awesome view of the river , clean place, garbage and recycling bins all around and along the sidewalk of the river, special roadway for bicyclists, toilettes,  playing area, swings, water fountains to drink, and splashing water fountains for kids and families to enjoy the hot summer ."
13,Parc Aimé-Léonard,ChZDSUhNMG9nS0VJQ0FnSUNVdWFHN2J3EAE,Onn Sight,https://www.google.com/maps/contrib/113530536114919558316/reviews?hl=en-US,a year ago,2021-06-20 19:21:00.514283,4.0,88,good park for kids and activities during the summer Kayak and shows are happening there they have made a few changes over the years and it's for the better
14,Parc Aimé-Léonard,ChZDSUhNMG9nS0VJQ0FnSURrOUkzaE1BEAE,Robert Jr Buri,https://www.google.com/maps/contrib/104022867666313764000/reviews?hl=en-US,a year ago,2021-06-20 19:21:00.515332,4.0,143,Nice night for quebecois folklore music..good group..over 7.000 people..family fun...and only beer to drink.???..my girlfreind like pepsi or coke...but no.luck..???
15,Parc Aimé-Léonard,ChdDSUhNMG9nS0VJQ0FnSURVanRhajBnRRAB,Tommy Alves,https://www.google.com/maps/contrib/118336339352260703760/reviews?hl=en-US,a year ago,2021-06-20 19:21:00.516700,5.0,55,Nice park with water splash for kids. Also some river kayaking is available during the summer.
16,Parc Aimé-Léonard,ChdDSUhNMG9nS0VJQ0FnSURrMk1hOWpBRRAB,ishak kokoc,https://www.google.com/maps/contrib/107682963204960781128/reviews?hl=en-US,a year ago,2021-06-20 19:21:00.517951,5.0,42,Love it
