,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Albert-Perras,ChdDSUhNMG9nS0VJQ0FnSURzbkotRnF3RRAB,HUnewearl Sue,https://www.google.com/maps/contrib/107633268788044341076/reviews?hl=en-US,a year ago,2021-06-20 19:30:52.086274,3.0,140,"Another of LaSalle's parks in need of a little attention. Impact/landing zones are below grade for CSA standards. Anyone can fact check that little nugget of knowledge by the way, just research it. The equipments been updated over the years so that's nice at least. And this park is wonderfully located near a busy street, and yet still is a nice quiet park. Definitely a park worth taking younger kids too. For the record though, there's not a lot in the nearby area, so if you want to take your kids for ice cream or a treat afterwards, your options are a nearby depanneur, Marash (from what I understand, worth the visit) or hop in a car and go to Place LaSalle."
1,Parc Albert-Perras,ChdDSUhNMG9nS0VJQ0FnSURZdDQyTzdBRRAB,Sam Mak,https://www.google.com/maps/contrib/111251718594492101800/reviews?hl=en-US,2 years ago,2021-06-20 19:30:52.087243,5.0,8,I love spending time with my son there
2,Parc Albert-Perras,ChdDSUhNMG9nS0VJQ0FnSURNOS1mZWxnRRAB,amanda glenane,https://www.google.com/maps/contrib/107404818338796365224/reviews?hl=en-US,a year ago,2021-06-20 19:30:52.088161,2.0,8,It ok great
3,Parc Albert-Perras,ChZDSUhNMG9nS0VJQ0FnSURRMGNIMURREAE,Kari Lee,https://www.google.com/maps/contrib/112861549165150710026/reviews?hl=en-US,3 years ago,2021-06-20 19:30:52.089077,4.0,15,"Cute little park, a small play ground and a larger one for older kids"
4,Parc Albert-Perras,ChdDSUhNMG9nS0VJQ0FnSURpX0xITTFnRRAB,Charles Ewusi,https://www.google.com/maps/contrib/101805600486290742719/reviews?hl=en-US,6 months ago,2021-06-20 19:30:52.090146,4.0,14,Nice
5,Parc Albert-Perras,ChdDSUhNMG9nS0VJQ0FnSURnZ3QzdG1nRRAB,mary tortolano,https://www.google.com/maps/contrib/113299879575135550666/reviews?hl=en-US,3 years ago,2021-06-20 19:30:52.091070,5.0,16,For the kids to play
6,Parc Albert-Perras,ChdDSUhNMG9nS0VJQ0FnSUNxdS1XVXl3RRAB,Kat Maheu,https://www.google.com/maps/contrib/110483279428405971693/reviews?hl=en-US,10 hours ago,2021-06-20 19:30:52.092021,4.0,30,Cute park
7,Parc Albert-Perras,ChdDSUhNMG9nS0VJQ0FnSUN3OXFYOXBBRRAB,Eric Clement,https://www.google.com/maps/contrib/105084693320950106902/reviews?hl=en-US,3 years ago,2021-06-20 19:30:52.092943,5.0,128,"(Translated by Google) Beautiful little park.

(Original)
Beau petit parc."
8,Parc Albert-Perras,ChdDSUhNMG9nS0VJQ0FnSUN3b2J5NF9nRRAB,Vikram Rehal,https://www.google.com/maps/contrib/111333336519399951582/reviews?hl=en-US,3 years ago,2021-06-20 19:30:52.093860,4.0,1,
9,Parc Albert-Perras,ChdDSUhNMG9nS0VJQ0FnSUNVXzdxdjl3RRAB,Mara Penate,https://www.google.com/maps/contrib/104723484903778571489/reviews?hl=en-US,a year ago,2021-06-20 19:30:52.094774,4.0,59,
