,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Alexander,ChZDSUhNMG9nS0VJQ0FnSURDbXFDS1JBEAE,Nick Search,https://www.google.com/maps/contrib/103593770698367967658/reviews?hl=en-US,8 months ago,2021-06-20 19:32:23.774752,3.0,37,"Its a good park for sport pool, football, 🏀 and soccer."
1,Parc Alexander,ChdDSUhNMG9nS0VJQ0FnSUNxbnJIcXZ3RRAB,dc B,https://www.google.com/maps/contrib/116532832405606796894/reviews?hl=en-US,a week ago,2021-06-20 19:32:23.775689,5.0,86,Near bike route.
2,Parc Alexander,ChdDSUhNMG9nS0VJQ0FnSURDaU1mNzZBRRAB,Santoro Productions,https://www.google.com/maps/contrib/104607131720998254944/reviews?hl=en-US,9 months ago,2021-06-20 19:32:23.776611,5.0,11,Bball park for the high caliber players
3,Parc Alexander,ChZDSUhNMG9nS0VJQ0FnSURzOGJlSk93EAE,MICHAEL L.,https://www.google.com/maps/contrib/108972156868320881035/reviews?hl=en-US,a year ago,2021-06-20 19:32:23.777532,5.0,42,"Our family enjoy this park immensely, from a kids park, baseball, football, tennis, ice hockey and tobaggan runs in the winter it has it all. Our kids grew up using all the facilities!!"
4,Parc Alexander,ChZDSUhNMG9nS0VJQ0FnSURzcjVPYlFBEAE,Jon T,https://www.google.com/maps/contrib/100161228270192513317/reviews?hl=en-US,a year ago,2021-06-20 19:32:23.778447,4.0,131,"Great community, good exercise for your kid. Worth it, find a good coach. Dont forget the popsicles!"
5,Parc Alexander,ChdDSUhNMG9nS0VJQ0FnSURzMmJYam1RRRAB,mohamadreza shahgholi,https://www.google.com/maps/contrib/112743069923127888362/reviews?hl=en-US,a year ago,2021-06-20 19:32:23.779363,5.0,36,My daughters love it . they have a lot of fun there
6,Parc Alexander,ChdDSUhNMG9nS0VJQ0FnSURVOGN2TGlnRRAB,martin hanna,https://www.google.com/maps/contrib/109616927675445032840/reviews?hl=en-US,a year ago,2021-06-20 19:32:23.780281,5.0,101,"I went to play basketball, the court is completely new ( nets and floor)
Also had a nice view on top of the mountain"
7,Parc Alexander,ChdDSUhNMG9nS0VJQ0FnSUN3bG96Tm9nRRAB,Domenic Mautone,https://www.google.com/maps/contrib/117582969034885183450/reviews?hl=en-US,3 years ago,2021-06-20 19:32:23.781203,5.0,33,"So this was an accidental review, just adding comments a year later... didn't mean to post personal picture!!

Great park, clean and plenty of room to stretch out in winter and summer. Taught my kids to skate, snowboard, basketball, swing all in this park... also taught my dog recall off leash which is what those photos are."
8,Parc Alexander,ChdDSUhNMG9nS0VJQ0FnSURDZ3FmUDBnRRAB,Ahmad Hosseinzadeh,https://www.google.com/maps/contrib/103775859284219684253/reviews?hl=en-US,9 months ago,2021-06-20 19:32:23.782118,5.0,6,That's great
9,Parc Alexander,ChZDSUhNMG9nS0VJQ0FnSUNJanRLOVVREAE,Matei Anghel,https://www.google.com/maps/contrib/101918079142276055640/reviews?hl=en-US,2 years ago,2021-06-20 19:32:23.783034,5.0,10,"It is a very aesthetically attractive location.

Worth going outside to visit if you live in the area."
10,Parc Alexander,ChZDSUhNMG9nS0VJQ0FnSUNpbllTQ0hnEAE,Amazing Bee,https://www.google.com/maps/contrib/102684134297019816229/reviews?hl=en-US,7 months ago,2021-06-20 19:32:23.783948,5.0,3,Sorry for the pumpkin pieces 🤣
11,Parc Alexander,ChZDSUhNMG9nS0VJQ0FnSURJelp6ZWV3EAE,Louis-Etienne Hebert,https://www.google.com/maps/contrib/112072827889677673865/reviews?hl=en-US,2 years ago,2021-06-20 19:32:23.784870,4.0,19,"Pretty nice park! I play hockey there everyday, the house is clean, the staff is friendly and the ice is pretty good."
12,Parc Alexander,ChZDSUhNMG9nS0VJQ0FnSUQ0clBLaVBREAE,Simon Charest,https://www.google.com/maps/contrib/112290921640728616173/reviews?hl=en-US,2 years ago,2021-06-20 19:32:23.785788,4.0,141,Neighborhood park had a tennis court baseball field football and soccer aswell. The pool is unfortunately private
13,Parc Alexander,ChZDSUhNMG9nS0VJQ0FnSURnOTVfM1B3EAE,Efrem Unfasung,https://www.google.com/maps/contrib/106517243223411108740/reviews?hl=en-US,2 years ago,2021-06-20 19:32:23.786707,1.0,57,Baseball park is unsafe. Gravel covered with little rocks. Ball is bouncy and if kids slide home they rip their leg and arms open!!
14,Parc Alexander,ChZDSUhNMG9nS0VJQ0FnSUNBb0liblZnEAE,Matthew Lancione,https://www.google.com/maps/contrib/115768208198670059321/reviews?hl=en-US,3 years ago,2021-06-20 19:32:23.787624,5.0,16,"awesome place, football/soccer field, baseball diamond, tennis and basketball courts. in the winter they offer ice skating and hockey, as well as tobogganing."
15,Parc Alexander,ChZDSUhNMG9nS0VJQ0FnSUNzNWFDS0tREAE,Pierre Chicoine,https://www.google.com/maps/contrib/102343140010118461698/reviews?hl=en-US,a year ago,2021-06-20 19:32:23.788539,5.0,25,Great Basketball court!
16,Parc Alexander,ChZDSUhNMG9nS0VJQ0FnSUR3NVB1bEFREAE,Luigi giuseppe Mascia,https://www.google.com/maps/contrib/107390742106341312224/reviews?hl=en-US,2 years ago,2021-06-20 19:32:23.789456,5.0,7,Ad a membership at the pool . I took diving lessons and got to learn a lot.It is kleen and people are nice. beautiful football  basket ball and baseball place to play. Nice kids parc and int chalet for summer and wintet for skating.
17,Parc Alexander,ChdDSUhNMG9nS0VJQ0FnSUNVXy02Vnp3RRAB,marian Pieklo,https://www.google.com/maps/contrib/109765870991579486457/reviews?hl=en-US,a year ago,2021-06-20 19:32:23.790372,5.0,57,I pass this Park alot of times.There is a Big field to play Football or Soccer.There is a Swimming pool for kids and I think a Basketball not very nice and clean Park.
18,Parc Alexander,ChZDSUhNMG9nS0VJQ0FnSUNJbXE3VlhREAE,MJ Plebon,https://www.google.com/maps/contrib/110535135369051196166/reviews?hl=en-US,2 years ago,2021-06-20 19:32:23.791289,5.0,252,Great place for walking my dog late at night.
19,Parc Alexander,ChZDSUhNMG9nS0VJQ0FnSUM0eGZUdlVnEAE,Christopher Moore,https://www.google.com/maps/contrib/101910191605985076589/reviews?hl=en-US,2 years ago,2021-06-20 19:32:23.792208,5.0,6,Great park lots of activities.
20,Parc Alexander,ChZDSUhNMG9nS0VJQ0FnSURBNzdfYk1BEAE,Stefano Landi,https://www.google.com/maps/contrib/103653195741779106489/reviews?hl=en-US,3 years ago,2021-06-20 19:32:23.793129,4.0,51,During Winter they set up a hockey rink and two different general skating rinks for outdoor skating. Free access with a warm changing to put on your skates.
21,Parc Alexander,ChZDSUhNMG9nS0VJQ0FnSUNnMjlyY1FREAE,Brian Fisher,https://www.google.com/maps/contrib/107650362351567452365/reviews?hl=en-US,4 years ago,2021-06-20 19:32:23.794052,4.0,82,"Great park for hockey and tobogganing in the winter.
Basketball, tennis, baseball, soccer, football in the summer."
22,Parc Alexander,ChZDSUhNMG9nS0VJQ0FnSUN3OWR2M0N3EAE,Matthew Olsthoorn,https://www.google.com/maps/contrib/113432419759014395539/reviews?hl=en-US,4 years ago,2021-06-20 19:32:23.794975,4.0,73,Fairly large park. Baseball field currently under construction.
23,Parc Alexander,ChdDSUhNMG9nS0VJQ0FnSUQwd0phZnZ3RRAB,Patty Marando,https://www.google.com/maps/contrib/100669096439176851368/reviews?hl=en-US,a year ago,2021-06-20 19:32:23.795894,5.0,3,Great place to play Football!!!
24,Parc Alexander,ChdDSUhNMG9nS0VJQ0FnSUNBNi1IWDhnRRAB,Mohammadreza Nikjouitavabi,https://www.google.com/maps/contrib/105081955867350611784/reviews?hl=en-US,4 years ago,2021-06-20 19:32:23.796808,5.0,11,"Beautifull park with two basketball court, two tennis court and football fiel. There is also a small kids parc with free parking!"
25,Parc Alexander,ChZDSUhNMG9nS0VJQ0FnSURBMmVyZk5BEAE,Nick Fironi,https://www.google.com/maps/contrib/107854659855758803426/reviews?hl=en-US,2 years ago,2021-06-20 19:32:23.797726,4.0,67,"Great place for soccer, football, baseball, sledding in the winter, and anything in between!"
26,Parc Alexander,ChZDSUhNMG9nS0VJQ0FnSUN3cnB6cFRnEAE,Giulio Rizzo,https://www.google.com/maps/contrib/108962952192078109127/reviews?hl=en-US,2 years ago,2021-06-20 19:32:23.798654,5.0,31,"Big park with a few playgrounds and jungle gyms. Newly added basketball court among existing tennis, baseball and football/soccer fields."
27,Parc Alexander,ChdDSUhNMG9nS0VJQ0FnSURndDdpWHJnRRAB,Imelda Samoza,https://www.google.com/maps/contrib/112071709538782459900/reviews?hl=en-US,2 years ago,2021-06-20 19:32:23.799587,5.0,1,Nice and safe place to play....
28,Parc Alexander,ChZDSUhNMG9nS0VJQ0FnSUN3d056NlpREAE,Janice Bradford,https://www.google.com/maps/contrib/103931105809001900985/reviews?hl=en-US,4 years ago,2021-06-20 19:32:23.800502,5.0,32,Such a lovely place to walk
