,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Alexis-Nihon,ChdDSUhNMG9nS0VJQ0FnSUNLLWViV3FnRRAB,Bernadine Fontaine,https://www.google.com/maps/contrib/109410815046865318033/reviews?hl=en-US,2 months ago,2021-06-20 19:33:13.688893,5.0,173,"Great tennis court!!
Very well kept by the city workers👏👏👏"
1,Parc Alexis-Nihon,ChdDSUhNMG9nS0VJQ0FnSUNLdjhqRnhnRRAB,Yasmin Qadri,https://www.google.com/maps/contrib/105137769054109660491/reviews?hl=en-US,a month ago,2021-06-20 19:33:13.689826,5.0,27,Nice park! Clean and fun
2,Parc Alexis-Nihon,ChZDSUhNMG9nS0VJQ0FnSUR5ajdyYkJBEAE,Laurence Perle Barchichat,https://www.google.com/maps/contrib/108606253465207287260/reviews?hl=en-US,2 months ago,2021-06-20 19:33:13.690757,5.0,128,Great park but the no dogs thing sucks
3,Parc Alexis-Nihon,ChdDSUhNMG9nS0VJQ0FnSURDcGN2RXpnRRAB,Uon Vuong Wang,https://www.google.com/maps/contrib/108686163709121736948/reviews?hl=en-US,8 months ago,2021-06-20 19:33:13.691676,5.0,61,"Very quiet park, well maintenance.. but from time to time, it's a direct line for air plane to land to YUL airport ...noisy"
4,Parc Alexis-Nihon,ChZDSUhNMG9nS0VJQ0FnSURNMlBfTkhnEAE,D B,https://www.google.com/maps/contrib/100589833129562958504/reviews?hl=en-US,a year ago,2021-06-20 19:33:13.692589,5.0,60,"I love this park. So many things to do there. Tennis, vollyball, pool or just play in a playground. There are seats and tables to eat a nice little lunch on a beautiful hot summer day."
5,Parc Alexis-Nihon,ChdDSUhNMG9nS0VJQ0FnSUN5aWZQLWh3RRAB,张韬,https://www.google.com/maps/contrib/118329113379446257327/reviews?hl=en-US,4 months ago,2021-06-20 19:33:13.693508,5.0,7,Quiet and nice place
6,Parc Alexis-Nihon,ChdDSUhNMG9nS0VJQ0FnSUNDdUstVTdBRRAB,Syed Fahim Hyder Naqvi,https://www.google.com/maps/contrib/104975424117780323283/reviews?hl=en-US,10 months ago,2021-06-20 19:33:13.694422,4.0,16,Good local park in St. Laurent QC
7,Parc Alexis-Nihon,ChZDSUhNMG9nS0VJQ0FnSUNDcXJqb2N3EAE,hanan garas,https://www.google.com/maps/contrib/115033056725388220156/reviews?hl=en-US,10 months ago,2021-06-20 19:33:13.695338,4.0,9,Dogs are not allowed and There is no dog park in there
8,Parc Alexis-Nihon,ChdDSUhNMG9nS0VJQ0FnSUNneTVlRjVnRRAB,Liu Dambolena,https://www.google.com/maps/contrib/102170979835405156555/reviews?hl=en-US,4 years ago,2021-06-20 19:33:13.696253,4.0,128,The park feels nice. They have a playground which include baby swings. They also have a pool and parking. However there is nothing around the park to either buy takeout or a cafe to hangout.
9,Parc Alexis-Nihon,ChZDSUhNMG9nS0VJQ0FnSURjdXNXaFB3EAE,Santhosh kumar Ramalingam,https://www.google.com/maps/contrib/101005843141599003117/reviews?hl=en-US,a year ago,2021-06-20 19:33:13.697169,5.0,83,Peaceful and calm location
10,Parc Alexis-Nihon,ChdDSUhNMG9nS0VJQ0FnSUNzMVpIdDh3RRAB,Rabbi Yisroel Bernath,https://www.google.com/maps/contrib/115412175136945878035/reviews?hl=en-US,a year ago,2021-06-20 19:33:13.698084,5.0,475,Nice park.
11,Parc Alexis-Nihon,ChdDSUhNMG9nS0VJQ0FnSUNnalp1Z3Z3RRAB,emmanuel flores,https://www.google.com/maps/contrib/115267133963014696405/reviews?hl=en-US,2 years ago,2021-06-20 19:33:13.699002,5.0,52,Great place to play volley ball and tennis
12,Parc Alexis-Nihon,ChZDSUhNMG9nS0VJQ0FnSUNVeFB1WWJ3EAE,Jihad Ajouz,https://www.google.com/maps/contrib/106266588895053774935/reviews?hl=en-US,a year ago,2021-06-20 19:33:13.699916,4.0,207,Getting relax
13,Parc Alexis-Nihon,ChdDSUhNMG9nS0VJQ0FnSUNBcmRyanV3RRAB,Biber Biber,https://www.google.com/maps/contrib/104555336142374407970/reviews?hl=en-US,3 years ago,2021-06-20 19:33:13.700840,3.0,17,Nice but dirty
14,Parc Alexis-Nihon,ChdDSUhNMG9nS0VJQ0FnSUNVNlpMSWdRRRAB,Sifiso Hlabangans,https://www.google.com/maps/contrib/114373699768941704927/reviews?hl=en-US,a year ago,2021-06-20 19:33:13.701755,4.0,81,Good place to chill
15,Parc Alexis-Nihon,ChZDSUhNMG9nS0VJQ0FnSURBak9iNlhREAE,Naresh Boppudi,https://www.google.com/maps/contrib/115794452260971676240/reviews?hl=en-US,3 years ago,2021-06-20 19:33:13.702669,4.0,11,Nice place for children playing and relaxing on lawns
16,Parc Alexis-Nihon,ChZDSUhNMG9nS0VJQ0FnSUQ0MXA2OEJREAE,Samuel Lavallee,https://www.google.com/maps/contrib/111308510695370998006/reviews?hl=en-US,2 years ago,2021-06-20 19:33:13.703586,5.0,22,Lots of space
