,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Alfred-Sauvé,ChZDSUhNMG9nS0VJQ0FnSUNRblpQWVp3EAE,Valerie Slote,https://www.google.com/maps/contrib/110265657618041869575/reviews?hl=en-US,2 years ago,2021-06-20 19:33:41.016480,5.0,37,Nice place
1,Parc Alfred-Sauvé,ChdDSUhNMG9nS0VJQ0FnSUM0a1BXWmtRRRAB,Daniela LaZumbaGirl,https://www.google.com/maps/contrib/102795504393259190898/reviews?hl=en-US,2 years ago,2021-06-20 19:33:41.022443,4.0,29,"(Translated by Google) Beautiful little park with greenery, but still no toilet or trough

(Original)
Beau petit Parc avec verdure, mais toujours pas de Toilette ni abreuvoir"
2,Parc Alfred-Sauvé,ChZDSUhNMG9nS0VJQ0FnSURnM01udk1nEAE,Charlie St-Laurent,https://www.google.com/maps/contrib/111221435105870300313/reviews?hl=en-US,2 years ago,2021-06-20 19:33:41.024870,3.0,209,"(Translated by Google) It's a nice park for the kids but there is dog poop lying around on the grounds. Not great! Please be clean!

(Original)
C'est un beau parc pour les enfants mais il y a des crottes de chien qui traînent sur le terrain. Pas super! Soyez propre svp!"
3,Parc Alfred-Sauvé,ChdDSUhNMG9nS0VJQ0FnSURBNFlQN3J3RRAB,Simon Rancourt,https://www.google.com/maps/contrib/102884913087796514686/reviews?hl=en-US,2 years ago,2021-06-20 19:33:41.034974,3.0,26,"(Translated by Google) There is the possibility of setting up a dog play area in the eastern section of the park.

(Original)
Il y a possibilité d'aménager une aire de jeu pour chiens dans la section Est du parc."
4,Parc Alfred-Sauvé,ChdDSUhNMG9nS0VJQ0FnSUNDbDgtcTV3RRAB,Fabienne Des Ruisseaux,https://www.google.com/maps/contrib/104797438970159818880/reviews?hl=en-US,9 months ago,2021-06-20 19:33:41.037690,4.0,0,
5,Parc Alfred-Sauvé,ChdDSUhNMG9nS0VJQ0FnSUMwdGN2d3pRRRAB,Mitch Risman,https://www.google.com/maps/contrib/106332981110123945698/reviews?hl=en-US,a year ago,2021-06-20 19:33:41.041719,5.0,5,
6,Parc Alfred-Sauvé,ChdDSUhNMG9nS0VJQ0FnSUNxb2JfdHh3RRAB,Charles Goulet,https://www.google.com/maps/contrib/103614044191807646603/reviews?hl=en-US,a week ago,2021-06-20 19:33:41.045309,5.0,47,
7,Parc Alfred-Sauvé,ChdDSUhNMG9nS0VJQ0FnSUNreTdtWndBRRAB,Wallacce Correa,https://www.google.com/maps/contrib/116051704418418998851/reviews?hl=en-US,a year ago,2021-06-20 19:33:41.051260,4.0,4,
8,Parc Alfred-Sauvé,ChdDSUhNMG9nS0VJQ0FnSURRZ1pYMHVBRRAB,Louis Cloutier,https://www.google.com/maps/contrib/105278526292047593380/reviews?hl=en-US,4 years ago,2021-06-20 19:33:41.053773,5.0,43,
9,Parc Alfred-Sauvé,ChdDSUhNMG9nS0VJQ0FnSUNpaHAydnRBRRAB,Maxime Perron,https://www.google.com/maps/contrib/103408547730761428894/reviews?hl=en-US,7 months ago,2021-06-20 19:33:41.056939,5.0,6,
10,Parc Alfred-Sauvé,ChZDSUhNMG9nS0VJQ0FnSUNndTZiVWZnEAE,Ana Bautista,https://www.google.com/maps/contrib/104546481867454466302/reviews?hl=en-US,2 years ago,2021-06-20 19:33:41.059721,4.0,4,
11,Parc Alfred-Sauvé,ChZDSUhNMG9nS0VJQ0FnSUNJa3VMOWNBEAE,Alex Cote,https://www.google.com/maps/contrib/103350238741068662887/reviews?hl=en-US,2 years ago,2021-06-20 19:33:41.061596,5.0,9,
12,Parc Alfred-Sauvé,ChZDSUhNMG9nS0VJQ0FnSURNMTRUMlh3EAE,Simon Viens,https://www.google.com/maps/contrib/107112886252131898208/reviews?hl=en-US,a year ago,2021-06-20 19:33:41.068054,3.0,0,
13,Parc Alfred-Sauvé,ChZDSUhNMG9nS0VJQ0FnSUM0MGRMQ1RnEAE,Jean-Louis Robichaud Morinville,https://www.google.com/maps/contrib/115998570697526823502/reviews?hl=en-US,2 years ago,2021-06-20 19:33:41.070357,3.0,2,
14,Parc Alfred-Sauvé,ChZDSUhNMG9nS0VJQ0FnSUNxa1lyb0p3EAE,Guillaume Laurence,https://www.google.com/maps/contrib/118014741110333583798/reviews?hl=en-US,a week ago,2021-06-20 19:33:41.072874,5.0,0,
15,Parc Alfred-Sauvé,ChZDSUhNMG9nS0VJQ0FnSURDLXRDMklREAE,Eduardo Briano,https://www.google.com/maps/contrib/104192379629201040102/reviews?hl=en-US,8 months ago,2021-06-20 19:33:41.075344,5.0,4,
16,Parc Alfred-Sauvé,ChZDSUhNMG9nS0VJQ0FnSURROWZpQkdBEAE,Sarah Philibert,https://www.google.com/maps/contrib/107455931241402048246/reviews?hl=en-US,3 years ago,2021-06-20 19:33:41.079125,4.0,0,
17,Parc Alfred-Sauvé,ChZDSUhNMG9nS0VJQ0FnSUMwcnJHN0RBEAE,Yanik Léveillé,https://www.google.com/maps/contrib/108464744110065755537/reviews?hl=en-US,a year ago,2021-06-20 19:33:41.081583,4.0,14,
