,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc André-Laurendeau,ChZDSUhNMG9nS0VJQ0FnSUNxaWVtQ2JnEAE,Yong Song,https://www.google.com/maps/contrib/104986414293752607580/reviews?hl=en-US,a week ago,2021-06-20 19:35:45.080511,5.0,18,"I was impressed by the park not because of its fancy views, but the friendly facilities. There are clean washrooms, picnic tables, children's playground fit for a wide range of ages. It's quiet and nice."
1,Parc André-Laurendeau,ChdDSUhNMG9nS0VJQ0FnSURTd1lHQS13RRAB,John Kyrkas,https://www.google.com/maps/contrib/114265703011324444241/reviews?hl=en-US,5 months ago,2021-06-20 19:35:45.081521,5.0,3,Best restaurant ever ate very good place
2,Parc André-Laurendeau,ChdDSUhNMG9nS0VJQ0FnSURTMC15aTJRRRAB,Paco Bordeleau,https://www.google.com/maps/contrib/106158114277857836815/reviews?hl=en-US,5 months ago,2021-06-20 19:35:45.082516,2.0,50,For children and school only
3,Parc André-Laurendeau,ChdDSUhNMG9nS0VJQ0FnSURrZzR5Z21RRRAB,sebastien geoffrion,https://www.google.com/maps/contrib/102895224447303638699/reviews?hl=en-US,a year ago,2021-06-20 19:35:45.083449,4.0,24,"Great place to walk around with kids, lots of life, very accessible."
4,Parc André-Laurendeau,ChdDSUhNMG9nS0VJQ0FnSUNVcjVpTndRRRAB,Jf H,https://www.google.com/maps/contrib/117112204621654077840/reviews?hl=en-US,a year ago,2021-06-20 19:35:45.084389,4.0,28,Nice little part
5,Parc André-Laurendeau,ChZDSUhNMG9nS0VJQ0FnSURZby1XU0FnEAE,Jojhan Addison villalobos caro,https://www.google.com/maps/contrib/110651050739087022943/reviews?hl=en-US,2 years ago,2021-06-20 19:35:45.085306,5.0,22,Good
6,Parc André-Laurendeau,ChZDSUhNMG9nS0VJQ0FnSUNBdGRqRGV3EAE,Marius Robert Velescu,https://www.google.com/maps/contrib/105402332716384725870/reviews?hl=en-US,4 years ago,2021-06-20 19:35:45.086220,5.0,21,Very good
7,Parc André-Laurendeau,ChZDSUhNMG9nS0VJQ0FnSUNpbklmNkpBEAE,Stéphanie Benoit,https://www.google.com/maps/contrib/106443333725155128777/reviews?hl=en-US,7 months ago,2021-06-20 19:35:45.087131,5.0,59,"(Translated by Google) Magnificent !!!

(Original)
Magnifique !!!"
8,Parc André-Laurendeau,ChZDSUhNMG9nS0VJQ0FnSUNLN2ZIcVh3EAE,Tanya Boucher,https://www.google.com/maps/contrib/117945398656196828403/reviews?hl=en-US,2 months ago,2021-06-20 19:35:45.088043,5.0,7,"(Translated by Google) Great lots of soccer field space

(Original)
Super beaucoup d'espace  terrain soccer"
9,Parc André-Laurendeau,ChZDSUhNMG9nS0VJQ0FnSUNRc2NlVkFREAE,Yeja Morales,https://www.google.com/maps/contrib/116522795542549533430/reviews?hl=en-US,3 years ago,2021-06-20 19:35:45.088953,4.0,178,"(Translated by Google) Spacious

(Original)
Spacieux"
10,Parc André-Laurendeau,ChdDSUhNMG9nS0VJQ0FnSUM4Nk9iWW5nRRAB,Elie,https://www.google.com/maps/contrib/114983687087473773888/reviews?hl=en-US,11 months ago,2021-06-20 19:35:45.089866,3.0,20,"(Translated by Google) The place is very beautiful. However, lack of trees, trash cans and toilets. Imagine yourself with a large park like this. Just a toilet ... Thanks

(Original)
L'endroit est très beau. Cependant, manque des arbres, poubelles et de toilettes. Imaginez vous avec un grand parc comme ça. Juste une toilette... Merci"
11,Parc André-Laurendeau,ChZDSUhNMG9nS0VJQ0FnSURjc2ZpUUpBEAE,No Borders Citoyen du monde,https://www.google.com/maps/contrib/100247073460665053561/reviews?hl=en-US,a year ago,2021-06-20 19:35:45.090841,5.0,59,"(Translated by Google) Peaceful, safe, sunny place with shaded places, free 12-hour parking with a large and pleasant community garden of 72 plots for amateur gardeners, everything is available, tools, water, person in charge on site, helpful with a service for members by excellence. A BIG BRAVO to the city of Montreal.

(Original)
Lieu paisible,sécuritaire,ensoleillé avec endroits ombragés,parking gratuit de 12 heures avec un vaste et agréable jardin communautaire de 72 parcelles pour jardiniers amateurs,tout est disponible,outils,eau,personne en charge sur place,serviable avec un service aux membres par excellence.Un GRAND BRAVO à la ville de Montréal."
12,Parc André-Laurendeau,ChdDSUhNMG9nS0VJQ0FnSUQ4MzU3eDVnRRAB,Johanne Roux,https://www.google.com/maps/contrib/110654576319054358956/reviews?hl=en-US,10 months ago,2021-06-20 19:35:45.091794,3.0,1,"(Translated by Google) Beautiful place of sight of pleasure but no convenience for reduced mobility

(Original)
Belle endroit lieu de regard de plaisance mais aucune commodite pour mobilité reduite"
13,Parc André-Laurendeau,ChZDSUhNMG9nS0VJQ0FnSUMwMUxXQkV3EAE,C Poulin,https://www.google.com/maps/contrib/112434971269530011839/reviews?hl=en-US,a year ago,2021-06-20 19:35:45.092717,3.0,236,"(Translated by Google) Good weekend place for a football match. (Soccer)

(Original)
Bon weekend endroit pour un match de foot. (Soccer)"
14,Parc André-Laurendeau,ChdDSUhNMG9nS0VJQ0FnSUNBZzlhc3pnRRAB,S. Bouchard,https://www.google.com/maps/contrib/102514637776047631027/reviews?hl=en-US,2 years ago,2021-06-20 19:35:45.093628,4.0,23,"(Translated by Google) The baseball field is a good size for 9-12 year olds. But we must REPLACE THE REAR SCREEN (""BACK STOP""). All rusty and old-fashioned, it lowers the rating of ALL the land. GO, ANJOU, A LITTLE OF PRIDE !!! 😏

(Original)
Le terrain de baseball y est de bon format pour les 9-12 ans. Mais on doit REMPLACER L'ÉCRAN ARRIÈRE (""BACK STOP""). Tout rouillé et vieillot, il fait baisser la cote de TOUT le terrain. ALLEZ, ANJOU, UN PEU DE FIERTÉ !!! 😏"
