,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Aquaciel,ChZDSUhNMG9nS0VJQ0FnSURLdGNYMEtnEAE,Rick Burgos,https://www.google.com/maps/contrib/117516445006970785921/reviews?hl=en-US,a month ago,2021-06-20 19:43:27.925263,5.0,85,"Now the weather is getting better, this park is perfect to go and bring your kids to this place. The area of this park is beautiful and clean. It is not only for kids, you can go also with your pet or date and walk around and enjoy the park and the view. Near the park, are also restaurant and other business where you can go also."
1,Parc Aquaciel,ChZDSUhNMG9nS0VJQ0FnSUNLcmVLVVNnEAE,Robert Archambault,https://www.google.com/maps/contrib/116198194402715939786/reviews?hl=en-US,2 months ago,2021-06-20 19:43:27.926186,5.0,44,I was at the arena to my first covid vaccination shot. Everything went smoothly.
2,Parc Aquaciel,ChZDSUhNMG9nS0VJQ0FnSUNDaU1ib0JnEAE,Paige Blake,https://www.google.com/maps/contrib/111313266697844958665/reviews?hl=en-US,a month ago,2021-06-20 19:43:27.927102,5.0,6,Always fantastic. Day in the park without all the bugs lol
3,Parc Aquaciel,ChZDSUhNMG9nS0VJQ0FnSUR5eV9xeUpREAE,Robert Lacoste,https://www.google.com/maps/contrib/105898939158194509388/reviews?hl=en-US,3 months ago,2021-06-20 19:43:27.928081,5.0,125,Cute neighbor hood park mainly for young ones under 6 years old.
4,Parc Aquaciel,ChZDSUhNMG9nS0VJQ0FnSUNLcU5QbVVnEAE,Luke,https://www.google.com/maps/contrib/106266070432727070319/reviews?hl=en-US,2 months ago,2021-06-20 19:43:27.929049,5.0,104,Good for kids to burn energy
5,Parc Aquaciel,ChdDSUhNMG9nS0VJQ0FnSUNDbXJhQ3R3RRAB,Kim Yeeping,https://www.google.com/maps/contrib/104385539795029771552/reviews?hl=en-US,9 months ago,2021-06-20 19:43:27.929968,5.0,26,"I love bringing my children here, very spacious and clean."
6,Parc Aquaciel,ChdDSUhNMG9nS0VJQ0FnSUQ4bWR1NGx3RRAB,YOU,https://www.google.com/maps/contrib/114759536547311464256/reviews?hl=en-US,10 months ago,2021-06-20 19:43:27.930903,4.0,50,Nice and cool place to let kids having fun and refereshing in hot days
7,Parc Aquaciel,ChdDSUhNMG9nS0VJQ0FnSUM4Mk9iN3lBRRAB,Kyler Kelly-Tan,https://www.google.com/maps/contrib/112783268171600201561/reviews?hl=en-US,11 months ago,2021-06-20 19:43:27.931852,5.0,14,Nice water play area. A little more geared to sightly older toddlers and children.
8,Parc Aquaciel,ChZDSUhNMG9nS0VJQ0FnSUR3M0lUQVVnEAE,Seven Stars,https://www.google.com/maps/contrib/108193826491344919314/reviews?hl=en-US,2 years ago,2021-06-20 19:43:27.932767,5.0,239,It is one of the best water parks in Montreal. My kids loved it.
9,Parc Aquaciel,ChZDSUhNMG9nS0VJQ0FnSUNzdTdPcFRBEAE,Neal Irvine,https://www.google.com/maps/contrib/114552320878176698982/reviews?hl=en-US,a year ago,2021-06-20 19:43:27.933685,3.0,186,Nice park. Not the best of locations
10,Parc Aquaciel,ChdDSUhNMG9nS0VJQ0FnSUNDOTZhOWxRRRAB,Andree Martin (Empress Levi),https://www.google.com/maps/contrib/113672900181428512751/reviews?hl=en-US,9 months ago,2021-06-20 19:43:27.934600,4.0,46,Big but too crowded
11,Parc Aquaciel,ChdDSUhNMG9nS0VJQ0FnSUM4NzRIMmd3RRAB,Denis Kuzmitsky,https://www.google.com/maps/contrib/103033683289201821273/reviews?hl=en-US,11 months ago,2021-06-20 19:43:27.935546,5.0,17,The best place for children in hot days!!!
