,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Archie-Wilcox,ChdDSUhNMG9nS0VJQ0FnSUNxc0xQVjZRRRAB,Georges Younes,https://www.google.com/maps/contrib/117103478583346256520/reviews?hl=en-US,3 weeks ago,2021-06-20 19:44:23.945743,4.0,679,"If you live in Verdun or happen to be visting, you don't need to look far to find a public park. There are several parks with a variety of names that run parallel to the St-Lawrence River. You can just choose one or go park hopping from one to the next."
1,Parc Archie-Wilcox,ChZDSUhNMG9nS0VJQ0FnSUNxcVktbEhREAE,Bamba ben zimacko,https://www.google.com/maps/contrib/111304195517352239608/reviews?hl=en-US,a week ago,2021-06-20 19:44:23.946706,5.0,5,👌
2,Parc Archie-Wilcox,ChdDSUhNMG9nS0VJQ0FnSURjOU1HenN3RRAB,Simon Drury,https://www.google.com/maps/contrib/104643714618100599673/reviews?hl=en-US,a year ago,2021-06-20 19:44:23.947631,4.0,2,"Small park next to the water in Verdun.
I went there to go to the Crescendo restaurant which is in the park. A peaceful place to collect your thoughts and even, perhaps to walk the dog!"
3,Parc Archie-Wilcox,ChdDSUhNMG9nS0VJQ0FnSUR3b09EcndBRRAB,Rick Burgos,https://www.google.com/maps/contrib/117516445006970785921/reviews?hl=en-US,2 years ago,2021-06-20 19:44:23.948546,5.0,85,"Beautiful park for the whole family. If you can go now in the fall is even better. Sunrise and the sunset are the best time to go. You can also walk your dog there, your kids can play or just admire the place. It is relaxing place."
4,Parc Archie-Wilcox,ChdDSUhNMG9nS0VJQ0FnSUM4ODd6NTF3RRAB,Wilfred Liu,https://www.google.com/maps/contrib/113675545943123517144/reviews?hl=en-US,11 months ago,2021-06-20 19:44:23.949461,5.0,179,Very nice park.
5,Parc Archie-Wilcox,ChdDSUhNMG9nS0VJQ0FnSUNVMTZHRm9nRRAB,Natalie King,https://www.google.com/maps/contrib/106780958892859616706/reviews?hl=en-US,a year ago,2021-06-20 19:44:23.950370,5.0,76,Nice ice cream and gift shop
6,Parc Archie-Wilcox,ChZDSUhNMG9nS0VJQ0FnSUNROXNQSWN3EAE,Orville Elliston,https://www.google.com/maps/contrib/101595127078884560438/reviews?hl=en-US,4 years ago,2021-06-20 19:44:23.951283,4.0,176,"Not the Verdun you knew 10-15 yrs ago.... This park has access to many different activities all within a 10 min walk. Muliple play areas for kids of all ages, resturants, ice cream shop, extensive jogging/cycling trail, dock, etc"
7,Parc Archie-Wilcox,ChZDSUhNMG9nS0VJQ0FnSURBcDlEWU5BEAE,Seven Stars,https://www.google.com/maps/contrib/108193826491344919314/reviews?hl=en-US,3 years ago,2021-06-20 19:44:23.952202,5.0,239,It is an amazing park with too many different activities.
8,Parc Archie-Wilcox,ChZDSUhNMG9nS0VJQ0FnSURZclB6NUxnEAE,ultraviolet light,https://www.google.com/maps/contrib/104844479845696368101/reviews?hl=en-US,2 years ago,2021-06-20 19:44:23.953120,4.0,352,"Breezy, clean, water view."
9,Parc Archie-Wilcox,ChdDSUhNMG9nS0VJQ0FnSUNxcTd6UXpnRRAB,Cecilia Carrizo Cordero,https://www.google.com/maps/contrib/113936921104773484058/reviews?hl=en-US,a day ago,2021-06-20 19:44:23.954037,5.0,66,Muy bello  parque
10,Parc Archie-Wilcox,ChdDSUhNMG9nS0VJQ0FnSUNxdElUSDJ3RRAB,Julien B,https://www.google.com/maps/contrib/110058616168303640670/reviews?hl=en-US,3 weeks ago,2021-06-20 19:44:23.955065,4.0,39,"(Translated by Google) Nice park for a stroll in the evening.

(Original)
Joli parc pour se promener en soirée."
