,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Armand-Bombardier,ChZDSUhNMG9nS0VJQ0FnSUMwNEpMSUpnEAE,Bev C,https://www.google.com/maps/contrib/100138222760874186716/reviews?hl=en-US,a year ago,2021-06-20 19:45:46.250788,4.0,84,great place to go in the summer with the children. water park and play park . great place to sit read or relax. quiet corners. as well; lots of green spaces.
1,Parc Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSURrNFplR25nRRAB,Sacha H,https://www.google.com/maps/contrib/107779386027138821648/reviews?hl=en-US,a year ago,2021-06-20 19:45:46.251834,5.0,64,"Small water park , basketball court , wooded area with trails,  bike path,  portable toilets"
2,Parc Armand-Bombardier,ChZDSUhNMG9nS0VJQ0FnSUNBcHJtWlhREAE,Eugenie Robitaille,https://www.google.com/maps/contrib/113240989281386592429/reviews?hl=en-US,3 years ago,2021-06-20 19:45:46.252755,4.0,410,"Neat little park/woods along creek, great for walking with dog, but much too small, gotta had Gouin bike path to your walk."
3,Parc Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSUNnMklLNWhnRRAB,Kevin Chanu,https://www.google.com/maps/contrib/106468126178256926926/reviews?hl=en-US,2 years ago,2021-06-20 19:45:46.253775,4.0,73,It's a nice park for small events
4,Parc Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSUM4a04yaG1BRRAB,Ranses Rivera,https://www.google.com/maps/contrib/114646209061979243823/reviews?hl=en-US,11 months ago,2021-06-20 19:45:46.254794,5.0,53,Very nice
5,Parc Armand-Bombardier,ChZDSUhNMG9nS0VJQ0FnSURrcGFpa1l3EAE,Julia Kushnir,https://www.google.com/maps/contrib/100175404925665413780/reviews?hl=en-US,a year ago,2021-06-20 19:45:46.255728,4.0,45,Great spacious park.
6,Parc Armand-Bombardier,ChZDSUhNMG9nS0VJQ0FnSUNBNl83RUt3EAE,V. P.,https://www.google.com/maps/contrib/108155735156698230761/reviews?hl=en-US,4 years ago,2021-06-20 19:45:46.256648,5.0,79,Great big park to play with the family and kids
7,Parc Armand-Bombardier,ChZDSUhNMG9nS0VJQ0FnSUNLZ0liTlJnEAE,Cobite Michelet,https://www.google.com/maps/contrib/101113749967717806054/reviews?hl=en-US,2 months ago,2021-06-20 19:45:46.257569,5.0,1,Chill
8,Parc Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSUN3LUp6NzZnRRAB,Siempre En Paz,https://www.google.com/maps/contrib/108684485161705015161/reviews?hl=en-US,3 years ago,2021-06-20 19:45:46.258488,4.0,4,They have free WiFi!! Sprinkler for kids when you don't feel to go to the community pool.. and a little further down there's a b-ball court. And swing set / slide also. Oh yeah the bus 44-48 stop right in front
9,Parc Armand-Bombardier,ChZDSUhNMG9nS0VJQ0FnSUMweXMzaEhBEAE,Claudine Letang,https://www.google.com/maps/contrib/105421105477233629958/reviews?hl=en-US,a year ago,2021-06-20 19:45:46.259406,5.0,65,it was really  really great
10,Parc Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSURBdXMzOHhnRRAB,Carlo Bergola,https://www.google.com/maps/contrib/117417908067974476229/reviews?hl=en-US,2 years ago,2021-06-20 19:45:46.260327,5.0,19,"Beautiful riverfront view, quiet and peaceful"
11,Parc Armand-Bombardier,ChZDSUhNMG9nS0VJQ0FnSURJLXRPTU53EAE,Tony Ferraro,https://www.google.com/maps/contrib/105621592507009123922/reviews?hl=en-US,2 years ago,2021-06-20 19:45:46.261273,4.0,96,Nice job from the city of Montreal
12,Parc Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSUN3dGN1WGdBRRAB,Ricardo Mavares,https://www.google.com/maps/contrib/111837568387535415024/reviews?hl=en-US,4 years ago,2021-06-20 19:45:46.262213,5.0,30,Great place to be with family and pets
13,Parc Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSURZdzRIZnJBRRAB,Nyzola Mr,https://www.google.com/maps/contrib/117068801380152818779/reviews?hl=en-US,2 years ago,2021-06-20 19:45:46.263138,4.0,9,"Just very expensive, however it's a nice play"
14,Parc Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSUNrX3BmUWpRRRAB,Markenley Moly,https://www.google.com/maps/contrib/101724237059277239412/reviews?hl=en-US,a year ago,2021-06-20 19:45:46.264057,5.0,25,Wow
15,Parc Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSUNRdnZEMHJBRRAB,Nick Karavasilis,https://www.google.com/maps/contrib/109915691474297843380/reviews?hl=en-US,3 years ago,2021-06-20 19:45:46.264975,5.0,70,Pleasant parc
16,Parc Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSUNReDc2V2tRRRAB,Cherry Ubas,https://www.google.com/maps/contrib/102975172749152252286/reviews?hl=en-US,3 years ago,2021-06-20 19:45:46.265890,4.0,1,It was an amazing park love it!
17,Parc Armand-Bombardier,ChZDSUhNMG9nS0VJQ0FnSUNRbXBTQ1pREAE,alexsandro leoci,https://www.google.com/maps/contrib/104743152940745966760/reviews?hl=en-US,4 years ago,2021-06-20 19:45:46.266804,5.0,18,Dog hotspot
18,Parc Armand-Bombardier,ChZDSUhNMG9nS0VJQ0FnSURBamRTSkR3EAE,Bruno Fazio,https://www.google.com/maps/contrib/102041920327831588204/reviews?hl=en-US,4 years ago,2021-06-20 19:45:46.267718,5.0,66,Cool
19,Parc Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSUNxdk9yUXpnRRAB,Thierry caouette,https://www.google.com/maps/contrib/101068110882191302170/reviews?hl=en-US,2 weeks ago,2021-06-20 19:45:46.268635,4.0,14,"(Translated by Google) Beautiful neighborhood park with a beautiful view of the Prairie River, the evening superb sunset reflected in the water.

(Original)
Beau parc de quartier avec une belle vue sur la rivière des Prairie, le soir superbe couché de soleil reflète dans l'eau."
20,Parc Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSURraGVfd2pnRRAB,Marie Rose Duclair,https://www.google.com/maps/contrib/114022326243551595832/reviews?hl=en-US,a year ago,2021-06-20 19:45:46.269557,5.0,111,"(Translated by Google) Awesome

(Original)
Génial"
21,Parc Armand-Bombardier,ChZDSUhNMG9nS0VJQ0FnSUNxa2N1dVF3EAE,Virginie Vachon-Boudrias,https://www.google.com/maps/contrib/114279758394032726922/reviews?hl=en-US,a week ago,2021-06-20 19:45:46.270475,5.0,11,"(Translated by Google) Very nice park

(Original)
Très beau parc"
22,Parc Armand-Bombardier,ChZDSUhNMG9nS0VJQ0FnSUNxaWN1QWV3EAE,Lina Luna,https://www.google.com/maps/contrib/112751689557412191610/reviews?hl=en-US,a week ago,2021-06-20 19:45:46.271394,5.0,56,"(Translated by Google) Very quiet park great view

(Original)
Parc très calme super vue"
23,Parc Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSUNxanZxcnJBRRAB,Yves,https://www.google.com/maps/contrib/115323458971964391592/reviews?hl=en-US,2 weeks ago,2021-06-20 19:45:46.272314,4.0,118,"(Translated by Google) Perfect for the family

(Original)
Parfait pour la famille"
24,Parc Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSUN5dmVqZXFnRRAB,Lanty Stark,https://www.google.com/maps/contrib/108165215320066671144/reviews?hl=en-US,4 months ago,2021-06-20 19:45:46.273227,4.0,67,"(Translated by Google) Park with a small wooded area on the way :)

(Original)
Parc avec un mini boisé sur le chemin :)"
25,Parc Armand-Bombardier,ChdDSUhNMG9nS0VJQ0FnSUM4bWZiR3dRRRAB,Ralvy Bourgoin,https://www.google.com/maps/contrib/109310881424330050376/reviews?hl=en-US,11 months ago,2021-06-20 19:45:46.274143,5.0,25,"(Translated by Google) Very nice park with water games for the smallest

(Original)
Très beau parc àvec jeux d'eau pour lès plus petit"
