,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURLbl9pZ2p3RRAB,Bilal yassin,https://www.google.com/maps/contrib/111410843015569667983/reviews?hl=en-US,4 weeks ago,2021-06-20 19:48:57.935732,5.0,31,I love this parc specially the smell of the ground after rain
1,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURRaGYzUnF3RRAB,Vg G,https://www.google.com/maps/contrib/114092399265107358982/reviews?hl=en-US,3 years ago,2021-06-20 19:48:57.936665,4.0,755,"Nice place to relax. There is also playground, lawn, basket ball court, picnic tables, a parking close by."
2,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURLOW9fbGpnRRAB,Tom Abray,https://www.google.com/maps/contrib/109570681672152824203/reviews?hl=en-US,a month ago,2021-06-20 19:48:57.937588,5.0,12,Great for a walk. You can see ducks and geese in the right season.
3,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSURBNW91SUFnEAE,Henry Cheang,https://www.google.com/maps/contrib/110690701412648844572/reviews?hl=en-US,4 years ago,2021-06-20 19:48:57.938503,4.0,96,"It's a big park with many open spaces that are excellent for outdoor workouts or just plain lounging around in summer. There's also a nice, newly fixed up skateboard park here too!"
4,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSUNxeVpPSWJREAE,François Boudreau,https://www.google.com/maps/contrib/114744633633350278331/reviews?hl=en-US,a week ago,2021-06-20 19:48:57.939539,5.0,20,"Calm and quiet at night, great skate park too!"
5,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURLdXZ5RjVBRRAB,Auxane “SuperPets” Yang,https://www.google.com/maps/contrib/114893713483040138611/reviews?hl=en-US,a month ago,2021-06-20 19:48:57.940474,4.0,4,"Pretty view on the water, open spaces to play great park!"
6,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSURLN1lEMEhREAE,Kyla Raber,https://www.google.com/maps/contrib/104191658424786159596/reviews?hl=en-US,a month ago,2021-06-20 19:48:57.941395,5.0,47,Spacious dog park and great riverside place to hangout
7,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSUNxenFQeDhRRRAB,Brian Luker,https://www.google.com/maps/contrib/102722763354162345856/reviews?hl=en-US,a week ago,2021-06-20 19:48:57.942310,5.0,18,It is a very peaceful place to sit and relax
8,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURDMHA2VjR3RRAB,Timeto (to),https://www.google.com/maps/contrib/108450395665536320555/reviews?hl=en-US,8 months ago,2021-06-20 19:48:57.943228,5.0,40,Fantastic place with beautiful beach and biking lines! 🤗
9,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURTNnEyYTl3RRAB,chytry drahos,https://www.google.com/maps/contrib/106161637964645916704/reviews?hl=en-US,5 months ago,2021-06-20 19:48:57.944141,5.0,9,"Amazing for kids on winter, they have slides going on and you can rent tubes"
10,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSURZaXREbFhnEAE,Bruna Regis Razzolini,https://www.google.com/maps/contrib/105070316990796545502/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.945058,4.0,26,"This park is good for exercises practice, because it has a lot options (baseball court, tennis court and running/cycling tracks, public pool). At this time (May/2019), there are a lot of construction going, which makes the experience there less enjoyable (but constructions are temporary)"
11,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSUNDN3ZuSllBEAE,Rohan Shukla,https://www.google.com/maps/contrib/100270739698864861757/reviews?hl=en-US,9 months ago,2021-06-20 19:48:57.945974,5.0,178,"Lots of open spaces, beaches, baseball grounds, tennis courts, cycle tracks, running tracks etc. Ideal for athletes and outings"
