,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Beatty,ChZDSUhNMG9nS0VJQ0FnSURLNVBhaUJBEAE,Robert Borzychowski,https://www.google.com/maps/contrib/102184880582104590097/reviews?hl=en-CA,a month ago,2021-06-20 20:06:15.482171,5.0,28,Nice little bike path for learning on a glider. And a fun dinosaur on springs to ride.
1,Parc Beatty,ChdDSUhNMG9nS0VJQ0FnSUNncWN1YmpnRRAB,Mac Raw,https://www.google.com/maps/contrib/116899918640575315887/reviews?hl=en-CA,3 years ago,2021-06-20 20:06:15.483103,3.0,59,Great playground for kids. Too many judgy moms think they own the place...
2,Parc Beatty,ChZDSUhNMG9nS0VJQ0FnSUNRbHJ2WGFBEAE,Trevor Longino,https://www.google.com/maps/contrib/106868026964111859293/reviews?hl=en-CA,2 years ago,2021-06-20 20:06:15.484018,4.0,10,"Toddler bike path and two jungle gyms. Pretty well maintained, but the entry gate is a bit fiddly."
3,Parc Beatty,ChZDSUhNMG9nS0VJQ0FnSURnanNUakF3EAE,Nick Lalonde-Fogel,https://www.google.com/maps/contrib/114040864393648529501/reviews?hl=en-CA,3 years ago,2021-06-20 20:06:15.484929,5.0,181,Lovely place to get out to.
4,Parc Beatty,ChdDSUhNMG9nS0VJQ0FnSURncXQtMjRRRRAB,Ross Daymond,https://www.google.com/maps/contrib/106213471014816035042/reviews?hl=en-CA,3 years ago,2021-06-20 20:06:15.485843,3.0,2,Nice park for children
5,Parc Beatty,ChZDSUhNMG9nS0VJQ0FnSUNnc01lTmVREAE,Neonnikita Dean dobbs,https://www.google.com/maps/contrib/113005705991385981065/reviews?hl=en-CA,3 years ago,2021-06-20 20:06:15.486760,3.0,13,Not a lot of places to sit for adults great for kids though
6,Parc Beatty,ChZDSUhNMG9nS0VJQ0FnSUN3cF9lRkh3EAE,Seren Dagdeviren,https://www.google.com/maps/contrib/117110068101629087412/reviews?hl=en-CA,3 years ago,2021-06-20 20:06:15.487674,5.0,336,Nice bike path.
7,Parc Beatty,ChZDSUhNMG9nS0VJQ0FnSUN3NzZHRlJREAE,mark fauchon,https://www.google.com/maps/contrib/116548507762387055673/reviews?hl=en-CA,3 years ago,2021-06-20 20:06:15.488586,5.0,93,Nice safe kids playground
8,Parc Beatty,ChdDSUhNMG9nS0VJQ0FnSUNBcnZtcG9RRRAB,Stephane Genereux,https://www.google.com/maps/contrib/103270664969604784015/reviews?hl=en-CA,4 years ago,2021-06-20 20:06:15.489496,3.0,116,A little park near the St-Lawrence river
9,Parc Beatty,ChdDSUhNMG9nS0VJQ0FnSURDcnBhXzVBRRAB,Lise Tremblay,https://www.google.com/maps/contrib/111055796259955138375/reviews?hl=en-CA,8 months ago,2021-06-20 20:06:15.490410,4.0,41,"(Translated by Google) Small interesting park for children

(Original)
Petit parc intéressant pour les enfants"
10,Parc Beatty,ChdDSUhNMG9nS0VJQ0FnSURLOXRfc19RRRAB,Pierre-Luc Nicol,https://www.google.com/maps/contrib/117024182788780233830/reviews?hl=en-CA,a month ago,2021-06-20 20:06:15.491365,4.0,110,"(Translated by Google) Really beautiful varied modules, not too busy. Close everything, so easy to have peace of mind

(Original)
Vraiment de beaux modules variés, pas trop fréquenté.  Tout clôturer, donc facile d'avoir l'esprit tranquille"
11,Parc Beatty,ChdDSUhNMG9nS0VJQ0FnSUN5bW9yUTVBRRAB,Jeimmy Patricia De Aguas Sotelo,https://www.google.com/maps/contrib/104075959938470488043/reviews?hl=en-CA,4 months ago,2021-06-20 20:06:15.492463,5.0,21,"(Translated by Google) Very good for children

(Original)
Muy bueno para los niños"
12,Parc Beatty,ChdDSUhNMG9nS0VJQ0FnSUN3cGVHTHN3RRAB,Benoit Boucher,https://www.google.com/maps/contrib/103700315478643102904/reviews?hl=en-CA,3 years ago,2021-06-20 20:06:15.494357,3.0,6,"(Translated by Google) Beautiful little park for own child

(Original)
Beau petit parc pour enfant propre"
13,Parc Beatty,ChdDSUhNMG9nS0VJQ0FnSUNBN2NQQm9nRRAB,Cathy Girard,https://www.google.com/maps/contrib/115723603548304850446/reviews?hl=en-CA,3 years ago,2021-06-20 20:06:15.495911,4.0,37,"(Translated by Google) We really like this park it is safe well fenced. There is a play module for children, one for adults (6-12 years old), there are swings for adults and children, a sandbox and a spring dinosaur. However the pit toilet would really need to be cleaned more often and it would be great to add a picnic table or two.

(Original)
Nous aimons beaucoup ce parc il est sécuritaire bien clôturé. Il y a un module de jeux pour les petits, un pour les grands (6-12 ans), il y a des balançoires pour grands et petits, un carré de sable ainsi qu'un dinosaure à ressort. Cependant la toilette sèche aurait vraiment besoin d'être nettoyé plus souvent et il serait très intéressant d'ajouter une ou deux tables à pique-nique."
14,Parc Beatty,ChZDSUhNMG9nS0VJQ0FnSUNJdTctN0xREAE,Valérie Boisvert,https://www.google.com/maps/contrib/110010682645570474861/reviews?hl=en-CA,2 years ago,2021-06-20 20:06:15.496860,5.0,62,"(Translated by Google) Very nice fenced park. It meets the needs of children from 2 to 12 years old (very easily).

(Original)
Très beau parc clôturé. Il répond aux besoins des enfants de 2 à 12 ans (très facilement)."
15,Parc Beatty,ChdDSUhNMG9nS0VJQ0FnSURZNjRiazB3RRAB,Sylvain Bédard,https://www.google.com/maps/contrib/100259831637882757176/reviews?hl=en-CA,2 years ago,2021-06-20 20:06:15.497786,5.0,379,"(Translated by Google) Ideal park for rest supposed prohibited to the dog.

(Original)
Parc idéal pour repos supposé interdit au chien."
