,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Beaubien - Outremont,ChZDSUhNMG9nS0VJQ0FnSUN5b2R2Qkl3EAE,Achyut P. Adhhikari,https://www.google.com/maps/contrib/117468102634211171767/reviews?hl=en-CA,4 months ago,2021-06-24 01:34:15.773802,5.0,130,"A complete parc with football ground, lake, water fountain for kids and adults. Wisely created hill for snow spots in winter. Sitting on side chair with warm sunbathing and watching football will add you an awesome experience. I can spend a whole day watching the birds playing in the lake. I go there to read something important so that I can memorize it for the long time"
1,Parc Beaubien - Outremont,ChZDSUhNMG9nS0VJQ0FnSURLZ0pDS0J3EAE,Dimitris Katsaounis,https://www.google.com/maps/contrib/109818662134823670900/reviews?hl=en-CA,a month ago,2021-06-24 01:34:15.774787,5.0,110,"Great park with several facilities for activities. From sledding, to hockey, to soccer fields, the park is a beautiful place in the heart of Outremont. No wonder it attracts many families and is fairly crowded some popular holidays. I wish there were more parks like this one."
2,Parc Beaubien - Outremont,ChdDSUhNMG9nS0VJQ0FnSUR5M05QbDV3RRAB,ANTONIO IOANNONI,https://www.google.com/maps/contrib/104465498394674334327/reviews?hl=en-CA,3 months ago,2021-06-24 01:34:15.776951,4.0,17,"We went skating here on a sunny Sunday afternoon.
As we arrived, they were clearing the ice rinks, there are two, and the Zamboni cleaned the ice.
Good ice skating surface.  Would prefer if hockey sticks not allowed on one of the surfaces...there is a dedicated hockey rink but obviously insufficient for some “enthusiasts” who spill over onto adjacent rink.
Gets real busy around 2-3pm...try going earlier...enjoy"
3,Parc Beaubien - Outremont,ChZDSUhNMG9nS0VJQ0FnSURLMTdpaEtBEAE,Hala Haj asaad,https://www.google.com/maps/contrib/102617440510489661597/reviews?hl=en-CA,a month ago,2021-06-24 01:34:15.778960,4.0,29,"I like it, it's quiet, clean, and good for reading or spending quality time with a family member"
4,Parc Beaubien - Outremont,ChdDSUhNMG9nS0VJQ0FnSUM4NjRTWjZ3RRAB,Glen E. Grant,https://www.google.com/maps/contrib/106095515634635075805/reviews?hl=en-CA,11 months ago,2021-06-24 01:34:15.780292,4.0,379,"Excellent park for families and individuals with plenty of benches, trees and a large active fountain ⛲ which seems to be enjoyed by many.
An great place for morning workouts in groups as great grass coverage as well as for family or friends picnics."
5,Parc Beaubien - Outremont,ChdDSUhNMG9nS0VJQ0FnSUN5X2U2WWpBRRAB,xavier montels,https://www.google.com/maps/contrib/105143228056476672426/reviews?hl=en-CA,4 months ago,2021-06-24 01:34:15.781224,5.0,30,During winter : Come before 9.30am if you want to put your kids on a sled : you’ll have all the parc just for you.
6,Parc Beaubien - Outremont,ChdDSUhNMG9nS0VJQ0FnSUR5a0tfUDZBRRAB,İrfan Atatekin,https://www.google.com/maps/contrib/104208455483827570379/reviews?hl=en-CA,4 months ago,2021-06-24 01:34:15.782154,5.0,11,Perfect winter park for families. There are two skating areas and several hills of different sizes for tobagoning or whatever...
7,Parc Beaubien - Outremont,ChdDSUhNMG9nS0VJQ0FnSURTaFlXUWl3RRAB,Vishnu Vijayan,https://www.google.com/maps/contrib/108284404604956662888/reviews?hl=en-CA,5 months ago,2021-06-24 01:34:15.783080,5.0,28,A calm and beautiful place to relax in the evenings!
8,Parc Beaubien - Outremont,ChZDSUhNMG9nS0VJQ0FnSUNxOGFmSFBBEAE,George Homer (Harley),https://www.google.com/maps/contrib/103629001060678431979/reviews?hl=en-CA,a week ago,2021-06-24 01:34:15.784732,5.0,83,Beautiful park with great scenery
9,Parc Beaubien - Outremont,ChdDSUhNMG9nS0VJQ0FnSUNLNnZyRF9BRRAB,Momo Chu,https://www.google.com/maps/contrib/102550703977356724190/reviews?hl=en-CA,2 months ago,2021-06-24 01:34:15.786012,5.0,10,"Fun fresh and big, good for table picnics"
