,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Beaulac,ChZDSUhNMG9nS0VJQ0FnSURDMUlxVFhBEAE,Rafik Kefi,https://www.google.com/maps/contrib/106686320821607881523/reviews?hl=en-CA,9 months ago,2021-06-20 20:09:08.729533,5.0,11,Small but decent and clean park
1,Parc Beaulac,ChZDSUhNMG9nS0VJQ0FnSUNDaktyVUt3EAE,stessy cam,https://www.google.com/maps/contrib/116698768906171194392/reviews?hl=en-CA,10 months ago,2021-06-20 20:09:08.730577,5.0,36,A beautiful park very clean
2,Parc Beaulac,ChZDSUhNMG9nS0VJQ0FnSURVaXMzMFd3EAE,Agnes Irla,https://www.google.com/maps/contrib/105515946078927030148/reviews?hl=en-CA,a year ago,2021-06-20 20:09:08.731514,5.0,17,"Very lively , woter games in the summer . A lot of fun games for kids"
3,Parc Beaulac,ChZDSUhNMG9nS0VJQ0FnSURRMmJ2M1hREAE,Gail Charles,https://www.google.com/maps/contrib/116035006540303665315/reviews?hl=en-CA,2 years ago,2021-06-20 20:09:08.732527,5.0,62,Clean quiet park. Pretty fountain in the middle. Good for evening walks.
4,Parc Beaulac,ChdDSUhNMG9nS0VJQ0FnSUNnMk5XcjNBRRAB,Charlie Younghusband,https://www.google.com/maps/contrib/111805101452765313226/reviews?hl=en-CA,2 years ago,2021-06-20 20:09:08.733455,4.0,15,Good park with some nice trees for shade if you want it
5,Parc Beaulac,ChdDSUhNMG9nS0VJQ0FnSURRaGJ5ZjlBRRAB,Monroe Courie,https://www.google.com/maps/contrib/102511014374025087291/reviews?hl=en-CA,3 years ago,2021-06-20 20:09:08.734483,3.0,47,"Decent park, just a bit small."
6,Parc Beaulac,ChdDSUhNMG9nS0VJQ0FnSUM0eDgyb3d3RRAB,Joe Lebbos,https://www.google.com/maps/contrib/108518648322521745788/reviews?hl=en-CA,2 years ago,2021-06-20 20:09:08.735481,5.0,29,Water games for kids
7,Parc Beaulac,ChdDSUhNMG9nS0VJQ0FnSUNnX09ENHhRRRAB,Lucas,https://www.google.com/maps/contrib/110464644098689860452/reviews?hl=en-CA,3 years ago,2021-06-20 20:09:08.736470,4.0,108,Amazing hockey ring
8,Parc Beaulac,ChZDSUhNMG9nS0VJQ0FnSURnaHNic0hBEAE,Surbi Beluri,https://www.google.com/maps/contrib/118107731207007780864/reviews?hl=en-CA,2 years ago,2021-06-20 20:09:08.737432,5.0,85,Good for kids
9,Parc Beaulac,ChZDSUhNMG9nS0VJQ0FnSURReHVxaVlREAE,Alexander Moz,https://www.google.com/maps/contrib/107299922847341293405/reviews?hl=en-CA,3 years ago,2021-06-20 20:09:08.738417,5.0,67,"(Translated by Google) Super fun, especially the water games.

(Original)
Super amuzant, surtout les jeux d'eau."
10,Parc Beaulac,ChdDSUhNMG9nS0VJQ0FnSUN3c1ktb2l3RRAB,pierre beauchamp,https://www.google.com/maps/contrib/110717236141154298920/reviews?hl=en-CA,2 years ago,2021-06-20 20:09:08.739361,4.0,193,"(Translated by Google) Beautiful little park

(Original)
Beau petit parc"
11,Parc Beaulac,ChdDSUhNMG9nS0VJQ0FnSUM4bXJfZ3pnRRAB,Mimi,https://www.google.com/maps/contrib/108433480106271664281/reviews?hl=en-CA,9 months ago,2021-06-20 20:09:08.740294,4.0,9,
12,Parc Beaulac,ChdDSUhNMG9nS0VJQ0FnSURReDUzT3l3RRAB,Athmane H16,https://www.google.com/maps/contrib/110630402603713472022/reviews?hl=en-CA,4 years ago,2021-06-20 20:09:08.741212,3.0,24,
13,Parc Beaulac,ChdDSUhNMG9nS0VJQ0FnSUNxa0piUXlBRRAB,Eric-Marie Gonon,https://www.google.com/maps/contrib/114177180540287591578/reviews?hl=en-CA,3 weeks ago,2021-06-20 20:09:08.742129,5.0,15,
14,Parc Beaulac,ChdDSUhNMG9nS0VJQ0FnSUNzaGZXY3VRRRAB,Hassan Sawan,https://www.google.com/maps/contrib/101775949644611431315/reviews?hl=en-CA,a year ago,2021-06-20 20:09:08.743046,5.0,32,
15,Parc Beaulac,ChdDSUhNMG9nS0VJQ0FnSUNDdmU2d3F3RRAB,Jason Yu,https://www.google.com/maps/contrib/111706277792880617698/reviews?hl=en-CA,9 months ago,2021-06-20 20:09:08.743965,5.0,12,
16,Parc Beaulac,ChdDSUhNMG9nS0VJQ0FnSUNVajdIaHFRRRAB,Anthony R.,https://www.google.com/maps/contrib/114756182589379708846/reviews?hl=en-CA,a year ago,2021-06-20 20:09:08.744926,5.0,64,
17,Parc Beaulac,ChdDSUhNMG9nS0VJQ0FnSUN3d3FXMW93RRAB,abhishek chaudhry,https://www.google.com/maps/contrib/112734310065066972697/reviews?hl=en-CA,2 years ago,2021-06-20 20:09:08.745945,4.0,68,
18,Parc Beaulac,ChdDSUhNMG9nS0VJQ0FnSURLd3BMb25nRRAB,Memo **,https://www.google.com/maps/contrib/102661888212663009091/reviews?hl=en-CA,a month ago,2021-06-20 20:09:08.746864,5.0,2,
19,Parc Beaulac,ChdDSUhNMG9nS0VJQ0FnSURRME5iamxRRRAB,Alaa Al Azzawi,https://www.google.com/maps/contrib/109405335412478139506/reviews?hl=en-CA,3 years ago,2021-06-20 20:09:08.747783,3.0,46,
20,Parc Beaulac,ChdDSUhNMG9nS0VJQ0FnSURVNU1lSGlBRRAB,Jeffrey Wang,https://www.google.com/maps/contrib/115517038577928828990/reviews?hl=en-CA,a year ago,2021-06-20 20:09:08.748700,5.0,3,
21,Parc Beaulac,ChZDSUhNMG9nS0VJQ0FnSURndGZLbmV3EAE,Ashley Green,https://www.google.com/maps/contrib/104528313514983698357/reviews?hl=en-CA,3 years ago,2021-06-20 20:09:08.749618,3.0,121,
22,Parc Beaulac,ChZDSUhNMG9nS0VJQ0FnSURROXZUUFl3EAE,Daniel Diaz,https://www.google.com/maps/contrib/113855591879051694083/reviews?hl=en-CA,4 years ago,2021-06-20 20:09:08.750535,4.0,36,
23,Parc Beaulac,ChZDSUhNMG9nS0VJQ0FnSUN3aE5PMVlREAE,julia electric,https://www.google.com/maps/contrib/106472885850914810238/reviews?hl=en-CA,3 years ago,2021-06-20 20:09:08.751461,5.0,3,
24,Parc Beaulac,ChZDSUhNMG9nS0VJQ0FnSUNRMnN2X1lBEAE,Manjunath Chikmadurappa,https://www.google.com/maps/contrib/109053375228326319837/reviews?hl=en-CA,2 years ago,2021-06-20 20:09:08.752384,5.0,37,
25,Parc Beaulac,ChZDSUhNMG9nS0VJQ0FnSURrMzlUd1ZnEAE,Rami Issa,https://www.google.com/maps/contrib/110594009916908754437/reviews?hl=en-CA,a year ago,2021-06-20 20:09:08.753313,5.0,20,
26,Parc Beaulac,ChZDSUhNMG9nS0VJQ0FnSURrMWRHc1ZREAE,Florence say,https://www.google.com/maps/contrib/117000962353142798916/reviews?hl=en-CA,a year ago,2021-06-20 20:09:08.754356,5.0,0,
27,Parc Beaulac,ChZDSUhNMG9nS0VJQ0FnSURBaEx2Z1JREAE,Omar Merhi,https://www.google.com/maps/contrib/107293228774792419190/reviews?hl=en-CA,3 years ago,2021-06-20 20:09:08.755293,5.0,18,
28,Parc Beaulac,ChZDSUhNMG9nS0VJQ0FnSURVZ05ULVFnEAE,Kam C,https://www.google.com/maps/contrib/101104713278022537832/reviews?hl=en-CA,a year ago,2021-06-20 20:09:08.756223,5.0,74,
29,Parc Beaulac,ChZDSUhNMG9nS0VJQ0FnSURzNnRuR1BnEAE,LJ Wong,https://www.google.com/maps/contrib/110873509649732351104/reviews?hl=en-CA,a year ago,2021-06-20 20:09:08.757265,5.0,0,
30,Parc Beaulac,ChZDSUhNMG9nS0VJQ0FnSURJLXJIeklREAE,Marc Hayeur,https://www.google.com/maps/contrib/116548836831085012814/reviews?hl=en-CA,2 years ago,2021-06-20 20:09:08.758194,2.0,84,
31,Parc Beaulac,ChZDSUhNMG9nS0VJQ0FnSUNzeGFudkJ3EAE,Tomkin Cottrell,https://www.google.com/maps/contrib/111926677759669125000/reviews?hl=en-CA,a year ago,2021-06-20 20:09:08.759129,4.0,13,
32,Parc Beaulac,ChZDSUhNMG9nS0VJQ0FnSUNzenY3TEJnEAE,Vincent Darras,https://www.google.com/maps/contrib/113451894357519271938/reviews?hl=en-CA,a year ago,2021-06-20 20:09:08.760167,5.0,0,
33,Parc Beaulac,ChZDSUhNMG9nS0VJQ0FnSUMwdDR6eEFREAE,El Hadj Kaba Doumbouya,https://www.google.com/maps/contrib/105508233187891329636/reviews?hl=en-CA,a year ago,2021-06-20 20:09:08.761213,3.0,0,
