,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Belmont,ChdDSUhNMG9nS0VJQ0FnSUNxaWN2TXV3RRAB,Amer Olba,https://www.google.com/maps/contrib/101949479555668844733/reviews?hl=en-CA,a week ago,2021-06-20 20:17:21.876944,5.0,65,"Small , but amazing park"
1,Parc Belmont,ChdDSUhNMG9nS0VJQ0FnSUR5aUlUVzNnRRAB,mushshu ali,https://www.google.com/maps/contrib/109313860676399811846/reviews?hl=en-CA,3 months ago,2021-06-20 20:17:21.877927,5.0,138,Lake was filled with snow. I could find ducks still enjoying the melting ice water. It was beautiful feeling to walk around the river intaking fresh air.
2,Parc Belmont,ChdDSUhNMG9nS0VJQ0FnSUNLN1lLdXRnRRAB,Helen Grace,https://www.google.com/maps/contrib/112184637559704937669/reviews?hl=en-CA,2 months ago,2021-06-20 20:17:21.878846,5.0,100,Our favorite spot. Clean and the view are super relaxing.
3,Parc Belmont,ChZDSUhNMG9nS0VJQ0FnSUNLMXNXNGJnEAE,REED MOORES,https://www.google.com/maps/contrib/116140829326322477083/reviews?hl=en-CA,2 months ago,2021-06-20 20:17:21.879764,4.0,65,Great vue!
4,Parc Belmont,ChdDSUhNMG9nS0VJQ0FnSUNpcU9uMWh3RRAB,Darsh Media,https://www.google.com/maps/contrib/109860032718378061815/reviews?hl=en-CA,8 months ago,2021-06-20 20:17:21.880679,5.0,13,Beautiful small parc to enjoy sunset 🌅
5,Parc Belmont,ChdDSUhNMG9nS0VJQ0FnSURDcE1pYjNRRRAB,Kimberley Wall,https://www.google.com/maps/contrib/103887218030607174918/reviews?hl=en-CA,9 months ago,2021-06-20 20:17:21.881596,5.0,6,"As a child of the 60s my heart belongs here. So many incredible memories from my childhood with the soundtrack of Saturday Fever as a backdrop. Walking through the front gates.. salt and pepper shaker ride on the left ,avalanche sleighride on the right  and never enough tickets...rickety old roller coaster at the back with the horses up one side and down the other .. brings a tear to my eye"
6,Parc Belmont,ChdDSUhNMG9nS0VJQ0FnSUR5d3ZtTm5nRRAB,Huayu Wang,https://www.google.com/maps/contrib/103071358085570740689/reviews?hl=en-CA,3 months ago,2021-06-20 20:17:21.882522,4.0,2,"Little but has nice view, cute animals around."
7,Parc Belmont,ChdDSUhNMG9nS0VJQ0FnSUNxOEpXdHdnRRAB,SamuraiKnight,https://www.google.com/maps/contrib/102413302294374854577/reviews?hl=en-CA,3 weeks ago,2021-06-20 20:17:21.883441,5.0,10,Relaxing view of the river.
8,Parc Belmont,ChdDSUhNMG9nS0VJQ0FnSURTMzRYMnFBRRAB,Abdulrahman Husam,https://www.google.com/maps/contrib/102670718177758770861/reviews?hl=en-CA,5 months ago,2021-06-20 20:17:21.884359,5.0,10,A very special place so good to relax and have fun with friends and family.
9,Parc Belmont,ChZDSUhNMG9nS0VJQ0FnSUM4c00zMVhREAE,Srch 4Trth with Joanne,https://www.google.com/maps/contrib/108706365966264582938/reviews?hl=en-CA,11 months ago,2021-06-20 20:17:21.885280,5.0,9,I‘m almost 62 years of age and I was born and raised in Toronto and thought I would Google Belmont Park that I went to back in Expo 1967 Montreal and up popped Belmont Park today. So I read that the amusement park has been closed since 1983 but it was a total flashback when I was thinking back to when I was nine years old with $.50 I could go on the rides all day long and go crazy! Great memories and that was the one and only time that I was ever in Montreal was for expo. But I’ll never forget Belmont Park.
10,Parc Belmont,ChZDSUhNMG9nS0VJQ0FnSUNxcG9hWmRREAE,Razan Feta,https://www.google.com/maps/contrib/111890661056195753416/reviews?hl=en-CA,2 weeks ago,2021-06-20 20:17:21.886196,5.0,39,Nice view
11,Parc Belmont,ChdDSUhNMG9nS0VJQ0FnSURDNVp6cGxBRRAB,Steeven G (POPE),https://www.google.com/maps/contrib/108182405496004679749/reviews?hl=en-CA,8 months ago,2021-06-20 20:17:21.887113,5.0,31,"This is my sanctuary, few people each time staying quiet and relax next to a beautiful bridge and the wind when the summer is at is peak can been seen on the leaves."
12,Parc Belmont,ChZDSUhNMG9nS0VJQ0FnSUNpamJYWmV3EAE,Mustafizur Rahman,https://www.google.com/maps/contrib/102724185109118996987/reviews?hl=en-CA,7 months ago,2021-06-20 20:17:21.888025,3.0,84,Nice place to enjoy the view of the river and sunset
13,Parc Belmont,ChZDSUhNMG9nS0VJQ0FnSUNVeE16YUZREAE,Peter Cieply,https://www.google.com/maps/contrib/118292907881894707708/reviews?hl=en-CA,a year ago,2021-06-20 20:17:21.888941,5.0,85,Beautiful park.
14,Parc Belmont,ChZDSUhNMG9nS0VJQ0FnSUM4NXRIckZREAE,V Theodora,https://www.google.com/maps/contrib/105903143905112375176/reviews?hl=en-CA,11 months ago,2021-06-20 20:17:21.889853,5.0,61,Great place to walk around or sit back and enjoy the view on a park bench.
15,Parc Belmont,ChdDSUhNMG9nS0VJQ0FnSUNjMTl6ZnpBRRAB,Sammy Dada,https://www.google.com/maps/contrib/112795261264994054535/reviews?hl=en-CA,a year ago,2021-06-20 20:17:21.890765,1.0,149,Eventhough it has a pretty sight by the Laval bridge however it smells canaby yuck and people there are low level ... good luck with that !!!
16,Parc Belmont,ChdDSUhNMG9nS0VJQ0FnSUNDdk9tSDlRRRAB,Rommel Agarin,https://www.google.com/maps/contrib/118392662218291191036/reviews?hl=en-CA,10 months ago,2021-06-20 20:17:21.891679,4.0,7,Family picnic and river fishing!
17,Parc Belmont,ChZDSUhNMG9nS0VJQ0FnSUNLcmFXWEdnEAE,Jna,https://www.google.com/maps/contrib/103933054832620400402/reviews?hl=en-CA,2 months ago,2021-06-20 20:17:21.892596,5.0,159,Great
18,Parc Belmont,ChZDSUhNMG9nS0VJQ0FnSURDb2QyOGJnEAE,Bassam Homsi,https://www.google.com/maps/contrib/101929518825560004717/reviews?hl=en-CA,8 months ago,2021-06-20 20:17:21.893606,5.0,51,very nice
19,Parc Belmont,ChZDSUhNMG9nS0VJQ0FnSURrMi1pclFnEAE,Robert Jr Buri,https://www.google.com/maps/contrib/104022867666313764000/reviews?hl=en-CA,a year ago,2021-06-20 20:17:21.894528,4.0,143,It's a small parc..but it brings back memories of my childhood at BELMONT PARK...fun rides..the smell of popcorn...hours of fun...
20,Parc Belmont,ChdDSUhNMG9nS0VJQ0FnSURrc2VlaTR3RRAB,Étienne Bilodeau,https://www.google.com/maps/contrib/118272540119042417457/reviews?hl=en-CA,a year ago,2021-06-20 20:17:21.895443,5.0,44,"Great view on the river and Lachapelle bridge, very nice place to relax."
21,Parc Belmont,ChdDSUhNMG9nS0VJQ0FnSURDc01ucTlnRRAB,Pampa N.,https://www.google.com/maps/contrib/111812246966623050498/reviews?hl=en-CA,9 months ago,2021-06-20 20:17:21.896361,5.0,16,Beautiful and quiet
22,Parc Belmont,ChdDSUhNMG9nS0VJQ0FnSURnZzVqamtnRRAB,Joël Bolduc,https://www.google.com/maps/contrib/108503850103873876530/reviews?hl=en-CA,2 years ago,2021-06-20 20:17:21.897277,4.0,7,Awsome park. Nice view on the river. Only downside : mosquitoes...
23,Parc Belmont,ChZDSUhNMG9nS0VJQ0FnSUM0bWJHSkRREAE,Veeta Ramjattan,https://www.google.com/maps/contrib/107028987130554406071/reviews?hl=en-CA,2 years ago,2021-06-20 20:17:21.898192,4.0,5,Love the environment. Peaceful
