,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Benny,ChZDSUhNMG9nS0VJQ0FnSUNxMGZYMkxREAE,John Castell,https://www.google.com/maps/contrib/112996997091371286389/reviews?hl=en-CA,2 weeks ago,2021-06-24 20:16:48.637062,5.0,31,"Lots of activities for everyone of all ages. Mostly well maintained, few areas need some bench replacement but thats about it."
1,Parc Benny,ChdDSUhNMG9nS0VJQ0FnSUNxM3ByWjZBRRAB,Ram Kripa,https://www.google.com/maps/contrib/113823669181717002515/reviews?hl=en-CA,2 weeks ago,2021-06-24 20:16:48.644485,5.0,2,It’s best park for splash pad..
2,Parc Benny,ChZDSUhNMG9nS0VJQ0FnSUNxc3RlbkN3EAE,Sina,https://www.google.com/maps/contrib/113178849340458032360/reviews?hl=en-CA,3 weeks ago,2021-06-24 20:16:48.646520,4.0,49,A good set of different types of sports
3,Parc Benny,ChdDSUhNMG9nS0VJQ0FnSUNLaWR2a3RnRRAB,Hongry Monke,https://www.google.com/maps/contrib/100628276587555973622/reviews?hl=en-CA,2 months ago,2021-06-24 20:16:48.649494,5.0,4,"Beautiful and clean, problem is that food is far"
4,Parc Benny,ChdDSUhNMG9nS0VJQ0FnSUNxdGVLMTNRRRAB,Addis ቶክቻው,https://www.google.com/maps/contrib/116655415043767475975/reviews?hl=en-CA,a week ago,2021-06-24 20:16:48.651637,5.0,46,Wawe it's good
5,Parc Benny,ChZDSUhNMG9nS0VJQ0FnSUNLMGVqV0pREAE,Lucis Yang,https://www.google.com/maps/contrib/108154926359780266770/reviews?hl=en-CA,2 months ago,2021-06-24 20:16:48.653684,5.0,18,"Good skatepark, good vibes"
6,Parc Benny,ChdDSUhNMG9nS0VJQ0FnSUNLNHY3amhBRRAB,PC TD,https://www.google.com/maps/contrib/105795842105212815598/reviews?hl=en-CA,2 months ago,2021-06-24 20:16:48.655711,3.0,427,Definitely needs a good cleanup
7,Parc Benny,ChdDSUhNMG9nS0VJQ0FnSUNxa01lNjBRRRAB,Stoney S Babe,https://www.google.com/maps/contrib/112564666648641404793/reviews?hl=en-CA,a month ago,2021-06-24 20:16:48.658331,5.0,5,Perfect Parc to fly a kite
8,Parc Benny,ChZDSUhNMG9nS0VJQ0FnSUN3NGVtUUhBEAE,Katherine Chighladze,https://www.google.com/maps/contrib/108433906299513049608/reviews?hl=en-CA,3 years ago,2021-06-24 20:16:48.662052,5.0,72,"I love Benny parc, but I don't like that there is no shade near playground area. More trees, please. 😀"
9,Parc Benny,ChdDSUhNMG9nS0VJQ0FnSUNDa0xxNzhBRRAB,Domingo Amarillo-Brillantes,https://www.google.com/maps/contrib/104604176920272933356/reviews?hl=en-CA,10 months ago,2021-06-24 20:16:48.664292,3.0,466,Nice place within the city but needs some sprucing up.
