,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Bibeau,ChdDSUhNMG9nS0VJQ0FnSUNvLXNLeDlBRRAB,PERSIAN PERSIAN,https://www.google.com/maps/contrib/116835031997581083378/reviews?hl=en-CA,2 years ago,2021-06-20 20:27:02.790452,1.0,270,"like most parks in West island ..... soo much capacity , yet so little is being done !!!
thank you municipality !"
1,Parc Bibeau,ChZDSUhNMG9nS0VJQ0FnSUNVaGRLZGR3EAE,Yu Meng Chao,https://www.google.com/maps/contrib/103809159461050760632/reviews?hl=en-CA,a year ago,2021-06-20 20:27:02.791386,5.0,589,Beautiful little place to read.
2,Parc Bibeau,ChZDSUhNMG9nS0VJQ0FnSURZbm9MU0FREAE,Sherman .S,https://www.google.com/maps/contrib/106205280176250378182/reviews?hl=en-CA,2 years ago,2021-06-20 20:27:02.792322,3.0,32,Its a PARC.
3,Parc Bibeau,ChdDSUhNMG9nS0VJQ0FnSUQ4NjgtWHN3RRAB,mathieu voizard,https://www.google.com/maps/contrib/118297242152210162725/reviews?hl=en-CA,10 months ago,2021-06-20 20:27:02.793285,5.0,12,"(Translated by Google) Very nice park!

(Original)
Très joli parc !"
4,Parc Bibeau,ChZDSUhNMG9nS0VJQ0FnSURnbmZfekZBEAE,Michel B,https://www.google.com/maps/contrib/104204979167037110616/reviews?hl=en-CA,3 years ago,2021-06-20 20:27:02.794207,4.0,106,"(Translated by Google) A place to relax
This is the place to empty
The snow is giving way to our culture and the songbirds are waiting for you.

(Original)
Un lieu pour relaxer
C'est la place pour faire le vide
La neige fait place à notre culture et les oiseaux chanteurs sont au rendez-vous."
5,Parc Bibeau,ChdDSUhNMG9nS0VJQ0FnSURnLXMzTS13RRAB,Shady Abid,https://www.google.com/maps/contrib/112621530167056511073/reviews?hl=en-CA,3 years ago,2021-06-20 20:27:02.795124,4.0,1,
6,Parc Bibeau,ChdDSUhNMG9nS0VJQ0FnSUNZeWRIRTd3RRAB,Michel Belanger,https://www.google.com/maps/contrib/117145347288476980248/reviews?hl=en-CA,2 years ago,2021-06-20 20:27:02.796162,5.0,0,
7,Parc Bibeau,ChdDSUhNMG9nS0VJQ0FnSUNRaElUTDJRRRAB,iliyan mihaylov,https://www.google.com/maps/contrib/108691667677275502751/reviews?hl=en-CA,2 years ago,2021-06-20 20:27:02.797075,5.0,3,
8,Parc Bibeau,ChdDSUhNMG9nS0VJQ0FnSURBd0l6aHp3RRAB,Dilyana Veleva,https://www.google.com/maps/contrib/116773007897174670751/reviews?hl=en-CA,4 years ago,2021-06-20 20:27:02.798002,5.0,11,
9,Parc Bibeau,ChdDSUhNMG9nS0VJQ0FnSURjc01iMHlBRRAB,Patrick Lemieux,https://www.google.com/maps/contrib/101154015370286110757/reviews?hl=en-CA,a year ago,2021-06-20 20:27:02.798994,2.0,23,
