,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Brook,ChdDSUhNMG9nS0VJQ0FnSURLMzlpX2t3RRAB,David Bourget,https://www.google.com/maps/contrib/114234713489256414652/reviews?hl=en-CA,4 weeks ago,2021-06-20 20:31:18.226461,5.0,36,"Beautiful structures for the kids, ground is covered with a type of outdoor carpet which is great. Plenty of shade"
1,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSUQ0OWMtdlRnEAE,Sophie Lee,https://www.google.com/maps/contrib/110227110373309060724/reviews?hl=en-CA,2 years ago,2021-06-20 20:31:18.227406,3.0,57,Large space for puppies to run.  Unfortunately lots of people don't pick up after their pups and the gates are often damaged so they don't close properly.  There are poop bags available and a water fountain.
2,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSUN5M3QtcktREAE,Sar Flipped,https://www.google.com/maps/contrib/105285604922613433939/reviews?hl=en-CA,4 months ago,2021-06-20 20:31:18.228329,5.0,12,Very well maintained with dog park and several places to skate for  your kids. Also clear snow to allow easy movement between parks nearby.
3,Parc Brook,ChdDSUhNMG9nS0VJQ0FnSUNLZ0puTXRnRRAB,Eric Rousse,https://www.google.com/maps/contrib/105812094980447163072/reviews?hl=en-CA,2 months ago,2021-06-20 20:31:18.229255,5.0,81,"Great dog park, owners that frequent that park are super cool. Highly recommend it."
4,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSUNRN1AzRVZREAE,S Marcotte,https://www.google.com/maps/contrib/106008746249258058111/reviews?hl=en-CA,2 years ago,2021-06-20 20:31:18.230179,3.0,156,"People treat the Dog Park like a litter box and never pick up the poop. Some people think the whole park is a dog park so the dogs run around all over the place without a leash.

Edgy teens think it's cool to continuously break beer bottles on the paved paths.... So often it's going outta style. ""Look at me! I grew up in the suburbs but I think I'm in the hood""  GTF Outta Here.

Too many baseball diamonds... Could use a basketball court.

3/5 stars. At least I don't gotta walk my dog on these sidewalkless streets."
5,Parc Brook,ChdDSUhNMG9nS0VJQ0FnSURVNGZiYV9BRRAB,Deborah Davis,https://www.google.com/maps/contrib/109844904436713874520/reviews?hl=en-CA,a year ago,2021-06-20 20:31:18.231104,5.0,26,"My boys and I really enjoy this park! It has one of the best dog parks that I’ve visited. Very clean, nice shady spots. The maintenance of all installations is spotless. You can ride your bike there and simply enjoy. There are field activities for every season: baseball, tennis, ice skating."
6,Parc Brook,ChdDSUhNMG9nS0VJQ0FnSURrX1l1UDJ3RRAB,C Chip,https://www.google.com/maps/contrib/110296442794283338688/reviews?hl=en-CA,a year ago,2021-06-20 20:31:18.232030,5.0,39,"lovely park and even better dog run!! great place to walk and calm down every morning  or night, baseball fields are well tended too and dogs and people are usually very friendly!! love going there every day!!  staff is hardworking and park is great"
7,Parc Brook,ChdDSUhNMG9nS0VJQ0FnSURzX3JYLXh3RRAB,Joseph Advincula,https://www.google.com/maps/contrib/102036435383573551395/reviews?hl=en-CA,a year ago,2021-06-20 20:31:18.232953,5.0,159,A great park to go for a jog. Peaceful and safe. Less cars and the neighborhood is very nice.
8,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSURVOHF1V1lREAE,Philip Maheux,https://www.google.com/maps/contrib/111680293542988610599/reviews?hl=en-CA,a year ago,2021-06-20 20:31:18.233880,4.0,2,Well maintained with small dog park. Several baseball diamond s and nice tennis courts. Across road decent play area for kids with slides etc. .
9,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSURVcGJyVlBREAE,Jason Larocque,https://www.google.com/maps/contrib/102123427387763986165/reviews?hl=en-CA,a year ago,2021-06-20 20:31:18.234803,4.0,3,Great fot both small and older kids
10,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSUNZcDhMYVN3EAE,Stephane Levy,https://www.google.com/maps/contrib/117242568478381859344/reviews?hl=en-CA,2 years ago,2021-06-20 20:31:18.235723,5.0,8,"Wonderful park with two areas for all ages, lots of room to kick a soccer ball around (or anything else), and close to all kinds of sporting fields, baseball, soccer, tennis. My 7 year old son's favorite park!!"
11,Parc Brook,ChdDSUhNMG9nS0VJQ0FnSURndXRhM3p3RRAB,Chris Schreindorfer,https://www.google.com/maps/contrib/118100728921689371227/reviews?hl=en-CA,11 months ago,2021-06-20 20:31:18.236646,5.0,51,Great place to play baseball
12,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSUNZejRqTURnEAE,Leonid Chukhovsky,https://www.google.com/maps/contrib/115241095032474906469/reviews?hl=en-CA,2 years ago,2021-06-20 20:31:18.237567,5.0,733,"Nice place for all kids in the area, well maintained park. It's not as big as some other parks, nice to have place to have in the neighborhood."
13,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSUNRNnFhS0RREAE,Kathy S. W.,https://www.google.com/maps/contrib/107291261490339324816/reviews?hl=en-CA,3 years ago,2021-06-20 20:31:18.238487,3.0,62,A dog park with not too many dogs... also my dog doesn’t like the granules ground.
14,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSUM0NGFhQkdREAE,Annie Zee,https://www.google.com/maps/contrib/113473555754984294374/reviews?hl=en-CA,2 years ago,2021-06-20 20:31:18.239408,5.0,8,Very good for the little ones to spend for an hour. Just the basics.
15,Parc Brook,ChdDSUhNMG9nS0VJQ0FnSUM4d0xDZ3hnRRAB,Christopher Moore,https://www.google.com/maps/contrib/109585337609485116969/reviews?hl=en-CA,11 months ago,2021-06-20 20:31:18.240435,5.0,34,Great park for baseball
16,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSURZdnRLNGR3EAE,Alexander O'Brien,https://www.google.com/maps/contrib/109800889612143686237/reviews?hl=en-CA,2 years ago,2021-06-20 20:31:18.241377,5.0,240,"This park is a stable site in the Pierrefonds Roxboro area on the West Island. If you played hockey, tennis, baseball, lobball, lawn bowling, you know where it is located on brook st.( Between ushaped Harvey st. ), It does not have an exterior swimming pool. Go check out a high talented baseball game, or young ones also enjoying playing baseball this summer, and there is available parking."
17,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSUM0aFlQNFJBEAE,Google Person,https://www.google.com/maps/contrib/115001423830147155512/reviews?hl=en-CA,2 years ago,2021-06-20 20:31:18.242302,2.0,422,Nice park.  Not enough seating.
18,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSUNRaThiN0RnEAE,Chris Parry,https://www.google.com/maps/contrib/116469269613839654599/reviews?hl=en-CA,3 years ago,2021-06-20 20:31:18.243226,3.0,22,They recently substituted the sand for carpet flooring. It's still a fun place to take your children just watch out for carpet burns.
19,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSURrNzR5TWZnEAE,Atie Waxman,https://www.google.com/maps/contrib/115845658589082430900/reviews?hl=en-CA,a year ago,2021-06-20 20:31:18.244145,3.0,90,Went for baseball game.  The mounds are not correct and the dugout fences are dangerously low
20,Parc Brook,ChdDSUhNMG9nS0VJQ0FnSURRa19hLTF3RRAB,Jordan Francisco,https://www.google.com/maps/contrib/114151981913314895978/reviews?hl=en-CA,3 years ago,2021-06-20 20:31:18.245071,4.0,5,"Nice place for dogs, pebbles instead of sand. However many trees around the park making bugs show up, little sticks and twigs on the ground but would certainly go again!"
21,Parc Brook,ChdDSUhNMG9nS0VJQ0FnSURBbG9tSy1nRRAB,Herlon Mesquita,https://www.google.com/maps/contrib/109095421957898382804/reviews?hl=en-CA,3 years ago,2021-06-20 20:31:18.245996,5.0,48,Nice park with tennis courts and baseball field. This park has a dog park too.
22,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSUN3cl9hZEZBEAE,Valerie Bourdon,https://www.google.com/maps/contrib/114472428998811995242/reviews?hl=en-CA,4 years ago,2021-06-20 20:31:18.246917,5.0,58,Good for a little peace and quiet.
23,Parc Brook,ChdDSUhNMG9nS0VJQ0FnSURBaS1iR3RRRRAB,Charles Lavoie,https://www.google.com/maps/contrib/102641869063348936056/reviews?hl=en-CA,3 years ago,2021-06-20 20:31:18.247837,5.0,7,Great for kids big and small.
24,Parc Brook,ChdDSUhNMG9nS0VJQ0FnSUNnM3AzVnBRRRAB,Justin Theriault,https://www.google.com/maps/contrib/116626576154390510222/reviews?hl=en-CA,2 years ago,2021-06-20 20:31:18.248757,5.0,101,Clean good dog park
25,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSURJOFBmS0J3EAE,Jean-Philippe Gauvreau,https://www.google.com/maps/contrib/103897919382531551420/reviews?hl=en-CA,2 years ago,2021-06-20 20:31:18.249682,5.0,3,great dog park
26,Parc Brook,ChdDSUhNMG9nS0VJQ0FnSURZMU5TUjVRRRAB,daniel zhang,https://www.google.com/maps/contrib/104360533856809830257/reviews?hl=en-CA,2 years ago,2021-06-20 20:31:18.250660,5.0,482,"Huge playgrounds for kids,"
27,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSURnOXE2VUtREAE,Barry Barryy,https://www.google.com/maps/contrib/115714290670927780491/reviews?hl=en-CA,4 years ago,2021-06-20 20:31:18.251593,5.0,155,Best park in the world!
28,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSUNnaHJYbUxBEAE,Sash M,https://www.google.com/maps/contrib/103099224750291593143/reviews?hl=en-CA,3 years ago,2021-06-20 20:31:18.252527,4.0,1,All it's missing is a basketball court too many baseball fields
29,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSUNBaE8yMVB3EAE,Vannessa J,https://www.google.com/maps/contrib/110208699652339407776/reviews?hl=en-CA,4 years ago,2021-06-20 20:31:18.253453,5.0,28,Very nice park
30,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSUN3OG91dllnEAE,Cristinne Mesquita,https://www.google.com/maps/contrib/100284574546861907488/reviews?hl=en-CA,3 years ago,2021-06-20 20:31:18.254392,5.0,15,Excellent parc!
31,Parc Brook,ChdDSUhNMG9nS0VJQ0FnSUN3bmZieDF3RRAB,Tom Plesz,https://www.google.com/maps/contrib/110909044320593049569/reviews?hl=en-CA,4 years ago,2021-06-20 20:31:18.255316,4.0,202,Great place
32,Parc Brook,ChdDSUhNMG9nS0VJQ0FnSURnbTlqTnpBRRAB,Ayoub O,https://www.google.com/maps/contrib/114685050390848102364/reviews?hl=en-CA,7 years ago,2021-06-20 20:31:18.256247,3.0,1,WE NEED A SMALL TURF SOCCER FIELD PLZ
33,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSUN5dlBfRkpnEAE,Francine Crompton,https://www.google.com/maps/contrib/101942641633623600321/reviews?hl=en-CA,4 months ago,2021-06-20 20:31:18.257168,4.0,13,"(Translated by Google) Not very welcoming, not well maintained, a small chair to put the skates on, ice with small ""cailoux"" of snow, an ice rink on the possibility of three. Disappointing.

(Original)
Pas très accueillant,  pas bien entretenu, une petite chaise pour mettre les patins, glace avec petits ""cailoux"" de neige, une patinoire sur possibilité de trois. Décevant."
34,Parc Brook,ChdDSUhNMG9nS0VJQ0FnSURTM2ZXa2xRRRAB,Mélanie Meunier,https://www.google.com/maps/contrib/111437067594946913652/reviews?hl=en-CA,5 months ago,2021-06-20 20:31:18.258091,5.0,21,"(Translated by Google) The children loved skating there!

(Original)
Les enfants ont adoré y patiner!"
35,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSUN5MV9HbkFREAE,Joseph El-khoury,https://www.google.com/maps/contrib/111934634426379488591/reviews?hl=en-CA,4 months ago,2021-06-20 20:31:18.259011,5.0,6,"(Translated by Google) Nice tracks now for the steps

(Original)
Belles pistes maintenant pour les marches"
36,Parc Brook,ChdDSUhNMG9nS0VJQ0FnSUM0M3Y2TG1RRRAB,Mathieu Menard,https://www.google.com/maps/contrib/103942970905558939419/reviews?hl=en-CA,2 years ago,2021-06-20 20:31:18.259936,4.0,15,"(Translated by Google) the little rock is hard on the dog's feet.

(Original)
la petite roche est dur sur les pieds des chien."
37,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSURBMFBPMVB3EAE,Pierre Koch,https://www.google.com/maps/contrib/114841645573281616877/reviews?hl=en-CA,3 years ago,2021-06-20 20:31:18.260859,4.0,77,"(Translated by Google) Very nice baseball park

(Original)
Tres beau parc de Baseball"
38,Parc Brook,ChdDSUhNMG9nS0VJQ0FnSUN3aXFiYTZ3RRAB,Caroline Paradis,https://www.google.com/maps/contrib/106431685786490475666/reviews?hl=en-CA,3 years ago,2021-06-20 20:31:18.261785,5.0,1,"(Translated by Google) Beautiful park well maintained

(Original)
Très beau parc bien entretenu"
39,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSURnMk5ISmV3EAE,Hermo G,https://www.google.com/maps/contrib/117602746553364998318/reviews?hl=en-CA,9 years ago,2021-06-20 20:31:18.262710,5.0,4,"(Translated by Google) Good for baseball

(Original)
Bon pour le baseball"
40,Parc Brook,ChZDSUhNMG9nS0VJQ0FnSUNBbDlHb1Z3EAE,Monique Mailloux,https://www.google.com/maps/contrib/104810843843781597728/reviews?hl=en-CA,3 years ago,2021-06-20 20:31:18.263631,5.0,8,"(Translated by Google) Beautiful family park

(Original)
Beau parc familial"
