,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Campbell-Ouest,ChdDSUhNMG9nS0VJQ0FnSUNxNllYZXpRRRAB,Michelle Lee,https://www.google.com/maps/contrib/111000786323228712067/reviews?hl=en-CA,a week ago,2021-06-20 20:33:15.172235,5.0,34,"Small park in a quiet residential area and it's perfect for the kids. With our toddler playing in water, we will spend almost every weekend throughout summer!"
1,Parc Campbell-Ouest,ChZDSUhNMG9nS0VJQ0FnSUM4czRQTmF3EAE,Leah Parisella,https://www.google.com/maps/contrib/114425783465615395943/reviews?hl=en-CA,2 weeks ago,2021-06-20 20:33:15.173213,5.0,71,Great fenced in splash pad! The kids I work with loved it 💦
2,Parc Campbell-Ouest,ChZDSUhNMG9nS0VJQ0FnSUNpaGJ1cFlnEAE,Lupa Duende,https://www.google.com/maps/contrib/114521513662502003983/reviews?hl=en-CA,7 months ago,2021-06-20 20:33:15.174143,5.0,250,A beautiful bit of green for people to relax in with friends and families.
3,Parc Campbell-Ouest,ChZDSUhNMG9nS0VJQ0FnSUN5cE5ESlBREAE,Jean-Pierre Légaré,https://www.google.com/maps/contrib/110225220316043181939/reviews?hl=en-CA,5 months ago,2021-06-20 20:33:15.175079,5.0,127,AMAZING and bigger then I though
4,Parc Campbell-Ouest,ChZDSUhNMG9nS0VJQ0FnSURBc2ZQUFBREAE,Art Is My Absolute,https://www.google.com/maps/contrib/103514471773191648580/reviews?hl=en-CA,4 years ago,2021-06-20 20:33:15.176003,5.0,21,The park is perfectly adapted for all kind of people. It's extraordinary to see people's hospitality & love towards their work and up-bring towards a better perspective of humanity & togetherness. 👏🏽
5,Parc Campbell-Ouest,ChdDSUhNMG9nS0VJQ0FnSURzdE1MZTB3RRAB,MONIQUE ROY,https://www.google.com/maps/contrib/105885714073042609813/reviews?hl=en-CA,a year ago,2021-06-20 20:33:15.176928,3.0,127,Too bad there's no dog park. There's plenty of room for one :(
6,Parc Campbell-Ouest,ChZDSUhNMG9nS0VJQ0FnSURraV9haGVREAE,Shirley Briand,https://www.google.com/maps/contrib/106997639824278055944/reviews?hl=en-CA,a year ago,2021-06-20 20:33:15.177850,5.0,3,Fantastic family oriented safe clean friendly. Great for kids six and under.
7,Parc Campbell-Ouest,ChZDSUhNMG9nS0VJQ0FnSURjN1pTQVRREAE,Bruno Taglietti,https://www.google.com/maps/contrib/110362636192951019652/reviews?hl=en-CA,a year ago,2021-06-20 20:33:15.178778,5.0,104,"Lovely, clean park."
8,Parc Campbell-Ouest,ChZDSUhNMG9nS0VJQ0FnSURvd0syaUR3EAE,Papi Young,https://www.google.com/maps/contrib/110652804432797249970/reviews?hl=en-CA,2 years ago,2021-06-20 20:33:15.179700,5.0,73,Has a lovely park for younguns and toddlers...nice picnic tables for a snack..wading pool...tiny ball hockey rink but who stole the nets tabernac...ping pong tables...soccer nets but what happened to the dog run?
9,Parc Campbell-Ouest,ChdDSUhNMG9nS0VJQ0FnSURJaExpQXpRRRAB,Johane Granata,https://www.google.com/maps/contrib/107224305691054574447/reviews?hl=en-CA,2 years ago,2021-06-20 20:33:15.180625,3.0,8,Local park. Fairly clean. Wading pool for tots in the summer. Outdoor skating rinks in winter.
10,Parc Campbell-Ouest,ChZDSUhNMG9nS0VJQ0FnSURBaC1DQ0t3EAE,Zhuoyu Wang,https://www.google.com/maps/contrib/106316131746381128887/reviews?hl=en-CA,3 years ago,2021-06-20 20:33:15.181547,5.0,15,A good place for kids. There are two playgrounds for different age groups. Lots of  community activities during the summer.
11,Parc Campbell-Ouest,ChZDSUhNMG9nS0VJQ0FnSURReU9UOEpBEAE,Lev Klisurova,https://www.google.com/maps/contrib/114908387597440471321/reviews?hl=en-CA,4 years ago,2021-06-20 20:33:15.182466,3.0,7,Eh. Good parc. Depends what you want from it - usually crowded with children. There is a clear effort to make it more welcoming to the community.
12,Parc Campbell-Ouest,ChZDSUhNMG9nS0VJQ0FnSURRaFlUZ0V3EAE,Vg G,https://www.google.com/maps/contrib/114092399265107358982/reviews?hl=en-CA,3 years ago,2021-06-20 20:33:15.183391,3.0,755,"Quiet park to relax, play petanque, soccer, and skate or hockey during winter time."
13,Parc Campbell-Ouest,ChdDSUhNMG9nS0VJQ0FnSUNnZ2VUTzlRRRAB,dontaco86,https://www.google.com/maps/contrib/111101997789192373682/reviews?hl=en-CA,2 years ago,2021-06-20 20:33:15.184313,5.0,219,Great park to bring your dog
14,Parc Campbell-Ouest,ChZDSUhNMG9nS0VJQ0FnSUNBeWZlRmZ3EAE,Jessica Gogan,https://www.google.com/maps/contrib/113243959552341513682/reviews?hl=en-CA,4 years ago,2021-06-20 20:33:15.185236,3.0,25,A little empty  but quiet
15,Parc Campbell-Ouest,ChdDSUhNMG9nS0VJQ0FnSURVeGNlNGpnRRAB,Maxymus Prime,https://www.google.com/maps/contrib/114880827580966375736/reviews?hl=en-CA,a year ago,2021-06-20 20:33:15.186174,1.0,26,"Dirty, very dirty"
16,Parc Campbell-Ouest,ChdDSUhNMG9nS0VJQ0FnSURBaU96cXRnRRAB,ML ML,https://www.google.com/maps/contrib/115322352131515156922/reviews?hl=en-CA,4 years ago,2021-06-20 20:33:15.187131,5.0,144,Cool place to bring your dog !
17,Parc Campbell-Ouest,ChZDSUhNMG9nS0VJQ0FnSURBNWViSVFnEAE,Andrew Bendo,https://www.google.com/maps/contrib/101936527234890712876/reviews?hl=en-CA,2 years ago,2021-06-20 20:33:15.188099,1.0,117,Swings
18,Parc Campbell-Ouest,ChdDSUhNMG9nS0VJQ0FnSURnNHBySXRRRRAB,tiantian chen,https://www.google.com/maps/contrib/114892945276853977344/reviews?hl=en-CA,3 years ago,2021-06-20 20:33:15.189025,5.0,22,my neighbourhood park
19,Parc Campbell-Ouest,ChdDSUhNMG9nS0VJQ0FnSUNRak82TWhnRRAB,Doug M.,https://www.google.com/maps/contrib/101156750011341776158/reviews?hl=en-CA,2 years ago,2021-06-20 20:33:15.189950,4.0,77,Great community park
20,Parc Campbell-Ouest,ChZDSUhNMG9nS0VJQ0FnSUNncVp5YU9REAE,Patricia Benoit,https://www.google.com/maps/contrib/110684332584691304528/reviews?hl=en-CA,2 years ago,2021-06-20 20:33:15.190878,5.0,41,clean and fun for the kids
21,Parc Campbell-Ouest,ChZDSUhNMG9nS0VJQ0FnSUN3cWFuQ1R3EAE,Johnny George,https://www.google.com/maps/contrib/104639442002223754505/reviews?hl=en-CA,3 years ago,2021-06-20 20:33:15.192544,5.0,70,Nice for relaxing
22,Parc Campbell-Ouest,ChZDSUhNMG9nS0VJQ0FnSURBMnFxMGJ3EAE,Charlene Lewis-Sutherland,https://www.google.com/maps/contrib/107419530730185967085/reviews?hl=en-CA,3 years ago,2021-06-20 20:33:15.193953,4.0,81,Large park with lots of things to do.
23,Parc Campbell-Ouest,ChdDSUhNMG9nS0VJQ0FnSURnb0tqMWxRRRAB,TROGBOX Trogdoor,https://www.google.com/maps/contrib/110467462341953778604/reviews?hl=en-CA,4 years ago,2021-06-20 20:33:15.194886,5.0,39,2 parks. Kids tiny splash pad.
24,Parc Campbell-Ouest,ChdDSUhNMG9nS0VJQ0FnSUNBMHBhVG9RRRAB,Alexandre Hanssement,https://www.google.com/maps/contrib/110627188509793193723/reviews?hl=en-CA,4 years ago,2021-06-20 20:33:15.195809,3.0,70,Multi activity
25,Parc Campbell-Ouest,ChZDSUhNMG9nS0VJQ0FnSUNBaXRUc0pnEAE,Chase M.,https://www.google.com/maps/contrib/111789654701485757304/reviews?hl=en-CA,3 years ago,2021-06-20 20:33:15.196728,4.0,98,Great city activities for kids!
26,Parc Campbell-Ouest,ChdDSUhNMG9nS0VJQ0FnSURnLWNhXy13RRAB,Paolo T,https://www.google.com/maps/contrib/117652234170303151262/reviews?hl=en-CA,3 years ago,2021-06-20 20:33:15.197866,3.0,30,Nice place for a little picnic
