,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Carlos-D'Alcantara,ChZDSUhNMG9nS0VJQ0FnSURLamNTNGZnEAE,GaB S,https://www.google.com/maps/contrib/105797626065809809516/reviews?hl=en-CA,a month ago,2021-06-24 20:13:47.732809,5.0,159,This is a very unique park with an amazing view of mt st hilare and I believe the other one it's rougemont i could wrong
1,Parc Carlos-D'Alcantara,ChdDSUhNMG9nS0VJQ0FnSUNDNWZXc3N3RRAB,Kriss Tof,https://www.google.com/maps/contrib/114458006303432228321/reviews?hl=en-CA,9 months ago,2021-06-24 20:13:47.734629,5.0,117,"As usual an incredible park like we are used to in Montreal! Feels so good and kids love it, brand new park, water splash, playground for all ages, basketball court etc .... can’t do better"
2,Parc Carlos-D'Alcantara,ChdDSUhNMG9nS0VJQ0FnSUR5dmFxTjNBRRAB,Yash Barot,https://www.google.com/maps/contrib/107362925547363605062/reviews?hl=en-CA,3 months ago,2021-06-24 20:13:47.735823,4.0,197,Good place to be with family make sure it's summer unless you know to enjoy in winter
3,Parc Carlos-D'Alcantara,ChZDSUhNMG9nS0VJQ0FnSUNzai1YMVl3EAE,Christopher Smith,https://www.google.com/maps/contrib/107026614788072994820/reviews?hl=en-CA,7 months ago,2021-06-24 20:13:47.737107,5.0,37,"Again with rating parks.....
It's a park, it has a really cool playground and basketball court and a soccer field and a rock climbing wall and at the northern end of it, a preserved space for brown grass snakes"
4,Parc Carlos-D'Alcantara,ChZDSUhNMG9nS0VJQ0FnSUNRdmJLR0dBEAE,Alina Delia (Google user),https://www.google.com/maps/contrib/103948830773364442218/reviews?hl=en-CA,3 years ago,2021-06-24 20:13:47.738489,5.0,15,"Beautiful and well mantained, adapted for all ages offers a variety of activities. We love it!"
5,Parc Carlos-D'Alcantara,ChZDSUhNMG9nS0VJQ0FnSURZOV9TallBEAE,Dennis Tu-Ba,https://www.google.com/maps/contrib/102621954663677863937/reviews?hl=en-CA,2 years ago,2021-06-24 20:13:47.739823,5.0,15,Great park that kids will definitely enjoy running around. If it's a hot day bring your swimsuit and a towel. Nice little water park. (More like sprinklers but none the less they will love it)  my kids do.
6,Parc Carlos-D'Alcantara,ChZDSUhNMG9nS0VJQ0FnSUNDa0ozUGVnEAE,Kalie Neko,https://www.google.com/maps/contrib/108037628096043721768/reviews?hl=en-CA,10 months ago,2021-06-24 20:13:47.743358,5.0,20,Good truck at the parc! It's a nice parc where there's a lot to do for the children and picnic table to eat!
7,Parc Carlos-D'Alcantara,ChdDSUhNMG9nS0VJQ0FnSURrNjllMjh3RRAB,COCO BEADZ,https://www.google.com/maps/contrib/103606050459695421139/reviews?hl=en-CA,a year ago,2021-06-24 20:13:47.744383,5.0,128,"Great park for the kids! It s well equipped, there are some water games for the kids too and some exercises track for the adults. Everyone can found something to do in this parc. There s also a basket ball court. Very nice and complete park for the family"
8,Parc Carlos-D'Alcantara,ChZDSUhNMG9nS0VJQ0FnSURDb1p5elZBEAE,Jessica Gilles,https://www.google.com/maps/contrib/115392072124267463802/reviews?hl=en-CA,8 months ago,2021-06-24 20:13:47.745349,5.0,130,Nice big park! Clean.
9,Parc Carlos-D'Alcantara,ChZDSUhNMG9nS0VJQ0FnSUM4d3N1cFNBEAE,Anabel Fernandez,https://www.google.com/maps/contrib/110598010465315650759/reviews?hl=en-CA,11 months ago,2021-06-24 20:13:47.747354,5.0,19,Good neighborhood park with lots of things for the kids to do.
