,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Carmela-Galardo-Frascarelli,ChdDSUhNMG9nS0VJQ0FnSURDeExHNTZ3RRAB,yanjye,https://www.google.com/maps/contrib/100752546051331250953/reviews?hl=en-CA,9 months ago,2021-06-20 20:38:48.622994,5.0,69,"Small but very calm parc, has a kid playground , a few seats and is very accesible by cycle paths."
1,Parc Carmela-Galardo-Frascarelli,ChZDSUhNMG9nS0VJQ0FnSURjc1pyUUlREAE,Stan Hickey,https://www.google.com/maps/contrib/102505001868692026920/reviews?hl=en-CA,a year ago,2021-06-20 20:38:48.624608,4.0,120,Pretty good. Playground is for smaller kids. Mine is 4 and she got bored pretty fast.
2,Parc Carmela-Galardo-Frascarelli,ChdDSUhNMG9nS0VJQ0FnSURDeXZXbnlBRRAB,Yash Barot,https://www.google.com/maps/contrib/107362925547363605062/reviews?hl=en-CA,8 months ago,2021-06-20 20:38:48.625732,3.0,197,Kids best one
3,Parc Carmela-Galardo-Frascarelli,ChZDSUhNMG9nS0VJQ0FnSURRZ28taGZREAE,Gabriel Guzman,https://www.google.com/maps/contrib/105909786147665482379/reviews?hl=en-CA,3 years ago,2021-06-20 20:38:48.626663,5.0,23,Close to our place.  Decent playground and not usually too crowded.
4,Parc Carmela-Galardo-Frascarelli,ChdDSUhNMG9nS0VJQ0FnSUNRLU5QdmhRRRAB,Daniel Kenji Toyama,https://www.google.com/maps/contrib/108067726806187598484/reviews?hl=en-CA,5 years ago,2021-06-20 20:38:48.627580,4.0,122,"It's a small, but fun park. I wish the swings were working though."
5,Parc Carmela-Galardo-Frascarelli,ChZDSUhNMG9nS0VJQ0FnSUNLaGNIOUJBEAE,Douja N'meil,https://www.google.com/maps/contrib/116644811367545268658/reviews?hl=en-CA,2 months ago,2021-06-20 20:38:48.628532,5.0,29,"(Translated by Google) Very good for small children

(Original)
Très bien pour les petits enfants"
6,Parc Carmela-Galardo-Frascarelli,ChZDSUhNMG9nS0VJQ0FnSUQwd0xYN1RREAE,Yoann Lussier,https://www.google.com/maps/contrib/108366424979984064344/reviews?hl=en-CA,a year ago,2021-06-20 20:38:48.629883,4.0,3,"(Translated by Google) In the neighborhood, it's a nice place for a picnic and to let the kids have fun in the play modules. Built on sand, children usually bring their toys to dig. Why are they still waiting to install the swings?

(Original)
Dans le quartier, c'est un endroit agréable pour un pic-nic et pour laisser les enfants s'amuser dans les modules de jeux. Construit sur sable, les enfants amènent habituellement leurs jouets pour creuser. Pourquoi tardent-ils toujours à installer les balançoires?"
7,Parc Carmela-Galardo-Frascarelli,ChdDSUhNMG9nS0VJQ0FnSUMwaXM3UTFRRRAB,Ju Mclt,https://www.google.com/maps/contrib/106461533732912589067/reviews?hl=en-CA,a year ago,2021-06-20 20:38:48.630857,5.0,17,"(Translated by Google) Great for kids.

(Original)
Super pour les enfants."
8,Parc Carmela-Galardo-Frascarelli,ChdDSUhNMG9nS0VJQ0FnSURjd3Npa19RRRAB,van helsing,https://www.google.com/maps/contrib/100235353627764578019/reviews?hl=en-CA,a year ago,2021-06-20 20:38:48.631895,5.0,0,
9,Parc Carmela-Galardo-Frascarelli,ChdDSUhNMG9nS0VJQ0FnSUM4b3UtazVRRRAB,fabien FORGE,https://www.google.com/maps/contrib/111972518278045531406/reviews?hl=en-CA,11 months ago,2021-06-20 20:38:48.633200,5.0,2,
