,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Chabot,ChdDSUhNMG9nS0VJQ0FnSUNDZ1pLVG93RRAB,Rose Henry,https://www.google.com/maps/contrib/103785299023094593633/reviews?hl=en-US,9 months ago,2021-06-23 13:09:15.169878,5.0,1,It was fun
1,Parc Chabot,ChdDSUhNMG9nS0VJQ0FnSURLclpMNG1nRRAB,Martine Casseus,https://www.google.com/maps/contrib/105905134182278310039/reviews?hl=en-US,a month ago,2021-06-23 13:09:15.170958,5.0,1,"(Translated by Google) ohhhhh

(Original)
ohhhhh"
2,Parc Chabot,ChdDSUhNMG9nS0VJQ0FnSUQ4MzRqZTlBRRAB,Its_ robloxchannel,https://www.google.com/maps/contrib/113258156954967572533/reviews?hl=en-US,10 months ago,2021-06-23 13:09:15.171896,5.0,1,"(Translated by Google) I love this park

(Original)
J'adore ce parc"
3,Parc Chabot,ChdDSUhNMG9nS0VJQ0FnSUNRLUk3dDRnRRAB,Annie Beauchesne,https://www.google.com/maps/contrib/110888437059030291059/reviews?hl=en-US,2 years ago,2021-06-23 13:09:15.172927,3.0,18,"(Translated by Google) This park is small but ideal for very young children. Only downside there is no small cabin with a toilet. Otherwise the park is very well maintained.

(Original)
Ce parc est petit mais idéal pour les très jeunes enfants. Seul bémol il n'y a pas de petite cabane avec une toilette. Sinon le parc est très bien entretenu."
4,Parc Chabot,ChZDSUhNMG9nS0VJQ0FnSUQ4aGZiT1B3EAE,Sis. Salimah,https://www.google.com/maps/contrib/102398235073059946448/reviews?hl=en-US,11 months ago,2021-06-23 13:09:15.173876,5.0,37,"(Translated by Google) Very good park for toddlers

(Original)
Tres  bon parc pour tout petit"
5,Parc Chabot,ChZDSUhNMG9nS0VJQ0FnSUNDcnM3akx3EAE,Jean-Nicolas Destiné,https://www.google.com/maps/contrib/104895705724446006344/reviews?hl=en-US,10 months ago,2021-06-23 13:09:15.174808,5.0,53,"(Translated by Google) Good

(Original)
Bien"
6,Parc Chabot,ChdDSUhNMG9nS0VJQ0FnSUMweUlXNjh3RRAB,Bibiane Leblanc,https://www.google.com/maps/contrib/101718527391854586966/reviews?hl=en-US,a year ago,2021-06-23 13:09:15.175734,5.0,34,"(Translated by Google) Super beautiful parks I revived nerci

(Original)
Super beaux parcs j'ai relancé nerci"
7,Parc Chabot,ChZDSUhNMG9nS0VJQ0FnSURZMG9EcGJnEAE,jorge antonio basilio,https://www.google.com/maps/contrib/108013741749981221422/reviews?hl=en-US,2 years ago,2021-06-23 13:09:15.176663,5.0,15,"(Translated by Google) Good park

(Original)
Bon parc"
8,Parc Chabot,ChdDSUhNMG9nS0VJQ0FnSURRaXVpRC1nRRAB,yusuf davarcı,https://www.google.com/maps/contrib/102560890784353122752/reviews?hl=en-US,2 years ago,2021-06-23 13:09:15.177608,5.0,2,
9,Parc Chabot,ChdDSUhNMG9nS0VJQ0FnSUNzNmFIejlnRRAB,Gabriel Chartrand,https://www.google.com/maps/contrib/110060374899227155955/reviews?hl=en-US,a year ago,2021-06-23 13:09:15.178536,4.0,14,
10,Parc Chabot,ChdDSUhNMG9nS0VJQ0FnSUN5MVlieTlRRRAB,martin s,https://www.google.com/maps/contrib/107975539079177550744/reviews?hl=en-US,4 months ago,2021-06-23 13:09:15.179573,5.0,0,
11,Parc Chabot,ChdDSUhNMG9nS0VJQ0FnSURVdHNQUzlRRRAB,Tahmatu,https://www.google.com/maps/contrib/103028999930120222792/reviews?hl=en-US,a year ago,2021-06-23 13:09:15.180601,3.0,1,
12,Parc Chabot,ChdDSUhNMG9nS0VJQ0FnSUMwd3Rldnp3RRAB,Pierre-Eric Lefebvre,https://www.google.com/maps/contrib/117617580487395678892/reviews?hl=en-US,a year ago,2021-06-23 13:09:15.181599,4.0,4,
13,Parc Chabot,ChdDSUhNMG9nS0VJQ0FnSURvOEl6eXdBRRAB,Marjorie Casseus,https://www.google.com/maps/contrib/116007367901229525405/reviews?hl=en-US,2 years ago,2021-06-23 13:09:15.182534,4.0,0,
14,Parc Chabot,ChdDSUhNMG9nS0VJQ0FnSURrNmZ1cHJnRRAB,Tommy Caron,https://www.google.com/maps/contrib/102624962855556300900/reviews?hl=en-US,a year ago,2021-06-23 13:09:15.183462,4.0,16,
15,Parc Chabot,ChZDSUhNMG9nS0VJQ0FnSUNDdjdERllnEAE,Abdy Cabrera Hipolito,https://www.google.com/maps/contrib/105836548919459482506/reviews?hl=en-US,9 months ago,2021-06-23 13:09:15.184389,5.0,7,
16,Parc Chabot,ChZDSUhNMG9nS0VJQ0FnSURLLTllVlNnEAE,kevin P,https://www.google.com/maps/contrib/112482227415292402493/reviews?hl=en-US,a month ago,2021-06-23 13:09:15.185311,3.0,23,
17,Parc Chabot,ChZDSUhNMG9nS0VJQ0FnSUNDdlA2TVFREAE,H M,https://www.google.com/maps/contrib/106224249269705426483/reviews?hl=en-US,10 months ago,2021-06-23 13:09:15.186233,4.0,11,
18,Parc Chabot,ChZDSUhNMG9nS0VJQ0FnSUM0aFBtNU1REAE,WutStyle F,https://www.google.com/maps/contrib/102118028774661854223/reviews?hl=en-US,2 years ago,2021-06-23 13:09:15.187155,5.0,31,
19,Parc Chabot,ChZDSUhNMG9nS0VJQ0FnSUNva0o3aUpnEAE,Loutson Isophe,https://www.google.com/maps/contrib/108515863521439749422/reviews?hl=en-US,2 years ago,2021-06-23 13:09:15.188076,3.0,12,
