,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSURpbXZEUUJ3EAE,Gia Bao,https://www.google.com/maps/contrib/108680872313990021713/reviews?hl=en-US,6 months ago,2021-06-23 13:08:18.948481,5.0,19,Very beautiful park with a great and big hockey ring
1,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSUNxM2ZMbWZnEAE,thefast_rabbit,https://www.google.com/maps/contrib/113358113612706912689/reviews?hl=en-US,a week ago,2021-06-23 13:08:18.949685,5.0,87,Nice environment
2,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSURnNjd6c0l3EAE,Saad Elmansori,https://www.google.com/maps/contrib/107469980221737190389/reviews?hl=en-US,2 years ago,2021-06-23 13:08:18.950648,5.0,27,Clean and nice park. Children can play and swim. Many Thanks to everyone works in this place!
3,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSURjbTVDTjBnRRAB,Carole Marino,https://www.google.com/maps/contrib/101922989512014329403/reviews?hl=en-US,a year ago,2021-06-23 13:08:18.952268,4.0,1,"Not too many people, very clean and lifeguards are excellent"
4,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSUNVOGFpQU9nEAE,Atie Waxman,https://www.google.com/maps/contrib/115845658589082430900/reviews?hl=en-US,a year ago,2021-06-23 13:08:18.953611,4.0,90,"A bit dated, but nice sized pool"
5,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSUN3c3RYdUp3EAE,Nelson Tremblay,https://www.google.com/maps/contrib/101864845790734431540/reviews?hl=en-US,3 years ago,2021-06-23 13:08:18.954915,5.0,69,My favourite neighbourhood park in St-Laurent.
6,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSUNBdzllUW9RRRAB,Oliver Gerestein,https://www.google.com/maps/contrib/102306821500092049168/reviews?hl=en-US,3 years ago,2021-06-23 13:08:18.956284,5.0,12,"Nice pool, modern facilities, never too busy."
7,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSURnanJ2WjVBRRAB,Alexandra Tzanakos,https://www.google.com/maps/contrib/107529153794063460554/reviews?hl=en-US,7 years ago,2021-06-23 13:08:18.957352,5.0,4,"Very fun, family friendly area with a baseball field, swimmimg pool for small children aswell as a pool for older people. It is also accompagnied by a very nice park."
8,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSUNnaXBHcVh3EAE,Google Person,https://www.google.com/maps/contrib/115001423830147155512/reviews?hl=en-US,2 years ago,2021-06-23 13:08:18.958298,1.0,422,Baseball field is embarrassing.... Looks line a baseball field you would see in a 3rd world country !!
9,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSUNreVBxMnR3RRAB,Samuel Lavallee,https://www.google.com/maps/contrib/111308510695370998006/reviews?hl=en-US,2 years ago,2021-06-23 13:08:18.959465,5.0,22,Nice pool
10,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSURnaFBtNzdnRRAB,Saeed Rafiee,https://www.google.com/maps/contrib/114062494651739464504/reviews?hl=en-US,3 years ago,2021-06-23 13:08:18.960680,5.0,121,Excellent small park
11,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSUNncS0zamNnEAE,georges chahwan,https://www.google.com/maps/contrib/112171641925058040020/reviews?hl=en-US,3 years ago,2021-06-23 13:08:18.961696,5.0,42,a lovely place for all
12,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSURnajREMjl3RRAB,Efrem Unfasung,https://www.google.com/maps/contrib/106517243223411108740/reviews?hl=en-US,4 years ago,2021-06-23 13:08:18.962771,5.0,57,Quiet and nice area
13,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSUNpaHBIbmZBEAE,刘欢亭,https://www.google.com/maps/contrib/108571982774809694000/reviews?hl=en-US,7 months ago,2021-06-23 13:08:18.963879,5.0,71,"(Translated by Google) The swimming pool is great and the environment is clean and tidy.

(Original)
游泳池很棒，环境干净整洁。"
14,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSUNRcHZDVjZBRRAB,sabrina guiraud,https://www.google.com/maps/contrib/105114778586981261210/reviews?hl=en-US,2 years ago,2021-06-23 13:08:18.964878,3.0,5,"(Translated by Google) Very unpleasant masters, rules too strict
and unnecessary.
They can enforce the rules without yelling or hissing. In the other cities the staff comes to talk to you kindly.

(Original)
Maitres nageurs tres desagreables, regles trop strictes
et inutiles.
Ils peuvent faire respecter les regles sans crier ou siffler.  Dans les autres villes le staff vient vous parler avec gentillesse."
15,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSUNBcG92VDF3RRAB,Raphaelle Vrain,https://www.google.com/maps/contrib/102820244376792249616/reviews?hl=en-US,3 years ago,2021-06-23 13:08:18.965865,4.0,42,"(Translated by Google) A good park for children with paddling pool and swimming pool for older children.

(Original)
Un bon parc pour les enfants avec pataugeoire et piscine pour les plus grands."
16,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSURnOGJfSjRnRRAB,Bell Danet,https://www.google.com/maps/contrib/103432565881105754070/reviews?hl=en-US,3 years ago,2021-06-23 13:08:18.967390,5.0,106,"(Translated by Google) very beautiful

(Original)
très belle"
17,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSURBdFlhaUF3EAE,Papy Ntumba,https://www.google.com/maps/contrib/100342202772748195928/reviews?hl=en-US,2 years ago,2021-06-23 13:08:18.969350,5.0,6,"(Translated by Google) Clean, harmonious and attractive

(Original)
Propre, harmonieux et attrayant"
18,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSUN3MHFISlJ3EAE,Denis Mineau,https://www.google.com/maps/contrib/105428889056634146245/reviews?hl=en-US,4 years ago,2021-06-23 13:08:18.970956,5.0,94,"(Translated by Google) In addition to having a swimming pool and a paddling pool, there is baseball for 6 years and under.

(Original)
En plus d'avoir une piscine et une pataugeoire il s'y pratique du base-ball pour les 6 ans et moins"
19,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSURTb1lHWTl3RRAB,Nadav Avisar,https://www.google.com/maps/contrib/100519085542763328483/reviews?hl=en-US,5 months ago,2021-06-23 13:08:18.972037,4.0,3,
20,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSUNDem8tMTdnRRAB,赵无极,https://www.google.com/maps/contrib/117179997108299462048/reviews?hl=en-US,10 months ago,2021-06-23 13:08:18.973730,5.0,2,
21,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSUNJcmJPTTV3RRAB,Maha Naji,https://www.google.com/maps/contrib/110211682348747505865/reviews?hl=en-US,2 years ago,2021-06-23 13:08:18.974759,4.0,33,
22,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSURjdF9DTzVnRRAB,Sofia F,https://www.google.com/maps/contrib/106549471443167173380/reviews?hl=en-US,10 months ago,2021-06-23 13:08:18.975949,4.0,0,
23,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSURnMGEyQzB3RRAB,Guillaume Dupuis,https://www.google.com/maps/contrib/111790906219683373061/reviews?hl=en-US,3 years ago,2021-06-23 13:08:18.977059,4.0,20,
24,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSUNReVozcnhRRRAB,Alexandre Mouty,https://www.google.com/maps/contrib/103906766744098061991/reviews?hl=en-US,3 years ago,2021-06-23 13:08:18.978191,3.0,0,
25,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSUNxaHQyU3dBRRAB,Vinojan Kanagaratnam,https://www.google.com/maps/contrib/110371403732295326937/reviews?hl=en-US,2 weeks ago,2021-06-23 13:08:18.979192,5.0,49,
26,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSURvLUptV3VRRRAB,Mohammed ALf,https://www.google.com/maps/contrib/110338508175985986950/reviews?hl=en-US,2 years ago,2021-06-23 13:08:18.980212,5.0,5,
27,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSUNnM01pTnJBRRAB,Andrei Ceban,https://www.google.com/maps/contrib/117810093305931389085/reviews?hl=en-US,2 years ago,2021-06-23 13:08:18.981226,5.0,39,
28,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSURRcVluZnFnRRAB,Bdour Al Chekfeh,https://www.google.com/maps/contrib/112712615557309655903/reviews?hl=en-US,2 years ago,2021-06-23 13:08:18.982200,5.0,62,
29,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSURraC1qQ3B3RRAB,Ryan Parsaram,https://www.google.com/maps/contrib/100084534257469481483/reviews?hl=en-US,a year ago,2021-06-23 13:08:18.983536,3.0,2,
30,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSURDLVpUeW9BRRAB,Andy Tom,https://www.google.com/maps/contrib/110213889305524786627/reviews?hl=en-US,8 months ago,2021-06-23 13:08:18.984934,5.0,1,
31,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSURVb2RYOG1RRRAB,Vinit Roy,https://www.google.com/maps/contrib/112101023279686399022/reviews?hl=en-US,a year ago,2021-06-23 13:08:18.986324,3.0,0,
32,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSUNZaU5Da21RRRAB,Mustapha “Moul Lma7al” Laghzaoui,https://www.google.com/maps/contrib/106013366231646755738/reviews?hl=en-US,2 years ago,2021-06-23 13:08:18.987370,5.0,152,
33,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSUNna0wtQWtRRRAB,Mélyse Larissa Malo,https://www.google.com/maps/contrib/103956611813416350024/reviews?hl=en-US,3 years ago,2021-06-23 13:08:18.988308,4.0,35,
34,Parc Chamberland,ChdDSUhNMG9nS0VJQ0FnSUNVeDllQmp3RRAB,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-US,4 years ago,2021-06-23 13:08:18.989668,5.0,140,
35,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSUN3ck9HOGRREAE,Santhosh kumar Ramalingam,https://www.google.com/maps/contrib/101005843141599003117/reviews?hl=en-US,2 years ago,2021-06-23 13:08:18.990631,2.0,83,
36,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSURJMzhmVmJBEAE,Faycal Bendhiba,https://www.google.com/maps/contrib/115475779327897998658/reviews?hl=en-US,2 years ago,2021-06-23 13:08:18.991681,5.0,19,
37,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSUNVM3ZhOVhREAE,Amine Fourati,https://www.google.com/maps/contrib/107105147563669309502/reviews?hl=en-US,a year ago,2021-06-23 13:08:18.992714,4.0,15,
38,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSUN3bGRqMld3EAE,Lamson ngo,https://www.google.com/maps/contrib/114503919380903200117/reviews?hl=en-US,3 years ago,2021-06-23 13:08:18.993664,3.0,497,
39,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSURDM2JyS1V3EAE,Marie Derival,https://www.google.com/maps/contrib/115278031668279583625/reviews?hl=en-US,8 months ago,2021-06-23 13:08:18.995091,4.0,0,
40,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSUNnOGNHX1VREAE,John Insogna,https://www.google.com/maps/contrib/105292590569120753030/reviews?hl=en-US,2 years ago,2021-06-23 13:08:18.996112,5.0,63,
41,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSUNzaHVyaFRREAE,St4r Nincy,https://www.google.com/maps/contrib/115184613128954758420/reviews?hl=en-US,a year ago,2021-06-23 13:08:18.997298,4.0,2,
42,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSURBb3NLV1NBEAE,Hicham Lahlou,https://www.google.com/maps/contrib/102190013974827734811/reviews?hl=en-US,2 years ago,2021-06-23 13:08:18.998437,5.0,5,
43,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSUN3dU03SFJ3EAE,Adib Ashkar,https://www.google.com/maps/contrib/109282460946277725989/reviews?hl=en-US,2 years ago,2021-06-23 13:08:18.999584,4.0,7,
44,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSUNRcnRmYk9nEAE,HENRY1128138,https://www.google.com/maps/contrib/102406793195191664765/reviews?hl=en-US,3 years ago,2021-06-23 13:08:19.001035,3.0,11,
45,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSURRcGJ5ek9BEAE,Patrick Lavallee,https://www.google.com/maps/contrib/100506514795385371415/reviews?hl=en-US,3 years ago,2021-06-23 13:08:19.002692,4.0,11,
46,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSURrODlMSEd3EAE,arun patel,https://www.google.com/maps/contrib/102246868642137579737/reviews?hl=en-US,a year ago,2021-06-23 13:08:19.003867,4.0,1,
47,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSURNaTZtckVREAE,Jiren,https://www.google.com/maps/contrib/102908478525035651836/reviews?hl=en-US,a year ago,2021-06-23 13:08:19.005035,4.0,16,
48,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSUNRa3ZTSUNBEAE,Nathalie Veilleux,https://www.google.com/maps/contrib/104279522462302061486/reviews?hl=en-US,2 years ago,2021-06-23 13:08:19.006647,5.0,23,
49,Parc Chamberland,ChZDSUhNMG9nS0VJQ0FnSUNnb29IbUJ3EAE,Jaypino,https://www.google.com/maps/contrib/114072003434197754618/reviews?hl=en-US,2 years ago,2021-06-23 13:08:19.007802,3.0,38,
