,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Christophe-Colomb,ChZDSUhNMG9nS0VJQ0FnSUNxZ1pQdWZnEAE,Val Alexander,https://www.google.com/maps/contrib/108938792114516139663/reviews?hl=en-CA,a week ago,2021-06-20 20:51:51.467834,5.0,6,It's had such a great environment peaceful loving all i can say is that it's a family park for all
1,Parc Christophe-Colomb,ChZDSUhNMG9nS0VJQ0FnSURVX0l6eUlBEAE,Vanessa H,https://www.google.com/maps/contrib/112758930311760621103/reviews?hl=en-CA,a year ago,2021-06-20 20:51:51.468770,4.0,109,Great park but not sure if christopher Columbus should be the highlight. Maybe navigators park but why celebrate someone who killed people... large park and great for the kids.
2,Parc Christophe-Colomb,ChZDSUhNMG9nS0VJQ0FnSUNNNUxmSUJBEAE,Anne Rosen,https://www.google.com/maps/contrib/113812564118784350537/reviews?hl=en-CA,a year ago,2021-06-20 20:51:51.469692,5.0,36,Love this park. It's well contained making it easier to keep track of a group of preschoolers
3,Parc Christophe-Colomb,ChdDSUhNMG9nS0VJQ0FnSUNxcU02ajdBRRAB,Robert Forget,https://www.google.com/maps/contrib/106003884380397565705/reviews?hl=en-CA,3 weeks ago,2021-06-20 20:51:51.470611,5.0,35,Cool
4,Parc Christophe-Colomb,ChZDSUhNMG9nS0VJQ0FnSUNpbGRqTUh3EAE,Virgil Bowles-dove,https://www.google.com/maps/contrib/110760190486405842214/reviews?hl=en-CA,7 months ago,2021-06-20 20:51:51.471533,3.0,216,Great parc
5,Parc Christophe-Colomb,ChdDSUhNMG9nS0VJQ0FnSURrZ2VHejBBRRAB,Patrick Bayne,https://www.google.com/maps/contrib/111526116118077688643/reviews?hl=en-CA,a year ago,2021-06-20 20:51:51.472459,3.0,78,Nice quiet little park. Nothing fancy but decent play equipment.
6,Parc Christophe-Colomb,ChZDSUhNMG9nS0VJQ0FnSURVNzU2Q1h3EAE,Marius Sonnenwirth,https://www.google.com/maps/contrib/108280041207573993046/reviews?hl=en-CA,a year ago,2021-06-20 20:51:51.473380,5.0,67,..sitting on a bench to get some air outside without to take the car  away  .
7,Parc Christophe-Colomb,ChZDSUhNMG9nS0VJQ0FnSUN3NGYya1ZREAE,T,https://www.google.com/maps/contrib/111614066414582841129/reviews?hl=en-CA,3 years ago,2021-06-20 20:51:51.474518,2.0,221,New kids parc.... but bball fields and stands very poorly maintained.
8,Parc Christophe-Colomb,ChZDSUhNMG9nS0VJQ0FnSURRZzhDdkNnEAE,Alvaro Farinacci,https://www.google.com/maps/contrib/113833156541712944675/reviews?hl=en-CA,3 years ago,2021-06-20 20:51:51.475575,5.0,65,This Park was inaugurated  to celebrate the 500.th. anniversary  of Christopher Columbus . and his first voyage..
9,Parc Christophe-Colomb,ChdDSUhNMG9nS0VJQ0FnSURZaThENnp3RRAB,Eric Mills,https://www.google.com/maps/contrib/104783067989501442818/reviews?hl=en-CA,2 years ago,2021-06-20 20:51:51.476510,5.0,44,Nice spot to jog
10,Parc Christophe-Colomb,ChdDSUhNMG9nS0VJQ0FnSUNRc2VmNnJRRRAB,Steve Garner,https://www.google.com/maps/contrib/117647842190545776582/reviews?hl=en-CA,2 years ago,2021-06-20 20:51:51.477885,4.0,34,Good for young children and toddlers
11,Parc Christophe-Colomb,ChdDSUhNMG9nS0VJQ0FnSUNLc2RmOXFBRRAB,Luc Brunelle,https://www.google.com/maps/contrib/116465958269461673289/reviews?hl=en-CA,2 months ago,2021-06-20 20:51:51.478837,5.0,36,"(Translated by Google) Perfect for young people

(Original)
Parfait pour les jeunes"
12,Parc Christophe-Colomb,ChZDSUhNMG9nS0VJQ0FnSURVamV1VFpnEAE,la bouk,https://www.google.com/maps/contrib/109702313961404689161/reviews?hl=en-CA,a year ago,2021-06-20 20:51:51.479860,3.0,69,"(Translated by Google) Little nice place for children but beware of ticks

(Original)
Petit bel endroit pour les enfants mais attention aux tiques"
