,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Chénier,ChdDSUhNMG9nS0VJQ0FnSUNVMk1qQTdBRRAB,COCO BEADZ,https://www.google.com/maps/contrib/103606050459695421139/reviews?hl=en-CA,a year ago,2021-06-20 20:50:24.310711,2.0,128,"I've discover this park this morning after reading the positive comments about the park. I brought my nephew and niece who are 3 and 4 years old and it s the first time that they actually don t want to stay in a park. It s quiet small, the games are limited and not as clean as the other park. But the swimming pool near the park is really nice and i defenely recommand it."
1,Parc Chénier,ChZDSUhNMG9nS0VJQ0FnSURneS1fTFV3EAE,Radiah H.,https://www.google.com/maps/contrib/116401225091481363097/reviews?hl=en-CA,3 years ago,2021-06-20 20:50:24.311655,4.0,92,Small parc in a quiet neighborhood. Outdoor pool accessible in the summer.
2,Parc Chénier,ChZDSUhNMG9nS0VJQ0FnSUNRbEplb0lREAE,Wellington Leite,https://www.google.com/maps/contrib/115820781367403667117/reviews?hl=en-CA,2 years ago,2021-06-20 20:50:24.312580,5.0,156,Great public pool
3,Parc Chénier,ChZDSUhNMG9nS0VJQ0FnSURBaE5pWFhREAE,Eric Adler,https://www.google.com/maps/contrib/115783308870199327181/reviews?hl=en-CA,3 years ago,2021-06-20 20:50:24.313501,2.0,18,"fun, but exposed"
4,Parc Chénier,ChZDSUhNMG9nS0VJQ0FnSURTeXVqVGZREAE,Miss Dayou,https://www.google.com/maps/contrib/100300002847876716917/reviews?hl=en-CA,5 months ago,2021-06-20 20:50:24.314429,5.0,18,"(Translated by Google) Just behind the pool, very beautiful scenery.

(Original)
Juste derrière la piscine, très beau paysage."
5,Parc Chénier,ChZDSUhNMG9nS0VJQ0FnSUNLcXZXWUN3EAE,Mario Prevost,https://www.google.com/maps/contrib/109685952613187991660/reviews?hl=en-CA,2 months ago,2021-06-20 20:50:24.315354,4.0,64,"(Translated by Google) Public swimming pool, fitted out with slide

(Original)
Piscine publique, aménagé avec glissade"
6,Parc Chénier,ChZDSUhNMG9nS0VJQ0FnSUM4d3NPaU1REAE,Pierre Martin Louis,https://www.google.com/maps/contrib/101938591850350895265/reviews?hl=en-CA,11 months ago,2021-06-20 20:50:24.316272,5.0,23,"(Translated by Google) Interesting park for children. Especially in summer, because it is a stone's throw from the pool.

(Original)
Parc interessant pour les enfants. Surtout l'été, car il est à deux pas de la piscine."
7,Parc Chénier,ChZDSUhNMG9nS0VJQ0FnSUNzNkl2dEdBEAE,Anne Gagnon,https://www.google.com/maps/contrib/106200655796390884278/reviews?hl=en-CA,a year ago,2021-06-20 20:50:24.317194,4.0,26,"(Translated by Google) It's good but you need a swimming helmet.

(Original)
C'est bien mais il faut un casque de bain."
8,Parc Chénier,ChdDSUhNMG9nS0VJQ0FnSUN3dk83TnNBRRAB,Cathy Lefebvre,https://www.google.com/maps/contrib/106897519515579190735/reviews?hl=en-CA,a year ago,2021-06-20 20:50:24.318232,2.0,154,"(Translated by Google) Lack of ""pep"" The park should have renewal.

(Original)
Manque de ""pep"" Le parc devrait avoir du renouveau."
9,Parc Chénier,ChZDSUhNMG9nS0VJQ0FnSURRaWN1Y1JnEAE,Fannie B-G,https://www.google.com/maps/contrib/118300653198404625621/reviews?hl=en-CA,2 years ago,2021-06-20 20:50:24.319165,4.0,37,"(Translated by Google) The pool is clean and refreshing.

(Original)
La piscine est propre et rafraîchissante."
10,Parc Chénier,ChZDSUhNMG9nS0VJQ0FnSUQwb0xyNUh3EAE,Noura Aouchiche,https://www.google.com/maps/contrib/114258210659883392910/reviews?hl=en-CA,a year ago,2021-06-20 20:50:24.320085,4.0,49,"(Translated by Google) Beautiful moments !!

(Original)
De beaux moments!!"
11,Parc Chénier,ChZDSUhNMG9nS0VJQ0FnSUNBejgyVmRREAE,MrFredmichaud,https://www.google.com/maps/contrib/102623351422805873430/reviews?hl=en-CA,3 years ago,2021-06-20 20:50:24.321075,4.0,19,"(Translated by Google) For work

(Original)
Pour le Travail"
12,Parc Chénier,ChZDSUhNMG9nS0VJQ0FnSUNRenVhT2VREAE,Abdonald,https://www.google.com/maps/contrib/113727590824612025387/reviews?hl=en-CA,3 years ago,2021-06-20 20:50:24.321997,3.0,28,"(Translated by Google) Peaceful place

(Original)
Lieu paisible"
13,Parc Chénier,ChdDSUhNMG9nS0VJQ0FnSUMwbUphdF93RRAB,Edwige Francou,https://www.google.com/maps/contrib/108511229860666595034/reviews?hl=en-CA,a year ago,2021-06-20 20:50:24.322917,3.0,5,
14,Parc Chénier,ChdDSUhNMG9nS0VJQ0FnSUMwZ00tM19nRRAB,Med Bench,https://www.google.com/maps/contrib/108479498970848341900/reviews?hl=en-CA,a year ago,2021-06-20 20:50:24.323847,5.0,7,
