,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Chénier–Beaugrand,ChdDSUhNMG9nS0VJQ0FnSUNVOUlheHRBRRAB,COCO BEADZ,https://www.google.com/maps/contrib/103606050459695421139/reviews?hl=en-CA,a year ago,2021-06-20 20:50:53.338921,2.0,128,"The park is located at the crossroad so near 2 streets, there isn t many games available for the kids and it wasn t very clean when we were there with the kids. It s empty most of the time so there isn t any interaction with other kids. But the swimming pool near the park deserve a 3 stars as it s a really nice and that make it up for the average park😉"
1,Parc Chénier–Beaugrand,ChZDSUhNMG9nS0VJQ0FnSUNJcTktZE5BEAE,Zoir Radjabov,https://www.google.com/maps/contrib/100249706059581510387/reviews?hl=en-CA,2 years ago,2021-06-20 20:50:53.340425,5.0,637,Good place
2,Parc Chénier–Beaugrand,ChZDSUhNMG9nS0VJQ0FnSUNxeFluektREAE,Matan Dessaur,https://www.google.com/maps/contrib/104285230585824489002/reviews?hl=en-CA,a week ago,2021-06-20 20:50:53.342495,5.0,55,"(Translated by Google) childhood

(Original)
enfance"
3,Parc Chénier–Beaugrand,ChZDSUhNMG9nS0VJQ0FnSUQ4eWZXQVlnEAE,Marcel Roy,https://www.google.com/maps/contrib/106830513731905678928/reviews?hl=en-CA,11 months ago,2021-06-20 20:50:53.343437,5.0,63,"(Translated by Google) Clean, accessible and safe place

(Original)
Endroit propre et accessible et sécuritaire"
4,Parc Chénier–Beaugrand,ChZDSUhNMG9nS0VJQ0FnSUM4d2NLY1NnEAE,Pierre Martin Louis,https://www.google.com/maps/contrib/101938591850350895265/reviews?hl=en-CA,11 months ago,2021-06-20 20:50:53.344444,2.0,23,"(Translated by Google) Not many games

(Original)
Pas beaucoup de jeux"
5,Parc Chénier–Beaugrand,ChdDSUhNMG9nS0VJQ0FnSURZX2FXNnlnRRAB,Mathieu Blais,https://www.google.com/maps/contrib/107505264911270798960/reviews?hl=en-CA,2 years ago,2021-06-20 20:50:53.345557,4.0,234,"(Translated by Google) Super park

(Original)
Super parc"
6,Parc Chénier–Beaugrand,ChZDSUhNMG9nS0VJQ0FnSUMwbzhlVFNnEAE,Jose Ramon,https://www.google.com/maps/contrib/105118922393458305122/reviews?hl=en-CA,a year ago,2021-06-20 20:50:53.346567,5.0,266,"(Translated by Google) Nice place

(Original)
Belle place"
7,Parc Chénier–Beaugrand,ChdDSUhNMG9nS0VJQ0FnSUQweXZLZTN3RRAB,Sophie Gerard,https://www.google.com/maps/contrib/111167960670744855381/reviews?hl=en-CA,a year ago,2021-06-20 20:50:53.347488,3.0,45,
8,Parc Chénier–Beaugrand,ChdDSUhNMG9nS0VJQ0FnSUNVeThQYzFRRRAB,George Maukovic,https://www.google.com/maps/contrib/115543697896393183478/reviews?hl=en-CA,a year ago,2021-06-20 20:50:53.348478,5.0,17,
9,Parc Chénier–Beaugrand,ChdDSUhNMG9nS0VJQ0FnSUNxd0tlUjFBRRAB,Alex,https://www.google.com/maps/contrib/104954057560740196126/reviews?hl=en-CA,4 weeks ago,2021-06-20 20:50:53.349458,4.0,34,
10,Parc Chénier–Beaugrand,ChdDSUhNMG9nS0VJQ0FnSURVNjRQc3JBRRAB,Kalyan Abc,https://www.google.com/maps/contrib/112933682355492555441/reviews?hl=en-CA,a year ago,2021-06-20 20:50:53.350374,4.0,14,
11,Parc Chénier–Beaugrand,ChdDSUhNMG9nS0VJQ0FnSUNVMjliRHBRRRAB,Jacques P.Aubé Gauthier,https://www.google.com/maps/contrib/111227292352925435962/reviews?hl=en-CA,a year ago,2021-06-20 20:50:53.351400,5.0,56,
12,Parc Chénier–Beaugrand,ChdDSUhNMG9nS0VJQ0FnSURNdk83Nmt3RRAB,Jean-Philippe,https://www.google.com/maps/contrib/118262096125426606203/reviews?hl=en-CA,a year ago,2021-06-20 20:50:53.352316,5.0,0,
13,Parc Chénier–Beaugrand,ChZDSUhNMG9nS0VJQ0FnSUNVeDV1YmNnEAE,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-CA,4 years ago,2021-06-20 20:50:53.353487,5.0,140,
14,Parc Chénier–Beaugrand,ChZDSUhNMG9nS0VJQ0FnSUNVNDRpak1REAE,Benjamin Lapierre,https://www.google.com/maps/contrib/101811852650621924614/reviews?hl=en-CA,a year ago,2021-06-20 20:50:53.354418,4.0,53,
15,Parc Chénier–Beaugrand,ChZDSUhNMG9nS0VJQ0FnSUNnNWF6WUp3EAE,Benoit Lazure,https://www.google.com/maps/contrib/117981856149507876788/reviews?hl=en-CA,3 years ago,2021-06-20 20:50:53.355416,5.0,11,
16,Parc Chénier–Beaugrand,ChZDSUhNMG9nS0VJQ0FnSUNLNHR1cURREAE,hassan aba,https://www.google.com/maps/contrib/109394415814863130962/reviews?hl=en-CA,2 months ago,2021-06-20 20:50:53.356410,1.0,1,
