,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Coffee,ChdDSUhNMG9nS0VJQ0FnSUNxbGEybW5BRRAB,Neil Williamson,https://www.google.com/maps/contrib/104980053291006984575/reviews?hl=en-CA,6 days ago,2021-06-20 20:56:53.179436,5.0,18,"Great playground, fun for the kids. The playground for ages 2-5 has a pirate flag 🏴‍☠️"
1,Parc Coffee,ChdDSUhNMG9nS0VJQ0FnSURDMF82Smh3RRAB,Tim R,https://www.google.com/maps/contrib/104019092261042615298/reviews?hl=en-CA,2 months ago,2021-06-20 20:56:53.181063,4.0,75,They should have a dog park here also there's one at every other park. They are adding a basketball court
2,Parc Coffee,ChZDSUhNMG9nS0VJQ0FnSURNMDhDOUdnEAE,C S,https://www.google.com/maps/contrib/103232194095603878627/reviews?hl=en-CA,a year ago,2021-06-20 20:56:53.182104,5.0,20,"Nice little park near the railway crossing. Every now and then, trains pass by with bell ringing."
3,Parc Coffee,ChdDSUhNMG9nS0VJQ0FnSUNDaUx2ay13RRAB,OLABISI OLALEYE,https://www.google.com/maps/contrib/110661293134874513543/reviews?hl=en-CA,10 months ago,2021-06-20 20:56:53.183211,5.0,101,Great park but no 'usable'toilet.
4,Parc Coffee,ChdDSUhNMG9nS0VJQ0FnSURTNzVDR29nRRAB,borak,https://www.google.com/maps/contrib/102369503237208968311/reviews?hl=en-CA,5 months ago,2021-06-20 20:56:53.184303,4.0,4,Nice little park
5,Parc Coffee,ChZDSUhNMG9nS0VJQ0FnSUQwdE1IMk9nEAE,C LL,https://www.google.com/maps/contrib/115400249341097228749/reviews?hl=en-CA,a year ago,2021-06-20 20:56:53.185363,4.0,75,"Nice little place to stop and take a break, while in transit or to just get out to have some outside time if you live in the area. If you have kids, the playground seems like it would be pretty fun given the layout and variety of games to play on the jungle gym."
6,Parc Coffee,ChdDSUhNMG9nS0VJQ0FnSURZeGEtUzRnRRAB,Raven Townsend,https://www.google.com/maps/contrib/101402498665175855307/reviews?hl=en-CA,a year ago,2021-06-20 20:56:53.186538,5.0,14,Have been going to this park since I was a kid and now I am bringing my 2. Always super friendly parents and friendly people coming by and just genuinely my kids favorite park in the hood.
7,Parc Coffee,ChdDSUhNMG9nS0VJQ0FnSURZd2RlbzZ3RRAB,Andrew MacDonald,https://www.google.com/maps/contrib/103555483412887625362/reviews?hl=en-CA,2 years ago,2021-06-20 20:56:53.187685,4.0,23,"For such a small park, it's decent. If you're close by with kids, it's worth while. Been here often."
8,Parc Coffee,ChdDSUhNMG9nS0VJQ0FnSUN5bE1LVTVRRRAB,mike,https://www.google.com/maps/contrib/106941911291970691190/reviews?hl=en-CA,5 months ago,2021-06-20 20:56:53.189002,5.0,3,quiet park
9,Parc Coffee,ChdDSUhNMG9nS0VJQ0FnSUQwOGZENTNnRRAB,Hassan Walker,https://www.google.com/maps/contrib/110791465358278235902/reviews?hl=en-CA,a year ago,2021-06-20 20:56:53.190136,1.0,123,Needs a deep cleaning.the city does not do the job we as tax payers pay for.
10,Parc Coffee,ChdDSUhNMG9nS0VJQ0FnSUNBOEw3V25nRRAB,Xiaohui Wu,https://www.google.com/maps/contrib/115283529351146492737/reviews?hl=en-CA,3 years ago,2021-06-20 20:56:53.191308,5.0,45,"small, neat and quiet. It is along the railway which made this place special."
11,Parc Coffee,ChZDSUhNMG9nS0VJQ0FnSURZcjZxQlNnEAE,Wayne Radford (UncommonAdvisor),https://www.google.com/maps/contrib/108602585205827252901/reviews?hl=en-CA,2 years ago,2021-06-20 20:56:53.192353,3.0,124,"Nice little park. New outdoor play facilities.
Close to trains."
12,Parc Coffee,ChdDSUhNMG9nS0VJQ0FnSUNnLVBLcnZBRRAB,Tara Gerrie,https://www.google.com/maps/contrib/115182060565911183657/reviews?hl=en-CA,2 years ago,2021-06-20 20:56:53.193432,4.0,60,"Great jungle gym, lots of picnic benches, and it is far enough from the busy street that you don't worry about the kids running into traffic.  Great field and nice and park is in the shade!"
13,Parc Coffee,ChZDSUhNMG9nS0VJQ0FnSURFeHBEZmVREAE,Barry Robinson,https://www.google.com/maps/contrib/108937022028877604346/reviews?hl=en-CA,2 years ago,2021-06-20 20:56:53.194525,4.0,176,Great selection of outdoor equipment for such a small park!
14,Parc Coffee,ChZDSUhNMG9nS0VJQ0FnSURBbXRDTkx3EAE,Domingo Amarillo-Brillantes,https://www.google.com/maps/contrib/104604176920272933356/reviews?hl=en-CA,2 years ago,2021-06-20 20:56:53.195630,3.0,466,Excellent place to chill and relax. Excellent Park for the kids. Connected to the bike path and train station.
