,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Coubertin,ChdDSUhNMG9nS0VJQ0FnSURTcmFDQV9RRRAB,Alessandro Ferri,https://www.google.com/maps/contrib/109140307192774927104/reviews?hl=en-US,5 months ago,2021-06-23 13:07:04.358824,5.0,19,Best parc growing up and still really amazing .. there's a nice hill to go sliding ..
1,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSUN5cDh2Uk9nEAE,Matteo Vitale,https://www.google.com/maps/contrib/108317045988917677625/reviews?hl=en-US,4 months ago,2021-06-23 13:07:04.360256,5.0,20,"Clean, nice scenery, great for kids to slide down snow mountains"
2,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSURzOXNXVkxBEAE,Cecilia Capece,https://www.google.com/maps/contrib/100869168060772242628/reviews?hl=en-US,a year ago,2021-06-23 13:07:04.361212,5.0,15,It's a good place for little kids
3,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSUN5XzlIN09BEAE,Alessandro Filippelli,https://www.google.com/maps/contrib/103553700595492430336/reviews?hl=en-US,4 months ago,2021-06-23 13:07:04.362147,5.0,3,Nice park
4,Parc Coubertin,ChdDSUhNMG9nS0VJQ0FnSURDb3BDSHVRRRAB,Liana Chaaban,https://www.google.com/maps/contrib/111459156397590161335/reviews?hl=en-US,9 months ago,2021-06-23 13:07:04.363075,5.0,42,"Beautiful park, love the small hill"
5,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSUNVOFAtU05nEAE,Aislan Luiz Wendling,https://www.google.com/maps/contrib/114799578610607001982/reviews?hl=en-US,10 months ago,2021-06-23 13:07:04.364236,5.0,164,A very good small park
6,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSUNpNGRPVEtREAE,Enrique Capece,https://www.google.com/maps/contrib/114107635594686458304/reviews?hl=en-US,7 months ago,2021-06-23 13:07:04.365413,5.0,5,Anyone have photos of the park from 2005 and 2010
7,Parc Coubertin,ChdDSUhNMG9nS0VJQ0FnSURjdWF2WnhnRRAB,Gang Music,https://www.google.com/maps/contrib/104697911242738234687/reviews?hl=en-US,a year ago,2021-06-23 13:07:04.366468,5.0,3,where can i apply to work in this parc?
8,Parc Coubertin,ChdDSUhNMG9nS0VJQ0FnSURVOElpQThRRRAB,Judel Andral,https://www.google.com/maps/contrib/108115901731523847986/reviews?hl=en-US,a year ago,2021-06-23 13:07:04.367931,4.0,3,Nice park but needs better hoops.
9,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSUNpNW9YUEt3EAE,Joseph Izzo,https://www.google.com/maps/contrib/108993879345017678168/reviews?hl=en-US,7 months ago,2021-06-23 13:07:04.368956,5.0,27,Beautiful park
10,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSUQ4b082OFpnEAE,Sam,https://www.google.com/maps/contrib/100238717055025448449/reviews?hl=en-US,11 months ago,2021-06-23 13:07:04.370016,4.0,23,Typical saint-leonard park
11,Parc Coubertin,ChdDSUhNMG9nS0VJQ0FnSURBbHJEY2xnRRAB,Franco Croce (Frankie),https://www.google.com/maps/contrib/112727876370901313034/reviews?hl=en-US,3 years ago,2021-06-23 13:07:04.370951,5.0,2,"The best parc in the area
Pleasant walking.
Evening guardian gentil."
12,Parc Coubertin,ChdDSUhNMG9nS0VJQ0FnSURVN2Vqc3lnRRAB,Philomena Ferreira,https://www.google.com/maps/contrib/106770467413741066238/reviews?hl=en-US,a year ago,2021-06-23 13:07:04.371877,3.0,33,It used to be a 5 but now it's too dirty !
13,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSUN3anR6NmZnEAE,Alexander Abruzzese-Goyette,https://www.google.com/maps/contrib/116534434654576987576/reviews?hl=en-US,4 years ago,2021-06-23 13:07:04.372969,3.0,374,"Good park, nice neighborhood, not the safest at night."
14,Parc Coubertin,ChdDSUhNMG9nS0VJQ0FnSUNna0lEUzVBRRAB,Patrice Hébert,https://www.google.com/maps/contrib/109597935893857881641/reviews?hl=en-US,3 years ago,2021-06-23 13:07:04.373905,5.0,81,Great park for small kids with a mountain to slide in the winter
15,Parc Coubertin,ChdDSUhNMG9nS0VJQ0FnSURrN3I3S2hRRRAB,Bass Harb,https://www.google.com/maps/contrib/113365658249095945773/reviews?hl=en-US,a year ago,2021-06-23 13:07:04.374832,4.0,45,Good place for young kids
16,Parc Coubertin,ChdDSUhNMG9nS0VJQ0FnSUMwb01QTV9BRRAB,David A,https://www.google.com/maps/contrib/108686782912754735070/reviews?hl=en-US,a year ago,2021-06-23 13:07:04.375855,5.0,113,Beautiful place
17,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSURncnM2bEFREAE,Mehmet Ali,https://www.google.com/maps/contrib/113212759781767913647/reviews?hl=en-US,2 years ago,2021-06-23 13:07:04.376792,3.0,1,Needs free wifi
18,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSUNBcHU3N2VBEAE,MOHAMED BAH.,https://www.google.com/maps/contrib/105165010323346026298/reviews?hl=en-US,3 years ago,2021-06-23 13:07:04.378354,5.0,11,Goooooood
19,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSUNLNHJ2dlFBEAE,Bessem Ben Abdallah,https://www.google.com/maps/contrib/107108641495897704758/reviews?hl=en-US,4 weeks ago,2021-06-23 13:07:04.379356,5.0,54,"(Translated by Google) A very rich park in summer as in winter: in winter you can have fun with your children by sliding down the hill. In summer, water games resume, children's games, tennis and basketball stadiums.
A very interesting place for children and adults alike.

(Original)
Un parc très riche en été comme en hiver: en hiver vous pouvez vous amuser avec vos enfants en faisant les glissades sur la colline. En été, les jeux d’eau reprennent, les jeux pour enfants, les stades de tennis et de basket-ball.
Un lieu très intéressant pour les enfants comme pour les adultes."
20,Parc Coubertin,ChdDSUhNMG9nS0VJQ0FnSUNxeWZLel9RRRAB,Tatiana Miranda,https://www.google.com/maps/contrib/108895550280919911824/reviews?hl=en-US,a week ago,2021-06-23 13:07:04.380426,5.0,47,"(Translated by Google) Very clean park several choices of games my children have a lot of fun.

(Original)
Parc très propre plusieurs chois de jeux mes enfants on bien s'amuser."
21,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSUNxMFpiT2JnEAE,Lucie Laperle,https://www.google.com/maps/contrib/100621634770968227287/reviews?hl=en-US,a week ago,2021-06-23 13:07:04.381663,5.0,12,J'adore ce parc.  Beaucoup d'arbres et plusieurs bancs pour s'asseoir
22,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSUNpd05QYU13EAE,Nassima Gharsa,https://www.google.com/maps/contrib/100845945029805633390/reviews?hl=en-US,5 months ago,2021-06-23 13:07:04.382963,4.0,8,"(Translated by Google) Very nice park for sledding

(Original)
Très beau parc pour faire de la luge"
23,Parc Coubertin,ChdDSUhNMG9nS0VJQ0FnSURLN2U2UXZBRRAB,yacine allache,https://www.google.com/maps/contrib/100037475268337140794/reviews?hl=en-US,a month ago,2021-06-23 13:07:04.384265,5.0,5,"(Translated by Google) Beautiful space

(Original)
Magnifique espace"
24,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSURTNWVEQkpnEAE,mohamed el kaouli,https://www.google.com/maps/contrib/114829832209523380669/reviews?hl=en-US,5 months ago,2021-06-23 13:07:04.385233,5.0,14,"(Translated by Google) Simouhassan: good slides during the snowy period.

(Original)
Simouhassan : bonnes glissades pendant la periode de neige."
25,Parc Coubertin,ChdDSUhNMG9nS0VJQ0FnSUNxcXB2ajZnRRAB,Sabrina Baa,https://www.google.com/maps/contrib/118099787026317789755/reviews?hl=en-US,2 weeks ago,2021-06-23 13:07:04.386267,5.0,1,"(Translated by Google) I love this park
😄😄😄

(Original)
J'aime ce parc
😄😄😄"
26,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSURDN3ZqVk5REAE,Bruno Olwitch Monson Jr.,https://www.google.com/maps/contrib/106193988970638454424/reviews?hl=en-US,7 months ago,2021-06-23 13:07:04.387206,5.0,1,"(Translated by Google) Very clean and at the level of the reception we were honestly very satisfied nothing to say negative

(Original)
Très propre et au niveau de l'accueil on a été très satisfait honnêtement rien a dire de négatif"
27,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSUQ4emN6dldBEAE,Med Marine,https://www.google.com/maps/contrib/116361021129585820308/reviews?hl=en-US,10 months ago,2021-06-23 13:07:04.388305,4.0,11,"(Translated by Google) Good park

(Original)
Bon parc"
28,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSUNDeGVyc0NnEAE,Rosendo Codina,https://www.google.com/maps/contrib/108853172875267851510/reviews?hl=en-US,9 months ago,2021-06-23 13:07:04.389296,5.0,11,"(Translated by Google) Super park for children

(Original)
Super de parc pour enfant"
29,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSUNVMWFfUFhnEAE,Salima Tabet,https://www.google.com/maps/contrib/105821237696083679533/reviews?hl=en-US,a year ago,2021-06-23 13:07:04.390224,2.0,2,"(Translated by Google) I did not like when he took off the sand I would have liked a sandbox for the little ones

(Original)
J'ai pas aimé quand il ont enlever le sable j'aurais aimé un carré de sable pour les petits"
30,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSUMwMDZiY1JBEAE,BENABED M MOURAD,https://www.google.com/maps/contrib/111528711177699035437/reviews?hl=en-US,a year ago,2021-06-23 13:07:04.391184,3.0,217,"(Translated by Google) Pleasant and calm

(Original)
Agreable et calme"
31,Parc Coubertin,ChZDSUhNMG9nS0VJQ0FnSURVOFpfRGNBEAE,Lojayne Badr,https://www.google.com/maps/contrib/114855769264827586685/reviews?hl=en-US,a year ago,2021-06-23 13:07:04.392148,4.0,13,"(Translated by Google) A beautiful park for children after the daycare

(Original)
Un beau parc pour les enfants aprés la garderie☺"
