,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSURLcXNEVzl3RRAB,Jimmy Dandy,https://www.google.com/maps/contrib/103816762161685775393/reviews?hl=en-CA,a month ago,2021-06-20 21:06:01.989740,3.0,2,"Great place to walk or play sports, but there is no bathroom - how can a large park like that not have any bathrooms !!!   Also pickleball and basketball courts are not maintained, the grounds tend to accumulate a lot of sand and dirt, they should really clean up the concrete play areas, and remove the sand/dirt, because it makes the grounds more slippy, and when playing with a ball the sand / dirt adheres to the ball - My children play basketball there and come back with black hands because their ball accumulates mud and dust as the courts are really in bad shape.   Please use our damn tax dollars to clean the play areas once in a while."
1,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSUNDbGNmT1VBEAE,Gobind Singh,https://www.google.com/maps/contrib/111600531424080160154/reviews?hl=en-CA,9 months ago,2021-06-20 21:06:01.991263,5.0,453,"Played 1st cricket tournament in Canada loved and enjoyed a lot loved the place also, green ground, night match was awesome feel our team lost the match but we did played well😁 but mainly it's a baseball ground with some different sports grounds also. Washrooms, bathrooms available, and a seperate pets ground too."
2,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSUR5b2U3Q2hnRRAB,Ruoma Ecnirp,https://www.google.com/maps/contrib/116391223613123217269/reviews?hl=en-CA,3 months ago,2021-06-20 21:06:01.993487,4.0,88,"Beautiful park overall. Really like the dog park. Never was a fan of dog parks but this one is so wide and spacious, I kinda understand the feeling 😅"
3,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSURvNHNqbXBBRRAB,Harini Chickmagaluru Ravindranath,https://www.google.com/maps/contrib/110383042151248938603/reviews?hl=en-CA,5 months ago,2021-06-20 21:06:01.994727,5.0,17,"Very nice park for kids can have small kids birthday parties.They have basketball,badminton ,baseball court,kids play areas for small and big kids.During winter ice hockey ground will be there,best place for ice scakting ."
4,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSUM0N3VuaGhBRRAB,Syed anas Ali shah,https://www.google.com/maps/contrib/116069652763920334074/reviews?hl=en-CA,a month ago,2021-06-20 21:06:01.996322,5.0,21,Really really good place for relaxing and walk
5,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSUNxMF8yczVRRRAB,Mo Galal,https://www.google.com/maps/contrib/104793184220948383100/reviews?hl=en-CA,2 days ago,2021-06-20 21:06:01.997332,5.0,23,Perfect for outdoor sports and running
6,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSUNDaDk2bzlRRRAB,Marc-Andre Leclair,https://www.google.com/maps/contrib/104272460284561758777/reviews?hl=en-CA,9 months ago,2021-06-20 21:06:01.998407,4.0,24,"Good parc, clean. Lack of social distancing though. Dog park water fountain is gone for now and there's 3 chain links of fence missing as of September 7"
7,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSUQ4bmJyY09nEAE,Ghassan Dahman,https://www.google.com/maps/contrib/116623910326098346000/reviews?hl=en-CA,9 months ago,2021-06-20 21:06:01.999399,4.0,11,"Excellent place, but too crowded for my liking."
8,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSUNDbGMybGxnRRAB,Seema Singh,https://www.google.com/maps/contrib/117586243664989816790/reviews?hl=en-CA,9 months ago,2021-06-20 21:06:02.001097,5.0,25,An encounter with a friendly squirrel 🐿️ in cousineau parc
9,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSUNDbE5iRzhnRRAB,Rohit Sharma,https://www.google.com/maps/contrib/118348866112699412325/reviews?hl=en-CA,10 months ago,2021-06-20 21:06:02.002252,4.0,4,Its a baseball ground basically but cricket is also being played with permission of authorities..
10,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSURVLS1QSldnEAE,Gaganjyot Singh,https://www.google.com/maps/contrib/110186911433611700537/reviews?hl=en-CA,a year ago,2021-06-20 21:06:02.003264,5.0,32,"You can play all sorts of games and do activities here like it has a swimming pool,a football ground and a shed where you can enjoy with your family."
11,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSURVdi0tMll3EAE,R Mekhael,https://www.google.com/maps/contrib/114550469878391415746/reviews?hl=en-CA,a year ago,2021-06-20 21:06:02.004260,4.0,135,"Nice Park, memories growing up, lots of time spent in this park as a youth."
12,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSUNZdi1HUjlRRRAB,sanjay srikumar,https://www.google.com/maps/contrib/101210996227518282761/reviews?hl=en-CA,2 years ago,2021-06-20 21:06:02.015039,4.0,25,Great place to go play pick up ball on a nice summer day
13,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSUMwc0txTkhREAE,Qahtan Yaroub,https://www.google.com/maps/contrib/118177399941960590567/reviews?hl=en-CA,a year ago,2021-06-20 21:06:02.016809,5.0,44,"Quite fun, there's always something to do."
14,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSURVcl92SHFnRRAB,Muhammad Rehan,https://www.google.com/maps/contrib/114152451519058770485/reviews?hl=en-CA,a year ago,2021-06-20 21:06:02.018040,5.0,57,This family park is calm and quiet not busy at all.lot of fun for kids.and separate spot for dogs and in the corner of park is bixi bike sharing station and also nearby market
15,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSURZLXA2RjNRRRAB,Shefali Wykes,https://www.google.com/maps/contrib/105486491914557837514/reviews?hl=en-CA,2 years ago,2021-06-20 21:06:02.020134,4.0,28,Beautiful place.. children can play all types of games..
16,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSUNnMHFYUFBnEAE,Mohammed Haydari,https://www.google.com/maps/contrib/112983619292912312412/reviews?hl=en-CA,2 years ago,2021-06-20 21:06:02.021387,5.0,76,"Nice family friendlypark, you can play tennis, basketball, and baseball. Lots of space for kids to play."
17,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSURVX0lLMFZREAE,Jo B,https://www.google.com/maps/contrib/101377342667649907079/reviews?hl=en-CA,a year ago,2021-06-20 21:06:02.022382,4.0,25,I liked that place because it liked me first! :D
18,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSURRZ2EyVmNnEAE,Maria Rossi,https://www.google.com/maps/contrib/117113495845377434624/reviews?hl=en-CA,3 years ago,2021-06-20 21:06:02.023472,5.0,2,My son forgot his school bag at the ice rink and the man that takes care of it was looking for him and was very nice and helpful ...
19,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSUNRaWFuQVp3EAE,Dan Alexandru,https://www.google.com/maps/contrib/108390673787837386099/reviews?hl=en-CA,2 years ago,2021-06-20 21:06:02.024415,5.0,139,Great parc that offers many different activities and is linked to Parc Hartenstein which provides even more. You have a baseball field. You have a basketball field which is well maintained (I.e the nets are on the baskets). You have a dog parc and a kid playing area.
20,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSUNnaXFIdVlnEAE,Google Person,https://www.google.com/maps/contrib/115001423830147155512/reviews?hl=en-CA,4 years ago,2021-06-20 21:06:02.025865,2.0,422,A bit better than Petit Park but not by much. In serious need of a revamp as well .
21,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSUNVbmJpdnBRRRAB,Write Tome,https://www.google.com/maps/contrib/103691948428781060700/reviews?hl=en-CA,a year ago,2021-06-20 21:06:02.027360,3.0,135,Nice cute little park.
22,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSUNBNTY3NGpRRRAB,Armenis Lemay,https://www.google.com/maps/contrib/111393207995033102387/reviews?hl=en-CA,4 years ago,2021-06-20 21:06:02.028316,5.0,58,"This was a couple if minutes from where I used to live, I often go there still to walk my dog. I also take my kid there as well, it's very nice and well taken care of, there's fun for the everyone!"
23,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSUNneklhd2ZBEAE,Dilan Jeya,https://www.google.com/maps/contrib/106245429983026157091/reviews?hl=en-CA,3 years ago,2021-06-20 21:06:02.029532,5.0,46,"One of the best parc in the hood. Always busy on sunny days, especially the bball court."
24,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSURnOTVfSEhREAE,Efrem Unfasung,https://www.google.com/maps/contrib/106517243223411108740/reviews?hl=en-CA,3 years ago,2021-06-20 21:06:02.030704,5.0,57,Nice clean park! Great for baseball and basketball!
25,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSUMwb3JXMk5nEAE,Hardeep Singh,https://www.google.com/maps/contrib/107658255134547278974/reviews?hl=en-CA,a year ago,2021-06-20 21:06:02.032320,5.0,7,"Feel relaxed, calm and is very neat and clean,"
26,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSURvN09mOG93RRAB,Noémie Noiseux,https://www.google.com/maps/contrib/100665095916676234011/reviews?hl=en-CA,2 years ago,2021-06-20 21:06:02.033683,3.0,49,Nice place but they don't remove the snow properly so the hates don't always close making it dangerous for the dogs since they can go onto a busy street.
27,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSUM4M05ueTdBRRAB,Bernadine Fontaine,https://www.google.com/maps/contrib/109410815046865318033/reviews?hl=en-CA,11 months ago,2021-06-20 21:06:02.035487,5.0,173,Great ambience!!
28,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSUNVMy1fV3ZBRRAB,julia king,https://www.google.com/maps/contrib/100503310873796797204/reviews?hl=en-CA,a year ago,2021-06-20 21:06:02.036723,5.0,35,Great facilities and safe!
29,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSUNVNDdYT1FBEAE,patrick heffernan,https://www.google.com/maps/contrib/103278967703766975778/reviews?hl=en-CA,a year ago,2021-06-20 21:06:02.037655,4.0,3,Enjoyable  park visit!
30,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSURZZzZDV1F3EAE,Mahmoud Ahmed,https://www.google.com/maps/contrib/114113960963031035194/reviews?hl=en-CA,2 years ago,2021-06-20 21:06:02.038811,4.0,42,Amazing place
31,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSURNMkxfTHlBRRAB,D B,https://www.google.com/maps/contrib/100589833129562958504/reviews?hl=en-CA,a year ago,2021-06-20 21:06:02.039885,5.0,60,Love this park
32,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSURZZ3FhcU1REAE,Ken Lee,https://www.google.com/maps/contrib/102922812233485916054/reviews?hl=en-CA,2 years ago,2021-06-20 21:06:02.040817,4.0,459,When will the water fountain be opened in the dog park?
33,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSURVdk1LMFd3EAE,arshad saidoo,https://www.google.com/maps/contrib/101934627910259617719/reviews?hl=en-CA,a year ago,2021-06-20 21:06:02.041833,5.0,14,Good running spot
34,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSURZdW9LRVl3EAE,ralph Joinville,https://www.google.com/maps/contrib/116131807886693778598/reviews?hl=en-CA,2 years ago,2021-06-20 21:06:02.043120,4.0,6,Basket ball court is A1
35,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSUM4djgzUkVnEAE,Mayssa'a younes,https://www.google.com/maps/contrib/107245454234549056679/reviews?hl=en-CA,11 months ago,2021-06-20 21:06:02.044204,5.0,7,Cozy
36,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSURrN3ZyRjFRRRAB,gehad salam,https://www.google.com/maps/contrib/106734852342125032541/reviews?hl=en-CA,a year ago,2021-06-20 21:06:02.045227,5.0,39,Cleaning parc
37,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSURrMjg3QjFRRRAB,Leon,https://www.google.com/maps/contrib/102434561473971352115/reviews?hl=en-CA,a year ago,2021-06-20 21:06:02.046254,5.0,43,Nice
38,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSUNZOU9ETEVBEAE,Anthony Tsilividis,https://www.google.com/maps/contrib/103285163378908311426/reviews?hl=en-CA,2 years ago,2021-06-20 21:06:02.047305,1.0,35,Very muddy in the spring ☹
39,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSUNZbDdmdlZnEAE,Hariom Vishnu,https://www.google.com/maps/contrib/101683411426239195958/reviews?hl=en-CA,2 years ago,2021-06-20 21:06:02.048257,5.0,18,Nice park
40,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSURRdHNEUEF3EAE,Marc arthur Dubos,https://www.google.com/maps/contrib/101961316283290757749/reviews?hl=en-CA,2 years ago,2021-06-20 21:06:02.049247,3.0,17,Nice neihgborhood
41,Parc Cousineau,ChZDSUhNMG9nS0VJQ0FnSURrdnRYd0xnEAE,shahanaz begum,https://www.google.com/maps/contrib/113800195912611257018/reviews?hl=en-CA,a year ago,2021-06-20 21:06:02.050528,5.0,7,It's a clean palace for kids
42,Parc Cousineau,ChdDSUhNMG9nS0VJQ0FnSUM0MFltY21nRRAB,Govind Parameswaran,https://www.google.com/maps/contrib/105674706398723285218/reviews?hl=en-CA,2 years ago,2021-06-20 21:06:02.052262,4.0,19,Good
