,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Curé-Provost,ChZDSUhNMG9nS0VJQ0FnSURRM1ppSkl3EAE,Yves Pinard,https://www.google.com/maps/contrib/117966268321007875397/reviews?hl=en-CA,2 years ago,2021-06-20 21:07:35.822877,5.0,30,Cool
1,Parc Curé-Provost,ChZDSUhNMG9nS0VJQ0FnSURjM0pqWUx3EAE,Alexandre Rainville,https://www.google.com/maps/contrib/114512141354266306603/reviews?hl=en-CA,a year ago,2021-06-20 21:07:35.823985,3.0,131,"(Translated by Google) Perfect for night meetings

(Original)
Parfait pour les rencontres nocturnes"
2,Parc Curé-Provost,ChZDSUhNMG9nS0VJQ0FnSURrMzY3d1hREAE,Mart Mart,https://www.google.com/maps/contrib/108366009526138484850/reviews?hl=en-CA,a year ago,2021-06-20 21:07:35.825392,3.0,55,"(Translated by Google) Beautiful little park

(Original)
Beau petit parc"
3,Parc Curé-Provost,ChZDSUhNMG9nS0VJQ0FnSUN3bHZxV0N3EAE,Sophie Surprenant,https://www.google.com/maps/contrib/102949527302563601303/reviews?hl=en-CA,4 years ago,2021-06-20 21:07:35.826863,3.0,74,"(Translated by Google) Small park good for troubleshooting. But it doesn't offer much choice of games.

(Original)
Petit parc bien pour dépanner. Mais il n'offre pas beaucoup de choix de jeux."
4,Parc Curé-Provost,ChdDSUhNMG9nS0VJQ0FnSURnNmRDZm1nRRAB,Jules Tompkins,https://www.google.com/maps/contrib/105914510092450535784/reviews?hl=en-CA,3 years ago,2021-06-20 21:07:35.827912,3.0,5,"(Translated by Google) The park is not very beautiful but it is quiet.

(Original)
Le parc n'est pas très beau mais il est tranquille."
5,Parc Curé-Provost,ChZDSUhNMG9nS0VJQ0FnSUMwaE9iYmN3EAE,Sylvain Tremblay,https://www.google.com/maps/contrib/109001766745642879605/reviews?hl=en-CA,a year ago,2021-06-20 21:07:35.829899,4.0,44,"(Translated by Google) Not very clean

(Original)
Pas très propree"
6,Parc Curé-Provost,ChZDSUhNMG9nS0VJQ0FnSURBMm9iMVJnEAE,Nancy P,https://www.google.com/maps/contrib/112481435320384944426/reviews?hl=en-CA,3 years ago,2021-06-20 21:07:35.831574,5.0,7,"(Translated by Google) 😃😃😃😃😃😃😃😃. 3rd come

(Original)
😃😃😃😃😃😃😃😃.        3er  avenu"
7,Parc Curé-Provost,ChdDSUhNMG9nS0VJQ0FnSUNBNXFiRjB3RRAB,Olivier Racicot,https://www.google.com/maps/contrib/112818559564131491887/reviews?hl=en-CA,2 years ago,2021-06-20 21:07:35.832794,4.0,20,
8,Parc Curé-Provost,ChdDSUhNMG9nS0VJQ0FnSUNnbTlUWHh3RRAB,JK Beaton,https://www.google.com/maps/contrib/107755697903358408495/reviews?hl=en-CA,3 years ago,2021-06-20 21:07:35.834049,5.0,29,
9,Parc Curé-Provost,ChdDSUhNMG9nS0VJQ0FnSUNZMmRIcXZnRRAB,Sebastien Ferron,https://www.google.com/maps/contrib/115329250256627918807/reviews?hl=en-CA,2 years ago,2021-06-20 21:07:35.835466,3.0,0,
10,Parc Curé-Provost,ChdDSUhNMG9nS0VJQ0FnSURBcXV5SnVnRRAB,wildhund78,https://www.google.com/maps/contrib/106118128508231906571/reviews?hl=en-CA,2 years ago,2021-06-20 21:07:35.836661,4.0,5,
11,Parc Curé-Provost,ChdDSUhNMG9nS0VJQ0FnSUNVeDZ1eG9nRRAB,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-CA,4 years ago,2021-06-20 21:07:35.837914,5.0,140,
12,Parc Curé-Provost,ChdDSUhNMG9nS0VJQ0FnSUN3emJQbWx3RRAB,Daniel Froment,https://www.google.com/maps/contrib/102097940058450704981/reviews?hl=en-CA,3 years ago,2021-06-20 21:07:35.839268,4.0,46,
13,Parc Curé-Provost,ChZDSUhNMG9nS0VJQ0FnSURzcHZtdGVBEAE,Harvin Medrano,https://www.google.com/maps/contrib/106834881277296920764/reviews?hl=en-CA,a year ago,2021-06-20 21:07:35.843255,5.0,97,
14,Parc Curé-Provost,ChZDSUhNMG9nS0VJQ0FnSUNBMHNQaWNBEAE,Sugar Samy,https://www.google.com/maps/contrib/108596262565707449055/reviews?hl=en-CA,4 years ago,2021-06-20 21:07:35.845861,5.0,34,
15,Parc Curé-Provost,ChZDSUhNMG9nS0VJQ0FnSUM0NklMbVpBEAE,Maya Maya,https://www.google.com/maps/contrib/117928189663311304259/reviews?hl=en-CA,2 years ago,2021-06-20 21:07:35.847094,5.0,13,
16,Parc Curé-Provost,ChZDSUhNMG9nS0VJQ0FnSURZa3NXR1RBEAE,Chrissy locoprincess,https://www.google.com/maps/contrib/105707795148331564413/reviews?hl=en-CA,2 years ago,2021-06-20 21:07:35.848185,3.0,2,
17,Parc Curé-Provost,ChZDSUhNMG9nS0VJQ0FnSUNBcWQzMENnEAE,Nathalie B,https://www.google.com/maps/contrib/107516459832996196891/reviews?hl=en-CA,4 years ago,2021-06-20 21:07:35.849492,4.0,75,
18,Parc Curé-Provost,ChZDSUhNMG9nS0VJQ0FnSUNBODRTNUJ3EAE,Krystina Lee,https://www.google.com/maps/contrib/104283575694344674419/reviews?hl=en-CA,3 years ago,2021-06-20 21:07:35.851382,3.0,46,
