,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc D'Arcy-McGee,ChdDSUhNMG9nS0VJQ0FnSUNxcHNYYS1RRRAB,Viktor Arborstone,https://www.google.com/maps/contrib/105830941002921738077/reviews?hl=en-CA,2 weeks ago,2021-06-20 21:09:48.550898,3.0,30,"This park is mainly soccer fields rather than an actual park in which you walk and sit down. I can't give it more than 3 star rating due to not being practical as a park, but it's clean and when it's open you can still go sit on the grass (and the soccer field bleachers)."
1,Parc D'Arcy-McGee,ChdDSUhNMG9nS0VJQ0FnSURRaGVqTTBRRRAB,Vg G,https://www.google.com/maps/contrib/114092399265107358982/reviews?hl=en-CA,3 years ago,2021-06-20 21:09:48.552571,3.0,755,The park is fenced. I saw people playing soccer.
2,Parc D'Arcy-McGee,ChdDSUhNMG9nS0VJQ0FnSUNVem9mcjNRRRAB,Jorge Alonso Rangel Rodrìguez,https://www.google.com/maps/contrib/115548885984420066158/reviews?hl=en-CA,a year ago,2021-06-20 21:09:48.554015,5.0,27,Beatiful see boya & giros training
3,Parc D'Arcy-McGee,ChdDSUhNMG9nS0VJQ0FnSURrajZ2Uzd3RRAB,Anisa Satari,https://www.google.com/maps/contrib/107866059778340836262/reviews?hl=en-CA,a year ago,2021-06-20 21:09:48.555070,5.0,1,To register the soccer club go to google and search assom
4,Parc D'Arcy-McGee,ChZDSUhNMG9nS0VJQ0FnSUNRdmZpcWFBEAE,Steve Puente,https://www.google.com/maps/contrib/107969189891538522615/reviews?hl=en-CA,4 years ago,2021-06-20 21:09:48.556072,4.0,9,Soccer field is well maintained and in excellent condition.
5,Parc D'Arcy-McGee,ChdDSUhNMG9nS0VJQ0FnSUNBMHVhTnZBRRAB,Alexandre Hanssement,https://www.google.com/maps/contrib/110627188509793193723/reviews?hl=en-CA,3 years ago,2021-06-20 21:09:48.557277,3.0,70,"Field needs some work, but good park"
6,Parc D'Arcy-McGee,ChdDSUhNMG9nS0VJQ0FnSUNnZ1l5U21RRRAB,dontaco86,https://www.google.com/maps/contrib/111101997789192373682/reviews?hl=en-CA,2 years ago,2021-06-20 21:09:48.558301,5.0,219,Great park for all the family
7,Parc D'Arcy-McGee,ChZDSUhNMG9nS0VJQ0FnSUMwOHZiVFN3EAE,Andrew Bendo,https://www.google.com/maps/contrib/101936527234890712876/reviews?hl=en-CA,a year ago,2021-06-20 21:09:48.560254,3.0,117,Park
8,Parc D'Arcy-McGee,ChdDSUhNMG9nS0VJQ0FnSURBcjlPcF9RRRAB,Rentan TGLG,https://www.google.com/maps/contrib/103930090280299692031/reviews?hl=en-CA,2 years ago,2021-06-20 21:09:48.562435,5.0,819,Huge field for soccer lovers
9,Parc D'Arcy-McGee,ChdDSUhNMG9nS0VJQ0FnSUNncjdQOXVRRRAB,Raihan Rajon,https://www.google.com/maps/contrib/111166076529054026233/reviews?hl=en-CA,3 years ago,2021-06-20 21:09:48.563498,4.0,99,They should put a public washroom for soccer players
10,Parc D'Arcy-McGee,ChdDSUhNMG9nS0VJQ0FnSUNBdS1xZF9RRRAB,Karima Boudjeroua,https://www.google.com/maps/contrib/112696929816594860823/reviews?hl=en-CA,3 years ago,2021-06-20 21:09:48.564504,4.0,43,Nice  place
11,Parc D'Arcy-McGee,ChZDSUhNMG9nS0VJQ0FnSURBcDhqZFB3EAE,Seven Stars,https://www.google.com/maps/contrib/108193826491344919314/reviews?hl=en-CA,3 years ago,2021-06-20 21:09:48.565703,5.0,239,I like this park
12,Parc D'Arcy-McGee,ChZDSUhNMG9nS0VJQ0FnSUN3NFpQM05REAE,T,https://www.google.com/maps/contrib/111614066414582841129/reviews?hl=en-CA,4 years ago,2021-06-20 21:09:48.566970,4.0,221,Very well maintained
