,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURLdXFhaTN3RRAB,benoit gagne,https://www.google.com/maps/contrib/103361316504976598504/reviews?hl=en-CA,a month ago,2021-06-24 02:09:04.993615,5.0,8,"Very nice. Nice people, clean parc cant wait for sommer for that water parc"
1,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSUR5eGR5VDB3RRAB,Johnny Evangelista,https://www.google.com/maps/contrib/108126486181947925052/reviews?hl=en-CA,3 months ago,2021-06-24 02:09:04.994550,5.0,372,Very clean. New children's playground. Park was completely renovated in 2020. Very nice.
2,Parc Dalmany,ChZDSUhNMG9nS0VJQ0FnSUM4aU9DY0h3EAE,Kimberly Petrutiu,https://www.google.com/maps/contrib/107599009546359303764/reviews?hl=en-CA,a year ago,2021-06-24 02:09:04.995476,5.0,8,The 2 playgrounds are in the shade of large trees. Many picnic tables and a splash pad! Fabulous.
3,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSUNDMExhV2h3RRAB,Kim Yeeping,https://www.google.com/maps/contrib/104385539795029771552/reviews?hl=en-CA,10 months ago,2021-06-24 02:09:04.996398,5.0,26,Very nice park to visit! Kids had a blast
4,Parc Dalmany,ChZDSUhNMG9nS0VJQ0FnSUQ4dmEtWVB3EAE,ulises paredes,https://www.google.com/maps/contrib/101365121252939303520/reviews?hl=en-CA,10 months ago,2021-06-24 02:09:04.997446,5.0,9,Very clean and perfect for little kids from 2-8 years old
5,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURVb2MtT3ZRRRAB,Jason M,https://www.google.com/maps/contrib/107789364339299894392/reviews?hl=en-CA,a year ago,2021-06-24 02:09:04.998373,5.0,7,Great park for the whole family. Newly renovated with excellent new amenities and a fun splash pad
6,Parc Dalmany,ChZDSUhNMG9nS0VJQ0FnSUNrdzhySWJREAE,Dao-Huy Hua,https://www.google.com/maps/contrib/106834104742494689888/reviews?hl=en-CA,2 years ago,2021-06-24 02:09:04.999649,4.0,51,The park has been renovated nicely. Kids love the water park section.
7,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSUM0M3B5Z3dRRRAB,Miko Tremblovei,https://www.google.com/maps/contrib/108888584404990636012/reviews?hl=en-CA,2 years ago,2021-06-24 02:09:05.000585,4.0,401,Nice one..now is in full reconstruction...hope it will be refreshed..as it looked old...
8,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURjc2FPRHlBRRAB,Natasha Reid,https://www.google.com/maps/contrib/107307816661112314194/reviews?hl=en-CA,a year ago,2021-06-24 02:09:05.001508,5.0,14,Very nice park
9,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSUNDOTRhU25RRRAB,Andree Martin (Empress Levi),https://www.google.com/maps/contrib/113672900181428512751/reviews?hl=en-CA,9 months ago,2021-06-24 02:09:05.002578,5.0,47,Nice installation
10,Parc Dalmany,ChZDSUhNMG9nS0VJQ0FnSUNVMF9iQ09BEAE,Seven Stars,https://www.google.com/maps/contrib/108193826491344919314/reviews?hl=en-CA,a year ago,2021-06-24 02:09:05.003514,5.0,239,My kids love this park
11,Parc Dalmany,ChZDSUhNMG9nS0VJQ0FnSUNRelpQV0NBEAE,Robert I,https://www.google.com/maps/contrib/106779317929396348133/reviews?hl=en-CA,3 years ago,2021-06-24 02:09:05.004440,5.0,5,Great little Park fir kids toddlers aged 1-9
12,Parc Dalmany,ChZDSUhNMG9nS0VJQ0FnSUNRMnJ1YVNBEAE,Paul Van Buren,https://www.google.com/maps/contrib/107447753863572124074/reviews?hl=en-CA,4 years ago,2021-06-24 02:09:05.005366,3.0,140,It's a park. Nice.
13,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURnNTR6YzZ3RRAB,Carol Carriere,https://www.google.com/maps/contrib/115721056953285113795/reviews?hl=en-CA,2 years ago,2021-06-24 02:09:05.006620,5.0,805,Very nice
14,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSUNxM3RIU2hBRRAB,Sophie Robillard,https://www.google.com/maps/contrib/104855735586493440949/reviews?hl=en-CA,2 weeks ago,2021-06-24 02:09:05.007557,4.0,68,"(Translated by Google) Tank top the toilets and I put 5 stars .... Children and adults pee everywhere is it more sanitary? Otherwise great !!!

(Original)
Débardeur les toilettes et je mets 5 étoiles .... Les enfants et les adultes font pipi partout est-ce plus sanitaire ainsi??? Sinon génial!!!"
15,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURrN3Vtem9BRRAB,Annie Primeau,https://www.google.com/maps/contrib/107688721300369386362/reviews?hl=en-CA,a year ago,2021-06-24 02:09:05.008479,5.0,66,"(Translated by Google) Super well landscaped park

(Original)
Super parc très bien aménagé"
16,Parc Dalmany,ChZDSUhNMG9nS0VJQ0FnSUM0OExXN0RREAE,francois cayer,https://www.google.com/maps/contrib/106817299079243195875/reviews?hl=en-CA,2 years ago,2021-06-24 02:09:05.009400,5.0,27,"(Translated by Google) All a change .... woww .... wonderful .... really a beautiful park. Thank you

(Original)
Tout un changement....woww....merveilleux....vraiment un beau parc. Merci"
17,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSUNBb09HODNRRRAB,E Bourdon,https://www.google.com/maps/contrib/112708060631000750796/reviews?hl=en-CA,2 years ago,2021-06-24 02:09:05.010322,3.0,8,"(Translated by Google) Small, quiet and green park

(Original)
Petit parc tranquille et verdoyant"
18,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURnOFBhNWl3RRAB,corinne aboa,https://www.google.com/maps/contrib/104132751803187657883/reviews?hl=en-CA,3 years ago,2021-06-24 02:09:05.011242,4.0,7,"(Translated by Google) good place for kids.

(Original)
bon endroit pour les enfants."
19,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSUNvOE1EU3RnRRAB,Henri Bishop,https://www.google.com/maps/contrib/117672705271880785110/reviews?hl=en-CA,2 years ago,2021-06-24 02:09:05.012314,5.0,950,"(Translated by Google) Magnificent

(Original)
Magnifique"
20,Parc Dalmany,ChZDSUhNMG9nS0VJQ0FnSUNBajZySVRnEAE,Chantal Brideau,https://www.google.com/maps/contrib/114384610611052663196/reviews?hl=en-CA,2 years ago,2021-06-24 02:09:05.013246,5.0,5,"(Translated by Google) Jean Drapeau Park

(Original)
Parc de Jean Drapeau"
21,Parc Dalmany,ChZDSUhNMG9nS0VJQ0FnSUN3NWNyM1JnEAE,Koli DIALLO,https://www.google.com/maps/contrib/111767481116889313674/reviews?hl=en-CA,3 years ago,2021-06-24 02:09:05.014173,3.0,33,"(Translated by Google) Peaceful

(Original)
Paisible"
22,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURRaUltNTdRRRAB,taoufik bousselham,https://www.google.com/maps/contrib/114137884248582999311/reviews?hl=en-CA,3 years ago,2021-06-24 02:09:05.015094,5.0,208,"(Translated by Google) Peaceful...

(Original)
Paisible..."
23,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURjOW96UF93RRAB,D. G.,https://www.google.com/maps/contrib/106369537404308865255/reviews?hl=en-CA,a year ago,2021-06-24 02:09:05.016046,5.0,19,
24,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURTazVLdzl3RRAB,Jean-Michel Laforest-Lussier,https://www.google.com/maps/contrib/108029963844500287926/reviews?hl=en-CA,5 months ago,2021-06-24 02:09:05.016963,4.0,19,
25,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSUNVM2VUeTZBRRAB,Alejandro2002 Ménard,https://www.google.com/maps/contrib/106502782674569896953/reviews?hl=en-CA,a year ago,2021-06-24 02:09:05.017990,5.0,0,
26,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURnNGZuUDFnRRAB,shawn batty,https://www.google.com/maps/contrib/111008056697723143209/reviews?hl=en-CA,3 years ago,2021-06-24 02:09:05.018911,5.0,5,
27,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURrdkozT3pRRRAB,Lucie Da,https://www.google.com/maps/contrib/102709959033310614569/reviews?hl=en-CA,a year ago,2021-06-24 02:09:05.019828,5.0,3,
28,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSUR5M3Vfd3l3RRAB,Brenda Martz,https://www.google.com/maps/contrib/112220514629865658724/reviews?hl=en-CA,3 months ago,2021-06-24 02:09:05.020743,5.0,8,
29,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURTeWRUMXlRRRAB,Benamar Salem,https://www.google.com/maps/contrib/102137674210291417217/reviews?hl=en-CA,5 months ago,2021-06-24 02:09:05.021659,5.0,31,
30,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSUMweElUcnZnRRAB,Ida Golding Whitter,https://www.google.com/maps/contrib/106623050324824828316/reviews?hl=en-CA,a year ago,2021-06-24 02:09:05.022583,3.0,16,
31,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSUNVeDhmaXZBRRAB,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-CA,4 years ago,2021-06-24 02:09:05.024088,4.0,140,
32,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURncXNuc3V3RRAB,alexandre loof,https://www.google.com/maps/contrib/116841223707447851687/reviews?hl=en-CA,4 years ago,2021-06-24 02:09:05.025288,5.0,62,
33,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURrbVB1QnR3RRAB,Alexandra Van Veeren,https://www.google.com/maps/contrib/108156843380940580831/reviews?hl=en-CA,2 years ago,2021-06-24 02:09:05.026327,4.0,0,
34,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURTcl8tNXJnRRAB,Élise kouakou,https://www.google.com/maps/contrib/103262142270885228603/reviews?hl=en-CA,5 months ago,2021-06-24 02:09:05.027386,5.0,10,
35,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURBX2NTZHFnRRAB,hailie barabe,https://www.google.com/maps/contrib/117050975478824294909/reviews?hl=en-CA,3 years ago,2021-06-24 02:09:05.028346,4.0,21,
36,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURVXzhqLXFRRRAB,Anonyme Girl,https://www.google.com/maps/contrib/107269961905185226771/reviews?hl=en-CA,a year ago,2021-06-24 02:09:05.029276,5.0,11,
37,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSUNVdktEb29RRRAB,Nadège Kouakou,https://www.google.com/maps/contrib/117078631493801664761/reviews?hl=en-CA,a year ago,2021-06-24 02:09:05.030195,5.0,13,
38,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURVeXNLX29BRRAB,Erinn Davis,https://www.google.com/maps/contrib/115960890853693690605/reviews?hl=en-CA,a year ago,2021-06-24 02:09:05.031130,5.0,81,
39,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURVMnVlRm1nRRAB,simsimma Richards,https://www.google.com/maps/contrib/111479168929919109570/reviews?hl=en-CA,a year ago,2021-06-24 02:09:05.032052,5.0,5,
40,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSURrakt5aWxBRRAB,Maria Rodriguez,https://www.google.com/maps/contrib/102979739290393712584/reviews?hl=en-CA,a year ago,2021-06-24 02:09:05.032965,5.0,14,
41,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSUNDNnI2Z2t3RRAB,Светлана,https://www.google.com/maps/contrib/111150083456373248787/reviews?hl=en-CA,10 months ago,2021-06-24 02:09:05.033942,5.0,15,
42,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSUQ4amFuYmp3RRAB,Alexandra Vellone-Richard,https://www.google.com/maps/contrib/105229605992301110926/reviews?hl=en-CA,10 months ago,2021-06-24 02:09:05.034898,5.0,1,
43,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSUNLcnNqeWpnRRAB,Oksana Derkach,https://www.google.com/maps/contrib/115073851766982827124/reviews?hl=en-CA,2 months ago,2021-06-24 02:09:05.035827,5.0,26,
44,Parc Dalmany,ChdDSUhNMG9nS0VJQ0FnSUNxM3RMdmdnRRAB,wendy parent,https://www.google.com/maps/contrib/115195395531175002517/reviews?hl=en-CA,2 weeks ago,2021-06-24 02:09:05.036760,5.0,1,
45,Parc Dalmany,ChZDSUhNMG9nS0VJQ0FnSURBMXZTSGZnEAE,Peter Yan,https://www.google.com/maps/contrib/101584690253872714442/reviews?hl=en-CA,4 years ago,2021-06-24 02:09:05.037690,4.0,48,
46,Parc Dalmany,ChZDSUhNMG9nS0VJQ0FnSURDMnRPZ2ZREAE,Raven Andrews,https://www.google.com/maps/contrib/106927994299785278184/reviews?hl=en-CA,9 months ago,2021-06-24 02:09:05.038627,5.0,21,
47,Parc Dalmany,ChZDSUhNMG9nS0VJQ0FnSURTdnQ2RGRREAE,Sylvie Auger,https://www.google.com/maps/contrib/104605996478265220286/reviews?hl=en-CA,5 months ago,2021-06-24 02:09:05.039597,5.0,8,
48,Parc Dalmany,ChZDSUhNMG9nS0VJQ0FnSUNLNmZLX1pREAE,Michael Malone,https://www.google.com/maps/contrib/111688945165591346095/reviews?hl=en-CA,2 months ago,2021-06-24 02:09:05.040899,5.0,277,
49,Parc Dalmany,ChZDSUhNMG9nS0VJQ0FnSURTLWRuWFl3EAE,Ahmad Abdellatif,https://www.google.com/maps/contrib/100361327365139371037/reviews?hl=en-CA,5 months ago,2021-06-24 02:09:05.042978,5.0,27,
50,Parc Dalmany,ChZDSUhNMG9nS0VJQ0FnSUM0b05TQ1lREAE,Tony Sperduti,https://www.google.com/maps/contrib/101727045281173168948/reviews?hl=en-CA,2 years ago,2021-06-24 02:09:05.044443,4.0,68,
51,Parc Dalmany,ChZDSUhNMG9nS0VJQ0FnSUNLaExmQlBnEAE,Christelle Iliza,https://www.google.com/maps/contrib/116092595194597286416/reviews?hl=en-CA,2 months ago,2021-06-24 02:09:05.047568,5.0,3,
52,Parc Dalmany,ChZDSUhNMG9nS0VJQ0FnSURBcjd6N093EAE,anir bouchala,https://www.google.com/maps/contrib/107724769800855891291/reviews?hl=en-CA,2 years ago,2021-06-24 02:09:05.048555,4.0,2,
