,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc De Salaberry,ChdDSUhNMG9nS0VJQ0FnSURDcGJHZzVRRRAB,Ernest Assaf,https://www.google.com/maps/contrib/101316435567571564268/reviews?hl=en-CA,8 months ago,2021-06-24 07:48:41.252581,5.0,32,A quiet spot to sit and reflect
1,Parc De Salaberry,ChZDSUhNMG9nS0VJQ0FnSURDMl9Dc1BREAE,Mich I,https://www.google.com/maps/contrib/113016698404140234408/reviews?hl=en-CA,8 months ago,2021-06-24 07:48:41.253528,4.0,147,Beautiful scene
2,Parc De Salaberry,ChZDSUhNMG9nS0VJQ0FnSURjaU1UWVV3EAE,dorin tanasa,https://www.google.com/maps/contrib/108280483854806781459/reviews?hl=en-CA,a year ago,2021-06-24 07:48:41.254463,5.0,55,Grate place for mother nature and family services
3,Parc De Salaberry,ChZDSUhNMG9nS0VJQ0FnSUNROXRfcGNnEAE,Max Xam,https://www.google.com/maps/contrib/105052499992802830566/reviews?hl=en-CA,4 years ago,2021-06-24 07:48:41.255426,5.0,63,"Really nice and clean,  I love it"
4,Parc De Salaberry,ChdDSUhNMG9nS0VJQ0FnSUNpd0lxd3RnRRAB,Jonathan Montano (Hackcent0s),https://www.google.com/maps/contrib/102943667180285985097/reviews?hl=en-CA,8 months ago,2021-06-24 07:48:41.256357,5.0,13,"(Translated by Google) A very nice and quiet place to walk.

(Original)
Un lugar muy lindo y tranquilo para pasear."
5,Parc De Salaberry,ChdDSUhNMG9nS0VJQ0FnSURVdU1TRXpBRRAB,JoAnna Villeneuve,https://www.google.com/maps/contrib/118094376429129327553/reviews?hl=en-CA,a year ago,2021-06-24 07:48:41.257360,3.0,5,"(Translated by Google) Beautiful green space. No games for children at this place.

(Original)
Bel espace vert. Pas de jeux pour enfants a cet endroit."
6,Parc De Salaberry,ChdDSUhNMG9nS0VJQ0FnSURROFlfdDB3RRAB,François Bussière,https://www.google.com/maps/contrib/111235680452783633521/reviews?hl=en-CA,4 years ago,2021-06-24 07:48:41.258667,4.0,64,"(Translated by Google) Nice quiet and wooded park.

(Original)
Joli parc calme et boisé."
7,Parc De Salaberry,ChdDSUhNMG9nS0VJQ0FnSURzckpleDhnRRAB,Moin Waheed,https://www.google.com/maps/contrib/104647268051031357809/reviews?hl=en-CA,a year ago,2021-06-24 07:48:41.259607,3.0,39,
8,Parc De Salaberry,ChdDSUhNMG9nS0VJQ0FnSUM4bmI3cDB3RRAB,Jaafar Kaoussarani,https://www.google.com/maps/contrib/108830492695201197028/reviews?hl=en-CA,11 months ago,2021-06-24 07:48:41.260537,3.0,11,
9,Parc De Salaberry,ChdDSUhNMG9nS0VJQ0FnSURRdS1YSndRRRAB,stephane chamberland,https://www.google.com/maps/contrib/108270334629843127802/reviews?hl=en-CA,3 years ago,2021-06-24 07:48:41.261488,4.0,23,
10,Parc De Salaberry,ChdDSUhNMG9nS0VJQ0FnSUNRNnZhMG9nRRAB,Mario Hachem,https://www.google.com/maps/contrib/103422229313708212004/reviews?hl=en-CA,4 years ago,2021-06-24 07:48:41.262424,4.0,242,
11,Parc De Salaberry,ChdDSUhNMG9nS0VJQ0FnSUMwcDdTR2xRRRAB,Lou Ma,https://www.google.com/maps/contrib/113349657656264040606/reviews?hl=en-CA,a year ago,2021-06-24 07:48:41.263626,1.0,0,
12,Parc De Salaberry,ChZDSUhNMG9nS0VJQ0FnSUNxeTRDQmFnEAE,Olivier Clément,https://www.google.com/maps/contrib/111280940398347132488/reviews?hl=en-CA,5 days ago,2021-06-24 07:48:41.264581,4.0,28,
13,Parc De Salaberry,ChZDSUhNMG9nS0VJQ0FnSURZMkoyNFBnEAE,Marie-Christine Dorion,https://www.google.com/maps/contrib/107564694120944981367/reviews?hl=en-CA,2 years ago,2021-06-24 07:48:41.266439,5.0,1,
14,Parc De Salaberry,ChZDSUhNMG9nS0VJQ0FnSURVNDczUUlBEAE,Eirilena Papapantelidi,https://www.google.com/maps/contrib/105562075560175813387/reviews?hl=en-CA,a year ago,2021-06-24 07:48:41.267843,4.0,3,
15,Parc De Salaberry,ChZDSUhNMG9nS0VJQ0FnSURjMkw2REVBEAE,MADIMBA Carmelle,https://www.google.com/maps/contrib/110029866208913660483/reviews?hl=en-CA,a year ago,2021-06-24 07:48:41.268801,5.0,1,
